REF_AREA,Territorio,Anno,Delitti,Popolazione,Tasso_per_1000
ITC1,Piemonte,2014,240892,4420924,54.49
ITC1,Piemonte,2015,227047,4403562,51.56
ITC1,Piemonte,2016,207885,4384226,47.42
ITC1,Piemonte,2017,193783,4370348,44.34
ITC1,Piemonte,2018,184594,4349911,42.44
ITC1,Piemonte,2019,180478,4328565,41.69
ITC1,Piemonte,2020,147640,4311217,34.25
ITC1,Piemonte,2021,169903,4274945,39.74
ITC1,Piemonte,2022,173425,4256350,40.75
ITC1,Piemonte,2023,187398,4251351,44.08
ITC2,Valle d'Aosta / Vallée d'Aoste,2014,4732,128245,36.9
ITC2,Valle d'Aosta / Vallée d'Aoste,2015,4372,127972,34.16
ITC2,Valle d'Aosta / Vallée d'Aoste,2016,4085,127030,32.16
ITC2,Valle d'Aosta / Vallée d'Aoste,2017,3766,126677,29.73
ITC2,Valle d'Aosta / Vallée d'Aoste,2018,3684,126213,29.19
ITC2,Valle d'Aosta / Vallée d'Aoste,2019,3410,125653,27.14
ITC2,Valle d'Aosta / Vallée d'Aoste,2020,3197,125034,25.57
ITC2,Valle d'Aosta / Vallée d'Aoste,2021,2999,124089,24.17
ITC2,Valle d'Aosta / Vallée d'Aoste,2022,3530,123360,28.62
ITC2,Valle d'Aosta / Vallée d'Aoste,2023,3709,123130,30.12
ITC3,Liguria,2014,88917,1580322,56.27
ITC3,Liguria,2015,85366,1569427,54.39
ITC3,Liguria,2016,79898,1557742,51.29
ITC3,Liguria,2017,76443,1551379,49.27
ITC3,Liguria,2018,71466,1541541,46.36
ITC3,Liguria,2019,68177,1532980,44.47
ITC3,Liguria,2020,56550,1524826,37.09
ITC3,Liguria,2021,62548,1518495,41.19
ITC3,Liguria,2022,65274,1509227,43.25
ITC3,Liguria,2023,67236,1507636,44.6
ITC4,Lombardia,2014,533202,9929769,53.7
ITC4,Lombardia,2015,505648,9954769,50.79
ITC4,Lombardia,2016,475194,9958447,47.72
ITC4,Lombardia,2017,463579,9970419,46.5
ITC4,Lombardia,2018,453969,9986962,45.46
ITC4,Lombardia,2019,439302,10010833,43.88
ITC4,Lombardia,2020,337406,10027602,33.65
ITC4,Lombardia,2021,398610,9981554,39.93
ITC4,Lombardia,2022,440421,9943004,44.29
ITC4,Lombardia,2023,456962,9976509,45.8
ITD3,Veneto,2014,201245,4905712,41.02
ITD3,Veneto,2015,183753,4902694,37.48
ITD3,Veneto,2016,169999,4890648,34.76
ITD3,Veneto,2017,162365,4883373,33.25
ITD3,Veneto,2018,161958,4880936,33.18
ITD3,Veneto,2019,162682,4884590,33.31
ITD3,Veneto,2020,133160,4879133,27.29
ITD3,Veneto,2021,147852,4869830,30.36
ITD3,Veneto,2022,159262,4847745,32.85
ITD3,Veneto,2023,166136,4849553,34.26
ITD4,Friuli-Venezia Giulia,2014,41049,1224984,33.51
ITD4,Friuli-Venezia Giulia,2015,38805,1221664,31.76
ITD4,Friuli-Venezia Giulia,2016,35552,1216208,29.23
ITD4,Friuli-Venezia Giulia,2017,35672,1212809,29.41
ITD4,Friuli-Venezia Giulia,2018,34369,1211155,28.38
ITD4,Friuli-Venezia Giulia,2019,34277,1210414,28.32
ITD4,Friuli-Venezia Giulia,2020,29016,1206216,24.06
ITD4,Friuli-Venezia Giulia,2021,31706,1201510,26.39
ITD4,Friuli-Venezia Giulia,2022,33301,1194647,27.88
ITD4,Friuli-Venezia Giulia,2023,35222,1194248,29.49
ITD5,Emilia-Romagna,2014,258740,4432241,58.38
ITD5,Emilia-Romagna,2015,252079,4434377,56.85
ITD5,Emilia-Romagna,2016,229630,4435480,51.77
ITD5,Emilia-Romagna,2017,224240,4439768,50.51
ITD5,Emilia-Romagna,2018,214257,4445920,48.19
ITD5,Emilia-Romagna,2019,205999,4459453,46.19
ITD5,Emilia-Romagna,2020,166883,4464119,37.38
ITD5,Emilia-Romagna,2021,181014,4438937,40.78
ITD5,Emilia-Romagna,2022,195433,4425366,44.16
ITD5,Emilia-Romagna,2023,199500,4437578,44.96
ITE1,Toscana,2014,189755,3744293,50.68
ITE1,Toscana,2015,183099,3739044,48.97
ITE1,Toscana,2016,176246,3726422,47.3
ITE1,Toscana,2017,176763,3721391,47.5
ITE1,Toscana,2018,174784,3712048,47.09
ITE1,Toscana,2019,166919,3701343,45.1
ITE1,Toscana,2020,128010,3692555,34.67
ITE1,Toscana,2021,140460,3692865,38.04
ITE1,Toscana,2022,153071,3663191,41.79
ITE1,Toscana,2023,161232,3661981,44.03
ITE2,Umbria,2014,35693,892099,40.01
ITE2,Umbria,2015,32818,888288,36.95
ITE2,Umbria,2016,30108,884092,34.06
ITE2,Umbria,2017,31115,880992,35.32
ITE2,Umbria,2018,31632,876477,36.09
ITE2,Umbria,2019,30457,873744,34.86
ITE2,Umbria,2020,25437,870165,29.23
ITE2,Umbria,2021,27109,865452,31.32
ITE2,Umbria,2022,27905,858812,32.49
ITE2,Umbria,2023,29094,856407,33.97
ITE3,Marche,2014,54139,1549478,34.94
ITE3,Marche,2015,53340,1545869,34.5
ITE3,Marche,2016,47067,1538442,30.59
ITE3,Marche,2017,46597,1532460,30.41
ITE3,Marche,2018,43505,1526331,28.5
ITE3,Marche,2019,41240,1520321,27.13
ITE3,Marche,2020,34588,1512672,22.87
ITE3,Marche,2021,36617,1498236,24.44
ITE3,Marche,2022,39491,1487150,26.55
ITE3,Marche,2023,39643,1484298,26.71
ITE4,Lazio,2014,330609,5723955,57.76
ITE4,Lazio,2015,308399,5744899,53.68
ITE4,Lazio,2016,276255,5761508,47.95
ITE4,Lazio,2017,279066,5774092,48.33
ITE4,Lazio,2018,271344,5774606,46.99
ITE4,Lazio,2019,265139,5773076,45.93
ITE4,Lazio,2020,219485,5755700,38.13
ITE4,Lazio,2021,247705,5730399,43.23
ITE4,Lazio,2022,275429,5714882,48.2
ITE4,Lazio,2023,303173,5720536,53.0
ITF1,Abruzzo,2014,52524,1329918,39.49
ITF1,Abruzzo,2015,49656,1325836,37.45
ITF1,Abruzzo,2016,43136,1319294,32.7
ITF1,Abruzzo,2017,42847,1313930,32.61
ITF1,Abruzzo,2018,40038,1306059,30.66
ITF1,Abruzzo,2019,38381,1300645,29.51
ITF1,Abruzzo,2020,34250,1293941,26.47
ITF1,Abruzzo,2021,35324,1281012,27.58
ITF1,Abruzzo,2022,37549,1275950,29.43
ITF1,Abruzzo,2023,37602,1272627,29.55
ITF2,Molise,2014,8839,312897,28.25
ITF2,Molise,2015,9090,311398,29.19
ITF2,Molise,2016,8205,310026,26.47
ITF2,Molise,2017,8411,308400,27.27
ITF2,Molise,2018,8052,306564,26.27
ITF2,Molise,2019,7789,303790,25.64
ITF2,Molise,2020,6926,300516,23.05
ITF2,Molise,2021,7858,294294,26.7
ITF2,Molise,2022,7759,292150,26.56
ITF2,Molise,2023,8358,290636,28.76
ITF3,Campania,2014,224847,5812768,38.68
ITF3,Campania,2015,227740,5804370,39.24
ITF3,Campania,2016,222685,5790783,38.46
ITF3,Campania,2017,217846,5776654,37.71
ITF3,Campania,2018,217743,5762889,37.78
ITF3,Campania,2019,211182,5740291,36.79
ITF3,Campania,2020,182419,5712143,31.94
ITF3,Campania,2021,202698,5624260,36.04
ITF3,Campania,2022,214544,5624420,38.15
ITF3,Campania,2023,217419,5609536,38.76
ITF4,Puglia,2014,167039,4077788,40.96
ITF4,Puglia,2015,164902,4063269,40.58
ITF4,Puglia,2016,149334,4043735,36.93
ITF4,Puglia,2017,146543,4024067,36.42
ITF4,Puglia,2018,143374,4000966,35.83
ITF4,Puglia,2019,134618,3975528,33.86
ITF4,Puglia,2020,119851,3953305,30.32
ITF4,Puglia,2021,125146,3933777,31.81
ITF4,Puglia,2022,129215,3922941,32.94
ITF4,Puglia,2023,125080,3907683,32.01
ITF5,Basilicata,2014,14633,575814,25.41
ITF5,Basilicata,2015,14961,573236,26.1
ITF5,Basilicata,2016,13570,569887,23.81
ITF5,Basilicata,2017,13690,566405,24.17
ITF5,Basilicata,2018,13226,562968,23.49
ITF5,Basilicata,2019,13076,558587,23.41
ITF5,Basilicata,2020,12551,553254,22.69
ITF5,Basilicata,2021,12907,545130,23.68
ITF5,Basilicata,2022,11768,541168,21.75
ITF5,Basilicata,2023,11577,537577,21.54
ITF6,Calabria,2014,66327,1958226,33.87
ITF6,Calabria,2015,64315,1951733,32.95
ITF6,Calabria,2016,61137,1943085,31.46
ITF6,Calabria,2017,58733,1935097,30.35
ITF6,Calabria,2018,57531,1924257,29.9
ITF6,Calabria,2019,54859,1912021,28.69
ITF6,Calabria,2020,49476,1894110,26.12
ITF6,Calabria,2021,52530,1860601,28.23
ITF6,Calabria,2022,51831,1855454,27.93
ITF6,Calabria,2023,52263,1846610,28.3
ITG1,Sicilia,2014,208596,5041754,41.37
ITG1,Sicilia,2015,193778,5028266,38.54
ITG1,Sicilia,2016,176318,5004400,35.23
ITG1,Sicilia,2017,169791,4977900,34.11
ITG1,Sicilia,2018,170300,4942188,34.46
ITG1,Sicilia,2019,168731,4908548,34.37
ITG1,Sicilia,2020,149017,4875290,30.57
ITG1,Sicilia,2021,151233,4833705,31.29
ITG1,Sicilia,2022,162458,4833329,33.61
ITG1,Sicilia,2023,166234,4814016,34.53
ITG2,Sardegna,2014,54332,1652528,32.88
ITG2,Sardegna,2015,51912,1648642,31.49
ITG2,Sardegna,2016,47465,1642492,28.9
ITG2,Sardegna,2017,46371,1636839,28.33
ITG2,Sardegna,2018,44703,1631040,27.41
ITG2,Sardegna,2019,45032,1622257,27.76
ITG2,Sardegna,2020,40258,1611621,24.98
ITG2,Sardegna,2021,42919,1590044,26.99
ITG2,Sardegna,2022,43190,1587413,27.21
ITG2,Sardegna,2023,42581,1578146,26.98
ITD12,Trentino-Alto Adige,2014,36771,1052202,34.95
ITD12,Trentino-Alto Adige,2015,36125,1056182,34.2
ITD12,Trentino-Alto Adige,2016,33601,1059765,31.71
ITD12,Trentino-Alto Adige,2017,32151,1063734,30.22
ITD12,Trentino-Alto Adige,2018,31227,1068738,29.22
ITD12,Trentino-Alto Adige,2019,29966,1074034,27.9
ITD12,Trentino-Alto Adige,2020,24476,1078069,22.7
ITD12,Trentino-Alto Adige,2021,26940,1077078,25.01
ITD12,Trentino-Alto Adige,2022,30867,1073574,28.75
ITD12,Trentino-Alto Adige,2023,31103,1077143,28.88
