Anno,Delitti,Popolazione,Tasso_per_1000,Percezione_pct
2014,2812936,60345917,46.61352647934739,30.0
2015,2687249,60295497,44.56798821975047,41.1
2016,2487389,60163712,41.34367573596523,38.9
2017,2429795,60066734,40.45159172463081,31.9
2018,2371806,59937769,39.57114252951257,28.6
2019,2301912,59816673,38.4827822169247,25.6
2020,1900624,59641488,31.867481240575355,22.7
2021,2104114,59236213,35.52073796479866,20.6
2022,2255777,59030133,38.21399148804222,21.9
2023,2341574,58997201,39.689577815734005,23.3
