"Popolazione residente per età, sesso e stato civile al 1° gennaio 2022"
"Codice ripartizione";"Ripartizione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"3";"Centro";0;38106;0;0;0;0;0;0;38106;36525;0;0;0;0;0;0;36525;74631
"3";"Centro";1;39019;0;0;0;0;0;0;39019;36861;0;0;0;0;0;0;36861;75880
"3";"Centro";2;40932;0;0;0;0;0;0;40932;38702;0;0;0;0;0;0;38702;79634
"3";"Centro";3;43333;0;0;0;0;0;0;43333;41255;0;0;0;0;0;0;41255;84588
"3";"Centro";4;45759;0;0;0;0;0;0;45759;43065;0;0;0;0;0;0;43065;88824
"3";"Centro";5;47737;0;0;0;0;0;0;47737;45217;0;0;0;0;0;0;45217;92954
"3";"Centro";6;48636;0;0;0;0;0;0;48636;46410;0;0;0;0;0;0;46410;95046
"3";"Centro";7;51110;0;0;0;0;0;0;51110;48045;0;0;0;0;0;0;48045;99155
"3";"Centro";8;51946;0;0;0;0;0;0;51946;48835;0;0;0;0;0;0;48835;100781
"3";"Centro";9;54257;0;0;0;0;0;0;54257;51849;0;0;0;0;0;0;51849;106106
"3";"Centro";10;55066;0;0;0;0;0;0;55066;52310;0;0;0;0;0;0;52310;107376
"3";"Centro";11;56715;0;0;0;0;0;0;56715;53359;0;0;0;0;0;0;53359;110074
"3";"Centro";12;57151;0;0;0;0;0;0;57151;53548;0;0;0;0;0;0;53548;110699
"3";"Centro";13;57923;0;0;0;0;0;0;57923;54772;0;0;0;0;0;0;54772;112695
"3";"Centro";14;58234;0;0;0;0;0;0;58234;54191;0;0;0;0;0;0;54191;112425
"3";"Centro";15;57487;0;0;0;0;0;0;57487;54117;0;0;0;0;0;0;54117;111604
"3";"Centro";16;56595;1;0;0;0;0;0;56596;53060;2;1;0;0;0;0;53063;109659
"3";"Centro";17;56900;0;0;0;0;0;0;56900;53067;2;0;0;0;0;0;53069;109969
"3";"Centro";18;55313;1;2;0;0;0;0;55316;51567;21;1;0;0;0;0;51589;106905
"3";"Centro";19;55372;8;0;0;0;0;0;55380;51228;100;0;0;0;0;0;51328;106708
"3";"Centro";20;55630;26;1;0;0;0;0;55657;51186;271;2;0;0;0;0;51459;107116
"3";"Centro";21;57154;81;1;2;1;0;0;57239;51431;588;6;0;1;0;0;52026;109265
