"Popolazione per età, vista per singola area - Italia e ripartizioni"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Italia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;523007;535656;542323;558500;551127;556884;560700;570791;562322;553218;537347;534047;512140;499940;482977;469956;455066;431007
1;529233;526577;538020;545596;559067;552870;560028;563021;569963;561694;551720;539163;533916;511448;499707;482975;470412;455746
2;528131;533126;531043;540860;548487;560347;556146;562640;564317;569064;560943;554476;540449;532895;510117;499100;482810;470813
3;518790;530847;537507;535545;543768;550808;563000;559193;564536;565219;568135;563518;556034;539900;531804;508569;498644;482946
4;515957;522484;534064;542329;540131;545782;554754;565127;560899;565563;565624;570533;565065;555647;539174;530684;507352;498240
5;521883;519874;526759;537687;547286;543899;549926;557963;566411;562064;566438;568059;571660;564915;555014;538315;529716;507118
6;521774;525434;524440;531761;541502;551380;549632;553286;560048;566952;563169;568569;569197;571217;564416;554223;537576;529609
7;524929;525094;529430;529267;536730;544564;557571;554779;555487;561735;567808;564994;569486;568782;570307;563484;553502;537809
8;539637;528714;528612;533557;534646;540875;549836;562743;558705;557192;563165;569721;565785;569129;568376;569449;562718;553691
9;562660;543267;532760;532755;538376;538956;546981;554495;567192;562052;558982;565189;570842;565607;568836;567734;568873;563046
10;566374;565920;547054;537956;537418;542326;545130;552693;558196;571096;564793;561023;565982;570929;565198;568351;567324;569271
11;571769;568684;569499;551622;542931;541177;547924;551007;557461;561199;574185;566859;561945;566055;570683;564759;568083;567812
12;562281;573863;571180;573595;556540;547135;546663;553371;555780;561491;563954;576443;567704;562246;566021;570232;564478;568576
13;565951;564359;576103;574651;578284;560460;553021;551938;557633;559950;564733;566121;577668;567956;562296;565648;570184;565035
14;544761;568358;566610;578992;578169;582015;566019;558684;556355;561392;563250;566488;567354;578507;568077;562006;565934;571168
15;559012;547025;570882;569709;582731;581012;587212;571616;563539;560238;564605;565211;567577;568252;579057;567907;562182;566861
16;578356;559983;549909;574567;573866;585817;585422;592699;576646;567923;563391;566829;566463;568447;569082;579513;568641;563617
17;586101;579525;561513;554212;579441;577712;590672;590575;597942;581230;571802;566265;568311;567946;569765;570420;581989;570790
18;601777;588055;582069;566152;560832;585235;584895;598015;597142;604124;586324;575809;568901;570728;570722;575369;579330;586873
19;626198;602618;591807;585495;569759;566346;594830;594316;605884;603863;610128;591398;579167;572067;574614;577538;587285;585535
20;635651;626170;607321;595956;587868;572335;578058;605312;602480;612576;609674;615775;594700;581875;575189;580173;585466;592118
