"Popolazione per età, vista per singola area - Provincia: Agrigento"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Agrigento"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4540;4660;4541;4650;4507;4313;4280;4187;4164;4064;3930;3852;3552;3640;3383;3306;3346;3179
1;4590;4536;4658;4528;4629;4501;4290;4255;4183;4177;4050;3922;3824;3537;3619;3357;3272;3310
2;4808;4617;4577;4664;4530;4590;4504;4300;4259;4198;4175;4031;3913;3819;3505;3591;3335;3275
3;4696;4808;4648;4604;4672;4519;4594;4547;4319;4280;4224;4147;4030;3897;3786;3454;3560;3309
4;4642;4740;4823;4662;4628;4661;4516;4592;4567;4328;4280;4233;4114;4021;3876;3761;3437;3525
5;4885;4670;4776;4819;4673;4642;4668;4513;4613;4581;4349;4282;4207;4101;4003;3844;3712;3431
6;4780;4928;4732;4805;4832;4699;4677;4665;4531;4629;4581;4340;4277;4171;4078;3974;3845;3689
7;4955;4819;4954;4777;4862;4860;4753;4710;4693;4521;4631;4577;4325;4256;4138;4058;3940;3816
8;5075;4962;4858;4970;4812;4867;4890;4782;4750;4716;4526;4618;4564;4297;4225;4127;4030;3921
9;5624;5120;5002;4867;4977;4841;4904;4921;4832;4764;4730;4514;4604;4563;4263;4196;4107;3996
10;5606;5637;5133;5030;4898;4997;4872;4957;4957;4867;4788;4716;4503;4604;4528;4250;4169;4077
11;5741;5601;5644;5182;5053;4910;5034;4890;5011;4971;4874;4778;4689;4486;4579;4503;4232;4148
12;5498;5724;5588;5653;5209;5052;4940;5051;4950;5055;5007;4889;4772;4671;4452;4530;4467;4209
13;5723;5501;5726;5577;5650;5215;5084;4957;5095;4989;5092;5010;4893;4760;4658;4437;4527;4441
14;5378;5740;5521;5734;5554;5668;5243;5115;4988;5113;5028;5054;5002;4901;4741;4626;4435;4520
15;5708;5402;5756;5529;5746;5546;5691;5270;5180;5016;5134;5012;5034;4983;4897;4737;4597;4407
