"Popolazione per età, vista per singola area - Provincia: Alessandria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Alessandria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2840;2946;2954;3149;3110;3244;3275;3438;3295;3245;3252;3195;3017;2900;2818;2765;2668;2473
1;2752;2891;2966;2988;3207;3151;3292;3329;3454;3318;3250;3283;3217;3022;2901;2799;2768;2671
2;2820;2777;2955;3002;3021;3246;3196;3321;3338;3449;3318;3277;3284;3206;3038;2925;2821;2777
3;2704;2860;2967;2993;3063;3050;3284;3233;3351;3365;3454;3366;3330;3255;3182;3013;2943;2832
4;2796;2745;2897;3012;3041;3104;3132;3310;3250;3373;3392;3485;3395;3336;3246;3162;2991;2931
5;2730;2856;2784;2960;3082;3074;3176;3182;3342;3265;3393;3443;3525;3396;3323;3230;3169;2996
6;2783;2779;2918;2850;3045;3086;3171;3194;3218;3371;3273;3431;3467;3542;3400;3343;3222;3178
7;2804;2822;2831;2986;2962;3086;3172;3247;3216;3267;3392;3276;3435;3443;3536;3416;3325;3226
8;2880;2846;2878;2883;3062;2999;3191;3216;3275;3229;3305;3408;3281;3425;3457;3525;3428;3328
9;2939;2925;2890;2942;2946;3126;3074;3262;3257;3312;3241;3341;3426;3292;3408;3473;3493;3415
10;2995;2997;2964;2971;3033;2990;3217;3132;3299;3300;3342;3269;3342;3418;3276;3411;3465;3478
11;3029;3042;3034;3039;3059;3072;3062;3268;3186;3352;3334;3370;3297;3344;3392;3282;3381;3450
12;2939;3055;3055;3121;3114;3126;3136;3137;3304;3216;3389;3349;3383;3303;3355;3398;3301;3386
13;2932;2962;3093;3107;3193;3153;3212;3191;3188;3343;3246;3387;3365;3384;3320;3354;3386;3289
14;2811;2951;2996;3135;3172;3235;3215;3278;3240;3223;3386;3270;3395;3364;3384;3330;3357;3392
15;2936;2829;2970;3031;3218;3218;3330;3292;3332;3267;3247;3393;3285;3398;3359;3386;3343;3350
16;3012;2949;2871;3019;3088;3251;3278;3401;3339;3369;3292;3257;3394;3290;3396;3373;3385;3347
17;3087;3040;2989;2923;3102;3129;3294;3352;3425;3400;3407;3331;3265;3402;3306;3411;3381;3373
18;3246;3120;3094;3045;3011;3137;3211;3372;3392;3464;3451;3446;3356;3291;3422;3371;3523;3409
19;3424;3271;3152;3141;3141;3068;3243;3293;3437;3436;3548;3508;3469;3382;3318;3480;3502;3557
20;3357;3430;3386;3197;3197;3149;3185;3393;3361;3506;3517;3587;3516;3483;3399;3420;3595;3520
21;3548;3405;3556;3420;3278;3237;3298;3297;3484;3479;3568;3579;3641;3545;3491;3473;3537;3633
22;3545;3579;3561;3609;3504;3298;3436;3439;3402;3599;3569;3659;3617;3649;3575;3542;3531;3585
23;4111;3575;3761;3638;3660;3517;3463;3569;3508;3478;3703;3630;3711;3630;3672;3633;3618;3569
24;4512;4178;3811;3858;3727;3733;3726;3641;3646;3613;3578;3777;3756;3750;3695;3737;3714;3661
25;4832;4602;4399;3916;3949;3801;3912;3872;3758;3743;3727;3667;3866;3793;3791;3728;3799;3726
26;5124;4878;4829;4503;3994;3992;3992;4056;3947;3851;3867;3814;3733;3885;3818;3899;3769;3848
27;5289;5172;5170;4966;4624;4064;4179;4119;4128;4020;3937;3941;3891;3751;3903;3876;3921;3804
28;5328;5337;5493;5344;5116;4738;4273;4328;4200;4257;4064;4011;3993;3912;3803;3936;3887;3898
29;5735;5404;5637;5640;5495;5185;4969;4409;4358;4275;4314;4112;4066;3994;3940;3818;3952;3901
30;5891;5807;5753;5780;5801;5568;5432;5124;4483;4431;4319;4359;4177;4115;4006;3974;3854;3963
31;5932;5947;6088;5842;5894;5860;5770;5553;5163;4547;4470;4363;4390;4196;4110;4038;3961;3912
32;6193;5941;6137;6119;5901;5886;5990;5810;5543;5129;4554;4515;4432;4377;4228;4148;4050;3961
33;6113;6245;6126;6252;6195;5944;5981;6044;5746;5522;5103;4587;4581;4459;4400;4255;4181;4063
34;6367;6157;6410;6212;6305;6199;6009;6018;6022;5807;5511;5150;4632;4559;4475;4429;4308;4144
35;6528;6399;6356;6507;6301;6363;6299;6041;6055;6032;5817;5570;5178;4689;4561;4482;4412;4304
36;6635;6645;6587;6471;6613;6351;6536;6424;6058;6084;6070;5823;5602;5207;4659;4607;4470;4412
37;6865;6670;6796;6720;6526;6694;6538;6630;6462;6166;6120;6121;5863;5590;5213;4648;4595;4492
38;6394;6873;6853;6888;6800;6552;6814;6646;6685;6525;6172;6135;6126;5873;5614;5176;4646;4600
39;6187;6422;7067;6917;6922;6838;6712;6893;6655;6747;6545;6195;6178;6150;5884;5636;5189;4669
40;6221;6215;6548;7143;6971;6943;7009;6780;6959;6691;6776;6573;6261;6181;6115;5885;5634;5198
41;5918;6260;6348;6596;7199;7031;7031;7107;6809;7027;6712;6810;6581;6278;6174;6103;5894;5617
42;5770;5949;6369;6403;6649;7222;7128;7125;7171;6871;7042;6729;6823;6567;6262;6177;6116;5905
43;5806;5782;6025;6452;6457;6685;7354;7233;7164;7214;6881;7056;6751;6833;6578;6245;6179;6111
44;5802;5813;5883;6081;6484;6472;6780;7433;7279;7183;7217;6901;7080;6749;6812;6602;6253;6202
45;5766;5817;5925;5955;6075;6513;6555;6882;7446;7344;7190;7235;6953;7102;6728;6812;6606;6250
46;5648;5791;5908;5987;5994;6096;6598;6607;6902;7476;7355;7191;7272;6988;7083;6719;6814;6587
47;5581;5659;5853;5977;6022;6031;6186;6657;6590;6913;7489;7369;7213;7261;6982;7072;6722;6796
48;5413;5612;5736;5912;6000;6041;6109;6248;6662;6631;6947;7503;7372;7219;7258;6968;7084;6680
49;5507;5431;5669;5766;5913;6033;6121;6177;6293;6699;6652;6966;7489;7369;7221;7221;6923;7101
50;5540;5533;5497;5697;5795;5952;6075;6173;6205;6305;6750;6696;6977;7460;7328;7203;7207;6919
51;5852;5565;5563;5506;5732;5785;5977;6103;6178;6221;6312;6742;6714;6984;7432;7296;7199;7201
52;5799;5855;5599;5578;5539;5746;5842;6014;6111;6198;6220;6332;6753;6698;6927;7400;7279;7198
53;6199;5810;5876;5629;5584;5556;5771;5883;6011;6127;6199;6221;6345;6728;6663;6916;7381;7252
54;6220;6245;5819;5884;5614;5588;5590;5810;5899;6042;6128;6189;6196;6345;6706;6634;6881;7375
55;6289;6253;6248;5844;5879;5609;5596;5590;5802;5898;6039;6140;6210;6174;6319;6667;6627;6876
56;4765;6279;6295;6277;5840;5839;5647;5634;5601;5797;5895;6028;6164;6185;6161;6292;6619;6600
57;5246;4751;6311;6299;6263;5864;5883;5648;5612;5603;5797;5887;5996;6167;6161;6145;6262;6617
