"Popolazione per età, vista per singola area - Provincia: Ancona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Ancona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3706;3953;3883;4140;4107;4210;4336;4662;4555;4396;4222;4141;3862;3795;3647;3446;3223;3097
1;3710;3769;4033;3924;4170;4129;4217;4351;4659;4560;4413;4236;4142;3872;3803;3651;3475;3244
2;3836;3798;3841;4087;3989;4201;4204;4272;4348;4644;4561;4447;4237;4142;3873;3779;3656;3492
3;3758;3880;3871;3869;4168;4035;4246;4230;4295;4364;4631;4558;4441;4223;4098;3870;3788;3657
4;3759;3837;3932;3919;3916;4209;4074;4271;4211;4288;4368;4626;4556;4420;4209;4069;3864;3771
5;3615;3826;3912;3962;3981;3950;4230;4113;4255;4235;4300;4384;4626;4540;4376;4161;4081;3871
6;3655;3684;3891;3943;4004;4006;4011;4297;4122;4264;4226;4318;4381;4588;4524;4356;4165;4082
7;3633;3707;3762;3919;3993;4032;4035;4073;4300;4132;4276;4236;4302;4374;4560;4528;4340;4150
8;3776;3673;3761;3791;3973;4035;4085;4090;4094;4305;4155;4289;4247;4278;4407;4531;4534;4330
9;3914;3848;3757;3796;3851;4004;4069;4141;4121;4124;4335;4177;4267;4242;4271;4404;4526;4530
10;3886;3975;3909;3813;3840;3892;4054;4148;4169;4155;4148;4348;4189;4277;4235;4263;4393;4546
11;4012;3931;4049;3955;3850;3890;3952;4115;4179;4186;4172;4172;4340;4189;4272;4223;4273;4400
12;3725;4063;3990;4086;4007;3897;3933;3993;4155;4218;4188;4205;4155;4341;4171;4265;4224;4267
13;3611;3777;4109;4035;4149;4052;3940;3999;4021;4199;4248;4215;4210;4149;4318;4169;4261;4239
14;3517;3680;3837;4177;4089;4171;4088;3986;4041;4063;4225;4246;4197;4205;4157;4305;4165;4268
15;3932;3550;3741;3882;4244;4124;4200;4137;4019;4090;4087;4228;4239;4199;4202;4154;4323;4170
16;3931;3949;3602;3776;3943;4274;4147;4258;4165;4058;4122;4120;4222;4252;4217;4176;4159;4324
17;4066;3957;3986;3643;3862;3978;4315;4209;4284;4202;4082;4139;4122;4221;4254;4211;4201;4182
18;4167;4087;4006;4041;3718;3922;4037;4392;4251;4362;4247;4132;4160;4138;4252;4264;4260;4245
19;4314;4172;4161;4066;4092;3802;3997;4128;4445;4321;4411;4314;4169;4177;4166;4295;4359;4304
20;4404;4383;4273;4227;4108;4124;3898;4112;4212;4526;4372;4461;4311;4164;4185;4202;4357;4411
21;4839;4460;4514;4319;4308;4168;4219;4060;4204;4292;4583;4435;4486;4314;4176;4230;4279;4396
22;5111;4891;4599;4604;4386;4392;4277;4365;4152;4318;4363;4628;4460;4511;4356;4205;4277;4307
23;5425;5175;5054;4715;4664;4477;4552;4435;4464;4248;4397;4435;4667;4451;4546;4360;4225;4319
24;5670;5517;5352;5183;4801;4723;4608;4758;4538;4524;4313;4473;4472;4669;4486;4571;4389;4280
25;5956;5758;5708;5484;5243;4886;4869;4775;4862;4619;4586;4393;4525;4457;4686;4476;4602;4399
26;6569;6047;5906;5865;5609;5316;5025;5021;4850;4935;4698;4689;4441;4514;4507;4716;4522;4600
27;6664;6681;6284;6130;5993;5691;5455;5199;5114;4908;5014;4782;4732;4457;4501;4526;4730;4545
