"Popolazione per età, vista per singola area - Provincia: Arezzo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Arezzo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2558;2667;2685;2935;2874;2929;3016;3068;3027;2970;2959;2893;2654;2694;2441;2476;2415;2221
1;2565;2615;2711;2725;2964;2893;2974;3068;3070;3023;3004;2956;2887;2648;2673;2451;2492;2409
2;2536;2616;2649;2742;2761;2967;2937;3014;3086;3076;3033;3017;2944;2886;2656;2647;2456;2521
3;2502;2572;2665;2683;2781;2783;3022;2977;3010;3099;3076;3047;3018;2950;2888;2649;2650;2464
4;2513;2576;2602;2719;2739;2820;2809;3063;3009;3031;3089;3097;3031;3024;2943;2870;2634;2649
5;2607;2568;2625;2639;2774;2761;2878;2857;3090;3005;3037;3099;3084;3024;3003;2939;2865;2630
6;2444;2667;2614;2660;2678;2802;2841;2944;2873;3128;3014;3043;3084;3075;3028;2988;2934;2866
7;2544;2484;2714;2655;2717;2702;2872;2907;2956;2907;3138;3023;3035;3073;3051;3018;2987;2934
8;2582;2593;2509;2755;2693;2742;2765;2919;2941;2993;2921;3145;3002;3022;3066;3039;2996;2960
9;2713;2641;2627;2562;2801;2724;2782;2821;2945;2977;2988;2927;3149;2993;3010;3069;3022;2989
10;2752;2763;2669;2658;2610;2824;2790;2843;2855;2972;2985;2992;2912;3136;2991;2999;3058;3032
11;2802;2787;2815;2728;2723;2629;2888;2835;2890;2880;2989;3016;2988;2880;3134;2988;2986;3073
12;2701;2858;2828;2846;2771;2756;2681;2930;2882;2910;2893;3000;3010;2992;2896;3126;2975;2996
13;2800;2724;2895;2851;2887;2808;2819;2726;2957;2896;2938;2907;2999;3007;2993;2896;3114;2999
14;2788;2820;2751;2912;2883;2928;2852;2880;2755;2988;2909;2936;2907;2990;2997;2985;2883;3133
15;2709;2818;2855;2784;2950;2906;2973;2895;2931;2776;3005;2915;2920;2891;2973;2982;2980;2894
16;2994;2717;2857;2891;2822;2974;2939;3010;2915;2958;2792;3030;2899;2926;2886;2958;2978;3003
17;2891;3023;2750;2889;2940;2857;3025;2978;3061;2960;2983;2819;3034;2912;2923;2896;2959;2999
18;2974;2926;3038;2807;2945;2995;2909;3096;3022;3096;2987;3021;2829;3052;2918;2969;2945;2985
19;3005;3024;3002;3104;2838;2997;3104;3021;3184;3073;3151;3018;3019;2865;3087;2941;3072;2988
20;3149;3050;3138;3068;3120;2879;3160;3191;3116;3242;3119;3188;3026;3034;2892;3113;3000;3096
21;3174;3180;3182;3194;3097;3163;3034;3309;3276;3157;3279;3174;3213;3046;3039;2920;3153;3054
22;3442;3230;3330;3297;3287;3136;3368;3203;3406;3388;3225;3322;3209;3252;3072;3088;2984;3177
23;3650;3496;3433;3418;3349;3376;3320;3512;3291;3507;3449;3256;3344;3234;3271;3131;3150;3024
24;3760;3751;3686;3528;3474;3396;3583;3491;3608;3347;3570;3497;3269;3382;3271;3279;3184;3170
25;4151;3855;3955;3826;3579;3517;3553;3716;3573;3645;3423;3618;3527;3309;3394;3276;3317;3202
26;4371;4235;4032;4086;3916;3629;3728;3676;3759;3661;3679;3448;3637;3554;3330;3431;3299;3359
27;4464;4490;4450;4179;4163;3974;3866;3840;3738;3795;3699;3722;3502;3667;3554;3359;3471;3316
28;4698;4576;4720;4596;4300;4230;4146;4018;3863;3833;3845;3740;3736;3532;3657;3567;3395;3501
29;4857;4789;4817;4856;4706;4373;4424;4327;4084;3891;3853;3876;3735;3761;3515;3684;3589;3431
30;4891;4936;4981;4954;4971;4775;4573;4562;4351;4149;3972;3866;3851;3746;3753;3523;3706;3633
31;4786;4970;5098;5112;5067;4983;4989;4688;4603;4363;4142;3997;3828;3808;3695;3766;3544;3712
32;4971;4828;5071;5165;5141;5099;5123;5087;4683;4612;4306;4150;3997;3833;3780;3747;3770;3567
33;4837;5044;4917;5165;5218;5175;5209;5194;5053;4684;4557;4347;4159;3979;3831;3789;3748;3785
34;4986;4907;5151;5019;5200;5229;5296;5311;5191;5032;4630;4598;4333;4148;3958;3839;3772;3747
35;5187;5052;5027;5205;5063;5232;5335;5349;5309;5177;5010;4640;4594;4318;4163;3946;3857;3786
36;5271;5282;5167;5110;5266;5111;5322;5405;5392;5314;5155;5023;4640;4621;4297;4146;3949;3883
37;5259;5330;5363;5221;5179;5327;5251;5395;5414;5422;5307;5158;5029;4625;4583;4292;4131;3979
38;4913;5305;5419;5410;5262;5201;5472;5339;5423;5441;5423;5309;5172;4988;4614;4572;4284;4142
39;4818;4948;5383;5445;5446;5303;5328;5547;5371;5436;5432;5442;5291;5180;4958;4604;4550;4291
40;4808;4865;5040;5427;5497;5504;5451;5416;5576;5400;5480;5459;5444;5303;5170;4956;4638;4522
41;4700;4837;4939;5061;5445;5516;5573;5545;5439;5618;5395;5480;5469;5437;5287;5162;4950;4672
