"Popolazione per età, vista per singola area - Provincia: Ascoli Piceno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Ascoli Piceno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1573;1632;1641;1738;1643;1748;1699;1833;1759;1719;1669;1656;1623;1648;1494;1491;1363;1305
1;1755;1587;1642;1666;1752;1658;1759;1718;1829;1749;1700;1670;1640;1625;1646;1494;1498;1367
2;1725;1787;1606;1647;1671;1764;1687;1758;1732;1820;1741;1700;1670;1631;1637;1638;1501;1494
3;1825;1737;1818;1621;1659;1685;1784;1710;1753;1758;1822;1761;1699;1681;1621;1637;1636;1501
4;1709;1861;1758;1823;1636;1699;1731;1807;1725;1767;1753;1821;1766;1723;1671;1617;1636;1639
5;1765;1724;1882;1769;1836;1664;1725;1741;1821;1738;1770;1761;1812;1771;1701;1678;1616;1625
6;1808;1772;1748;1895;1786;1863;1699;1735;1741;1829;1746;1770;1766;1816;1763;1712;1672;1621
7;1767;1820;1795;1769;1909;1811;1900;1722;1738;1738;1841;1760;1776;1768;1820;1756;1722;1665
8;1891;1782;1840;1795;1788;1925;1831;1909;1746;1736;1745;1854;1755;1771;1761;1818;1739;1726
9;1924;1910;1819;1869;1821;1808;1946;1846;1927;1740;1746;1767;1868;1752;1777;1750;1815;1731
10;2001;1946;1921;1837;1881;1847;1821;1969;1855;1931;1746;1750;1772;1861;1760;1781;1746;1832
11;1979;2010;1962;1940;1856;1912;1862;1848;1999;1865;1933;1759;1730;1762;1857;1764;1784;1748
12;1984;2001;2019;1980;1975;1878;1925;1884;1856;2009;1887;1946;1766;1734;1768;1860;1758;1773
13;2006;1989;2014;2042;2008;1986;1900;1938;1896;1864;2019;1896;1945;1769;1726;1774;1871;1749
14;1914;2034;1998;2026;2057;2032;2003;1915;1943;1896;1869;2021;1905;1951;1769;1723;1771;1869
15;1983;1923;2055;2006;2042;2063;2066;2029;1933;1957;1900;1877;2022;1912;1949;1766;1736;1770
16;2064;1992;1936;2058;2025;2060;2077;2073;2044;1957;1962;1899;1879;2019;1914;1958;1782;1739
17;2057;2064;2007;1952;2086;2017;2076;2103;2096;2058;1964;1962;1902;1880;2027;1923;1964;1788
18;2143;2065;2077;2028;1984;2107;2056;2119;2116;2111;2084;1985;1971;1907;1898;2053;1943;1972
19;2122;2153;2098;2082;2048;2009;2138;2095;2142;2130;2118;2096;1988;1988;1929;1920;2086;1963
20;2229;2125;2198;2126;2113;2056;2069;2169;2118;2151;2143;2123;2100;1983;1992;1962;1935;2112
21;2313;2238;2145;2221;2144;2111;2096;2103;2198;2130;2173;2160;2130;2098;1986;2009;1981;1944
22;2357;2332;2267;2184;2237;2168;2170;2152;2139;2221;2151;2199;2181;2138;2104;2007;2020;1985
23;2435;2368;2358;2293;2203;2245;2224;2215;2186;2156;2250;2184;2201;2183;2139;2133;2042;2026
24;2462;2462;2400;2405;2316;2223;2307;2287;2251;2190;2160;2289;2192;2188;2170;2149;2138;2050
25;2519;2513;2533;2445;2417;2323;2304;2359;2318;2278;2205;2189;2307;2179;2194;2188;2163;2132
26;2741;2558;2605;2584;2479;2409;2395;2360;2372;2324;2270;2249;2213;2316;2201;2214;2183;2148
27;2807;2780;2623;2673;2604;2498;2469;2434;2367;2356;2306;2304;2256;2216;2295;2220;2206;2185
28;2852;2873;2861;2677;2684;2633;2568;2535;2449;2375;2348;2323;2313;2232;2196;2295;2216;2191
29;3011;2897;2964;2902;2701;2701;2675;2612;2554;2441;2379;2342;2315;2293;2189;2210;2291;2217
30;2948;3058;2965;3021;2918;2757;2747;2727;2625;2514;2439;2368;2330;2295;2280;2161;2185;2296
31;3029;2976;3108;2983;3040;2903;2805;2765;2707;2611;2492;2440;2373;2346;2302;2246;2169;2160
32;3161;3082;2999;3153;2977;3041;2931;2817;2760;2704;2589;2513;2413;2389;2360;2274;2228;2181
33;3135;3173;3103;3046;3160;2977;3053;2946;2787;2729;2657;2593;2494;2394;2363;2349;2273;2254
34;3093;3172;3223;3128;3071;3175;2990;3046;2952;2775;2714;2690;2587;2493;2392;2367;2356;2272
35;3133;3124;3201;3254;3155;3073;3188;3030;3049;2959;2770;2708;2719;2575;2475;2398;2355;2343
36;3286;3181;3172;3241;3269;3163;3126;3223;3027;3065;2950;2756;2704;2730;2573;2470;2396;2350
37;3403;3323;3193;3215;3279;3289;3201;3137;3242;3032;3079;2948;2771;2699;2701;2590;2475;2368
38;3204;3427;3364;3241;3254;3313;3310;3230;3146;3254;3031;3113;2952;2782;2697;2733;2565;2463
39;3011;3230;3449;3381;3268;3280;3366;3313;3240;3123;3258;3037;3120;2951;2780;2708;2723;2564
40;3005;3034;3239;3483;3399;3275;3333;3393;3332;3217;3128;3271;3025;3119;2949;2781;2708;2723
41;2996;3008;3058;3259;3501;3400;3290;3364;3405;3330;3206;3152;3291;3032;3121;2954;2785;2720
42;2864;3005;3038;3090;3290;3518;3437;3302;3355;3421;3342;3220;3161;3270;3045;3111;2922;2781
43;2882;2884;3021;3061;3113;3289;3546;3464;3319;3354;3413;3344;3225;3178;3263;3053;3102;2932
44;2800;2905;2927;3026;3073;3112;3313;3560;3464;3308;3333;3441;3352;3235;3168;3249;3046;3098
45;2830;2803;2941;2940;3048;3082;3141;3331;3569;3457;3278;3352;3431;3338;3216;3171;3253;3041
46;2748;2835;2816;2938;2953;3054;3110;3161;3359;3586;3457;3293;3361;3420;3338;3208;3192;3261
47;2608;2776;2869;2846;2964;2961;3075;3115;3170;3369;3582;3462;3286;3353;3405;3338;3225;3192
48;2640;2623;2795;2887;2853;2978;2984;3080;3106;3167;3380;3590;3466;3279;3334;3409;3329;3213
49;2664;2660;2648;2796;2899;2861;3016;3010;3087;3129;3150;3383;3600;3469;3270;3336;3405;3313
50;2613;2662;2666;2658;2799;2883;2888;3021;3010;3084;3131;3153;3378;3586;3458;3263;3317;3395
51;2677;2628;2671;2677;2654;2791;2899;2900;3013;3026;3092;3121;3156;3393;3583;3450;3252;3309
52;2648;2675;2639;2678;2673;2647;2813;2914;2915;3013;3025;3100;3132;3140;3377;3575;3457;3249
53;2731;2651;2691;2630;2669;2663;2667;2824;2919;2910;3016;3032;3102;3125;3142;3369;3579;3450
54;2664;2730;2667;2690;2627;2678;2673;2674;2827;2927;2897;3010;3032;3098;3128;3138;3348;3587
55;2571;2668;2744;2665;2698;2616;2669;2678;2674;2836;2918;2896;3009;3028;3090;3115;3126;3336
56;2233;2575;2667;2748;2661;2693;2609;2676;2676;2695;2830;2917;2898;3003;3016;3081;3107;3112
57;2027;2229;2576;2678;2762;2654;2685;2608;2671;2687;2682;2821;2919;2895;2982;2990;3089;3102
58;2321;2031;2235;2581;2673;2758;2647;2682;2601;2661;2677;2678;2825;2901;2890;2975;2979;3082
59;2299;2326;2037;2232;2588;2683;2753;2638;2681;2602;2657;2661;2680;2806;2892;2880;2966;2967
60;2275;2297;2326;2026;2227;2584;2672;2755;2638;2697;2592;2653;2658;2684;2803;2887;2871;2957
61;2684;2266;2297;2322;2032;2221;2581;2664;2747;2631;2688;2592;2643;2653;2672;2799;2877;2864
62;2710;2675;2262;2280;2319;2033;2216;2570;2653;2743;2612;2690;2573;2627;2638;2657;2782;2863
63;2718;2702;2668;2265;2272;2323;2031;2211;2572;2668;2734;2596;2667;2564;2609;2631;2638;2760
64;2493;2713;2687;2664;2271;2258;2319;2022;2185;2545;2657;2724;2572;2644;2550;2590;2618;2617
65;2392;2479;2706;2676;2645;2248;2248;2311;2021;2170;2537;2644;2721;2569;2632;2537;2572;2601
66;2448;2376;2469;2703;2662;2625;2235;2230;2293;2009;2172;2529;2641;2695;2560;2612;2529;2559
67;2337;2421;2349;2453;2694;2639;2622;2220;2209;2267;1996;2163;2505;2617;2676;2547;2594;2502
68;2423;2324;2397;2323;2442;2670;2623;2607;2197;2202;2246;1972;2142;2488;2596;2658;2527;2580
69;2087;2395;2298;2370;2307;2429;2629;2600;2597;2184;2192;2234;1952;2126;2472;2566;2632;2504
70;2317;2063;2361;2286;2345;2292;2408;2606;2573;2581;2165;2171;2208;1938;2113;2440;2543;2602
71;2398;2282;2035;2322;2265;2326;2265;2381;2578;2542;2549;2145;2144;2192;1925;2094;2411;2502
72;2177;2361;2245;2017;2292;2238;2308;2224;2356;2540;2505;2532;2124;2115;2164;1886;2069;2378
73;2265;2136;2325;2204;1976;2249;2211;2275;2192;2310;2499;2470;2490;2095;2097;2126;1866;2030
74;2132;2216;2101;2287;2166;1952;2220;2172;2241;2148;2274;2470;2426;2454;2065;2053;2100;1829
75;1946;2088;2164;2053;2237;2120;1911;2184;2127;2196;2119;2241;2437;2390;2408;2022;2020;2063
76;2030;1909;2048;2124;2008;2188;2082;1860;2146;2087;2143;2083;2210;2394;2335;2376;1983;1977
77;1927;1986;1856;1975;2068;1951;2135;2028;1822;2102;2034;2092;2041;2151;2327;2270;2301;1939
78;1782;1878;1922;1812;1924;2004;1884;2065;1972;1770;2048;1993;2040;1989;2101;2275;2205;2224
79;1702;1710;1784;1861;1743;1855;1921;1824;1999;1901;1723;1966;1921;1972;1923;2037;2211;2152
80;1581;1634;1642;1692;1779;1688;1776;1839;1759;1925;1829;1648;1898;1842;1912;1855;1960;2125
81;1475;1506;1548;1569;1612;1695;1622;1693;1779;1667;1828;1761;1587;1826;1752;1842;1750;1869
82;958;1382;1416;1456;1480;1524;1608;1542;1629;1681;1573;1754;1691;1508;1755;1672;1741;1684
83;647;901;1282;1327;1384;1382;1433;1491;1438;1529;1592;1489;1658;1600;1451;1691;1598;1652
84;625;602;848;1183;1218;1292;1295;1341;1396;1351;1405;1502;1410;1563;1489;1356;1597;1492
85;696;584;559;793;1096;1123;1190;1186;1243;1311;1240;1298;1400;1309;1438;1386;1231;1483
86;774;625;539;502;698;978;1029;1079;1096;1130;1202;1138;1188;1285;1195;1318;1275;1147
87;639;690;564;500;446;624;882;946;946;992;1037;1100;1052;1099;1139;1078;1172;1147
88;532;571;599;508;447;377;545;772;813;853;880;913;987;936;975;1007;970;1058
89;529;449;470;525;447;401;325;480;678;722;754;765;786;865;841;847;847;857
90;389;433;385;385;458;383;354;275;416;589;621;651;650;695;746;737;729;731
91;348;325;353;312;339;386;320;290;233;367;489;527;552;556;572;643;638;624
92;240;264;262;295;253;291;315;259;240;192;307;406;451;455;445;463;538;526
93;181;189;204;218;237;204;243;249;203;200;147;256;345;380;354;370;373;444
94;108;125;137;168;161;191;172;182;195;162;160;114;207;275;285;282;296;292
95;67;87;98;101;127;131;154;137;130;158;127;123;90;166;207;223;213;233
96;58;53;58;67;85;94;90;125;123;102;126;98;90;66;110;163;168;160
97;36;43;38;43;49;59;63;60;95;106;80;100;69;70;44;82;112;123
98;18;20;27;26;31;34;36;43;39;68;82;58;72;45;53;26;60;83
99;17;15;14;20;23;25;28;20;31;31;50;56;41;47;29;36;23;41
100 e oltre;14;14;20;26;24;29;24;30;35;42;52;64;80;75;68;58;62;54
Totale;203120;204178;205675;207018;207938;208586;210252;211455;211926;212010;211639;211917;211674;211137;210070;209440;208428;207309
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;828;867;869;883;824;931;885;944;901;877;859;837;830;876;739;791;675;661
1;922;839;875;876;895;828;929;896;944;897;862;856;828;832;869;744;794;676
2;888;936;846;885;880;895;852;932;899;946;886;862;855;825;842;861;742;791
3;951;885;948;850;887;887;909;867;935;912;949;903;864;862;821;840;857;742
4;872;968;897;955;858;912;903;924;866;936;906;949;905;882;861;823;832;851
5;930;880;977;904;962;872;931;915;931;872;938;911;943;907;871;865;816;824
6;961;936;892;990;909;975;893;937;919;935;881;931;917;955;901;872;866;815
7;897;974;950;908;996;923;992;901;935;916;945;889;930;923;953;898;882;849
8;982;903;980;950;917;1005;933;1000;915;936;924;951;888;927;921;948;889;878
9;1009;991;918;991;968;929;1019;940;1017;912;939;937;956;884;937;917;940;884
10;1034;1009;999;929;999;983;927;1029;941;1017;918;940;944;949;887;939;920;952
11;1048;1037;1017;1010;938;1014;987;946;1045;949;1023;923;931;937;949;890;940;924
12;1028;1058;1042;1017;1027;949;1016;997;950;1055;959;1032;929;936;940;947;885;929
13;1028;1030;1061;1056;1033;1038;962;1028;1007;947;1059;962;1030;929;932;947;952;874
14;1043;1043;1035;1065;1064;1049;1046;976;1030;1005;949;1056;966;1029;932;923;942;955
15;1059;1054;1050;1041;1074;1066;1067;1065;986;1036;1008;952;1054;973;1030;932;931;942
16;1048;1066;1067;1053;1051;1089;1074;1066;1070;1000;1037;1001;951;1050;979;1037;938;934
17;1086;1047;1076;1076;1062;1043;1100;1097;1079;1074;1006;1033;1004;952;1057;983;1036;948
18;1101;1093;1056;1078;1090;1073;1066;1125;1111;1088;1084;1018;1038;1006;959;1083;998;1050
