"Popolazione per età, vista per singola area - Provincia: Asti"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Asti"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1590;1742;1703;1767;1826;1833;1847;1896;1931;1809;1800;1829;1767;1654;1575;1563;1536;1338
1;1647;1609;1766;1726;1806;1845;1845;1869;1905;1921;1809;1824;1855;1766;1658;1577;1577;1537
2;1654;1687;1642;1765;1748;1831;1865;1856;1880;1912;1935;1814;1834;1856;1758;1640;1586;1564
3;1669;1686;1702;1690;1820;1780;1863;1892;1885;1909;1926;1950;1825;1811;1837;1756;1641;1586
4;1581;1688;1724;1707;1741;1844;1803;1905;1906;1900;1919;1931;1941;1806;1813;1806;1736;1639
5;1590;1613;1719;1754;1758;1749;1886;1843;1894;1916;1908;1951;1944;1929;1799;1801;1794;1720
6;1610;1603;1634;1750;1785;1775;1804;1920;1862;1909;1920;1944;1971;1922;1903;1795;1782;1775
7;1593;1648;1628;1653;1769;1810;1828;1835;1927;1875;1915;1946;1931;1949;1904;1887;1762;1773
8;1579;1616;1676;1661;1693;1783;1848;1857;1844;1928;1895;1913;1929;1926;1932;1913;1869;1748
9;1614;1584;1633;1711;1694;1716;1819;1873;1873;1849;1924;1909;1906;1930;1900;1913;1895;1867
10;1562;1630;1627;1655;1740;1701;1732;1869;1887;1897;1869;1949;1909;1898;1929;1893;1903;1880
11;1719;1565;1646;1661;1678;1755;1760;1777;1894;1896;1918;1886;1962;1892;1869;1923;1866;1895
12;1525;1718;1598;1667;1671;1691;1779;1798;1788;1915;1907;1923;1879;1962;1886;1880;1911;1872
13;1703;1534;1739;1620;1687;1690;1731;1821;1809;1798;1931;1940;1920;1873;1936;1873;1882;1909
14;1490;1705;1559;1759;1641;1703;1743;1768;1850;1806;1801;1943;1930;1911;1857;1940;1862;1882
15;1545;1507;1722;1584;1790;1663;1729;1778;1786;1867;1825;1809;1955;1911;1901;1859;1922;1863
16;1659;1548;1532;1742;1604;1805;1692;1755;1795;1799;1870;1827;1813;1939;1910;1898;1854;1918
17;1688;1672;1559;1537;1769;1624;1850;1720;1798;1818;1812;1892;1827;1806;1947;1905;1881;1857
18;1703;1703;1700;1603;1590;1804;1686;1887;1773;1816;1821;1830;1885;1824;1794;1959;1929;1893
19;1735;1708;1742;1743;1659;1643;1864;1737;1938;1792;1830;1855;1845;1883;1841;1835;2046;1972
20;1819;1758;1774;1764;1769;1678;1729;1930;1805;1960;1812;1839;1873;1841;1887;1863;1883;2048
21;1877;1846;1852;1806;1787;1807;1779;1802;1988;1865;1995;1833;1858;1861;1853;1937;1905;1928
22;1996;1913;1956;1896;1844;1839;1933;1839;1845;2034;1907;2040;1865;1853;1880;1889;1968;1910
23;2107;2020;2007;1980;1933;1897;1964;2020;1895;1890;2065;1953;2055;1882;1881;1955;1921;2002
