"Popolazione per età, vista per singola area - Provincia: Avellino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Avellino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3849;3916;3951;3987;3752;3750;3759;3789;3665;3599;3388;3320;3256;3103;3049;3106;3079;2818
1;3965;3864;3921;3967;4011;3764;3773;3774;3776;3674;3620;3379;3302;3220;3079;3031;3072;3068
2;4184;3968;3897;3957;3995;4036;3782;3784;3750;3774;3677;3599;3378;3294;3182;3070;3000;3048
3;4107;4208;4001;3926;3967;4002;4058;3767;3776;3759;3768;3675;3569;3355;3291;3176;3064;2977
4;4138;4139;4263;4022;3958;3983;4059;4060;3796;3814;3784;3761;3670;3571;3338;3290;3195;3028
5;4366;4151;4168;4319;4069;3994;4031;4085;4053;3826;3815;3779;3746;3656;3551;3319;3268;3201
6;4350;4392;4208;4210;4314;4085;4015;4072;4079;4073;3822;3814;3768;3743;3634;3540;3296;3266
7;4403;4356;4422;4238;4223;4310;4124;4033;4069;4095;4075;3814;3798;3774;3724;3632;3525;3279
8;4846;4432;4402;4448;4272;4269;4341;4185;4056;4065;4115;4070;3787;3795;3745;3705;3622;3507
9;5188;4878;4470;4427;4476;4304;4302;4358;4206;4073;4073;4100;4050;3774;3776;3714;3691;3621
10;5075;5211;4907;4504;4446;4486;4348;4326;4358;4235;4085;4059;4076;4055;3765;3749;3706;3696
11;5312;5098;5245;4922;4533;4484;4525;4396;4346;4367;4257;4083;4055;4063;4039;3758;3739;3693
12;5261;5330;5137;5260;4945;4543;4526;4554;4407;4403;4387;4252;4075;4058;4056;4010;3742;3725
13;5386;5292;5349;5157;5291;4979;4575;4552;4555;4431;4429;4383;4225;4061;4037;4050;4000;3741
14;5178;5415;5320;5371;5179;5310;4987;4606;4561;4587;4445;4408;4359;4234;4068;4025;4046;3985
15;5311;5217;5431;5352;5395;5192;5323;5006;4627;4578;4607;4427;4381;4348;4217;4051;4022;4056
16;5601;5328;5257;5462;5357;5418;5198;5346;5011;4661;4586;4591;4412;4391;4334;4212;4067;4029
17;5453;5643;5337;5298;5478;5366;5431;5221;5361;5024;4666;4580;4585;4418;4382;4330;4209;4081
18;5592;5462;5661;5370;5332;5492;5398;5428;5249;5378;5058;4661;4574;4593;4435;4459;4400;4216
19;5757;5593;5479;5654;5367;5355;5515;5423;5441;5286;5396;5048;4657;4589;4587;4498;4666;4422
20;5675;5734;5590;5479;5653;5350;5404;5561;5422;5435;5321;5381;5015;4646;4598;4636;4596;4599
21;5525;5659;5736;5587;5474;5638;5374;5431;5584;5461;5445;5304;5367;5009;4643;4656;4698;4569
22;5684;5521;5694;5728;5575;5486;5674;5422;5445;5608;5496;5420;5270;5371;5006;4683;4700;4682
