"Popolazione per età, vista per singola area - Provincia: Bari"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Bari"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12454;12395;12456;12451;11924;11612;11576;11556;11356;11413;11241;10823;10437;10268;9931;9821;9636;9184
1;12585;12460;12404;12458;12429;11910;11601;11577;11542;11388;11424;11208;10774;10380;10277;9910;9779;9616
2;12751;12654;12507;12406;12440;12398;11912;11638;11604;11568;11389;11408;11195;10750;10389;10250;9907;9778
3;12578;12747;12726;12570;12398;12419;12394;11914;11735;11632;11549;11379;11406;11177;10743;10335;10211;9872
4;12626;12581;12789;12804;12612;12379;12429;12402;11958;11795;11672;11545;11380;11415;11174;10713;10316;10202
5;13114;12666;12613;12840;12866;12643;12374;12447;12418;11966;11825;11667;11522;11367;11444;11162;10695;10269
6;13071;13137;12740;12696;12870;12927;12683;12357;12473;12452;11990;11824;11673;11549;11365;11421;11176;10682
7;13071;13081;13203;12811;12726;12909;12991;12750;12393;12509;12446;11984;11820;11668;11548;11347;11391;11163
8;13565;13129;13116;13280;12838;12775;12950;13031;12814;12432;12545;12450;11976;11814;11633;11540;11345;11384
9;14248;13579;13199;13168;13316;12904;12829;12990;13097;12903;12446;12537;12465;11984;11827;11612;11529;11344
10;14525;14294;13646;13287;13227;13366;12973;12888;13030;13174;12934;12437;12533;12427;11974;11802;11630;11526
11;14494;14549;14318;13740;13364;13272;13423;13031;12941;13095;13221;12932;12449;12514;12432;11979;11798;11616
12;14393;14512;14569;14391;13783;13423;13287;13481;13090;12995;13128;13211;12929;12452;12521;12390;11986;11795
13;15103;14407;14548;14635;14455;13845;13478;13361;13539;13175;13055;13113;13203;12915;12432;12510;12358;11984
14;14543;15122;14421;14569;14660;14489;13898;13535;13426;13598;13213;13021;13107;13212;12905;12415;12525;12330
15;14756;14592;15167;14467;14595;14701;14540;13957;13572;13480;13646;13197;13045;13099;13197;12867;12401;12521
16;14768;14775;14632;15225;14514;14620;14762;14618;14026;13647;13537;13639;13188;13038;13117;13174;12862;12382
17;15538;14801;14800;14704;15264;14565;14672;14800;14667;14113;13705;13537;13630;13171;13050;13099;13196;12860
18;15897;15595;14842;14852;14792;15347;14658;14753;14893;14805;14237;13713;13587;13650;13215;13095;13145;13245
19;16698;15876;15636;14877;14823;14825;15422;14743;14845;14988;14879;14286;13712;13621;13693;13274;13193;13171
20;16785;16664;15859;15664;14869;14822;14863;15468;14790;14909;15033;14905;14280;13712;13639;13710;13306;13167
21;17029;16686;16694;15820;15630;14835;14870;14925;15547;14876;14939;15047;14907;14228;13730;13609;13755;13295
22;17458;16916;16665;16696;15778;15577;14881;14861;14999;15640;14907;14954;15032;14894;14216;13669;13639;13686
23;18041;17316;16914;16595;16596;15669;15594;14855;14906;15113;15649;14896;14931;14965;14866;14164;13645;13557
24;18447;17936;17279;16893;16495;16448;15705;15550;14834;14930;15148;15592;14820;14867;14900;14764;14091;13515
25;19031;18312;17896;17176;16739;16349;16370;15681;15517;14882;14912;15099;15489;14772;14772;14788;14605;13941
26;19774;18948;18293;17841;17083;16594;16295;16267;15627;15529;14870;14834;15012;15403;14692;14625;14608;14447
27;19927;19663;18946;18187;17730;16930;16458;16126;16132;15648;15462;14714;14678;14864;15280;14508;14458;14418
28;19256;19826;19640;18901;18092;17605;16833;16355;15978;16124;15535;15301;14595;14542;14725;15202;14331;14209
29;18893;19228;19830;19570;18821;17985;17565;16757;16291;15953;16013;15349;15153;14423;14424;14585;14996;14095
30;19269;18777;19274;19788;19437;18700;17942;17424;16643;16206;15828;15814;15234;14993;14344;14239;14438;14803
31;19046;19163;18762;19286;19690;19272;18643;17847;17359;16626;16081;15666;15722;15093;14875;14257;14145;14268
32;19095;18966;19159;18777;19169;19646;19290;18535;17848;17382;16537;15963;15624;15580;14992;14810;14160;14013
33;19202;19013;18982;19206;18695;19157;19695;19222;18561;17831;17290;16444;15926;15533;15484;14869;14734;14028
34;19341;19210;19076;19061;19150;18715;19228;19658;19285;18605;17832;17224;16406;15868;15482;15405;14778;14663
35;19933;19341;19276;19181;19061;19103;18767;19205;19729;19281;18563;17733;17220;16354;15790;15380;15335;14681
36;20132;19936;19437;19391;19195;19078;19101;18737;19222;19819;19274;18495;17724;17123;16359;15701;15332;15264
37;20015;20107;20032;19546;19386;19197;19105;19097;18780;19286;19815;19225;18524;17644;17122;16297;15664;15297
38;18658;20057;20134;20114;19605;19393;19239;19148;19098;18898;19317;19741;19244;18465;17586;17069;16316;15638
39;18331;18657;20119;20204;20108;19650;19496;19291;19143;19198;18884;19295;19732;19214;18425;17535;17015;16257
40;18437;18380;18720;20257;20223;20133;19722;19560;19332;19216;19230;18906;19269;19686;19196;18379;17528;16985
41;17777;18436;18427;18786;20334;20232;20169;19805;19621;19462;19258;19198;18920;19239;19647;19127;18365;17527
42;17425;17732;18464;18498;18805;20349;20294;20225;19913;19695;19496;19256;19171;18922;19182;19573;19091;18339
43;16545;17417;17756;18483;18519;18824;20390;20348;20273;20064;19726;19495;19245;19138;18882;19093;19588;19065
44;16736;16525;17473;17799;18484;18540;18887;20457;20406;20389;20094;19709;19496;19221;19112;18823;19085;19530
45;16428;16746;16577;17551;17796;18490;18566;18932;20537;20547;20398;20076;19656;19442;19189;19066;18767;19057
46;15998;16426;16804;16639;17567;17823;18533;18587;18997;20668;20563;20364;20040;19619;19432;19113;19058;18717
47;16063;15986;16437;16856;16634;17584;17873;18543;18627;19084;20705;20531;20343;19970;19572;19372;19074;18995
48;15195;16026;16012;16496;16867;16630;17655;17912;18577;18718;19112;20663;20506;20338;19912;19528;19311;19034
49;15133;15187;16028;16019;16497;16896;16636;17697;17927;18641;18739;19032;20627;20507;20282;19818;19473;19280
50;15072;15097;15179;16035;16010;16487;16934;16653;17751;18004;18648;18713;18994;20553;20424;20211;19770;19417
51;16184;15043;15092;15205;16037;16010;16515;16960;16669;17792;17988;18605;18693;18953;20470;20342;20159;19732
52;15708;16139;15035;15084;15198;16033;16020;16539;17022;16723;17789;17958;18565;18651;18858;20374;20292;20116
53;16719;15675;16109;15028;15058;15190;16028;16012;16559;17096;16755;17744;17921;18512;18589;18801;20289;20210
54;15683;16713;15682;16118;15001;15043;15198;16048;15971;16575;17081;16721;17703;17902;18449;18525;18729;20219
55;15604;15669;16692;15705;16093;14961;15021;15226;16058;15995;16570;17020;16661;17656;17823;18374;18442;18650
56;13838;15587;15674;16700;15692;16045;14952;15011;15218;16090;15992;16505;16928;16603;17573;17734;18287;18363
57;12044;13775;15569;15690;16686;15665;15966;14918;15001;15245;16053;15927;16448;16850;16505;17474;17656;18198
58;12050;12007;13727;15583;15683;16646;15629;15877;14873;14989;15208;15990;15851;16336;16747;16407;17387;17554
59;12598;12008;11983;13685;15573;15631;16599;15603;15824;14858;14934;15110;15925;15776;16248;16628;16298;17263
60;12083;12537;11991;11966;13665;15565;15584;16597;15590;15771;14833;14844;15046;15827;15650;16167;16541;16196
61;13218;12033;12491;11962;11937;13598;15535;15554;16546;15579;15730;14732;14741;14959;15744;15555;16043;16435
62;12440;13122;11980;12478;11919;11883;13515;15507;15518;16514;15494;15624;14624;14643;14852;15607;15439;15925
63;12163;12385;13035;11946;12436;11863;11831;13449;15441;15469;16452;15383;15505;14523;14502;14732;15493;15311
64;11985;12084;12313;12990;11900;12348;11787;11794;13372;15388;15389;16306;15279;15371;14391;14383;14614;15375
65;11233;11915;12007;12304;12922;11810;12279;11712;11760;13298;15297;15271;16158;15176;15250;14252;14239;14490
66;11511;11150;11839;11971;12233;12814;11729;12173;11629;11690;13188;15162;15114;16004;15020;15103;14129;14085
67;11370;11412;11048;11779;11899;12110;12704;11651;12087;11536;11588;13043;14969;14927;15826;14824;14938;13986
68;11275;11284;11318;10929;11664;11774;12011;12587;11545;11984;11414;11468;12906;14778;14741;15644;14672;14781
69;10787;11158;11129;11209;10797;11563;11641;11910;12455;11427;11832;11265;11309;12764;14569;14543;15454;14504
70;10972;10639;11000;11031;11078;10669;11432;11529;11736;12351;11287;11683;11052;11160;12601;14355;14340;15266
71;11168;10792;10490;10849;10867;10903;10512;11277;11393;11593;12203;11066;11496;10863;10970;12427;14132;14149
72;9648;10954;10563;10327;10686;10694;10715;10365;11115;11259;11435;12004;10831;11316;10669;10799;12194;13906
73;9475;9449;10707;10349;10111;10519;10502;10516;10165;10937;11073;11187;11762;10637;11120;10497;10597;11991
74;9298;9288;9235;10453;10132;9919;10320;10298;10291;9960;10734;10862;10944;11515;10422;10863;10294;10392
75;8696;9084;9063;9027;10213;9896;9664;10057;10057;10066;9770;10512;10590;10731;11247;10199;10616;10087
76;8157;8421;8812;8828;8818;9918;9637;9408;9795;9773;9825;9554;10233;10324;10472;10951;9962;10333
77;7420;7884;8128;8566;8538;8568;9593;9310;9115;9548;9491;9585;9294;9925;10014;10203;10604;9691
78;7436;7152;7580;7854;8294;8241;8262;9270;9028;8815;9252;9193;9286;8989;9645;9727;9851;10282
79;6911;7117;6863;7284;7521;7958;7936;7945;8904;8719;8514;8896;8866;8978;8674;9332;9391;9514
80;6060;6594;6809;6565;6936;7191;7604;7610;7605;8517;8352;8163;8555;8527;8599;8360;8971;9027
81;6322;5698;6218;6462;6230;6628;6819;7217;7244;7242;8079;7944;7837;8135;8153;8211;7992;8581
82;3551;5925;5365;5890;6101;5859;6231;6452;6842;6864;6841;7648;7519;7422;7696;7769;7772;7565
83;2792;3285;5479;5061;5500;5730;5451;5788;6021;6419;6445;6420;7205;7082;6977;7268;7331;7366
84;2750;2559;3043;5103;4686;5106;5273;5077;5381;5589;5947;6006;5995;6707;6576;6535;6789;6823
85;2805;2498;2291;2822;4647;4340;4669;4877;4637;4943;5164;5517;5590;5604;6190;6085;6011;6289
86;3291;2546;2227;2082;2545;4185;3960;4244;4379;4245;4508;4715;5031;5092;5113;5610;5566;5513
87;2708;2908;2285;2028;1878;2275;3729;3577;3815;3988;3828;4068;4287;4551;4568;4640;5085;5063
