"Popolazione per età, vista per singola area - Provincia: Barletta-Andria-Trani"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Barletta-Andria-Trani"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4460;4544;4420;4404;4159;4141;4124;3952;3933;3859;3644;3439;3312;3408;3120;3216;3100;2953
1;4689;4450;4547;4399;4383;4157;4143;4122;3938;3940;3858;3632;3449;3327;3383;3114;3231;3105
2;4706;4687;4453;4546;4377;4348;4178;4142;4112;3959;3950;3848;3633;3469;3331;3348;3090;3213
3;4454;4684;4688;4455;4534;4378;4353;4182;4157;4126;3986;3940;3865;3635;3476;3333;3322;3095
4;4615;4455;4704;4700;4438;4531;4381;4340;4184;4186;4135;3968;3926;3872;3641;3479;3343;3296
5;4550;4602;4454;4699;4687;4434;4540;4381;4336;4195;4189;4144;3967;3923;3856;3637;3479;3356
6;4520;4555;4622;4466;4685;4695;4447;4543;4370;4341;4185;4173;4127;3964;3908;3841;3626;3482
7;4807;4530;4566;4638;4465;4680;4705;4460;4551;4388;4351;4192;4173;4134;3954;3897;3840;3625
8;4648;4803;4535;4552;4651;4468;4685;4721;4477;4573;4393;4341;4187;4172;4122;3933;3892;3824
9;4936;4645;4825;4549;4563;4654;4463;4696;4732;4495;4582;4381;4334;4192;4164;4105;3929;3882
10;5118;4926;4646;4833;4563;4561;4675;4469;4710;4750;4507;4572;4372;4330;4182;4154;4090;3912
11;4998;5113;4942;4651;4837;4569;4569;4686;4472;4722;4757;4492;4557;4384;4316;4173;4139;4066
12;4935;4992;5119;4946;4654;4842;4581;4584;4707;4491;4729;4749;4481;4559;4379;4307;4149;4121
13;4940;4938;4998;5104;4945;4660;4855;4589;4593;4727;4505;4723;4735;4466;4549;4371;4311;4145
14;4867;4937;4948;4995;5108;4948;4672;4869;4611;4601;4730;4497;4709;4730;4462;4518;4347;4313
15;4972;4874;4942;4962;4998;5093;4961;4679;4873;4626;4597;4723;4484;4699;4724;4441;4513;4329
16;4804;4977;4889;4962;4973;4989;5095;4981;4692;4895;4647;4600;4713;4478;4692;4714;4431;4505
17;5071;4794;4971;4905;4963;4967;4992;5094;4987;4706;4896;4628;4596;4718;4475;4689;4692;4429
18;5137;5074;4783;4968;4906;4959;4985;4998;5098;5003;4712;4890;4616;4609;4719;4485;4736;4688
19;5341;5142;5080;4771;4951;4900;4974;4995;5013;5096;5025;4690;4893;4640;4623;4722;4540;4734
20;5378;5330;5137;5068;4762;4916;4932;4970;4998;5026;5097;5006;4680;4891;4625;4602;4712;4531
21;5523;5334;5331;5118;5058;4726;4949;4944;4972;5011;5023;5090;4982;4674;4880;4629;4597;4704
22;5752;5493;5327;5291;5105;5025;4764;4945;4945;4999;5005;5001;5088;4974;4666;4864;4602;4578
23;5897;5717;5489;5295;5247;5075;5037;4742;4949;4960;5007;5008;4979;5075;4949;4629;4815;4583
24;6048;5845;5680;5472;5247;5194;5072;5007;4737;4956;4954;5003;4980;4979;5050;4911;4584;4761
25;6102;6000;5841;5630;5411;5194;5202;5018;4981;4737;4918;4892;4960;4966;4939;4939;4861;4524
26;6204;6053;5978;5817;5583;5326;5164;5143;4994;4991;4690;4883;4851;4950;4890;4868;4830;4780
27;6533;6156;6046;5963;5765;5528;5321;5118;5104;4952;4946;4639;4825;4829;4868;4815;4773;4772
28;6192;6485;6150;6025;5929;5732;5517;5278;5059;5086;4916;4889;4587;4787;4779;4789;4700;4675
29;6316;6126;6500;6141;5951;5864;5724;5498;5227;5028;5023;4831;4829;4535;4738;4710;4684;4643
30;6471;6279;6119;6457;6068;5927;5875;5701;5447;5200;4998;4955;4794;4793;4464;4685;4616;4612
31;6390;6415;6304;6089;6403;6037;5918;5915;5682;5411;5151;4951;4920;4793;4732;4396;4629;4566
32;6492;6356;6444;6275;6077;6375;6069;5931;5892;5667;5376;5119;4923;4917;4765;4653;4345;4572
33;6273;6460;6355;6443;6242;6069;6398;6039;5919;5888;5610;5332;5085;4882;4881;4686;4596;4317
34;6297;6253;6496;6348;6431;6201;6086;6398;6028;5926;5874;5578;5308;5082;4847;4811;4631;4547
35;6450;6270;6292;6488;6327;6417;6213;6057;6374;6027;5906;5847;5538;5287;5068;4828;4752;4597
36;6187;6449;6278;6302;6472;6292;6438;6198;6048;6381;6022;5885;5847;5530;5248;5024;4783;4714
37;6423;6160;6456;6284;6299;6467;6298;6442;6183;6075;6394;5999;5872;5854;5512;5216;5008;4761
38;6020;6413;6169;6434;6264;6256;6488;6309;6427;6177;6085;6366;5982;5890;5818;5486;5189;4965
39;5890;6015;6430;6172;6430;6275;6298;6496;6312;6431;6170;6075;6343;5981;5852;5777;5457;5163
40;5691;5902;6031;6428;6173;6406;6309;6312;6475;6309;6429;6148;6056;6337;5958;5842;5734;5441
41;5360;5680;5907;6034;6429;6154;6423;6314;6330;6492;6312;6431;6133;6050;6322;5917;5819;5721
42;5326;5349;5688;5903;6016;6422;6158;6431;6343;6367;6478;6294;6395;6130;6042;6272;5872;5789
43;4910;5330;5362;5678;5888;5994;6440;6166;6441;6371;6380;6464;6296;6386;6098;6013;6248;5844
