"Popolazione per età, vista per singola area - Provincia: Benevento"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Benevento"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2568;2594;2551;2534;2485;2400;2496;2408;2388;2308;2250;2110;2188;2046;2029;2037;2028;1919
1;2727;2558;2587;2552;2549;2494;2379;2487;2377;2399;2292;2250;2106;2170;2037;2019;2032;2047
2;2734;2739;2580;2598;2557;2555;2496;2409;2488;2393;2399;2293;2236;2100;2148;2023;2023;2035
3;2738;2730;2763;2607;2606;2565;2546;2515;2413;2498;2395;2404;2288;2220;2095;2138;2020;2014
4;2765;2735;2726;2780;2621;2620;2569;2557;2525;2421;2504;2405;2413;2280;2229;2103;2141;2020
5;2849;2779;2756;2728;2794;2619;2635;2602;2570;2535;2421;2487;2383;2402;2278;2229;2102;2138
6;2935;2885;2799;2752;2753;2809;2648;2673;2615;2601;2545;2423;2496;2369;2397;2278;2238;2100
7;3087;2945;2883;2806;2773;2753;2842;2678;2692;2616;2604;2537;2429;2496;2362;2382;2285;2245
8;3160;3104;2956;2891;2813;2787;2772;2859;2681;2691;2622;2601;2535;2428;2487;2363;2383;2275
9;3346;3183;3098;2969;2906;2820;2807;2784;2879;2693;2701;2634;2602;2534;2428;2474;2369;2393
10;3437;3357;3191;3123;2991;2923;2860;2827;2789;2884;2702;2688;2635;2591;2522;2419;2468;2361
11;3533;3439;3361;3209;3144;2999;2950;2890;2857;2783;2897;2714;2699;2631;2581;2519;2418;2469
12;3393;3533;3454;3391;3234;3148;3019;2981;2901;2871;2788;2897;2712;2692;2612;2578;2510;2427
13;3531;3395;3541;3464;3418;3227;3178;3026;2994;2900;2871;2788;2901;2703;2697;2607;2576;2506
14;3378;3542;3410;3554;3470;3438;3233;3191;3031;2998;2922;2857;2791;2896;2687;2697;2598;2584
15;3413;3385;3544;3416;3566;3481;3448;3250;3216;3039;3008;2914;2846;2777;2884;2687;2696;2584
16;3500;3421;3399;3562;3412;3567;3510;3460;3271;3225;3040;3003;2899;2846;2776;2873;2691;2706
17;3642;3508;3419;3434;3569;3427;3579;3524;3472;3267;3234;3042;3002;2887;2851;2786;2894;2690
18;3614;3641;3512;3410;3439;3589;3437;3587;3531;3486;3279;3250;3055;3005;2897;2883;2860;2939
19;3760;3613;3643;3511;3424;3449;3601;3461;3600;3544;3492;3272;3258;3037;3030;3010;3104;2910
20;3793;3751;3613;3639;3522;3419;3467;3620;3485;3594;3541;3483;3273;3255;3056;3120;3147;3116
21;3750;3753;3751;3611;3625;3533;3434;3492;3639;3505;3597;3553;3496;3268;3277;3135;3237;3137
22;3744;3722;3778;3734;3588;3611;3541;3483;3526;3659;3534;3601;3535;3479;3289;3313;3197;3199
23;3795;3726;3724;3771;3718;3572;3620;3559;3457;3550;3651;3517;3596;3515;3518;3345;3363;3182
24;3856;3778;3713;3681;3735;3695;3591;3612;3547;3472;3536;3631;3498;3571;3519;3530;3392;3333
25;4004;3820;3775;3683;3642;3705;3674;3571;3593;3527;3467;3511;3591;3467;3578;3505;3564;3352
26;4064;3973;3836;3783;3692;3604;3677;3663;3568;3598;3512;3432;3455;3585;3469;3577;3516;3491
27;4096;4050;3981;3860;3757;3674;3571;3675;3622;3538;3573;3491;3403;3409;3564;3435;3597;3427
28;4044;4077;4073;3998;3847;3738;3694;3538;3645;3582;3487;3555;3447;3375;3411;3535;3412;3545
29;4059;4051;4115;4081;3997;3824;3729;3708;3487;3599;3541;3449;3483;3407;3339;3399;3550;3355
30;4077;4056;4094;4143;4078;3967;3844;3696;3684;3475;3549;3483;3389;3451;3353;3277;3373;3478
31;4118;4056;4066;4097;4134;4048;3976;3851;3658;3653;3427;3488;3434;3345;3411;3345;3275;3260
32;4209;4090;4082;4043;4065;4101;4033;3950;3785;3618;3565;3392;3466;3366;3311;3372;3307;3192
33;4192;4177;4128;4082;4015;4037;4106;3991;3909;3763;3541;3513;3384;3438;3341;3281;3346;3284
34;4220;4171;4196;4089;4054;3987;4050;4054;3941;3911;3716;3509;3500;3328;3413;3310;3261;3327
35;4406;4197;4191;4207;4070;4007;3997;4041;4052;3910;3887;3682;3487;3480;3293;3380;3286;3224
36;4414;4402;4258;4245;4232;4084;4026;4045;4025;4048;3902;3865;3647;3477;3449;3292;3375;3260
37;4558;4421;4440;4293;4261;4235;4118;4064;4086;4038;4039;3880;3839;3642;3472;3426;3292;3359
38;4243;4573;4455;4451;4317;4253;4286;4154;4070;4061;4037;4021;3882;3806;3634;3464;3431;3280
39;4126;4257;4611;4472;4478;4328;4284;4325;4188;4096;4052;4010;3989;3863;3809;3601;3453;3392
40;4128;4120;4305;4627;4471;4482;4373;4334;4347;4196;4115;4048;4002;3963;3846;3788;3561;3424
