"Popolazione per età, vista per singola area - Provincia: Bergamo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Bergamo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10181;10417;10580;10979;10927;11273;11359;11822;11951;11679;11295;10923;10293;9969;9464;9392;9051;8448
1;10195;10287;10527;10727;11086;11045;11366;11479;11818;11938;11657;11282;10926;10286;9919;9464;9409;9068
2;9979;10336;10452;10657;10872;11164;11199;11576;11564;11871;11956;11709;11275;10885;10303;9930;9525;9406
3;9836;10055;10461;10558;10779;10983;11259;11330;11682;11618;11836;11986;11709;11238;10834;10289;9966;9530
4;9637;9973;10123;10612;10675;10863;11128;11360;11393;11715;11594;11882;11992;11654;11208;10777;10292;10015
5;9373;9765;10092;10249;10750;10774;10989;11203;11403;11454;11736;11649;11862;11958;11580;11205;10723;10300
6;9410;9492;9892;10276;10344;10856;10925;11097;11266;11422;11484;11762;11631;11776;11928;11547;11216;10772
7;9100;9505;9616;10074;10388;10413;11021;11095;11163;11367;11427;11513;11740;11553;11702;11900;11508;11215
8;9228;9232;9595;9719;10218;10515;10553;11176;11191;11218;11381;11448;11513;11716;11564;11691;11841;11435
9;9446;9320;9341;9753;9864;10324;10646;10687;11275;11265;11258;11423;11463;11477;11675;11554;11664;11805
10;9552;9571;9412;9534;9870;9997;10474;10805;10811;11348;11292;11324;11445;11395;11436;11635;11532;11675
11;9506;9647;9697;9603;9657;9954;10111;10621;10875;10899;11418;11332;11316;11429;11382;11400;11641;11540
12;9431;9604;9723;9837;9723;9763;10091;10236;10766;10945;10939;11458;11346;11308;11435;11369;11353;11622
13;9591;9515;9679;9876;9956;9811;9896;10249;10324;10867;11003;10993;11475;11337;11287;11418;11362;11385
14;9163;9671;9562;9816;9984;10035;9903;10041;10364;10433;10930;11016;11028;11475;11349;11265;11413;11388
15;9114;9225;9746;9711;9903;10048;10151;10063;10142;10462;10507;10968;11042;11042;11474;11333;11247;11443
16;9555;9174;9317;9897;9803;10003;10122;10304;10209;10250;10524;10546;10978;11052;11060;11496;11326;11267
17;9870;9608;9269;9507;10045;9873;10128;10306;10429;10355;10341;10597;10570;11019;11064;11091;11510;11344
18;10159;9981;9716;9494;9687;10216;10062;10357;10466;10616;10449;10426;10695;10600;11056;11125;11168;11572
19;10372;10208;10151;9960;9621;9821;10455;10313;10573;10612;10782;10576;10456;10721;10656;11183;11318;11302
20;10721;10429;10405;10337;10050;9715;10106;10740;10514;10704;10746;10876;10638;10522;10748;10760;11274;11463
21;10773;10771;10632;10657;10417;10166;10027;10404;10943;10689;10854;10871;10931;10658;10525;10825;10896;11393
22;11126;10876;11042;10906;10788;10587;10467;10408;10617;11149;10851;10986;10967;10970;10636;10572;10908;11030
23;12218;11294;11265;11359;11058;10953;11005;10880;10627;10952;11354;11048;11081;11006;10980;10714;10681;11005
24;12753;12443;11730;11669;11503;11254;11302;11397;11185;10865;11201;11598;11144;11137;11025;11063;10772;10834
25;13322;12978;12994;12257;11877;11730;11608;11718;11688;11499;11050;11402;11715;11199;11169;11117;11139;10903
26;14939;13589;13607;13653;12501;12113;12093;12058;11951;11999;11740;11223;11529;11773;11183;11280;11246;11282
27;15292;15234;14285;14186;14036;12756;12590;12563;12383;12231;12194;11951;11278;11587;11840;11261;11475;11360
28;15616;15642;15943;14923;14621;14359;13315;13147;12812;12750;12515;12410;12095;11353;11581;11896;11319;11539
29;15929;15977;16367;16604;15415;14915;14862;13792;13458;13079;12994;12705;12539;12093;11356;11655;11955;11441
30;16056;16243;16726;17109;17043;15814;15396;15400;14029;13725;13280;13156;12809;12561;12120;11465;11708;12060
31;16501;16342;16867;17276;17418;17316;16210;15745;15501;14304;13799;13415;13224;12846;12547;12171;11596;11774
32;16765;16657;16751;17337;17468;17593;17576;16408;15764;15603;14171;13917;13465;13255;12883;12655;12248;11695
33;16876;16974;17020;17092;17508;17535;17737;17722;16349;15811;15463;14320;13972;13485;13231;12887;12710;12277
34;17145;17009;17303;17396;17232;17599;17699;17887;17678;16410;15741;15577;14392;13986;13450;13310;12954;12793
35;18217;17310;17349;17700;17497;17329;17791;17819;17878;17711;16338;15857;15626;14394;13921;13533;13360;13000
36;18040;18426;17704;17747;17864;17642;17570;18026;17881;18037;17738;16415;15903;15556;14398;13958;13625;13353
37;18175;18232;18722;17980;17943;17984;17888;17804;18165;18033;18043;17780;16461;15820;15581;14357;14007;13665
38;17053;18308;18547;19010;18107;18077;18194;18095;17897;18243;18041;18122;17806;16447;15828;15609;14379;14090
39;16317;17165;18631;18766;19086;18210;18245;18423;18194;18030;18267;18133;18152;17774;16412;15774;15648;14388
40;15635;16417;17383;18854;18869;19112;18418;18447;18477;18309;18071;18306;18144;18109;17679;16392;15761;15646
41;15359;15685;16613;17561;18963;18956;19198;18543;18464;18570;18363;18104;18295;18107;18079;17638;16440;15802
42;15048;15439;15873;16781;17640;19030;19057;19277;18598;18558;18546;18402;18133;18258;18042;18008;17647;16466
43;14482;15085;15616;16062;16820;17685;19145;19137;19307;18630;18546;18577;18366;18060;18179;18054;17956;17635
44;13621;14532;15236;15786;16112;16853;17781;19255;19148;19299;18610;18542;18560;18316;17965;18140;18017;17945
45;13716;13714;14670;15386;15826;16086;16899;17856;19298;19175;19241;18636;18565;18516;18240;17938;18136;18015
