"Popolazione per età, vista per singola area - Provincia: Bologna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Bologna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7671;8067;7958;8477;8441;8743;8822;8835;9128;8730;8703;8549;8502;8332;8122;7847;7538;7526
1;7722;7797;8116;8079;8537;8482;8817;8940;8885;9165;8808;8797;8618;8559;8420;8250;7969;7671
2;7395;7830;7829;8158;8142;8543;8541;8857;8973;8863;9177;8886;8824;8636;8573;8500;8284;8076
3;7017;7475;7884;7910;8190;8145;8582;8606;8844;8971;8875;9253;8896;8834;8693;8593;8554;8316
4;7021;7125;7518;7947;7990;8186;8176;8639;8623;8870;8993;8922;9280;8894;8855;8696;8580;8583
5;6782;7076;7176;7588;8004;8029;8267;8233;8642;8656;8911;9054;8991;9329;8922;8883;8711;8564
6;6635;6896;7124;7270;7646;8025;8121;8320;8249;8657;8684;8979;9083;9022;9362;8964;8868;8737
7;6597;6701;6970;7211;7353;7687;8154;8231;8367;8306;8677;8747;9028;9114;9020;9374;8956;8929
8;6522;6681;6763;7053;7297;7422;7802;8240;8320;8380;8340;8728;8768;9074;9149;9037;9372;8990
9;6679;6624;6777;6802;7131;7352;7519;7907;8308;8371;8429;8382;8757;8818;9116;9140;9058;9401
10;6561;6762;6671;6886;6877;7197;7476;7635;7999;8418;8436;8496;8406;8818;8839;9157;9162;9116
11;6523;6612;6853;6746;6965;6923;7292;7608;7710;8082;8502;8498;8542;8446;8861;8869;9199;9227
12;6236;6580;6626;6893;6790;7036;7046;7408;7687;7800;8165;8537;8557;8562;8460;8907;8921;9227
13;6117;6310;6627;6705;6981;6856;7133;7154;7470;7753;7897;8212;8562;8594;8598;8505;8942;8963
14;5851;6206;6339;6672;6748;7000;6949;7239;7246;7573;7833;7948;8271;8605;8634;8658;8550;8990
15;5859;5912;6226;6369;6718;6796;7114;7055;7326;7346;7664;7869;7994;8317;8640;8676;8692;8602
16;6077;5893;5969;6264;6453;6736;6872;7232;7180;7417;7424;7722;7899;8001;8364;8651;8743;8764
17;6140;6113;5915;6024;6351;6515;6818;6973;7321;7279;7516;7484;7777;7932;8043;8457;8818;8803
18;6460;6194;6161;6071;6145;6455;6641;6980;7120;7430;7402;7600;7539;7827;8021;8184;8673;8948
19;6462;6579;6306;6322;6205;6260;6654;6885;7170;7252;7628;7561;7703;7675;7932;8195;8469;8838
20;6703;6621;6769;6545;6463;6339;6550;6983;7155;7382;7439;7838;7714;7879;7849;8146;8457;8634
21;7243;6865;6869;7018;6720;6632;6655;6927;7270;7391;7623;7664;8028;7839;8060;8059;8386;8626
22;7973;7493;7098;7184;7218;6928;7026;7072;7194;7524;7652;7887;7863;8161;8001;8250;8270;8643
