"Popolazione per età, vista per singola area - Provincia: Bolzano/Bozen"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Bolzano/Bozen"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5312;5160;5345;5409;5481;5387;5468;5419;5228;5331;5291;5401;5277;5498;5344;5436;5344;5284
1;5367;5362;5183;5378;5436;5531;5440;5509;5461;5268;5359;5323;5480;5301;5533;5367;5485;5401
2;5511;5382;5371;5213;5390;5481;5562;5484;5532;5460;5320;5376;5353;5492;5319;5594;5387;5519
3;5380;5540;5423;5425;5264;5407;5505;5604;5520;5548;5486;5343;5417;5363;5505;5334;5625;5452
4;5522;5426;5559;5463;5473;5293;5452;5530;5627;5544;5571;5528;5359;5434;5393;5507;5369;5668
5;5430;5573;5441;5588;5522;5520;5339;5485;5570;5662;5562;5594;5539;5379;5449;5424;5551;5399
6;5186;5457;5602;5480;5621;5564;5549;5373;5511;5588;5690;5576;5623;5551;5414;5455;5476;5603
7;5284;5208;5488;5629;5540;5649;5605;5578;5387;5541;5617;5702;5596;5631;5554;5413;5467;5491
8;5110;5321;5223;5526;5680;5591;5695;5633;5610;5406;5558;5637;5712;5615;5648;5551;5421;5506
9;5328;5141;5330;5242;5566;5721;5624;5719;5659;5648;5427;5590;5660;5735;5626;5652;5595;5450
10;5326;5354;5166;5388;5306;5609;5767;5664;5752;5707;5688;5467;5611;5677;5762;5624;5668;5632
11;5261;5349;5377;5194;5436;5345;5658;5792;5715;5779;5733;5710;5488;5630;5686;5776;5641;5703
12;5172;5286;5371;5425;5255;5472;5384;5695;5829;5741;5804;5756;5728;5498;5641;5710;5769;5681
13;5091;5202;5313;5419;5478;5316;5527;5425;5726;5852;5769;5827;5772;5742;5514;5637;5719;5793
14;4882;5119;5228;5327;5472;5493;5367;5564;5468;5749;5886;5794;5850;5788;5753;5544;5680;5771
15;4957;4893;5125;5263;5365;5496;5543;5411;5601;5499;5767;5898;5823;5873;5843;5786;5549;5717
16;5073;4972;4904;5147;5318;5398;5548;5571;5458;5627;5515;5790;5931;5825;5889;5875;5802;5575
17;5051;5077;4990;4948;5186;5350;5431;5579;5612;5493;5654;5572;5792;5952;5846;5903;5892;5819
18;5179;5078;5082;5049;5002;5235;5409;5495;5639;5670;5532;5697;5618;5824;5994;5930;5959;5949
19;5454;5198;5091;5097;5100;5026;5282;5490;5548;5697;5723;5598;5738;5650;5866;6084;6046;6024
20;5449;5466;5246;5128;5117;5141;5098;5352;5556;5601;5769;5763;5645;5791;5707;5959;6160;6090
21;5407;5455;5522;5294;5198;5166;5209;5175;5430;5621;5681;5837;5813;5682;5854;5812;6050;6200
22;5366;5462;5526;5616;5390;5287;5272;5308;5250;5513;5722;5741;5886;5886;5736;5941;5894;6093
23;5573;5415;5534;5653;5720;5490;5408;5379;5395;5324;5632;5793;5810;5945;5948;5797;6021;5931
24;5682;5651;5539;5627;5787;5826;5658;5532;5507;5498;5475;5751;5892;5867;5989;6035;5883;6095
25;5934;5750;5794;5693;5800;5916;6030;5789;5631;5627;5612;5594;5852;5954;5922;6099;6121;5940
26;6400;6039;5885;5950;5834;5976;6116;6164;5925;5740;5735;5713;5671;5884;5981;6019;6163;6140
27;6938;6526;6151;6015;6088;5930;6185;6222;6275;6022;5822;5833;5808;5726;5892;6045;6070;6194
28;7186;7037;6680;6347;6170;6208;6128;6284;6335;6343;6099;5901;5909;5836;5709;5947;6061;6190
29;7569;7288;7127;6804;6485;6281;6400;6208;6356;6386;6388;6169;5992;5927;5848;5725;5984;6121
30;7931;7649;7388;7311;6934;6574;6469;6482;6274;6411;6429;6429;6231;6015;5950;5940;5798;6045
31;7886;8024;7741;7462;7403;6975;6752;6542;6568;6327;6458;6460;6488;6242;6036;6001;5967;5851
32;8315;7958;8032;7793;7543;7467;7065;6777;6601;6603;6312;6488;6523;6499;6212;6087;6086;6013
33;8300;8409;7982;8051;7839;7595;7542;7059;6764;6618;6586;6360;6553;6529;6546;6236;6120;6152
34;8138;8363;8426;8032;8119;7921;7628;7573;7103;6750;6618;6610;6405;6565;6530;6547;6308;6191
35;8407;8176;8375;8441;8086;8151;7994;7628;7566;7169;6747;6628;6633;6445;6580;6556;6582;6334
36;8522;8492;8229;8447;8546;8152;8213;8063;7669;7614;7219;6748;6686;6694;6464;6641;6660;6675
37;8503;8564;8494;8266;8500;8636;8244;8284;8109;7745;7634;7249;6817;6665;6733;6513;6672;6702
38;7994;8512;8590;8550;8323;8550;8722;8288;8334;8168;7769;7634;7291;6860;6661;6737;6503;6728
