"Popolazione per età, vista per singola area - Provincia: Brescia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Brescia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11242;11646;11645;12493;12227;12948;13227;13466;13440;13403;12761;12134;11569;11161;10941;10489;10107;9645
1;11246;11398;11782;11779;12517;12286;12997;13262;13491;13431;13318;12739;12101;11532;11149;10953;10467;10155
2;11174;11404;11615;11820;11914;12629;12386;13123;13330;13528;13338;13372;12695;12015;11482;11097;10925;10560
3;10803;11331;11692;11747;11951;12120;12690;12591;13220;13460;13468;13419;13391;12617;11936;11436;11087;10955
4;10524;10963;11504;11829;11933;12057;12270;12818;12655;13321;13436;13506;13408;13328;12495;11837;11438;11104
5;10470;10697;11138;11589;11979;12120;12127;12403;12875;12722;13309;13455;13452;13387;13227;12375;11824;11450
6;10345;10612;10862;11279;11661;12085;12260;12231;12441;12868;12668;13322;13426;13323;13248;13116;12297;11795
7;10086;10513;10744;10999;11482;11769;12172;12420;12268;12505;12841;12675;13280;13294;13211;13130;12997;12279
8;10368;10232;10644;10826;11190;11614;11851;12301;12538;12299;12546;12832;12639;13187;13219;13094;13068;12953
9;10329;10552;10373;10759;10982;11313;11739;11991;12386;12599;12333;12557;12822;12605;13099;13160;13041;13050
10;10200;10494;10710;10550;10925;11135;11443;11897;12099;12485;12659;12319;12507;12743;12518;13011;13119;13028
11;10348;10311;10639;10843;10709;11044;11252;11623;12023;12225;12510;12634;12319;12447;12673;12448;12961;13095
12;9981;10455;10415;10759;10992;10852;11137;11416;11743;12160;12276;12544;12614;12328;12438;12599;12410;12967
13;10278;10121;10553;10570;10942;11112;10957;11325;11526;11868;12215;12278;12546;12606;12268;12364;12563;12410
14;9731;10378;10241;10671;10716;11061;11248;11084;11457;11679;11934;12204;12254;12514;12546;12201;12352;12566
15;9818;9835;10480;10354;10842;10808;11158;11428;11232;11627;11750;11982;12209;12267;12497;12494;12155;12363
16;10556;9922;9980;10640;10516;10945;10927;11317;11579;11429;11705;11770;12023;12190;12244;12461;12458;12204
17;10683;10650;10046;10187;10866;10672;11077;11121;11491;11753;11532;11757;11800;12017;12175;12252;12432;12532
18;11260;10835;10825;10270;10458;11109;10871;11381;11329;11735;11892;11606;11780;11830;12029;12155;12324;12519
19;11422;11371;11059;11002;10482;10651;11391;11244;11641;11615;11881;12005;11659;11838;11902;12084;12360;12551
20;11821;11524;11608;11259;11160;10646;10973;11722;11501;11904;11785;12014;12109;11732;11900;11960;12252;12588
21;12273;11929;11881;11902;11424;11334;10996;11396;11962;11805;12097;11934;12074;12115;11766;11962;12097;12466
22;12493;12444;12424;12245;12110;11696;11697;11415;11691;12288;12055;12278;12080;12154;12142;11821;12051;12296
