"Popolazione per età, vista per singola area - Provincia: Brindisi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Brindisi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3722;3773;3585;3675;3525;3582;3523;3536;3581;3412;3307;3198;3240;3069;2891;2818;2689;2570
1;3770;3733;3775;3566;3680;3502;3567;3506;3533;3621;3401;3300;3176;3230;3052;2882;2802;2677
2;3977;3767;3753;3770;3586;3691;3524;3560;3529;3567;3638;3412;3314;3167;3218;3035;2878;2802
3;3815;3978;3789;3770;3790;3620;3705;3532;3571;3552;3571;3639;3399;3316;3171;3202;3012;2863
4;3816;3823;3978;3808;3816;3809;3625;3715;3557;3575;3561;3573;3636;3396;3316;3161;3193;3005
5;4025;3821;3870;3989;3829;3823;3819;3631;3743;3593;3590;3564;3567;3632;3374;3321;3169;3195
6;4020;4021;3829;3880;4015;3853;3844;3834;3669;3775;3635;3615;3567;3554;3617;3372;3313;3163
7;4155;4027;4045;3860;3915;4013;3867;3860;3857;3686;3796;3628;3594;3558;3547;3619;3362;3313
8;4492;4149;4037;4061;3881;3934;4030;3910;3894;3863;3707;3793;3632;3585;3554;3541;3611;3359
9;4753;4490;4171;4042;4082;3890;3964;4023;3949;3933;3875;3712;3791;3615;3583;3551;3527;3589
10;4754;4743;4512;4185;4073;4089;3905;3990;4056;3967;3943;3869;3693;3783;3605;3575;3542;3518
11;4939;4747;4756;4514;4198;4070;4107;3935;4021;4076;3993;3953;3861;3690;3768;3584;3562;3541
12;4875;4942;4756;4784;4532;4216;4102;4132;3962;4066;4088;3991;3943;3851;3676;3754;3580;3553
13;4900;4869;4953;4743;4793;4544;4235;4105;4158;3992;4084;4093;3985;3928;3833;3678;3731;3571
14;5004;4887;4887;4954;4757;4785;4570;4251;4125;4183;4006;4074;4101;3971;3917;3831;3644;3708
15;4896;4994;4902;4889;4967;4757;4824;4593;4276;4146;4206;4013;4071;4107;3977;3913;3816;3635
16;5298;4876;5008;4896;4892;4955;4774;4857;4610;4312;4156;4213;4000;4071;4107;3968;3892;3816
17;5254;5293;4873;5023;4903;4885;4968;4797;4884;4625;4323;4144;4209;4009;4059;4108;3960;3893
18;5267;5237;5281;4856;5036;4905;4910;4980;4812;4931;4641;4339;4145;4202;4005;4076;4143;4007
19;5540;5235;5238;5241;4858;5035;4914;4921;4980;4853;4948;4648;4323;4149;4213;4003;4123;4160
20;5574;5487;5215;5200;5219;4824;5033;4922;4925;4985;4855;4941;4636;4308;4124;4197;4009;4095
21;5630;5516;5465;5187;5185;5177;4797;5031;4946;4935;4988;4839;4918;4620;4302;4111;4191;3997
22;5890;5551;5478;5420;5180;5160;5197;4781;5046;4952;4930;4992;4815;4889;4591;4278;4115;4173
23;5974;5806;5497;5416;5380;5131;5145;5159;4765;5062;4962;4933;4962;4787;4860;4587;4262;4115
24;6076;5908;5783;5428;5351;5307;5114;5097;5129;4758;5031;4911;4890;4920;4720;4806;4538;4231
