"Popolazione per età, vista per singola area - Provincia: Cagliari"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Cagliari"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3469;3395;3659;3445;3491;3599;3505;3585;3649;3557;3322;3456;3057;3062;3022;2825;2611;2296
1;3433;3503;3410;3656;3438;3503;3592;3501;3554;3609;3527;3341;3437;3068;3025;3030;2817;2598
2;3469;3444;3537;3435;3645;3442;3509;3606;3483;3557;3559;3535;3359;3441;3058;2996;3059;2813
3;3325;3468;3476;3557;3455;3611;3423;3514;3607;3468;3542;3574;3537;3365;3428;3064;2987;3037
4;3238;3326;3458;3501;3570;3450;3609;3438;3516;3593;3456;3545;3575;3540;3361;3410;3072;2993
5;3397;3253;3328;3454;3511;3577;3425;3631;3431;3498;3602;3475;3559;3586;3536;3373;3414;3076
6;3534;3394;3268;3341;3457;3515;3568;3459;3615;3422;3504;3615;3470;3574;3590;3540;3380;3427
7;3663;3543;3399;3296;3356;3474;3513;3591;3460;3615;3420;3512;3599;3483;3581;3595;3542;3394
8;3733;3659;3539;3407;3311;3371;3494;3539;3606;3458;3621;3445;3512;3596;3470;3572;3587;3540
9;3837;3749;3671;3560;3419;3338;3383;3496;3554;3618;3463;3633;3449;3521;3591;3477;3555;3577
10;4086;3839;3762;3691;3563;3424;3343;3389;3507;3575;3637;3471;3627;3456;3533;3585;3474;3550
11;4303;4073;3867;3768;3696;3564;3432;3373;3395;3502;3590;3642;3468;3641;3439;3526;3589;3478
12;4210;4297;4073;3869;3792;3714;3564;3443;3385;3413;3503;3585;3637;3486;3652;3441;3527;3594
13;4353;4195;4296;4057;3890;3799;3723;3565;3437;3408;3411;3523;3594;3631;3472;3648;3435;3520
14;4142;4348;4195;4297;4041;3917;3796;3738;3569;3457;3433;3417;3523;3614;3622;3465;3650;3443
15;4415;4152;4351;4188;4309;4050;3929;3821;3739;3576;3477;3436;3406;3517;3613;3618;3470;3647
16;4656;4412;4158;4352;4192;4312;4027;3953;3851;3748;3588;3485;3440;3398;3527;3601;3620;3485
17;4708;4637;4397;4173;4357;4198;4319;4046;3967;3879;3764;3601;3490;3440;3406;3532;3616;3638
18;5003;4698;4615;4384;4201;4363;4197;4340;4049;3986;3886;3779;3608;3499;3432;3446;3670;3642
19;5362;4978;4677;4612;4377;4225;4390;4218;4357;4076;3999;3929;3799;3615;3516;3474;3592;3703
20;5558;5339;4986;4682;4629;4379;4249;4400;4239;4375;4101;4059;3950;3816;3651;3573;3563;3629
21;5652;5525;5326;4993;4697;4651;4402;4297;4423;4275;4410;4132;4064;3948;3851;3703;3658;3578
22;5538;5635;5496;5325;4978;4689;4650;4414;4321;4464;4301;4446;4167;4074;3968;3880;3765;3665
23;5966;5529;5648;5477;5316;4980;4684;4656;4438;4369;4479;4318;4464;4186;4113;3970;3945;3766
24;6224;5965;5545;5624;5446;5325;5010;4729;4687;4486;4396;4509;4351;4482;4199;4108;4033;3959
25;6612;6185;5972;5503;5614;5450;5344;5045;4743;4710;4489;4440;4525;4367;4494;4222;4157;4016
26;7050;6588;6236;5975;5530;5620;5443;5362;5017;4809;4723;4538;4437;4571;4376;4507;4248;4129
27;7422;7038;6575;6258;5974;5546;5619;5456;5338;5011;4790;4771;4558;4445;4590;4389;4584;4208
28;7488;7417;7093;6575;6288;5974;5580;5622;5427;5343;5059;4838;4786;4543;4469;4590;4382;4567
29;7369;7489;7423;7104;6590;6289;6057;5612;5622;5391;5313;5140;4877;4798;4573;4499;4645;4393
30;7624;7392;7513;7445;7113;6587;6316;6059;5639;5630;5379;5356;5146;4878;4811;4591;4553;4649
31;7078;7633;7411;7493;7447;7144;6619;6306;6041;5635;5637;5416;5373;5173;4879;4817;4633;4565
32;7363;7142;7655;7414;7564;7468;7206;6617;6297;6056;5648;5636;5413;5379;5170;4871;4840;4625
33;7174;7441;7203;7667;7459;7611;7498;7202;6565;6305;6110;5691;5612;5432;5381;5179;4901;4858
34;7215;7225;7489;7259;7683;7506;7617;7513;7170;6587;6357;6127;5706;5636;5415;5402;5188;4883
35;7447;7269;7291;7484;7267;7662;7526;7622;7490;7175;6605;6399;6138;5698;5650;5421;5427;5207
36;7559;7460;7324;7294;7512;7296;7678;7516;7590;7526;7159;6665;6376;6164;5714;5656;5421;5488
37;7490;7582;7490;7360;7306;7496;7305;7650;7483;7585;7523;7201;6666;6386;6179;5698;5698;5453
38;7265;7504;7589;7517;7354;7326;7449;7324;7592;7476;7572;7562;7237;6681;6396;6213;5733;5693
39;6935;7277;7539;7603;7534;7365;7325;7458;7314;7567;7449;7581;7578;7272;6682;6382;6203;5761
40;6960;6927;7268;7572;7601;7521;7390;7317;7455;7306;7508;7483;7600;7580;7273;6689;6378;6200
41;6619;6924;6934;7284;7604;7604;7505;7392;7314;7417;7286;7555;7534;7620;7572;7288;6707;6403
42;6553;6592;6887;6957;7290;7590;7601;7471;7410;7289;7395;7290;7534;7538;7603;7605;7279;6698
43;6315;6552;6595;6867;6974;7295;7614;7588;7456;7425;7279;7393;7270;7525;7566;7612;7603;7259
44;6286;6307;6563;6604;6860;6982;7282;7639;7602;7448;7392;7296;7414;7268;7510;7566;7650;7629
45;6330;6269;6314;6549;6593;6834;6972;7291;7621;7605;7415;7417;7302;7437;7260;7496;7600;7660
46;6108;6337;6281;6313;6539;6577;6819;6983;7251;7633;7585;7431;7437;7304;7440;7253;7479;7611
47;6252;6083;6336;6295;6329;6536;6561;6781;6995;7269;7625;7602;7438;7414;7291;7424;7291;7479
48;5869;6241;6076;6328;6296;6300;6542;6569;6769;6984;7248;7629;7604;7412;7404;7247;7447;7341
49;5883;5855;6243;6066;6314;6275;6298;6565;6564;6747;6977;7250;7618;7594;7399;7390;7255;7439
50;5784;5873;5865;6226;6070;6328;6267;6320;6560;6545;6701;6989;7228;7602;7568;7371;7374;7246
51;5839;5763;5838;5860;6209;6069;6326;6276;6325;6562;6554;6710;6964;7233;7592;7547;7354;7368
52;5644;5835;5736;5819;5853;6201;6071;6327;6302;6331;6548;6561;6693;6929;7207;7560;7529;7325
53;5746;5621;5827;5722;5804;5837;6207;6065;6306;6299;6308;6526;6538;6678;6929;7187;7534;7518
54;5585;5740;5621;5831;5697;5787;5825;6204;6036;6267;6278;6269;6513;6490;6664;6900;7152;7511
55;5302;5569;5741;5618;5805;5674;5781;5823;6173;6038;6258;6258;6223;6496;6454;6640;6871;7109
56;5190;5295;5564;5725;5614;5766;5640;5763;5822;6169;6021;6231;6230;6194;6484;6410;6630;6834
57;4570;5182;5285;5557;5706;5611;5744;5621;5742;5782;6153;6023;6201;6197;6173;6458;6394;6598
58;4661;4547;5162;5271;5550;5680;5595;5735;5587;5719;5773;6097;5967;6186;6162;6129;6432;6355
59;5020;4652;4542;5137;5256;5543;5651;5571;5706;5563;5701;5733;6066;5925;6163;6131;6093;6417
60;4831;5003;4634;4515;5108;5255;5533;5628;5552;5680;5520;5645;5694;6030;5887;6132;6107;6061
61;5100;4808;4976;4590;4495;5093;5241;5508;5608;5536;5642;5494;5592;5660;5976;5832;6092;6072
62;4626;5065;4766;4934;4574;4468;5082;5212;5487;5582;5513;5588;5421;5539;5604;5935;5782;6062
63;4207;4602;5040;4730;4906;4518;4462;5064;5192;5458;5550;5464;5534;5378;5508;5567;5881;5726
64;3946;4194;4573;4998;4679;4861;4480;4436;5021;5179;5416;5514;5415;5481;5325;5462;5522;5836
65;4028;3937;4156;4547;4952;4650;4821;4427;4406;4972;5146;5378;5471;5359;5432;5285;5410;5467
66;3632;4004;3920;4132;4514;4900;4610;4802;4380;4380;4944;5104;5320;5415;5307;5382;5221;5330
67;3674;3580;3979;3889;4092;4486;4865;4562;4750;4343;4353;4886;5034;5259;5349;5268;5332;5181
68;3679;3636;3538;3933;3835;4047;4424;4823;4503;4707;4308;4306;4809;4969;5205;5288;5199;5271
69;3318;3648;3604;3482;3881;3801;4002;4384;4771;4444;4640;4245;4219;4759;4906;5136;5227;5131
70;3287;3272;3594;3551;3417;3827;3765;3943;4333;4696;4383;4575;4175;4157;4663;4842;5058;5156
71;3344;3229;3226;3533;3506;3374;3778;3736;3903;4288;4634;4318;4496;4129;4089;4592;4776;4999
72;2968;3281;3168;3164;3462;3456;3325;3732;3681;3854;4221;4545;4243;4424;4054;4019;4514;4714
73;2976;2925;3200;3100;3100;3399;3393;3266;3666;3628;3809;4160;4454;4155;4363;3970;3944;4449
74;2570;2913;2869;3129;3020;3013;3334;3305;3204;3592;3575;3740;4048;4370;4064;4287;3893;3871
75;2621;2511;2831;2799;3059;2966;2934;3270;3231;3128;3525;3489;3667;3957;4268;3969;4169;3820
76;2207;2542;2454;2776;2721;2992;2869;2849;3182;3166;3058;3415;3399;3575;3855;4167;3866;4076
77;2360;2148;2470;2389;2701;2646;2914;2793;2780;3108;3081;2976;3342;3319;3474;3751;4067;3775
78;1997;2272;2091;2369;2321;2619;2579;2826;2708;2689;3019;3001;2885;3243;3229;3353;3634;3969
79;1975;1909;2181;2018;2285;2259;2521;2479;2715;2612;2591;2927;2874;2800;3116;3114;3234;3524
80;1795;1891;1822;2079;1914;2209;2156;2398;2369;2626;2504;2522;2807;2780;2679;3002;3002;3134
81;1725;1711;1779;1733;1971;1830;2093;2055;2311;2295;2504;2399;2398;2672;2648;2579;2877;2869
82;1257;1650;1623;1678;1641;1863;1710;2000;1970;2183;2191;2396;2258;2280;2544;2532;2435;2741
