"Popolazione per età, vista per singola area - Provincia: Caltanissetta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Caltanissetta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2962;2963;3026;3087;3027;2888;2648;2733;2630;2543;2351;2544;2278;2299;2254;2178;2018;1934
1;2888;2949;2953;3005;3081;2998;2884;2634;2713;2626;2515;2330;2527;2249;2262;2232;2133;1978
2;3043;2855;2953;2947;2982;3052;2986;2863;2618;2695;2599;2509;2330;2499;2233;2244;2197;2097
3;3021;3039;2856;2963;2942;2960;3031;2972;2857;2606;2689;2594;2515;2316;2480;2193;2203;2159
4;3015;2992;3053;2860;2968;2936;2952;3024;2958;2851;2601;2681;2591;2494;2315;2447;2184;2188
5;3081;3003;2990;3049;2873;2973;2926;2950;3046;2944;2839;2594;2689;2585;2478;2292;2421;2160
6;3246;3081;3007;2994;3058;2870;3002;2905;2933;3033;2937;2823;2585;2666;2563;2466;2263;2391
7;3284;3236;3101;3013;2999;3064;2883;3034;2911;2935;3025;2920;2826;2588;2631;2562;2452;2243
8;3517;3272;3233;3084;3006;2989;3071;2909;3046;2927;2920;3022;2919;2819;2575;2616;2529;2438
9;3612;3504;3284;3241;3080;3023;3015;3084;2935;3068;2927;2903;3000;2918;2786;2557;2590;2524
10;3771;3600;3514;3285;3238;3082;3044;3042;3102;2947;3081;2914;2888;2979;2889;2765;2540;2555
11;3602;3768;3612;3513;3288;3245;3097;3101;3077;3124;2948;3078;2917;2885;2963;2868;2744;2519
12;3542;3585;3755;3623;3513;3293;3268;3113;3121;3117;3130;2962;3063;2923;2858;2934;2840;2742
13;3555;3536;3579;3757;3627;3510;3317;3292;3145;3145;3120;3121;2947;3052;2906;2849;2908;2823
14;3443;3562;3522;3575;3746;3623;3538;3327;3299;3173;3154;3096;3107;2953;3046;2879;2835;2895
15;3520;3448;3563;3523;3590;3754;3643;3556;3345;3325;3170;3145;3088;3114;2961;3034;2879;2829
16;3653;3502;3462;3563;3518;3586;3743;3654;3561;3360;3335;3166;3145;3095;3118;2964;3025;2869
17;3589;3635;3494;3479;3572;3529;3607;3752;3660;3584;3370;3336;3159;3149;3097;3124;3000;3019
18;3727;3567;3636;3487;3471;3591;3556;3638;3777;3689;3607;3358;3331;3177;3160;3138;3233;3021
19;3729;3712;3534;3623;3475;3465;3621;3562;3656;3792;3690;3594;3367;3330;3185;3134;3143;3222
20;3870;3685;3685;3483;3585;3448;3482;3632;3562;3661;3788;3689;3573;3362;3340;3153;3102;3126
21;3936;3828;3633;3641;3464;3552;3452;3499;3636;3573;3639;3763;3688;3575;3351;3306;3101;3084
22;3808;3867;3791;3579;3596;3401;3555;3474;3512;3648;3553;3617;3751;3695;3534;3329;3258;3070
23;3782;3751;3796;3714;3530;3552;3410;3528;3479;3533;3630;3541;3609;3747;3660;3486;3262;3176
24;3726;3717;3719;3733;3668;3466;3542;3405;3511;3458;3510;3604;3513;3604;3712;3612;3440;3176
25;3925;3672;3692;3660;3653;3621;3425;3524;3392;3503;3438;3481;3575;3493;3550;3641;3495;3317
26;4144;3858;3650;3614;3618;3597;3576;3387;3481;3372;3463;3400;3428;3544;3418;3503;3526;3354
27;3984;4020;3813;3594;3578;3568;3560;3532;3365;3473;3351;3391;3369;3405;3467;3381;3396;3381
28;4066;3916;3969;3753;3549;3520;3552;3528;3502;3342;3452;3290;3322;3310;3346;3421;3303;3263
29;4016;3978;3917;3900;3685;3519;3494;3546;3517;3477;3315;3399;3250;3296;3253;3277;3330;3199
30;4023;3950;3952;3887;3861;3674;3540;3517;3536;3494;3451;3263;3359;3238;3249;3180;3192;3195
31;4100;3955;3943;3933;3850;3823;3671;3522;3495;3507;3464;3385;3225;3326;3196;3209;3088;3077
32;4062;4041;3919;3912;3888;3797;3811;3653;3493;3459;3486;3417;3346;3195;3243;3141;3149;2994
33;4034;4001;4001;3908;3830;3855;3783;3796;3661;3528;3450;3449;3364;3312;3118;3181;3065;3064
34;4059;3984;3991;3972;3870;3822;3861;3795;3821;3697;3523;3403;3428;3338;3237;3071;3129;2967
35;4113;4039;3958;3993;3944;3877;3839;3840;3792;3826;3674;3480;3371;3431;3314;3198;3038;3044
36;4170;4085;4023;3949;3975;3938;3866;3854;3858;3804;3809;3669;3452;3368;3392;3268;3144;2968
37;4280;4143;4087;4030;3952;3955;3933;3878;3849;3895;3827;3758;3632;3433;3350;3352;3210;3097
38;3966;4256;4142;4071;4023;3931;3962;3943;3881;3894;3891;3786;3740;3601;3412;3321;3314;3155
39;4019;3951;4267;4138;4070;4031;3952;3970;3937;3900;3914;3887;3764;3751;3575;3380;3288;3259
40;3834;4000;3963;4269;4126;4058;4066;3990;4014;3970;3893;3881;3872;3779;3717;3570;3316;3244
41;3985;3810;3987;3950;4253;4127;4078;4086;4021;4029;3962;3874;3855;3878;3752;3687;3522;3280
42;3740;3975;3803;3980;3943;4247;4163;4089;4125;4062;4044;3946;3857;3863;3830;3693;3647;3483
43;3574;3720;3990;3777;3967;3943;4270;4181;4113;4151;4062;4031;3940;3850;3850;3803;3675;3599
44;3383;3571;3718;3988;3763;3963;3956;4290;4178;4154;4175;4056;4009;3937;3839;3830;3756;3649
45;3414;3376;3570;3715;3983;3743;3983;3960;4297;4187;4157;4140;4032;4006;3909;3797;3802;3722
46;3528;3392;3400;3567;3704;3975;3766;3974;3975;4307;4198;4145;4112;4014;3983;3892;3772;3764
