"Popolazione per età, vista per singola area - Provincia: Campobasso"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Campobasso"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1885;1889;1925;1877;1813;1808;1811;1799;1679;1824;1706;1661;1615;1555;1529;1482;1490;1294
1;1943;1884;1893;1929;1857;1817;1811;1811;1798;1654;1809;1708;1637;1604;1560;1544;1475;1504
2;2112;1974;1894;1901;1910;1866;1839;1814;1812;1808;1657;1821;1714;1624;1579;1567;1528;1470
3;2009;2130;1973;1908;1905;1900;1872;1847;1810;1809;1808;1678;1818;1705;1620;1591;1563;1525
4;2029;2008;2135;1973;1933;1916;1924;1877;1849;1822;1811;1821;1678;1810;1709;1621;1591;1564
5;2026;2036;2013;2118;1976;1942;1936;1942;1883;1859;1826;1812;1845;1677;1810;1705;1616;1590
6;2168;2025;2041;2035;2131;2000;1952;1945;1957;1897;1869;1828;1832;1850;1687;1806;1692;1635
7;2187;2167;2042;2056;2042;2140;2026;1977;1942;1956;1904;1881;1825;1835;1837;1678;1794;1701
8;2290;2202;2172;2040;2062;2050;2154;2048;1980;1950;1963;1910;1881;1840;1824;1834;1670;1789
9;2430;2280;2216;2190;2045;2069;2065;2160;2063;1984;1951;1965;1929;1890;1844;1826;1831;1654
10;2405;2430;2291;2214;2189;2065;2094;2094;2170;2075;2000;1956;1985;1932;1890;1842;1825;1833
11;2430;2420;2433;2292;2232;2209;2083;2110;2101;2180;2086;2006;1974;1985;1928;1882;1837;1825
12;2398;2425;2427;2449;2296;2236;2219;2110;2111;2107;2192;2094;2020;1974;1985;1929;1870;1835
13;2468;2399;2412;2434;2459;2302;2248;2231;2116;2124;2109;2196;2101;2020;1981;1987;1925;1876
14;2429;2476;2397;2401;2437;2467;2316;2271;2235;2126;2141;2110;2198;2091;2022;1977;1983;1927
15;2424;2432;2476;2401;2405;2439;2481;2342;2286;2238;2137;2153;2113;2190;2094;2030;1975;1966
16;2562;2430;2437;2481;2402;2404;2459;2504;2340;2292;2251;2143;2161;2116;2201;2093;2026;1972
17;2615;2561;2420;2451;2478;2409;2412;2464;2501;2345;2311;2270;2155;2159;2130;2208;2118;2023
18;2735;2614;2575;2417;2444;2495;2423;2419;2474;2508;2350;2316;2273;2162;2187;2194;2249;2141
19;2776;2739;2613;2585;2415;2460;2508;2452;2425;2481;2510;2361;2332;2263;2210;2231;2359;2267
20;2823;2751;2732;2608;2579;2407;2486;2527;2453;2436;2485;2522;2387;2329;2314;2241;2317;2367
21;2798;2823;2759;2730;2602;2566;2409;2537;2558;2461;2459;2504;2545;2378;2366;2311;2301;2322
22;2921;2797;2813;2767;2730;2614;2582;2427;2544;2565;2478;2475;2504;2567;2418;2394;2354;2285
23;2980;2930;2800;2803;2742;2731;2659;2617;2431;2532;2578;2514;2496;2507;2578;2444;2417;2377
24;3020;2993;2961;2781;2790;2729;2725;2679;2628;2439;2550;2578;2510;2504;2528;2592;2463;2399
