"Popolazione per età, vista per singola area - Provincia: Caserta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Caserta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10095;9883;10028;10201;9747;9825;9787;9737;9686;9630;9081;8830;8524;8280;8367;8190;8042;7878
1;9891;10087;9893;10037;10296;9809;9937;9811;9780;9722;9616;9068;8865;8518;8265;8319;8201;8041
2;10134;9915;10158;10017;10103;10346;9904;9985;9877;9820;9699;9624;9121;8849;8517;8278;8311;8229
3;10027;10121;9952;10187;10097;10151;10458;9942;10002;9945;9857;9704;9645;9135;8842;8496;8247;8316
4;10154;10068;10148;10061;10281;10155;10258;10501;9969;10029;9954;9873;9736;9628;9131;8828;8496;8269
5;10309;10157;10109;10264;10141;10388;10247;10375;10528;10033;10087;9954;9898;9732;9627;9121;8847;8557
6;10555;10299;10212;10183;10321;10241;10481;10317;10420;10566;10065;10091;9975;9893;9749;9638;9090;8852
7;10810;10555;10348;10298;10259;10394;10360;10574;10362;10502;10602;10080;10064;9957;9863;9706;9630;9114
8;10978;10796;10578;10404;10404;10362;10467;10444;10641;10416;10544;10596;10087;10047;9944;9835;9738;9674
9;11737;10996;10834;10645;10502;10488;10441;10500;10489;10702;10436;10571;10605;10077;10040;9940;9838;9750
10;12119;11748;11054;10904;10740;10563;10581;10480;10560;10552;10763;10456;10570;10580;10071;10035;9924;9839
11;11845;12100;11776;11102;10966;10824;10628;10680;10567;10588;10617;10779;10466;10594;10562;10064;10062;9952
12;11700;11831;12125;11808;11207;11045;10909;10706;10783;10653;10616;10640;10771;10446;10560;10579;10087;10077
13;11619;11733;11843;12192;11839;11284;11109;11013;10782;10878;10720;10654;10663;10773;10475;10549;10602;10110
14;11352;11638;11782;11910;12276;11921;11361;11202;11085;10855;10947;10741;10673;10698;10770;10474;10525;10645
15;11837;11356;11679;11811;11952;12313;11964;11448;11272;11152;10899;10950;10753;10673;10693;10762;10509;10554
16;11867;11845;11396;11732;11876;12021;12333;12012;11522;11377;11195;10927;10963;10791;10707;10705;10769;10511
17;12287;11848;11820;11463;11792;11975;12059;12404;12068;11617;11429;11207;10940;10974;10797;10747;10748;10806
18;12466;12294;11866;11837;11520;11847;12028;12142;12432;12129;11663;11472;11215;11001;11042;10873;10859;10802
19;13063;12429;12320;11914;11852;11585;11915;12096;12186;12506;12176;11688;11453;11168;10979;11127;11003;10943
20;12677;12983;12455;12374;11901;11840;11660;12012;12183;12215;12527;12219;11631;11443;11173;11059;11155;11105
21;12893;12577;12987;12496;12345;11858;11855;11726;12044;12259;12266;12527;12169;11606;11439;11213;11139;11215
22;12825;12717;12591;13012;12424;12318;11924;11885;11821;12142;12246;12209;12452;12124;11584;11471;11266;11153
23;12863;12661;12696;12600;12961;12388;12324;11996;11910;11932;12181;12163;12139;12408;12102;11532;11480;11238
24;12644;12708;12665;12738;12520;12827;12480;12334;12024;12000;11916;12150;12127;12084;12339;12048;11492;11450
25;13088;12435;12837;12763;12604;12400;12820;12466;12353;12014;11967;11840;12039;12081;12036;12218;12003;11424
26;13224;12994;12532;12934;12805;12447;12316;12767;12426;12356;11990;11847;11786;12005;12007;11952;12080;11835
27;13616;13100;13116;12684;12965;12765;12365;12253;12686;12508;12319;11916;11759;11689;11928;11963;11824;11930
28;13417;13549;13267;13326;12725;12903;12767;12353;12242;12760;12533;12156;11842;11740;11643;11823;11854;11698
29;13195;13306;13783;13429;13367;12790;12945;12742;12394;12333;12683;12377;12078;11767;11671;11581;11668;11718
30;13559;13152;13554;14086;13530;13380;12884;13019;12879;12483;12335;12568;12342;12040;11742;11614;11492;11623
31;13147;13519;13320;13770;14065;13578;13475;12935;13063;13010;12511;12304;12559;12283;12033;11736;11559;11444
32;13702;13102;13693;13490;13764;14104;13694;13528;12977;13162;13018;12447;12264;12554;12313;12049;11708;11557
33;13678;13635;13269;13852;13588;13806;14282;13740;13594;13151;13269;12921;12400;12256;12515;12257;12030;11706
34;13674;13594;13845;13448;13938;13637;13961;14376;13839;13746;13234;13243;12905;12468;12278;12458;12241;11972
35;13775;13616;13809;13990;13563;14008;13769;14050;14444;13942;13766;13199;13202;12917;12531;12288;12446;12286
36;14054;13742;13820;14009;14069;13632;14079;13855;14117;14560;14051;13737;13188;13270;12870;12489;12292;12494
37;14361;14048;13904;13986;14081;14141;13771;14200;13905;14217;14566;14047;13760;13179;13238;12867;12482;12356
