"Popolazione per età, vista per singola area - Provincia: Catania"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Catania"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11085;11406;11751;11732;11501;11238;11188;11373;10941;10706;10578;10651;10532;10629;10363;9840;9658;9380
1;11216;11082;11417;11732;11726;11462;11252;11145;11310;10860;10680;10588;10633;10425;10541;10283;9761;9551
2;11528;11231;11112;11416;11733;11687;11480;11190;11127;11235;10764;10678;10538;10595;10352;10425;10206;9722
3;11304;11502;11296;11172;11422;11680;11693;11475;11186;11091;11181;10814;10715;10537;10546;10227;10306;10163
4;11431;11327;11533;11363;11213;11389;11678;11680;11468;11156;11039;11214;10863;10724;10486;10491;10142;10205
5;11719;11435;11391;11573;11431;11241;11420;11694;11697;11496;11122;11078;11238;10879;10726;10407;10443;10071
6;12017;11732;11517;11459;11618;11472;11327;11447;11684;11680;11474;11122;11062;11236;10842;10683;10339;10378
7;12515;12006;11768;11595;11520;11633;11545;11374;11453;11704;11694;11491;11114;11053;11227;10797;10662;10279
8;13006;12537;12029;11820;11669;11533;11660;11582;11437;11490;11676;11679;11475;11123;11024;11211;10789;10643
9;13909;13032;12579;12079;11869;11699;11605;11702;11649;11476;11532;11681;11663;11458;11103;10971;11196;10801
10;13955;13903;13064;12640;12120;11918;11764;11685;11732;11722;11502;11509;11654;11618;11434;11063;10932;11165
11;14089;13939;13938;13125;12676;12134;11970;11839;11726;11784;11744;11527;11470;11637;11602;11398;11045;10887
12;14053;14067;13960;13971;13193;12702;12181;12038;11914;11808;11803;11770;11517;11458;11597;11555;11383;11016
13;13950;14010;14094;13962;13999;13205;12741;12246;12117;11984;11864;11812;11792;11524;11446;11568;11521;11351
14;13559;13946;14031;14121;13959;14001;13282;12805;12286;12149;12019;11857;11816;11820;11512;11423;11552;11465
15;13780;13560;13955;14033;14151;13929;14039;13333;12857;12352;12194;12033;11865;11818;11811;11501;11390;11514
16;14081;13759;13592;13977;14056;14128;14000;14080;13406;12917;12381;12190;12046;11877;11831;11804;11508;11399
17;14403;14041;13747;13647;13998;14046;14171;14043;14105;13472;12945;12403;12224;12081;11884;11832;11891;11519
18;13985;14357;14037;13726;13690;14028;14101;14228;14084;14163;13542;12990;12424;12304;12161;12031;12102;12009
19;14769;13916;14338;14004;13716;13702;14102;14159;14288;14130;14198;13594;13014;12478;12314;12173;12099;12145
20;14516;14670;13925;14327;14010;13661;13796;14108;14210;14320;14148;14184;13601;13022;12460;12251;12129;12041
21;14606;14388;14657;13893;14337;13922;13665;13896;14166;14279;14322;14164;14195;13567;13002;12410;12198;12074
22;14762;14501;14385;14565;13842;14273;13967;13686;13978;14236;14289;14341;14177;14185;13514;12892;12359;12112
23;15251;14608;14515;14284;14501;13771;14284;14010;13721;14046;14259;14259;14339;14148;14163;13423;12798;12292
24;15045;15089;14630;14395;14231;14387;13788;14294;14056;13767;14083;14229;14268;14281;14047;14043;13276;12697
25;15661;14893;15078;14534;14348;14106;14349;13751;14313;14056;13742;14079;14249;14207;14216;13966;13852;13122
26;15680;15563;14941;14973;14479;14218;14107;14349;13737;14286;13990;13756;14039;14146;14103;14091;13813;13659
27;16288;15566;15643;14874;14891;14403;14284;14078;14307;13648;14223;13948;13732;13945;14063;13946;13854;13620
28;15867;16188;15606;15579;14871;14869;14422;14224;14058;14306;13639;14184;13912;13614;13839;13878;13749;13683
29;15915;15734;16233;15541;15624;14833;14959;14418;14233;14025;14285;13679;14159;13831;13497;13678;13654;13534
30;16327;15798;15824;16177;15602;15559;14912;14998;14403;14267;14009;14303;13682;14119;13719;13371;13516;13511
31;16016;16207;15904;15796;16246;15583;15666;14911;15043;14403;14221;14015;14310;13620;14073;13615;13238;13363
32;16471;15953;16311;15921;15853;16285;15736;15621;15019;15093;14401;14262;13992;14225;13535;13933;13499;13170
33;16072;16439;16067;16310;15948;15925;16416;15719;15645;15039;15075;14406;14251;13952;14101;13436;13819;13397
34;16246;16147;16603;16122;16444;16062;16116;16449;15824;15765;15072;15147;14426;14188;13905;14007;13328;13768
35;16321;16252;16286;16645;16242;16429;16201;16063;16500;15853;15726;15145;15159;14414;14141;13830;13911;13256
36;16174;16326;16381;16374;16720;16276;16514;16186;16061;16550;15877;15786;15133;15139;14387;14077;13762;13807
37;16540;16135;16407;16386;16387;16674;16350;16522;16188;16038;16545;15908;15777;15084;15124;14339;14001;13719
38;15749;16508;16193;16475;16448;16371;16696;16355;16509;16173;16012;16580;15881;15763;15033;15053;14267;14017
39;15975;15719;16619;16208;16542;16461;16425;16671;16319;16524;16138;16071;16565;15858;15724;14934;14971;14220
