"Popolazione per età, vista per singola area - Provincia: Catanzaro"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Catanzaro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3483;3262;3317;3277;3104;3185;3168;3153;3081;3100;3033;3166;2947;2991;2923;3010;2813;2602
1;3495;3485;3236;3313;3271;3072;3198;3162;3159;3046;3083;3041;3152;2944;3001;2907;2999;2831
2;3554;3489;3478;3248;3313;3257;3088;3218;3170;3162;3006;3084;3045;3144;2944;2974;2893;2976
3;3574;3512;3488;3462;3232;3324;3289;3095;3220;3167;3153;3011;3094;3046;3120;2942;2960;2887
4;3597;3582;3505;3510;3451;3237;3345;3296;3113;3228;3179;3160;3041;3082;3048;3122;2918;2943
5;3639;3600;3586;3484;3526;3452;3267;3346;3309;3118;3242;3176;3161;3020;3081;3054;3122;2909
6;3844;3626;3600;3581;3489;3539;3473;3275;3348;3342;3123;3245;3187;3143;3022;3058;3051;3113
7;3827;3832;3626;3610;3574;3495;3550;3471;3288;3358;3351;3126;3253;3185;3141;3041;3069;3034
8;4059;3819;3852;3636;3631;3563;3514;3561;3468;3291;3363;3368;3139;3264;3203;3143;3024;3045
9;4374;4053;3824;3835;3648;3626;3596;3525;3576;3500;3302;3349;3360;3128;3268;3199;3149;3028
10;4529;4372;4057;3807;3828;3639;3637;3597;3531;3574;3514;3289;3364;3361;3119;3271;3193;3135
11;4635;4508;4378;4057;3825;3837;3662;3639;3622;3539;3573;3512;3297;3365;3358;3117;3289;3188
12;4625;4627;4496;4365;4063;3831;3847;3676;3638;3632;3550;3583;3520;3304;3372;3352;3112;3278
13;4754;4606;4615;4480;4370;4073;3857;3860;3688;3638;3651;3554;3584;3524;3312;3380;3354;3103
14;4567;4750;4592;4609;4481;4371;4085;3878;3878;3687;3655;3653;3548;3588;3526;3324;3366;3346
15;4755;4565;4755;4578;4613;4470;4362;4106;3883;3894;3696;3644;3642;3552;3586;3515;3322;3364
16;4817;4730;4575;4751;4571;4593;4489;4371;4131;3892;3904;3704;3652;3647;3546;3602;3515;3326
17;5144;4800;4718;4576;4761;4560;4587;4522;4386;4142;3930;3904;3697;3671;3663;3574;3610;3521
18;5067;5116;4786;4688;4573;4750;4552;4613;4531;4419;4163;3942;3917;3713;3701;3751;3654;3655
19;5233;5018;5078;4740;4651;4561;4761;4550;4633;4552;4432;4171;3939;3925;3733;3759;3816;3649
20;5110;5162;4981;5023;4683;4593;4577;4757;4543;4642;4553;4423;4165;3931;3943;3758;3778;3801
21;5261;5037;5123;4914;4977;4648;4638;4594;4755;4543;4643;4555;4451;4165;3931;3939;3778;3727
22;5241;5157;4992;5048;4872;4908;4663;4620;4612;4789;4559;4668;4532;4464;4183;3938;3967;3744
23;5359;5192;5097;4949;4953;4840;4914;4686;4650;4652;4805;4571;4660;4514;4455;4149;3927;3915
24;5359;5259;5143;5024;4877;4888;4869;4925;4672;4634;4646;4832;4578;4662;4525;4452;4128;3871
25;5435;5344;5220;5072;4970;4807;4883;4844;4892;4681;4600;4639;4815;4555;4660;4500;4431;4071
26;5374;5423;5340;5173;4981;4882;4786;4857;4814;4864;4664;4601;4617;4771;4529;4581;4445;4333
27;5476;5368;5459;5257;5113;4919;4848;4750;4813;4793;4825;4668;4557;4558;4706;4450;4499;4311
28;5373;5462;5365;5365;5184;5026;4919;4808;4709;4775;4773;4753;4621;4480;4516;4663;4402;4411
29;5414;5391;5485;5244;5272;5111;5056;4871;4755;4674;4735;4735;4671;4541;4447;4449;4578;4290
30;5549;5428;5371;5405;5176;5233;5126;5030;4850;4706;4646;4684;4700;4590;4470;4433;4407;4502
31;5562;5501;5375;5243;5309;5078;5222;5093;4999;4801;4650;4599;4654;4614;4550;4466;4352;4330
32;5637;5476;5398;5216;5087;5186;5032;5159;5039;4921;4708;4624;4568;4572;4604;4510;4394;4280
33;5431;5572;5420;5263;5122;4983;5143;4989;5108;5007;4862;4686;4585;4496;4542;4562;4460;4308
34;5504;5347;5521;5321;5187;5029;4961;5131;4943;5088;4955;4841;4679;4550;4507;4507;4537;4422
35;5626;5476;5321;5426;5248;5120;4993;4981;5122;4950;5062;4914;4838;4639;4533;4500;4492;4462
36;5518;5595;5485;5307;5428;5251;5166;5024;4997;5147;4936;5053;4862;4812;4601;4509;4449;4451
37;5835;5472;5582;5431;5286;5389;5287;5179;5018;5020;5148;4934;5036;4843;4792;4603;4462;4423
38;5639;5794;5458;5538;5409;5273;5408;5289;5181;5010;5009;5105;4958;5021;4823;4763;4568;4445
39;5530;5578;5820;5425;5536;5388;5336;5425;5318;5196;5023;4998;5080;4926;5013;4803;4733;4520
40;5359;5510;5578;5783;5395;5535;5399;5361;5427;5326;5189;5026;4988;5077;4908;5007;4796;4722
41;5608;5344;5523;5551;5750;5387;5539;5421;5383;5434;5346;5181;5030;4975;5070;4874;4986;4793
42;5287;5568;5359;5515;5510;5745;5414;5543;5420;5416;5417;5344;5184;5017;4950;5042;4856;4953
43;4972;5253;5549;5343;5483;5487;5792;5387;5537;5429;5427;5408;5354;5178;5007;4922;4995;4837
44;5066;4954;5270;5538;5351;5490;5518;5823;5403;5555;5440;5421;5389;5340;5190;5001;4913;4972
45;5087;5058;4953;5263;5528;5329;5483;5525;5827;5408;5565;5469;5406;5375;5336;5169;4989;4890
46;5023;5081;5067;4961;5226;5504;5341;5489;5528;5839;5397;5562;5472;5400;5359;5328;5167;4968
47;4979;5002;5079;5063;4955;5215;5532;5349;5486;5535;5844;5399;5562;5478;5389;5345;5305;5151
48;4762;4952;4990;5027;5061;4930;5240;5521;5340;5480;5551;5842;5385;5556;5461;5364;5334;5277
49;4493;4745;4956;4963;4998;5042;4933;5237;5473;5361;5488;5558;5840;5384;5538;5455;5327;5305
50;4708;4466;4752;4960;4941;4969;5046;4946;5221;5460;5337;5480;5544;5819;5372;5534;5455;5293
51;4773;4669;4457;4726;4939;4927;4974;5067;4942;5228;5457;5333;5490;5558;5824;5375;5507;5439
52;4660;4739;4650;4446;4694;4910;4936;4958;5073;4937;5211;5443;5328;5464;5531;5820;5359;5482
53;4702;4649;4738;4618;4414;4683;4939;4925;4957;5053;4928;5193;5431;5308;5446;5515;5796;5349
54;4643;4687;4628;4699;4585;4400;4693;4937;4890;4949;5040;4917;5192;5417;5305;5411;5500;5752
55;4338;4626;4683;4593;4680;4565;4377;4677;4931;4862;4936;5029;4902;5174;5404;5298;5390;5464
56;3456;4333;4622;4655;4559;4642;4546;4360;4682;4911;4866;4914;5018;4897;5154;5396;5262;5377
57;3488;3428;4302;4593;4612;4559;4613;4525;4344;4670;4886;4841;4908;5007;4871;5144;5377;5216
58;3594;3465;3407;4302;4567;4589;4549;4599;4522;4315;4650;4867;4813;4897;4997;4857;5119;5331
59;3564;3570;3446;3397;4299;4554;4581;4521;4562;4505;4294;4644;4847;4798;4869;4971;4829;5089
60;3351;3546;3561;3427;3382;4262;4541;4569;4497;4567;4492;4265;4625;4836;4783;4856;4938;4813
61;3903;3327;3517;3534;3395;3332;4253;4511;4570;4474;4547;4478;4252;4602;4822;4766;4819;4916
62;3750;3858;3307;3490;3499;3367;3318;4260;4487;4541;4457;4505;4461;4226;4580;4795;4733;4783
63;3587;3731;3825;3299;3468;3461;3339;3291;4259;4467;4519;4420;4487;4433;4212;4564;4755;4689
64;3664;3569;3718;3781;3242;3446;3437;3307;3262;4219;4445;4475;4417;4468;4405;4188;4540;4704
65;3614;3642;3548;3697;3743;3214;3432;3418;3289;3230;4188;4407;4439;4374;4426;4363;4171;4504
66;3717;3585;3622;3518;3661;3699;3174;3415;3370;3273;3205;4156;4368;4411;4331;4383;4310;4129
67;3799;3672;3545;3589;3475;3621;3671;3134;3373;3334;3235;3174;4119;4313;4374;4282;4330;4275
68;3835;3744;3632;3486;3555;3412;3585;3618;3108;3332;3297;3205;3123;4071;4258;4329;4233;4298
69;3768;3784;3690;3567;3439;3501;3370;3523;3552;3062;3290;3259;3173;3092;4023;4188;4255;4174
70;3738;3719;3732;3623;3501;3373;3452;3315;3453;3507;3015;3239;3194;3116;3029;3960;4132;4205
71;3696;3664;3667;3650;3549;3442;3312;3385;3260;3386;3435;2955;3197;3132;3060;2986;3902;4078
72;3397;3623;3579;3584;3562;3487;3371;3256;3333;3212;3316;3360;2890;3139;3085;3016;2938;3833
73;3213;3321;3535;3507;3490;3493;3403;3302;3159;3256;3150;3246;3321;2836;3058;3026;2938;2857
74;2991;3140;3213;3429;3416;3397;3409;3324;3221;3098;3169;3071;3174;3256;2784;3008;2962;2863
75;2919;2922;3068;3121;3327;3335;3287;3310;3254;3144;3017;3089;2995;3096;3177;2717;2916;2872
76;2904;2856;2824;2984;3012;3228;3225;3166;3203;3158;3035;2947;3013;2911;3017;3094;2623;2839
77;2663;2804;2752;2745;2894;2892;3109;3132;3049;3095;3064;2946;2876;2916;2809;2916;3013;2538
78;2592;2556;2663;2675;2631;2771;2752;2984;2990;2926;2999;2970;2855;2787;2831;2711;2800;2924
79;2252;2476;2448;2539;2560;2519;2660;2639;2841;2871;2816;2907;2864;2762;2673;2718;2605;2679
80;2207;2135;2318;2326;2410;2437;2398;2532;2529;2710;2723;2682;2783;2739;2638;2552;2609;2499
81;2083;2073;2023;2195;2199;2255;2280;2275;2364;2387;2583;2582;2541;2651;2602;2511;2423;2483
82;1264;1954;1964;1887;2040;2045;2141;2145;2149;2213;2248;2440;2433;2411;2508;2464;2372;2276
83;866;1156;1804;1845;1733;1870;1890;1969;1987;1992;2061;2092;2284;2297;2264;2354;2305;2217
84;954;800;1053;1659;1680;1592;1708;1689;1854;1845;1826;1916;1945;2102;2142;2113;2189;2148
85;1003;863;709;958;1498;1512;1450;1560;1543;1706;1713;1686;1786;1791;1937;1973;1959;2044
86;1136;898;788;652;845;1366;1367;1316;1413;1409;1559;1574;1523;1620;1641;1790;1809;1774
87;924;1016;806;690;583;762;1199;1218;1188;1263;1269;1382;1406;1393;1442;1488;1600;1625
88;910;802;867;716;610;513;679;1057;1062;1041;1118;1138;1234;1261;1240;1301;1286;1421
89;716;753;640;734;618;544;447;582;933;923;877;973;1007;1057;1092;1112;1151;1121
90;497;616;610;528;622;515;462;397;485;823;794;753;847;873;920;931;964;978
91;424;426;507;518;439;509;438;377;339;427;708;660;624;726;720;786;796;810
92;367;331;345;411;423;369;407;359;298;270;359;577;569;515;572;596;670;665
93;251;284;254;293;317;349;301;328;289;216;221;283;486;467;415;474;479;545
94;178;197;221;201;216;245;290;231;273;216;178;168;234;390;372;329;378;383
95;139;131;131;157;160;168;191;218;179;228;162;135;139;176;288;295;247;292
96;97;103;90;97;117;128;118;145;165;135;165;112;102;112;136;218;218;194
97;69;68;86;70;69;83;94;80;98;127;101;131;78;77;91;107;159;162
98;38;54;42;66;47;54;58;76;58;75;93;68;86;63;54;60;79;119
99;25;24;35;29;41;33;38;40;50;39;64;55;44;57;50;35;43;55
100 e oltre;43;45;50;55;51;56;60;64;71;80;84;98;97;97;87;84;73;71
Totale;368911;367753;367316;365579;363711;362106;362715;362614;362248;362124;361571;361015;360340;359072;357926;356897;355000;352065
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1740;1712;1694;1702;1576;1686;1646;1559;1589;1568;1575;1627;1496;1553;1484;1551;1462;1332
1;1775;1741;1695;1692;1704;1550;1688;1652;1554;1564;1553;1574;1625;1489;1562;1485;1543;1477
2;1745;1769;1747;1696;1697;1698;1565;1703;1657;1556;1546;1554;1577;1629;1497;1552;1481;1539
3;1811;1726;1774;1734;1694;1702;1708;1579;1710;1653;1551;1542;1552;1585;1610;1496;1543;1479
4;1812;1821;1725;1794;1729;1694;1713;1705;1581;1723;1661;1554;1550;1542;1586;1609;1478;1531
5;1840;1821;1824;1711;1793;1729;1711;1710;1713;1583;1733;1661;1554;1533;1544;1590;1609;1475
6;1924;1839;1824;1817;1720;1802;1733;1718;1703;1735;1587;1729;1658;1543;1534;1537;1586;1611
7;1937;1919;1848;1831;1821;1727;1802;1734;1719;1700;1733;1587;1727;1659;1544;1550;1555;1579
8;2069;1930;1926;1856;1845;1810;1730;1803;1735;1725;1709;1743;1599;1741;1669;1553;1537;1537
9;2186;2063;1941;1929;1865;1846;1828;1732;1810;1748;1726;1698;1740;1592;1748;1662;1553;1544
10;2313;2184;2072;1931;1927;1860;1857;1831;1732;1809;1751;1714;1708;1740;1588;1750;1654;1546
11;2380;2304;2181;2066;1948;1930;1867;1865;1850;1734;1798;1748;1720;1709;1733;1588;1759;1661
12;2399;2375;2293;2176;2073;1952;1926;1883;1862;1853;1740;1806;1746;1732;1720;1738;1585;1747
13;2463;2391;2358;2280;2186;2073;1955;1933;1891;1864;1861;1738;1804;1749;1733;1725;1737;1581
14;2318;2455;2387;2358;2283;2191;2075;1969;1939;1890;1878;1858;1740;1808;1748;1746;1714;1739
15;2443;2326;2468;2382;2368;2280;2183;2087;1974;1941;1897;1870;1849;1741;1810;1746;1744;1723
16;2496;2430;2329;2467;2378;2356;2288;2185;2095;1989;1950;1906;1875;1857;1741;1822;1749;1748
17;2654;2491;2420;2338;2471;2375;2364;2304;2199;2103;2024;1954;1903;1892;1873;1760;1840;1770
18;2545;2639;2483;2404;2343;2461;2367;2383;2309;2223;2116;2030;1965;1921;1921;1946;1841;1881
19;2618;2503;2616;2462;2390;2342;2476;2354;2401;2309;2234;2125;2028;1964;1945;1968;2005;1844
20;2601;2582;2481;2585;2418;2356;2334;2472;2351;2403;2302;2220;2124;2026;1978;1968;1988;1991
21;2662;2561;2556;2440;2554;2400;2389;2334;2454;2348;2404;2304;2232;2125;2026;1980;1970;1944
22;2652;2601;2536;2514;2399;2520;2398;2385;2334;2463;2352;2406;2284;2233;2133;2038;2006;1947
23;2756;2616;2553;2503;2441;2363;2513;2404;2397;2342;2457;2360;2401;2271;2233;2122;2026;1976
24;2697;2696;2578;2513;2460;2398;2378;2515;2384;2387;2342;2487;2353;2400;2280;2237;2111;1992
25;2746;2680;2672;2517;2483;2417;2391;2350;2492;2381;2368;2344;2482;2339;2425;2279;2229;2074
26;2692;2737;2667;2639;2461;2421;2395;2380;2344;2471;2373;2365;2333;2449;2342;2399;2244;2175
27;2722;2677;2739;2628;2591;2425;2398;2383;2360;2352;2450;2367;2343;2312;2413;2310;2360;2176
28;2683;2689;2676;2683;2592;2540;2421;2377;2370;2339;2354;2408;2346;2293;2295;2383;2277;2292
29;2683;2708;2725;2629;2623;2551;2545;2377;2343;2362;2323;2331;2381;2305;2293;2267;2348;2235
30;2672;2704;2726;2672;2612;2606;2553;2545;2363;2319;2345;2312;2318;2331;2274;2292;2250;2320
31;2684;2650;2684;2650;2612;2562;2570;2523;2521;2348;2305;2341;2292;2291;2318;2287;2246;2214
32;2810;2672;2627;2623;2570;2568;2551;2537;2507;2501;2299;2291;2325;2255;2297;2289;2260;2207
33;2697;2766;2640;2555;2581;2519;2556;2520;2513;2490;2480;2302;2272;2299;2239;2277;2266;2220
34;2665;2623;2717;2550;2474;2484;2478;2522;2474;2484;2446;2466;2299;2260;2295;2222;2278;2240
35;2728;2639;2584;2664;2492;2420;2430;2459;2518;2473;2466;2431;2466;2302;2264;2287;2197;2216
36;2747;2688;2655;2587;2657;2509;2433;2440;2474;2557;2484;2468;2409;2458;2289;2253;2270;2187
37;2824;2702;2678;2620;2572;2641;2536;2456;2432;2481;2568;2482;2471;2398;2451;2285;2225;2248
38;2723;2804;2687;2655;2599;2571;2633;2542;2452;2429;2486;2557;2495;2462;2401;2432;2268;2222
39;2653;2687;2811;2662;2654;2598;2598;2647;2562;2454;2435;2478;2536;2466;2450;2384;2432;2232
40;2608;2640;2693;2790;2638;2648;2593;2612;2642;2569;2444;2434;2475;2528;2456;2454;2369;2438
41;2780;2611;2638;2677;2767;2640;2635;2589;2609;2652;2584;2430;2442;2467;2530;2436;2443;2361
