"Popolazione per età, vista per singola area - Provincia: Chieti"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Chieti"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3143;3163;3210;3136;3215;3215;3303;3363;3312;3368;3217;3213;2974;2954;2877;2840;2683;2492
1;3226;3192;3198;3247;3151;3221;3273;3303;3349;3289;3382;3232;3208;2989;2922;2857;2816;2693
2;3273;3251;3219;3201;3255;3161;3246;3285;3334;3363;3288;3414;3238;3193;3011;2922;2861;2836
3;3200;3296;3249;3231;3220;3276;3205;3266;3297;3323;3374;3310;3391;3214;3193;2994;2918;2860
4;3248;3226;3304;3277;3234;3200;3297;3228;3281;3308;3335;3409;3333;3390;3192;3190;2984;2905
5;3367;3282;3271;3324;3302;3237;3250;3324;3255;3301;3322;3366;3405;3335;3393;3209;3181;2974
6;3306;3404;3311;3267;3342;3307;3294;3258;3351;3260;3318;3340;3355;3392;3320;3382;3215;3176
7;3328;3340;3432;3352;3291;3349;3385;3318;3292;3372;3284;3338;3341;3358;3394;3318;3387;3204
8;3635;3342;3383;3450;3383;3314;3415;3417;3352;3287;3384;3289;3329;3330;3353;3396;3324;3386
9;3687;3667;3363;3413;3471;3397;3368;3435;3432;3359;3295;3402;3285;3326;3335;3368;3388;3330
10;3699;3702;3695;3401;3445;3495;3426;3418;3439;3445;3372;3291;3393;3272;3328;3332;3383;3402
11;3836;3718;3733;3709;3423;3464;3545;3467;3457;3441;3470;3375;3298;3398;3259;3330;3345;3374
12;3850;3857;3740;3758;3732;3429;3504;3580;3518;3470;3446;3494;3371;3297;3391;3247;3322;3338
13;3858;3860;3895;3759;3775;3748;3461;3536;3613;3536;3487;3446;3498;3388;3301;3382;3245;3310
14;3615;3891;3874;3910;3766;3794;3781;3493;3555;3629;3536;3489;3452;3501;3382;3300;3382;3249
15;3976;3638;3907;3891;3910;3784;3832;3796;3506;3581;3643;3536;3483;3464;3497;3371;3299;3385
16;4180;3976;3649;3934;3910;3924;3812;3858;3812;3521;3594;3637;3543;3466;3467;3487;3389;3294
17;4181;4201;3978;3679;3942;3929;3954;3839;3874;3830;3549;3594;3629;3538;3458;3453;3491;3382
18;4276;4189;4219;3968;3717;3946;3960;3996;3853;3895;3845;3542;3579;3655;3545;3473;3504;3506
19;4514;4302;4211;4236;3953;3735;4022;4038;4040;3874;3925;3859;3579;3594;3676;3570;3544;3569
20;4511;4522;4342;4252;4233;3961;3868;4109;4074;4093;3926;3959;3873;3593;3587;3699;3624;3553
21;4663;4505;4551;4375;4273;4265;4055;3964;4190;4129;4129;3956;3991;3903;3612;3622;3739;3658
22;4707;4662;4525;4588;4401;4284;4389;4160;4035;4207;4191;4187;3969;3984;3923;3618;3639;3772
23;4894;4751;4720;4548;4600;4424;4437;4513;4197;4082;4269;4237;4191;3965;3992;3930;3638;3659
24;4993;4922;4813;4753;4536;4600;4529;4502;4547;4220;4144;4295;4257;4208;3965;3964;3918;3650
25;5262;5024;4982;4884;4753;4538;4739;4616;4536;4574;4273;4166;4317;4273;4220;3937;3986;3917
26;5475;5312;5095;5044;4899;4730;4643;4826;4615;4582;4614;4288;4133;4292;4262;4223;3919;3992
27;5425;5483;5394;5148;5051;4894;4862;4669;4843;4588;4626;4603;4270;4103;4288;4247;4178;3902
28;5510;5510;5583;5454;5183;5061;5048;4980;4688;4865;4653;4627;4582;4253;4092;4242;4207;4137
29;5545;5567;5632;5622;5464;5205;5188;5120;4972;4678;4910;4655;4594;4545;4227;4085;4246;4190
30;5789;5608;5666;5704;5651;5489;5357;5308;5146;4926;4706;4904;4614;4568;4516;4203;4051;4205
31;5575;5822;5648;5692;5729;5673;5607;5405;5312;5144;4935;4729;4880;4596;4537;4466;4164;4014
