"Popolazione per età, vista per singola area - Provincia: Como"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Como"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5046;4994;5217;5457;5524;5570;5604;5766;5860;5667;5485;5530;5255;5017;5022;4839;4533;4258
1;5097;5114;5047;5292;5505;5574;5645;5662;5799;5865;5675;5554;5493;5284;5034;5037;4866;4578
2;4997;5178;5195;5088;5354;5539;5644;5679;5698;5818;5867;5707;5559;5528;5260;5031;5027;4895
3;4859;5049;5232;5268;5104;5403;5590;5689;5727;5696;5854;5869;5724;5572;5465;5259;5054;5029
4;4910;4919;5117;5322;5327;5128;5444;5656;5681;5735;5718;5876;5868;5717;5548;5461;5241;5088
5;4929;4955;4962;5193;5383;5383;5173;5458;5652;5695;5770;5731;5890;5864;5683;5539;5486;5232
6;4887;4982;5029;5030;5244;5420;5415;5226;5497;5669;5691;5793;5730;5905;5845;5688;5523;5481
7;4845;4923;5027;5115;5083;5308;5514;5459;5249;5503;5689;5712;5835;5757;5870;5854;5667;5524
8;4805;4902;4971;5096;5185;5154;5389;5538;5489;5262;5518;5702;5700;5813;5710;5855;5829;5673
9;4826;4872;4971;5027;5150;5257;5202;5469;5589;5535;5291;5531;5697;5699;5755;5710;5845;5850
10;5059;4874;4919;5019;5101;5189;5283;5276;5501;5627;5566;5309;5565;5716;5668;5745;5691;5833
11;5027;5101;4930;4983;5069;5147;5227;5336;5338;5524;5664;5576;5323;5559;5719;5671;5703;5699
12;4946;5064;5134;4977;5025;5098;5173;5262;5384;5380;5553;5683;5577;5343;5566;5710;5661;5705
13;4810;4975;5117;5180;5030;5067;5126;5240;5306;5449;5431;5584;5669;5593;5330;5544;5698;5696
14;4664;4839;5009;5181;5232;5080;5141;5177;5270;5341;5484;5453;5592;5678;5595;5352;5552;5730
15;4894;4685;4883;5062;5222;5263;5126;5165;5239;5302;5361;5517;5447;5607;5685;5583;5338;5558
16;4996;4889;4727;4939;5103;5260;5285;5168;5214;5288;5334;5406;5532;5485;5629;5715;5581;5357
17;5010;5044;4908;4799;4999;5146;5294;5340;5226;5256;5328;5354;5429;5543;5514;5621;5727;5617
18;5326;5055;5071;4991;4873;5081;5192;5372;5405;5300;5314;5386;5372;5454;5569;5539;5668;5741
19;5366;5367;5126;5170;5032;4939;5146;5290;5425;5467;5366;5360;5410;5376;5493;5636;5598;5763
20;5476;5378;5421;5221;5216;5035;5037;5245;5370;5475;5501;5468;5418;5455;5393;5580;5673;5688
21;5595;5511;5482;5562;5251;5279;5135;5158;5341;5445;5524;5590;5513;5438;5506;5463;5636;5734
22;5938;5641;5592;5607;5648;5303;5400;5278;5238;5445;5532;5616;5694;5544;5500;5575;5518;5681
23;6233;5990;5797;5719;5700;5706;5411;5541;5379;5346;5564;5652;5716;5758;5588;5585;5639;5638
24;6688;6347;6208;5920;5830;5793;5853;5583;5669;5516;5478;5663;5745;5821;5817;5676;5679;5703
25;7292;6809;6629;6431;6055;5973;5948;6057;5758;5851;5676;5641;5819;5806;5923;5927;5771;5743
26;7875;7451;7128;6911;6568;6191;6143;6158;6236;5890;6022;5851;5772;5923;5948;6023;5997;5885
27;8197;8064;7790;7409;7079;6699;6357;6308;6319;6399;6059;6143;6003;5850;6059;6037;6125;6155
28;8368;8400;8463;8180;7704;7289;6906;6632;6508;6482;6625;6201;6259;6090;5949;6122;6141;6208
29;8645;8563;8833;8764;8442;7865;7471;7116;6774;6628;6650;6771;6329;6363;6200;6113;6215;6223
30;8792;8829;8896;9170;9014;8648;8083;7746;7276;6946;6831;6809;6880;6410;6439;6303;6170;6248
31;8594;8971;9132;9141;9396;9150;8767;8264;7846;7430;7046;6942;6910;6920;6466;6469;6363;6182
32;9157;8743;9182;9296;9341;9452;9217;8891;8290;7871;7485;7141;7067;6909;6956;6511;6518;6450
33;9130;9277;8992;9356;9464;9367;9548;9378;8898;8404;7898;7560;7233;7110;6998;6980;6540;6550
34;9273;9296;9449;9149;9542;9484;9387;9611;9379;8906;8426;8008;7612;7298;7105;7048;6971;6620
35;9676;9438;9418;9570;9237;9571;9560;9504;9641;9445;8912;8467;8111;7667;7322;7127;7084;7040
36;9590;9811;9658;9591;9782;9316;9721;9762;9620;9758;9542;8954;8484;8144;7640;7338;7172;7152
37;9670;9689;9992;9806;9734;9876;9379;9821;9810;9690;9821;9588;9016;8503;8090;7639;7345;7232
38;8997;9756;9861;10115;9888;9804;10008;9485;9907;9886;9734;9879;9596;9026;8538;8090;7648;7375
39;8514;9056;9949;9953;10187;9952;9843;10105;9587;9977;9911;9799;9921;9619;8972;8540;8137;7694
40;8375;8541;9193;10077;10026;10241;10048;9917;10173;9596;9983;9990;9838;9941;9613;9006;8530;8202
41;8175;8413;8647;9298;10108;10071;10284;10138;9977;10199;9601;10007;10071;9823;9912;9605;9024;8597
42;7996;8213;8527;8768;9336;10176;10133;10358;10185;10051;10244;9638;9980;10050;9804;9901;9587;9056
43;7400;8038;8296;8653;8810;9412;10252;10183;10390;10199;10070;10321;9646;10002;10020;9804;9875;9589
44;7569;7410;8111;8362;8697;8834;9413;10297;10216;10435;10180;10082;10338;9678;10003;10014;9750;9820
45;7382;7575;7515;8179;8387;8738;8892;9457;10309;10256;10432;10195;10093;10316;9669;9998;9988;9746
46;7198;7403;7626;7612;8228;8418;8772;8892;9447;10300;10262;10443;10190;10111;10285;9639;9984;10009
47;7159;7221;7481;7676;7652;8225;8444;8799;8890;9490;10294;10274;10438;10192;10062;10260;9621;9988
48;7205;7165;7266;7539;7706;7697;8250;8484;8821;8919;9508;10306;10257;10422;10161;10033;10216;9581
49;7363;7221;7207;7301;7568;7718;7720;8302;8513;8809;8904;9543;10263;10203;10396;10136;10001;10219
50;7289;7377;7274;7239;7312;7597;7744;7744;8309;8491;8828;8916;9521;10277;10196;10384;10125;9994
51;7605;7286;7398;7325;7270;7318;7600;7735;7737;8325;8496;8827;8925;9465;10249;10182;10351;10097
