"Popolazione per età, vista per singola area - Provincia: Cosenza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Cosenza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6392;6355;6416;6330;6163;6233;6099;6071;6282;5860;5949;5718;5733;5614;5649;5587;5349;5175
1;6491;6357;6337;6375;6311;6153;6272;6093;6076;6258;5837;5940;5680;5721;5594;5588;5584;5337
2;6591;6486;6388;6362;6365;6335;6213;6299;6079;6096;6279;5820;5935;5668;5684;5612;5583;5570
3;6632;6573;6496;6385;6368;6361;6396;6233;6310;6085;6125;6259;5849;5901;5663;5669;5608;5554
4;6662;6623;6581;6501;6405;6371;6418;6423;6264;6335;6087;6112;6248;5843;5898;5656;5667;5602
5;7012;6653;6616;6574;6499;6411;6418;6458;6461;6281;6370;6107;6117;6254;5836;5884;5644;5651
6;7084;6980;6666;6610;6577;6499;6452;6461;6475;6470;6317;6379;6071;6096;6256;5833;5866;5647
7;7491;7075;6983;6669;6615;6551;6555;6501;6506;6482;6499;6317;6367;6095;6090;6240;5822;5851
8;8022;7511;7085;6967;6677;6638;6568;6583;6532;6533;6533;6497;6298;6366;6084;6056;6237;5809
9;8232;8017;7491;7063;6963;6642;6678;6590;6621;6544;6557;6530;6480;6306;6349;6080;6042;6236
10;8468;8236;8002;7521;7053;6966;6708;6722;6632;6636;6564;6564;6531;6490;6264;6343;6083;6061
11;8638;8445;8253;7991;7517;7027;7015;6739;6783;6619;6675;6564;6551;6532;6486;6262;6333;6086
12;9150;8610;8444;8255;7984;7517;7064;7064;6789;6800;6636;6673;6566;6565;6518;6472;6265;6323
13;9114;9118;8577;8394;8255;7933;7547;7082;7097;6795;6822;6632;6680;6572;6540;6518;6471;6252
14;8933;9096;9099;8588;8346;8229;7966;7572;7085;7116;6816;6830;6622;6667;6556;6535;6504;6453
15;9134;8916;9100;9067;8553;8288;8266;7964;7600;7098;7129;6800;6813;6613;6664;6543;6523;6498
16;9502;9083;8913;9087;9017;8516;8316;8278;7981;7621;7140;7124;6813;6800;6585;6656;6557;6539
17;9599;9453;9067;8900;9075;8975;8551;8327;8301;8003;7632;7135;7121;6822;6800;6612;6688;6578
18;9810;9539;9425;9026;8887;9039;9052;8588;8347;8337;8050;7617;7145;7161;6832;6837;6767;6767
19;10034;9721;9499;9405;8969;8852;9118;9052;8620;8379;8370;8063;7630;7159;7185;6881;6954;6880
20;10278;9922;9679;9448;9315;8912;8972;9160;9083;8635;8413;8383;8084;7647;7150;7243;6941;7019
21;10281;10159;9868;9580;9370;9216;9009;9001;9211;9094;8671;8426;8384;8085;7658;7169;7306;6988
22;10492;10146;10119;9773;9475;9303;9328;9012;9059;9241;9138;8695;8458;8389;8046;7697;7178;7302
23;10560;10371;10134;10024;9669;9403;9431;9368;9051;9110;9296;9175;8721;8430;8372;8036;7693;7201
24;10893;10434;10323;10013;9856;9555;9502;9485;9349;9042;9126;9286;9164;8727;8449;8339;8029;7691
25;11024;10801;10381;10223;9880;9699;9600;9514;9434;9326;9045;9115;9262;9141;8673;8391;8279;7961
