"Popolazione per età, vista per singola area - Provincia: Cremona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Cremona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2810;2802;2794;2919;3050;3071;3238;3439;3370;3299;3086;3126;2874;2891;2738;2603;2562;2478
1;2839;2869;2868;2853;3002;3084;3155;3282;3464;3338;3309;3107;3105;2895;2886;2769;2588;2605
2;2783;2920;2933;2877;2918;3062;3144;3227;3281;3464;3339;3328;3130;3090;2906;2901;2768;2646
3;2770;2828;2975;2966;2898;2977;3154;3216;3247;3292;3447;3343;3326;3122;3095;2928;2896;2777
4;2728;2841;2878;3043;3022;2925;3045;3181;3229;3257;3308;3461;3334;3356;3098;3119;2927;2910
5;2702;2773;2890;2910;3053;3030;2983;3077;3161;3213;3261;3340;3453;3325;3356;3093;3115;2972
6;2813;2748;2833;2922;2960;3083;3088;3049;3105;3167;3236;3265;3299;3443;3316;3331;3058;3102
7;2734;2833;2801;2864;2953;2991;3164;3142;3076;3105;3158;3232;3237;3278;3424;3307;3303;3061
8;2720;2781;2858;2841;2909;3022;3068;3208;3176;3092;3127;3181;3226;3213;3274;3413;3290;3289
9;2750;2776;2832;2882;2869;2950;3099;3114;3245;3189;3101;3150;3164;3215;3202;3272;3405;3287
10;2773;2812;2822;2881;2917;2891;3032;3146;3148;3253;3194;3103;3154;3149;3202;3207;3246;3424
11;2858;2815;2827;2870;2925;2943;2988;3067;3173;3150;3278;3227;3102;3142;3135;3208;3195;3259
12;2820;2861;2847;2864;2912;2979;2985;3036;3090;3179;3178;3285;3216;3093;3121;3133;3195;3235
13;2781;2855;2897;2890;2912;2957;3022;3047;3062;3102;3194;3185;3283;3212;3104;3124;3118;3208
14;2721;2812;2890;2939;2936;2938;3021;3075;3085;3067;3118;3191;3170;3278;3219;3100;3117;3143
15;2680;2757;2856;2930;2971;2987;2991;3074;3095;3093;3089;3141;3207;3172;3268;3221;3085;3133
16;2937;2723;2799;2895;2977;3005;3041;3058;3077;3117;3106;3093;3113;3224;3186;3287;3194;3089
17;2935;2964;2743;2845;2933;3030;3057;3106;3095;3098;3135;3117;3103;3113;3236;3186;3291;3190
18;3022;2986;3038;2816;2896;2992;3116;3160;3150;3134;3127;3159;3139;3124;3128;3255;3215;3313
19;3234;3038;3052;3096;2859;2940;3077;3214;3228;3174;3181;3152;3168;3146;3135;3174;3354;3270
20;3226;3262;3086;3105;3119;2870;3066;3180;3287;3301;3226;3210;3182;3184;3170;3158;3267;3456
21;3307;3262;3401;3154;3153;3165;3058;3217;3226;3308;3347;3268;3280;3195;3216;3202;3238;3364
22;3549;3328;3421;3496;3214;3206;3299;3202;3255;3286;3406;3395;3312;3306;3199;3240;3279;3302
23;3796;3622;3473;3508;3540;3269;3398;3453;3273;3338;3369;3480;3411;3325;3316;3237;3311;3378
24;4070;3874;3819;3597;3559;3593;3461;3552;3530;3385;3422;3447;3557;3473;3387;3370;3310;3376
25;4487;4172;4045;3934;3678;3597;3754;3605;3648;3619;3466;3500;3476;3617;3467;3423;3447;3408
26;4614;4575;4393;4219;4001;3751;3769;3932;3663;3743;3709;3548;3516;3528;3634;3486;3471;3499
27;4941;4731;4772;4562;4310;4054;3964;3878;4003;3733;3825;3791;3609;3520;3520;3689;3518;3546
