"Popolazione per età, vista per singola area - Provincia: Crotone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Crotone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1797;1722;1850;1902;1812;1781;1688;1773;1729;1809;1665;1649;1609;1517;1547;1519;1492;1447
1;1898;1797;1700;1850;1893;1815;1779;1684;1790;1740;1817;1673;1665;1598;1518;1559;1503;1485
2;1848;1887;1790;1702;1834;1895;1813;1790;1695;1787;1731;1811;1688;1662;1587;1506;1548;1494
3;1914;1838;1887;1791;1704;1848;1897;1797;1801;1716;1813;1738;1815;1673;1651;1565;1494;1549
4;1854;1900;1832;1882;1804;1697;1861;1918;1818;1807;1721;1810;1751;1805;1655;1645;1548;1492
5;1928;1829;1904;1825;1881;1809;1717;1870;1928;1851;1809;1721;1824;1746;1801;1652;1617;1550
6;1983;1919;1822;1903;1815;1879;1808;1723;1882;1962;1861;1828;1727;1843;1751;1802;1639;1608
7;2047;1974;1907;1815;1894;1807;1887;1830;1744;1895;1949;1857;1842;1723;1838;1738;1786;1647
8;2170;2039;1975;1916;1814;1896;1815;1904;1846;1753;1894;1950;1856;1841;1721;1824;1730;1789
9;2272;2149;2043;1969;1920;1821;1908;1830;1916;1874;1761;1906;1962;1873;1831;1703;1820;1723
10;2312;2251;2148;2044;1960;1918;1831;1924;1836;1926;1879;1753;1915;1951;1860;1828;1684;1825
11;2388;2296;2245;2154;2040;1961;1935;1828;1937;1853;1934;1883;1773;1907;1952;1853;1802;1681
12;2478;2391;2299;2254;2151;2049;1975;1950;1844;1952;1856;1956;1893;1774;1907;1951;1847;1815
13;2459;2453;2392;2297;2239;2158;2042;1989;1956;1848;1955;1864;1973;1892;1789;1891;1938;1841
14;2412;2445;2456;2378;2296;2242;2167;2035;1997;1973;1848;1961;1890;1987;1900;1790;1876;1930
15;2503;2410;2440;2444;2351;2290;2249;2176;2045;2005;1974;1868;1974;1904;1998;1889;1773;1872
16;2542;2487;2416;2445;2440;2354;2293;2263;2174;2062;2013;1998;1889;1980;1914;2008;1885;1784
17;2628;2514;2483;2424;2454;2431;2364;2284;2269;2188;2060;2016;2013;1881;1992;1921;2034;1885
18;2638;2602;2487;2480;2429;2441;2450;2373;2278;2289;2188;2077;2032;2012;1920;2046;2005;2059
19;2743;2602;2575;2432;2434;2407;2448;2435;2363;2274;2292;2201;2108;2055;2016;1984;2096;2029
20;2666;2695;2570;2542;2382;2389;2389;2450;2430;2357;2275;2301;2214;2102;2063;2059;2004;2081
21;2761;2593;2643;2517;2487;2359;2410;2382;2429;2432;2342;2275;2331;2222;2100;2139;2096;1980
22;2773;2693;2541;2574;2456;2428;2346;2387;2381;2425;2404;2338;2271;2321;2223;2180;2154;2089
23;2682;2703;2656;2488;2538;2393;2423;2317;2377;2399;2426;2409;2352;2256;2307;2293;2189;2137
24;2620;2643;2664;2590;2436;2483;2390;2406;2299;2354;2370;2408;2415;2333;2274;2380;2287;2188
25;2774;2567;2621;2620;2536;2389;2466;2360;2372;2283;2327;2352;2414;2434;2350;2304;2350;2271
26;2723;2733;2529;2591;2562;2459;2381;2435;2316;2361;2263;2303;2367;2398;2443;2409;2281;2312
27;2793;2699;2689;2526;2531;2484;2444;2344;2400;2286;2333;2229;2316;2355;2402;2480;2393;2240
28;2643;2778;2695;2624;2448;2485;2453;2424;2312;2368;2255;2291;2246;2294;2340;2435;2407;2332
29;2777;2641;2717;2641;2560;2399;2484;2428;2421;2280;2313;2206;2257;2210;2281;2371;2397;2378
30;2693;2726;2621;2700;2579;2518;2409;2455;2395;2366;2249;2292;2183;2245;2204;2317;2365;2375
31;2573;2648;2691;2558;2634;2498;2506;2401;2397;2354;2329;2232;2277;2162;2236;2228;2300;2349
32;2750;2526;2656;2644;2465;2559;2473;2468;2335;2343;2315;2297;2199;2251;2178;2256;2209;2261
33;2479;2697;2503;2597;2576;2403;2536;2426;2449;2345;2329;2269;2300;2184;2257;2218;2249;2177
34;2462;2417;2710;2452;2538;2515;2408;2525;2404;2425;2317;2292;2276;2302;2193;2263;2182;2256
35;2522;2443;2417;2669;2404;2495;2503;2394;2488;2390;2383;2284;2296;2250;2317;2186;2249;2181
36;2554;2499;2485;2394;2618;2395;2521;2478;2379;2495;2368;2366;2289;2303;2254;2310;2178;2255
37;2655;2541;2496;2480;2371;2580;2396;2537;2507;2402;2473;2321;2369;2289;2291;2258;2294;2186
38;2519;2617;2543;2497;2462;2370;2576;2409;2513;2526;2391;2451;2334;2371;2283;2277;2261;2276
39;2471;2495;2623;2528;2492;2448;2406;2580;2417;2507;2507;2394;2460;2337;2374;2273;2259;2237
40;2517;2451;2486;2612;2505;2491;2471;2414;2555;2438;2497;2496;2401;2490;2339;2376;2244;2262
41;2371;2497;2462;2474;2602;2498;2495;2476;2441;2562;2437;2503;2487;2394;2496;2341;2363;2227
42;2385;2355;2496;2441;2470;2579;2503;2501;2504;2447;2555;2432;2488;2497;2391;2481;2312;2361
43;2148;2370;2367;2489;2440;2459;2591;2512;2496;2530;2435;2559;2430;2508;2508;2382;2464;2325
44;2207;2142;2367;2349;2475;2426;2469;2595;2494;2490;2531;2445;2556;2427;2503;2487;2385;2455
45;2232;2196;2131;2359;2334;2449;2419;2483;2593;2498;2498;2516;2457;2580;2427;2491;2468;2384
46;2210;2222;2208;2136;2336;2327;2477;2398;2486;2588;2499;2500;2522;2447;2569;2434;2482;2472
47;2146;2196;2233;2201;2110;2325;2333;2473;2388;2487;2584;2496;2504;2519;2453;2550;2412;2479
48;2073;2136;2213;2221;2194;2100;2321;2347;2467;2395;2478;2589;2503;2513;2525;2443;2536;2414
49;1993;2064;2152;2183;2218;2179;2099;2314;2335;2470;2401;2475;2593;2508;2505;2521;2456;2537
50;1983;1962;2075;2144;2156;2211;2199;2103;2299;2329;2454;2398;2485;2604;2496;2517;2499;2443
51;2095;1971;1966;2070;2128;2136;2206;2211;2108;2277;2325;2455;2396;2476;2592;2496;2499;2494
