"Popolazione per età, vista per singola area - Provincia: Cuneo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Cuneo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5039;4940;4952;5196;5156;5194;5374;5534;5597;5463;5380;5343;5279;5153;4894;4837;4695;4457
1;5133;5068;4979;5038;5219;5183;5253;5440;5580;5624;5495;5396;5332;5245;5140;4903;4871;4699
2;5017;5182;5110;5027;5069;5239;5250;5317;5499;5591;5645;5485;5381;5341;5257;5161;4895;4892
3;5004;5062;5225;5159;5028;5133;5284;5341;5349;5526;5611;5660;5491;5382;5326;5246;5149;4923
4;4957;5085;5137;5287;5218;5059;5172;5315;5378;5395;5554;5617;5662;5482;5367;5298;5242;5132
5;4922;5004;5127;5215;5319;5245;5129;5242;5366;5394;5418;5540;5647;5647;5489;5326;5298;5236
6;4962;4988;5072;5190;5257;5367;5324;5198;5274;5385;5434;5418;5554;5633;5619;5453;5321;5294
7;4828;5032;5034;5164;5236;5262;5432;5386;5221;5314;5410;5441;5420;5532;5609;5630;5421;5312
8;4826;4888;5077;5103;5214;5254;5339;5505;5420;5234;5339;5417;5473;5431;5526;5554;5598;5402
9;5016;4897;4941;5130;5153;5242;5360;5379;5589;5462;5267;5351;5415;5468;5431;5512;5534;5595
10;4939;5077;4955;5001;5161;5183;5304;5434;5415;5619;5496;5270;5358;5414;5471;5412;5480;5529
11;4998;5006;5119;5020;5047;5211;5256;5382;5483;5429;5668;5516;5261;5375;5415;5456;5426;5489
12;4969;5037;5021;5193;5058;5088;5282;5327;5433;5526;5462;5667;5500;5278;5372;5399;5434;5434
13;5034;5015;5069;5069;5230;5085;5181;5340;5362;5487;5554;5477;5699;5522;5295;5350;5397;5437
14;4665;5075;5036;5113;5134;5272;5145;5239;5390;5398;5528;5560;5471;5718;5534;5282;5348;5421
15;4889;4705;5084;5090;5153;5183;5343;5246;5304;5419;5452;5546;5534;5477;5723;5527;5280;5339
16;5009;4943;4755;5158;5139;5187;5242;5429;5288;5351;5439;5476;5533;5551;5492;5749;5540;5293
17;4919;5070;4988;4851;5209;5200;5268;5311;5483;5343;5391;5488;5477;5554;5573;5486;5761;5550
18;5285;4995;5139;5078;4937;5257;5298;5375;5394;5572;5418;5462;5526;5536;5578;5643;5593;5792
19;5497;5334;5108;5203;5158;5004;5394;5455;5483;5481;5675;5467;5517;5560;5581;5675;5887;5709
20;5462;5582;5437;5191;5264;5208;5195;5579;5556;5594;5600;5738;5474;5533;5594;5685;5831;5961
21;5788;5527;5733;5510;5264;5304;5463;5400;5683;5674;5671;5692;5783;5512;5562;5717;5873;5954
22;5734;5830;5703;5827;5611;5337;5518;5624;5562;5786;5789;5796;5743;5843;5556;5627;5839;5967
23;6133;5815;6052;5806;5885;5686;5587;5679;5723;5654;5914;5895;5902;5797;5875;5639;5745;5926
24;6419;6250;6027;6190;5869;5981;5869;5810;5841;5870;5808;6025;5973;5971;5852;5999;5783;5844
25;6865;6546;6478;6192;6239;5922;6270;6070;5968;6001;6011;5900;6090;6056;5989;5933;6133;5849
26;7430;6998;6827;6633;6334;6361;6199;6420;6186;6108;6124;6117;6006;6184;6063;6024;6019;6177
27;7733;7531;7284;6999;6717;6392;6636;6365;6479;6251;6175;6242;6192;6045;6208;6103;6103;6059
28;8041;7888;7847;7541;7144;6812;6688;6850;6457;6581;6368;6291;6302;6234;6058;6190;6147;6177
