"Popolazione per età, vista per singola area - Provincia: Enna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Enna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1765;1730;1640;1593;1642;1623;1580;1573;1548;1481;1469;1319;1253;1260;1274;1192;1193;1123
1;1770;1766;1723;1629;1585;1645;1632;1570;1582;1552;1464;1462;1315;1243;1241;1264;1177;1176
2;1848;1780;1763;1730;1648;1590;1646;1617;1571;1569;1559;1449;1458;1297;1233;1224;1248;1152
3;1784;1846;1779;1772;1721;1644;1609;1635;1622;1562;1567;1570;1426;1442;1286;1220;1205;1235
4;1749;1792;1835;1790;1778;1711;1655;1617;1630;1626;1563;1562;1562;1423;1435;1270;1207;1195
5;1793;1752;1808;1843;1797;1783;1713;1661;1616;1622;1622;1559;1557;1543;1410;1425;1250;1205
6;1968;1800;1765;1812;1846;1815;1798;1723;1666;1609;1617;1618;1542;1538;1534;1398;1397;1247
7;2013;1965;1791;1769;1833;1851;1814;1812;1724;1656;1619;1619;1619;1536;1530;1529;1401;1395
8;2082;2016;1960;1798;1776;1827;1874;1830;1822;1719;1659;1621;1628;1602;1526;1526;1507;1402
9;2158;2095;2009;1969;1814;1780;1833;1885;1840;1824;1724;1672;1617;1614;1586;1515;1513;1499
10;2203;2153;2097;2025;1984;1825;1793;1837;1887;1847;1833;1727;1669;1609;1599;1576;1508;1494
11;2181;2203;2145;2089;2036;1969;1843;1808;1845;1896;1860;1832;1724;1663;1598;1588;1570;1499
12;2213;2179;2191;2141;2094;2033;1975;1862;1812;1849;1889;1865;1830;1719;1646;1584;1591;1567
13;2197;2212;2173;2190;2154;2100;2035;1966;1867;1821;1859;1890;1866;1816;1703;1642;1566;1587
14;2133;2192;2208;2156;2198;2143;2103;2045;1972;1880;1833;1845;1890;1864;1804;1685;1631;1564
15;2291;2130;2190;2204;2163;2205;2151;2124;2051;1981;1887;1827;1848;1883;1871;1793;1675;1619
16;2284;2277;2135;2191;2204;2158;2217;2155;2131;2061;1988;1884;1818;1852;1891;1872;1778;1674
17;2308;2279;2266;2150;2207;2198;2162;2230;2162;2134;2073;1981;1884;1818;1846;1893;1877;1779
18;2236;2312;2266;2264;2156;2197;2206;2167;2234;2167;2136;2075;1980;1891;1824;1884;1942;1901
19;2365;2221;2311;2244;2256;2146;2202;2211;2165;2232;2166;2130;2066;1978;1896;1826;1892;1988
20;2363;2314;2186;2296;2229;2250;2156;2207;2214;2160;2236;2151;2136;2062;1977;1879;1814;1878
21;2379;2330;2296;2165;2282;2206;2250;2172;2223;2205;2156;2219;2139;2121;2055;1971;1858;1800
22;2370;2346;2313;2274;2149;2252;2217;2235;2170;2219;2199;2143;2189;2117;2112;2019;1948;1835
23;2278;2344;2311;2292;2261;2139;2259;2206;2234;2186;2222;2182;2140;2178;2125;2089;1978;1929
24;2369;2237;2325;2287;2254;2238;2160;2255;2217;2221;2179;2187;2163;2114;2163;2081;2049;1950
25;2511;2328;2230;2298;2278;2222;2223;2143;2254;2223;2200;2146;2165;2140;2103;2116;2043;2022
26;2529;2515;2291;2210;2285;2240;2206;2215;2137;2238;2199;2165;2111;2160;2102;2067;2070;2001
27;2544;2474;2499;2284;2206;2263;2231;2180;2166;2128;2237;2160;2128;2086;2138;2037;2018;2014
28;2450;2523;2456;2488;2289;2180;2245;2216;2133;2139;2105;2185;2105;2081;2049;2085;1972;1966
29;2630;2430;2515;2448;2472;2260;2167;2222;2184;2094;2098;2071;2131;2073;2035;2018;2009;1937
30;2544;2594;2388;2467;2449;2428;2278;2177;2214;2162;2056;2028;2045;2087;2036;1991;1924;1959
31;2542;2509;2552;2358;2442;2423;2420;2266;2162;2181;2131;2023;1987;2011;2043;1982;1932;1875
32;2619;2518;2477;2518;2323;2398;2404;2410;2223;2150;2131;2093;1987;1967;1953;1992;1942;1906
33;2690;2595;2496;2437;2504;2317;2403;2408;2378;2199;2105;2100;2069;1955;1940;1903;1928;1930
34;2515;2671;2571;2482;2425;2461;2325;2380;2367;2363;2162;2062;2062;2037;1952;1883;1860;1896
35;2626;2506;2633;2550;2466;2417;2466;2324;2368;2357;2350;2122;2040;2035;2009;1919;1852;1817
36;2539;2617;2481;2628;2569;2457;2445;2488;2332;2369;2350;2314;2120;2011;2009;1978;1908;1834
37;2669;2519;2614;2495;2630;2568;2484;2450;2460;2339;2374;2339;2300;2110;1989;1977;1953;1884
38;2504;2666;2514;2589;2503;2625;2576;2490;2454;2475;2339;2341;2336;2256;2081;1960;1955;1910
39;2521;2495;2661;2512;2587;2503;2657;2581;2498;2462;2481;2322;2341;2328;2235;2057;1935;1918
40;2491;2502;2470;2667;2529;2596;2528;2673;2594;2503;2463;2458;2296;2328;2302;2203;2035;1915
41;2546;2491;2491;2476;2648;2518;2614;2541;2667;2608;2504;2444;2465;2293;2312;2277;2174;2018
42;2411;2534;2479;2466;2480;2654;2544;2624;2558;2679;2599;2489;2419;2445;2287;2297;2257;2159
43;2273;2398;2538;2458;2472;2466;2670;2553;2627;2562;2677;2586;2476;2416;2420;2244;2266;2229
44;2196;2284;2383;2531;2457;2462;2473;2678;2555;2624;2570;2661;2574;2464;2391;2402;2230;2243
45;2266;2196;2275;2374;2525;2462;2459;2482;2687;2553;2627;2557;2650;2569;2445;2366;2383;2214
46;2332;2252;2189;2282;2386;2517;2469;2471;2488;2704;2558;2623;2548;2629;2563;2430;2353;2356
47;2306;2317;2235;2188;2269;2369;2532;2472;2477;2484;2694;2542;2596;2531;2619;2535;2409;2344
48;2140;2302;2313;2228;2208;2268;2385;2532;2474;2481;2486;2674;2525;2576;2534;2592;2512;2386
49;2188;2130;2300;2300;2226;2210;2280;2391;2531;2473;2477;2480;2655;2507;2561;2519;2585;2497
50;2164;2168;2137;2288;2286;2229;2226;2274;2401;2517;2472;2468;2466;2641;2477;2541;2503;2566
51;2253;2147;2160;2128;2281;2285;2243;2230;2277;2402;2526;2468;2465;2459;2619;2462;2522;2485
52;2296;2236;2133;2157;2130;2291;2291;2241;2236;2279;2397;2517;2448;2441;2445;2600;2447;2512
53;2282;2278;2225;2126;2150;2123;2295;2288;2241;2238;2270;2389;2503;2432;2426;2428;2591;2445
54;2161;2265;2267;2221;2122;2132;2120;2285;2279;2242;2237;2248;2372;2474;2418;2420;2408;2571
55;1859;2150;2256;2249;2213;2112;2133;2122;2282;2271;2243;2235;2229;2347;2462;2396;2413;2389
56;1721;1850;2156;2257;2252;2203;2099;2116;2117;2272;2258;2223;2220;2216;2329;2451;2371;2394
57;1525;1726;1842;2165;2264;2247;2196;2095;2111;2097;2266;2247;2228;2198;2212;2313;2436;2361
58;1564;1529;1714;1839;2155;2254;2259;2189;2072;2105;2092;2251;2237;2220;2177;2198;2304;2418
59;1513;1560;1522;1713;1836;2154;2254;2247;2182;2075;2100;2093;2229;2217;2192;2159;2191;2289
60;1681;1506;1549;1526;1704;1837;2160;2251;2241;2185;2066;2083;2087;2212;2205;2161;2153;2186
61;2119;1659;1489;1534;1523;1696;1849;2164;2243;2246;2169;2047;2067;2069;2198;2182;2151;2135
62;2131;2120;1638;1486;1531;1519;1669;1846;2141;2232;2239;2145;2036;2059;2054;2173;2156;2139
63;2102;2119;2106;1633;1477;1512;1508;1657;1840;2129;2227;2223;2115;2022;2038;2040;2154;2138
64;1878;2096;2102;2099;1622;1452;1495;1510;1642;1840;2119;2205;2203;2101;2012;2014;2016;2130
65;1930;1874;2099;2088;2089;1614;1443;1488;1511;1635;1830;2089;2184;2198;2084;1993;1999;2001
66;1916;1908;1866;2078;2069;2085;1607;1435;1476;1509;1622;1807;2060;2162;2179;2058;1973;1978
67;2085;1895;1872;1850;2050;2037;2064;1589;1431;1469;1501;1601;1789;2028;2136;2157;2034;1946
68;1940;2060;1877;1833;1843;2042;2025;2024;1581;1425;1458;1483;1571;1761;1993;2110;2125;1993
69;1843;1905;2029;1840;1797;1814;2033;1998;1991;1559;1404;1437;1471;1553;1725;1963;2075;2099
70;1757;1809;1883;1995;1795;1766;1791;2009;1967;1960;1537;1383;1421;1443;1521;1693;1933;2035
71;2014;1727;1761;1835;1958;1752;1739;1772;1998;1948;1928;1501;1348;1396;1424;1505;1668;1909
72;1802;1964;1692;1722;1801;1931;1738;1714;1745;1945;1909;1898;1470;1336;1365;1402;1471;1633
73;1724;1759;1925;1671;1678;1751;1899;1710;1667;1721;1910;1861;1854;1440;1304;1335;1364;1437
74;1642;1691;1708;1883;1642;1641;1696;1850;1668;1616;1678;1855;1819;1814;1408;1268;1297;1346
75;1628;1589;1625;1649;1822;1596;1586;1639;1806;1617;1584;1636;1811;1774;1761;1381;1221;1279
76;1537;1549;1532;1579;1612;1776;1542;1523;1600;1739;1572;1537;1577;1764;1721;1703;1334;1188
77;1455;1470;1502;1478;1523;1563;1715;1461;1472;1562;1683;1522;1493;1524;1712;1667;1626;1294
78;1296;1398;1410;1453;1430;1472;1505;1651;1401;1411;1491;1618;1452;1441;1469;1661;1610;1561
79;1369;1236;1336;1340;1395;1390;1430;1446;1582;1337;1351;1437;1546;1391;1364;1409;1579;1546
80;1110;1295;1167;1263;1276;1338;1312;1366;1377;1499;1279;1283;1373;1480;1324;1303;1340;1506
81;1090;1041;1217;1093;1176;1197;1268;1243;1303;1287;1416;1219;1211;1292;1395;1258;1259;1266
82;729;1007;970;1129;1015;1088;1121;1185;1164;1215;1220;1332;1153;1149;1218;1310;1193;1186
83;448;670;927;907;1030;939;997;1042;1085;1073;1115;1133;1245;1073;1086;1140;1214;1122
84;441;411;626;855;825;945;857;904;975;996;981;1035;1044;1143;976;1004;1026;1127
85;509;405;380;559;765;750;848;780;816;888;923;896;966;947;1044;901;922;943
86;531;451;358;347;510;688;650;766;710;737;796;844;812;873;861;942;810;855
87;458;462;388;313;300;440;608;585;671;663;647;704;767;742;775;762;858;721
88;433;388;386;334;270;262;390;521;507;575;567;553;623;667;648;689;662;752
89;366;361;318;315;280;240;221;332;441;433;480;477;479;532;578;571;598;563
90;283;315;276;260;254;243;196;179;280;375;376;403;408;395;438;482;489;519
91;218;218;241;226;217;207;204;161;144;238;320;301;351;324;322;369;392;413
92;156;174;160;196;168;183;168;171;128;112;194;262;260;278;263;257;288;309
93;110;126;123;117;142;134;138;126;132;100;92;156;208;210;206;216;195;232
94;77;76;86;91;79;107;92;107;105;105;83;67;125;155;166;166;159;150
95;46;58;49;57;63;67;76;84;84;80;85;60;51;95;113;118;118;125
96;30;37;42;33;40;46;49;49;68;60;60;64;45;38;57;80;86;92
97;19;20;27;31;23;33;30;34;33;47;47;41;47;28;29;40;65;68
98;14;12;17;20;22;17;23;20;26;25;32;35;34;30;21;17;35;41
99;6;12;9;15;10;17;5;17;13;20;18;26;29;19;18;15;12;27
100 e oltre;22;15;15;12;17;20;22;15;20;21;29;27;28;41;32;38;33;28
Totale;176965;176434;175732;175295;175227;174849;175252;175281;175076;174761;174251;172799;171480;169922;168273;166296;164159;162371
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;875;866;882;804;840;858;812;807;833;734;756;711;633;637;655;581;634;560
1;874;885;869;876;797;841;865;807;808;838;721;751;702;624;622;650;573;633
2;927;878;879;871;884;799;841;856;806;807;845;713;751;687;621;614;645;564
3;901;932;879;878;871;881;810;830;864;806;810;848;706;747;678;611;606;637
4;916;915;924;880;884;869;886;815;819;864;805;810;842;703;745;670;600;601
5;923;914;929;940;886;883;874;886;813;810;864;804;805;836;697;737;661;599
6;1008;936;919;938;952;895;892;868;887;813;806;862;789;790;833;690;727;660
7;1034;1012;928;918;946;951;892;898;863;877;819;811;870;784;783;826;695;722
8;1117;1037;1009;938;923;941;960;897;902;861;884;820;823;859;778;782;814;693
9;1107;1126;1039;1013;949;921;946;964;908;904;867;886;819;815;848;771;772;805
10;1117;1107;1127;1044;1015;951;922;948;966;911;906;867;880;817;810;840;766;763
11;1083;1111;1098;1120;1049;1003;958;931;955;971;923;904;867;874;814;803;836;757
12;1145;1080;1099;1094;1127;1047;1007;971;939;965;968;931;899;861;868;810;806;836
13;1129;1150;1078;1098;1103;1125;1046;997;979;945;973;969;937;892;850;863;797;802
14;1031;1123;1153;1069;1105;1095;1123;1056;998;986;951;961;970;946;889;845;858;799
15;1195;1030;1121;1147;1073;1108;1102;1131;1058;1005;986;947;961;969;964;886;834;853
16;1126;1181;1033;1119;1150;1067;1119;1102;1131;1059;1008;986;944;959;976;968;876;833
17;1176;1125;1171;1042;1127;1144;1068;1127;1102;1133;1065;1000;988;945;956;980;973;879
18;1116;1177;1118;1167;1047;1118;1145;1071;1132;1101;1136;1064;998;995;960;990;1043;999
19;1200;1114;1176;1111;1165;1046;1124;1152;1065;1130;1104;1132;1061;1004;1003;968;1003;1081
20;1211;1170;1099;1164;1110;1160;1050;1126;1160;1061;1130;1094;1137;1057;1007;980;968;1003
21;1183;1193;1165;1091;1161;1091;1156;1058;1129;1153;1061;1117;1081;1133;1063;1014;978;956
22;1202;1168;1185;1150;1095;1146;1098;1150;1056;1122;1147;1052;1099;1065;1129;1038;1003;964
23;1127;1191;1146;1170;1152;1083;1151;1088;1148;1061;1123;1136;1048;1100;1075;1115;1017;991
24;1141;1103;1170;1138;1152;1142;1093;1149;1090;1136;1061;1107;1118;1044;1096;1057;1098;1009
25;1213;1127;1088;1151;1123;1135;1124;1073;1153;1087;1123;1034;1102;1112;1047;1076;1039;1092
26;1259;1215;1105;1077;1149;1109;1128;1117;1069;1140;1073;1105;1020;1103;1089;1034;1046;1025
27;1245;1230;1205;1102;1074;1129;1113;1112;1087;1076;1147;1055;1085;1016;1093;1058;1012;1017
