"Popolazione per età, vista per singola area - Provincia: Fermo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Fermo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1414;1398;1420;1459;1462;1470;1576;1504;1580;1524;1527;1443;1422;1315;1349;1300;1192;1147
1;1414;1429;1423;1429;1479;1476;1489;1600;1502;1548;1511;1543;1453;1439;1314;1337;1292;1182
2;1438;1429;1454;1428;1444;1485;1487;1509;1586;1494;1532;1511;1553;1448;1436;1309;1343;1276
3;1437;1450;1438;1463;1437;1437;1491;1513;1501;1581;1511;1525;1505;1548;1428;1409;1304;1338
4;1363;1454;1477;1443;1482;1438;1453;1497;1524;1514;1594;1513;1530;1513;1527;1432;1416;1293
5;1431;1392;1476;1499;1457;1478;1458;1474;1507;1530;1515;1599;1499;1540;1498;1515;1417;1416
6;1486;1443;1411;1503;1503;1485;1500;1484;1473;1504;1534;1512;1595;1499;1540;1492;1523;1393
7;1364;1496;1470;1432;1508;1515;1517;1522;1513;1470;1496;1532;1516;1592;1486;1528;1485;1516
8;1410;1394;1520;1477;1458;1515;1525;1541;1522;1514;1472;1489;1521;1512;1578;1482;1528;1474
9;1484;1424;1421;1530;1485;1470;1542;1542;1559;1518;1521;1465;1492;1513;1502;1564;1476;1515
10;1531;1497;1447;1436;1553;1505;1487;1564;1572;1564;1524;1518;1470;1497;1504;1518;1561;1462
11;1533;1552;1518;1470;1436;1589;1524;1501;1581;1576;1570;1526;1512;1474;1497;1505;1512;1559
12;1448;1549;1577;1533;1489;1448;1605;1546;1511;1584;1581;1570;1538;1516;1468;1492;1501;1522
13;1509;1467;1558;1592;1553;1500;1455;1630;1553;1528;1598;1574;1571;1549;1519;1460;1487;1498
14;1468;1519;1486;1570;1604;1565;1521;1474;1638;1565;1538;1603;1568;1584;1548;1503;1459;1484
15;1537;1488;1541;1502;1583;1623;1573;1556;1491;1643;1575;1548;1600;1582;1572;1537;1506;1451
16;1647;1544;1505;1558;1519;1595;1626;1598;1565;1503;1651;1583;1537;1615;1583;1562;1537;1498
17;1557;1661;1569;1504;1582;1538;1608;1638;1614;1574;1512;1647;1575;1550;1610;1583;1576;1547
18;1669;1576;1684;1596;1538;1615;1566;1644;1665;1627;1587;1529;1660;1596;1564;1621;1618;1602
19;1708;1681;1609;1708;1630;1550;1654;1598;1663;1663;1644;1592;1536;1673;1618;1578;1688;1645
20;1733;1710;1717;1635;1736;1639;1591;1689;1637;1670;1677;1665;1599;1538;1675;1620;1630;1729
21;1724;1758;1751;1752;1642;1758;1699;1629;1727;1669;1678;1694;1677;1605;1549;1695;1660;1663
22;1990;1743;1803;1759;1774;1663;1812;1749;1672;1765;1700;1708;1710;1693;1622;1556;1741;1699
23;1988;2006;1806;1837;1771;1793;1717;1867;1777;1710;1778;1726;1718;1726;1720;1626;1605;1753
24;1977;2014;2069;1833;1852;1782;1850;1783;1909;1801;1754;1804;1754;1726;1722;1713;1662;1618
25;2096;2022;2103;2106;1850;1865;1825;1924;1813;1938;1825;1787;1805;1752;1728;1736;1738;1679
