"Popolazione per età, vista per singola area - Provincia: Ferrara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Ferrara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2134;2285;2324;2484;2509;2604;2664;2811;2816;2744;2695;2621;2405;2292;2154;2070;2026;1987
1;2148;2186;2309;2344;2538;2538;2663;2694;2807;2855;2733;2691;2607;2432;2292;2116;2112;2054
2;2124;2198;2242;2341;2413;2576;2596;2698;2716;2827;2886;2746;2668;2587;2428;2312;2116;2142
3;2154;2139;2244;2286;2399;2456;2618;2658;2696;2730;2807;2874;2754;2675;2566;2409;2329;2148
4;2082;2186;2166;2274;2315;2445;2499;2653;2676;2704;2727;2784;2862;2756;2669;2551;2394;2335
5;2068;2118;2242;2193;2335;2348;2508;2544;2682;2681;2703;2745;2790;2862;2729;2642;2542;2425
6;2067;2081;2178;2298;2247;2376;2421;2552;2572;2674;2692;2680;2759;2818;2860;2718;2659;2563
7;2093;2104;2126;2206;2335;2288;2413;2482;2578;2572;2668;2704;2681;2754;2801;2834;2716;2672
8;2104;2129;2125;2187;2257;2368;2323;2452;2523;2596;2592;2680;2707;2696;2745;2786;2834;2743
9;2196;2131;2165;2142;2230;2295;2412;2346;2465;2537;2598;2621;2688;2723;2697;2749;2816;2840
10;2315;2222;2156;2204;2195;2261;2328;2456;2400;2493;2553;2618;2610;2684;2739;2693;2738;2827
11;2261;2329;2253;2187;2248;2239;2286;2360;2496;2424;2503;2562;2626;2611;2672;2734;2705;2747
12;2231;2279;2357;2281;2242;2276;2278;2325;2389;2507;2434;2526;2585;2628;2617;2663;2733;2735
13;2183;2248;2299;2384;2321;2269;2314;2318;2368;2424;2534;2470;2544;2607;2628;2614;2655;2744
14;2111;2192;2268;2328;2422;2360;2313;2361;2356;2406;2437;2547;2480;2562;2593;2601;2624;2662
