"Popolazione per età, vista per singola area - Provincia: Firenze"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Firenze"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7843;8404;8170;9050;8719;8438;8544;9057;8696;8857;8354;8589;8266;8121;7537;7510;7181;6824
1;7866;7929;8501;8283;8984;8741;8513;8666;9080;8734;8648;8456;8642;8254;8142;7568;7497;7205
2;7539;7958;8014;8565;8344;8949;8811;8572;8726;9064;8671;8718;8510;8644;8246;8107;7526;7419
3;7426;7612;8050;8166;8546;8407;8944;8869;8712;8798;8979;8722;8777;8530;8665;8191;8111;7531
4;7374;7524;7671;8161;8181;8578;8494;8945;8896;8758;8859;9059;8814;8798;8511;8618;8123;8081
5;7013;7443;7635;7761;8221;8263;8593;8613;8954;8953;8829;8924;9133;8864;8852;8518;8584;8074
6;7080;7131;7547;7723;7785;8313;8353;8678;8702;8974;8982;8882;9007;9179;8894;8864;8490;8559
7;6958;7150;7204;7625;7800;7866;8428;8463;8770;8757;8982;9057;8893;9040;9212;8917;8869;8484
8;6973;7062;7251;7304;7769;7906;7952;8569;8559;8809;8789;9050;9078;8921;9032;9187;8948;8854
9;7289;7065;7161;7344;7403;7868;8064;8061;8691;8669;8859;8850;9106;9101;8977;9041;9173;8976
10;7164;7384;7164;7270;7431;7484;7984;8200;8152;8758;8764;8959;8895;9158;9104;9004;9041;9175
11;7442;7248;7468;7269;7368;7547;7611;8108;8324;8262;8824;8841;9002;8949;9193;9104;9022;9037
12;7218;7537;7334;7538;7350;7474;7683;7749;8214;8403;8309;8894;8867;9051;9004;9186;9137;9027
13;7301;7318;7616;7403;7604;7431;7579;7808;7879;8291;8461;8361;8922;8908;9088;8992;9188;9140
14;6982;7378;7367;7651;7481;7701;7509;7712;7925;7953;8368;8530;8406;9006;8939;9107;9014;9189
15;6991;7066;7440;7406;7717;7584;7817;7624;7841;8019;8022;8455;8559;8504;9074;8955;9128;9014
16;7288;7038;7123;7513;7497;7817;7704;7952;7755;7925;8105;8130;8520;8632;8535;9128;8987;9107
17;7177;7368;7071;7179;7568;7605;7883;7811;8080;7842;8013;8197;8171;8534;8685;8588;9214;9002
18;7552;7295;7441;7165;7266;7718;7751;8073;7999;8240;7955;8161;8326;8267;8611;8861;8792;9279
19;7645;7620;7415;7524;7234;7425;7897;7995;8238;8147;8387;8177;8329;8380;8372;8862;9117;8875
20;7911;7694;7785;7548;7579;7289;7615;8142;8219;8418;8267;8571;8251;8386;8459;8617;9025;9138
21;8068;7990;7857;7886;7625;7674;7483;7836;8366;8399;8502;8492;8685;8300;8442;8661;8787;9069
22;8885;8184;8215;8079;7973;7754;7942;7746;8117;8640;8567;8694;8639;8772;8402;8604;8808;8880
23;9782;8992;8466;8460;8198;8109;8050;8245;8051;8396;8829;8841;8910;8755;8909;8614;8774;8891
24;10087;9850;9321;8792;8577;8351;8368;8406;8630;8326;8627;9166;9081;9070;8895;9145;8782;8864
25;11140;10229;10245;9676;8954;8740;8622;8730;8764;9010;8576;8958;9449;9247;9246;9109;9319;8875
26;12149;11281;10602;10584;9866;9176;9078;8956;9189;9070;9271;8959;9309;9590;9454;9557;9283;9444
27;13292;12241;11680;11016;10716;10064;9460;9454;9379;9526;9376;9663;9296;9470;9850;9730;9760;9484
28;13677;13448;12641;12096;11222;10947;10287;9873;9838;9764;9872;9845;9959;9554;9699;10111;9883;9932
29;13870;13813;13805;13025;12210;11404;11272;10607;10269;10152;10010;10288;10269;10161;9719;9990;10290;9986
30;14461;14040;14203;14185;13182;12393;11662;11577;10955;10514;10430;10406;10615;10462;10398;10000;10085;10426
31;14241;14607;14383;14488;14336;13391;12692;11922;11926;11160;10701;10826;10852;10905;10635;10618;10167;10211
32;14705;14406;14910;14679;14493;14496;13618;13007;12220;12141;11371;11076;11168;11042;11089;10824;10698;10197
33;14715;14902;14732;15214;14743;14656;14722;13852;13341;12492;12310;11655;11289;11387;11189;11253;10849;10742
34;14935;14850;15187;15010;15295;14910;14863;14960;14110;13571;12675;12624;11926;11426;11542;11326;11312;10856
35;15534;15067;15115;15403;15125;15437;15148;15040;15248;14293;13710;13018;12822;12118;11545;11624;11367;11352
36;15437;15649;15380;15300;15466;15277;15641;15391;15293;15464;14486;13999;13312;12975;12254;11669;11675;11409
37;15526;15590;15900;15589;15320;15556;15444;15788;15642;15505;15555;14717;14197;13404;13059;12334;11649;11641
38;14451;15655;15854;16102;15739;15433;15711;15609;15967;15823;15667;15810;14871;14269;13503;13132;12340;11659
39;14067;14579;15861;16028;16207;15822;15628;15837;15725;16124;15949;15841;16023;14962;14344;13506;13170;12350
40;13589;14146;14744;15997;16074;16244;15970;15787;16010;15888;16177;16083;16019;16027;15041;14353;13486;13138
41;13622;13649;14344;14944;15998;16142;16404;16137;15917;16140;16027;16354;16228;16023;16095;15053;14343;13450
42;13460;13681;13753;14520;14982;16072;16251;16503;16315;16136;16252;16193;16476;16256;16107;16127;15058;14251
43;12680;13523;13804;13873;14562;15008;16173;16389;16627;16454;16250;16435;16265;16552;16312;16141;16117;14987
44;12366;12730;13642;13885;13923;14634;15114;16341;16535;16766;16531;16366;16515;16288;16578;16309;16150;16090
45;12248;12430;12837;13716;13872;13950;14744;15198;16476;16666;16804;16639;16470;16562;16320;16595;16233;16147
46;12062;12273;12552;12946;13734;13903;14036;14841;15302;16579;16710;16863;16754;16443;16577;16287;16577;16171
47;12268;12104;12373;12663;12975;13769;14017;14121;14958;15408;16588;16804;16931;16772;16449;16568;16225;16526
48;11800;12313;12229;12453;12669;13007;13854;14097;14192;15052;15442;16642;16823;16956;16750;16448;16514;16226
49;11942;11792;12396;12294;12469;12698;13094;13927;14162;14286;15032;15503;16685;16826;16916;16761;16408;16491
50;12012;11940;11827;12457;12306;12503;12760;13170;13975;14260;14311;15087;15484;16713;16823;16920;16685;16344
51;12422;12025;11970;11896;12428;12307;12560;12862;13232;14034;14264;14359;15113;15454;16701;16833;16849;16646
52;13274;12399;12080;11978;11869;12441;12317;12642;12965;13266;14022;14334;14345;15105;15419;16667;16718;16807
53;14118;13264;12440;12100;11972;11854;12476;12405;12712;13011;13296;14003;14371;14337;15095;15389;16601;16686
54;14332;14106;13289;12408;12104;11975;11891;12494;12451;12703;12993;13323;13997;14317;14309;15007;15350;16568
55;14546;14310;14122;13258;12403;12091;11990;11880;12506;12479;12690;13006;13333;13973;14276;14270;14914;15287
56;11637;14482;14331;14118;13216;12339;12083;12001;11910;12527;12477;12686;12969;13307;13943;14235;14198;14823
57;11624;11581;14472;14319;14072;13162;12300;12073;12027;11918;12512;12478;12633;12971;13268;13897;14140;14145
