"Popolazione per età, vista per singola area - Provincia: Foggia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Foggia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7040;6821;6786;6735;6447;6179;6140;6202;6229;5984;5679;5583;5439;5335;5224;5030;4747;4491
1;7165;7013;6753;6733;6689;6425;6195;6130;6209;6176;5937;5652;5551;5426;5307;5182;4991;4692
2;7333;7140;6989;6726;6693;6654;6419;6220;6158;6225;6148;5915;5641;5520;5395;5281;5144;4949
3;7359;7294;7095;6973;6736;6683;6676;6409;6226;6176;6220;6121;5903;5618;5487;5367;5225;5083
4;7188;7358;7250;7092;6957;6730;6693;6688;6433;6234;6175;6225;6120;5906;5584;5467;5364;5199
5;7200;7169;7319;7238;7057;6943;6761;6698;6697;6473;6224;6162;6218;6124;5887;5575;5430;5323
6;7190;7174;7172;7304;7215;7036;6942;6767;6709;6695;6483;6224;6156;6222;6135;5859;5560;5407
7;7428;7184;7176;7178;7286;7213;7046;6934;6814;6748;6706;6469;6247;6147;6218;6130;5852;5548
8;7648;7404;7151;7177;7173;7270;7208;7053;6952;6832;6760;6696;6454;6224;6147;6190;6097;5815
9;8161;7645;7399;7144;7151;7181;7296;7191;7073;6965;6853;6750;6682;6452;6203;6130;6163;6085
10;8093;8148;7630;7392;7142;7127;7199;7293;7191;7113;6975;6821;6751;6676;6422;6193;6126;6121
11;8278;8067;8136;7604;7373;7135;7143;7218;7311;7207;7111;6960;6816;6745;6631;6397;6178;6089
12;8274;8249;8026;8150;7601;7354;7158;7165;7254;7342;7211;7095;6953;6810;6723;6601;6373;6161
13;8143;8252;8224;8003;8123;7600;7394;7151;7171;7284;7354;7203;7077;6938;6784;6705;6590;6358
14;8127;8110;8195;8205;7984;8108;7607;7412;7196;7194;7301;7354;7193;7058;6903;6764;6696;6579
15;8178;8110;8081;8164;8198;7956;8115;7614;7423;7202;7189;7297;7356;7183;7035;6877;6745;6672
16;8280;8141;8103;8072;8147;8171;7954;8128;7648;7441;7192;7191;7269;7339;7160;7025;6878;6745
17;8505;8257;8104;8113;8058;8126;8171;7959;8154;7668;7471;7176;7168;7261;7331;7151;7035;6884
18;8930;8472;8229;8084;8127;8053;8151;8164;7973;8174;7675;7459;7159;7174;7265;7331;7189;7070
19;9290;8854;8420;8158;8064;8091;8068;8151;8186;7972;8161;7692;7419;7163;7153;7284;7413;7221
20;9499;9196;8785;8334;8053;7955;8118;8051;8150;8216;7955;8161;7677;7386;7104;7151;7325;7395
21;9583;9375;9107;8679;8263;7926;7988;8101;8072;8163;8189;7932;8138;7652;7353;7086;7154;7297
22;9627;9448;9274;8952;8544;8124;7895;7955;8106;8086;8136;8158;7883;8094;7611;7314;7094;7107
23;9860;9469;9349;9155;8835;8409;8118;7829;7909;8097;8047;8096;8097;7825;8028;7560;7254;7024
24;10058;9681;9369;9196;8986;8694;8362;8083;7769;7947;8066;8011;8028;7982;7749;7945;7452;7182
25;10124;9884;9527;9158;8974;8764;8637;8251;8007;7728;7870;7988;7919;7948;7917;7667;7846;7346
26;10347;9948;9767;9369;8996;8756;8696;8489;8147;7950;7636;7752;7881;7820;7808;7802;7515;7695
