"Popolazione per età, vista per singola area - Provincia: Forlì-Cesena"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Forlì-Cesena"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2997;3166;3256;3469;3386;3579;3586;3703;3658;3732;3631;3573;3455;3253;3133;3025;2891;2840
1;3027;3046;3208;3311;3517;3432;3627;3642;3723;3691;3713;3657;3575;3454;3254;3148;3053;2933
2;2787;3076;3131;3235;3364;3542;3493;3690;3704;3730;3694;3740;3663;3547;3418;3262;3159;3074
3;2815;2875;3112;3170;3293;3398;3588;3566;3721;3725;3748;3696;3726;3660;3527;3408;3294;3193
4;2761;2886;2927;3126;3204;3322;3439;3606;3591;3739;3750;3762;3713;3680;3650;3511;3432;3329
5;2834;2810;2937;2962;3171;3242;3387;3485;3622;3606;3751;3754;3769;3686;3666;3642;3494;3461
6;2657;2883;2853;2996;3007;3238;3305;3429;3517;3633;3616;3762;3752;3760;3685;3678;3651;3516
7;2730;2730;2943;2896;3057;3045;3289;3357;3466;3538;3631;3622;3751;3746;3736;3680;3663;3660
8;2661;2790;2792;2977;2937;3085;3106;3357;3398;3476;3552;3639;3616;3736;3740;3717;3699;3696
9;2784;2723;2846;2831;3023;3001;3155;3149;3399;3409;3489;3553;3648;3634;3720;3745;3714;3730
10;2863;2844;2773;2919;2862;3061;3062;3221;3194;3423;3417;3509;3551;3636;3628;3737;3752;3737
11;2851;2929;2901;2801;2946;2922;3101;3120;3296;3209;3450;3410;3518;3551;3631;3624;3755;3764
12;2839;2902;2973;2935;2837;3000;2978;3164;3176;3333;3237;3466;3407;3515;3533;3613;3643;3774
13;2756;2913;2960;3027;2976;2869;3069;3037;3219;3201;3357;3248;3493;3420;3519;3550;3649;3654
14;2822;2786;2962;3015;3070;3029;2939;3130;3104;3269;3231;3377;3270;3510;3427;3523;3573;3685
15;2871;2858;2824;2990;3059;3128;3071;3005;3176;3136;3294;3245;3387;3280;3515;3429;3527;3600
16;3045;2901;2891;2853;3036;3119;3178;3118;3066;3212;3152;3308;3252;3385;3280;3532;3457;3555
17;2917;3088;2934;2907;2912;3079;3160;3241;3192;3100;3259;3182;3322;3277;3397;3291;3555;3503
18;3058;2951;3143;2980;2974;2984;3153;3242;3328;3245;3137;3273;3217;3354;3307;3417;3361;3608
19;3268;3088;3017;3215;3038;3070;3057;3271;3336;3403;3298;3173;3296;3220;3374;3373;3525;3410
20;3471;3324;3169;3088;3250;3088;3182;3189;3361;3426;3469;3356;3196;3330;3257;3405;3464;3577
21;3474;3532;3420;3229;3158;3328;3234;3333;3308;3424;3499;3526;3403;3214;3332;3307;3477;3528
22;3840;3557;3692;3510;3273;3239;3468;3382;3469;3410;3509;3541;3587;3426;3267;3369;3395;3537
23;4113;3925;3686;3830;3617;3360;3421;3600;3495;3573;3481;3577;3615;3579;3449;3345;3468;3472
24;4409;4224;4071;3802;3925;3729;3519;3578;3782;3601;3705;3543;3663;3642;3604;3507;3422;3552
25;4722;4535;4407;4239;3930;4030;3885;3712;3723;3902;3692;3747;3622;3691;3634;3632;3635;3480
26;5130;4831;4768;4560;4334;4048;4200;4059;3835;3823;4022;3746;3795;3636;3736;3690;3726;3711
27;5666;5256;5026;4956;4675;4421;4164;4366;4211;3929;3958;4106;3809;3805;3659;3765;3772;3818
28;5485;5796;5470;5204;5077;4784;4619;4323;4453;4330;4024;4003;4147;3819;3830;3666;3865;3889
29;5645;5610;6012;5616;5323;5173;4938;4777;4456;4561;4393;4083;4030;4165;3812;3836;3740;3936
30;5704;5748;5818;6164;5754;5406;5343;5119;4893;4566;4690;4432;4125;4049;4145;3849;3894;3843
31;5663;5802;5933;5992;6282;5805;5556;5489;5255;4957;4641;4729;4463;4130;4096;4157;3914;4011
32;5748;5777;5954;6032;6115;6312;5956;5665;5577;5305;5010;4679;4753;4442;4106;4109;4196;3989
33;5686;5831;5922;6074;6134;6151;6506;6039;5764;5645;5415;5077;4733;4740;4447;4113;4143;4318
34;5663;5809;5939;5995;6155;6152;6263;6610;6141;5804;5651;5441;5119;4731;4729;4459;4175;4238
35;5943;5776;5941;6098;6140;6215;6284;6342;6671;6206;5816;5650;5463;5102;4727;4750;4495;4249
36;5927;6038;5904;6064;6176;6194;6343;6369;6405;6728;6230;5870;5671;5459;5074;4723;4770;4572
37;5932;6043;6125;6012;6167;6239;6286;6385;6438;6460;6734;6247;5916;5653;5437;5091;4745;4803
38;5714;6018;6130;6201;6056;6214;6300;6338;6474;6490;6500;6754;6248;5907;5662;5418;5112;4845
39;5571;5774;6101;6205;6223;6089;6305;6346;6418;6489;6494;6521;6781;6249;5892;5669;5439;5179
40;5556;5623;5856;6156;6264;6278;6169;6390;6451;6458;6516;6522;6532;6774;6229;5868;5684;5499
41;5419;5588;5726;5933;6213;6295;6344;6239;6471;6496;6476;6547;6536;6488;6761;6239;5892;5760
42;5281;5442;5661;5762;5984;6238;6348;6405;6315;6506;6497;6526;6579;6504;6469;6728;6284;5946
