"Popolazione per età, vista per singola area - Provincia: Frosinone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Frosinone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3947;4022;4088;4117;4063;4143;4259;4343;4259;4323;4094;4231;4011;3875;3811;3913;3605;3294
1;4083;3967;4028;4092;4119;4075;4164;4255;4321;4256;4292;4076;4197;3999;3842;3830;3886;3619
2;4178;4078;3961;4039;4115;4140;4099;4159;4286;4301;4237;4306;4052;4172;3977;3805;3826;3864
3;4068;4176;4120;3974;4063;4134;4176;4130;4186;4307;4300;4237;4323;4063;4164;3955;3798;3808
4;4248;4090;4194;4159;3993;4080;4172;4195;4158;4194;4303;4322;4247;4324;4072;4126;3947;3800
5;4347;4259;4109;4206;4192;4009;4154;4209;4239;4171;4177;4323;4316;4235;4329;4064;4107;3949
6;4444;4367;4289;4119;4223;4229;4054;4172;4247;4268;4168;4196;4319;4299;4222;4324;4066;4105
7;4657;4470;4402;4317;4164;4234;4287;4102;4182;4268;4278;4196;4202;4318;4292;4212;4297;4065
8;4793;4694;4499;4413;4345;4183;4278;4327;4122;4207;4276;4284;4191;4182;4304;4268;4197;4306
9;5222;4816;4739;4520;4422;4370;4230;4293;4363;4140;4221;4295;4289;4173;4170;4285;4273;4193
10;5287;5245;4837;4767;4545;4441;4424;4281;4331;4371;4154;4227;4280;4296;4159;4153;4282;4263
11;5322;5306;5263;4860;4795;4573;4492;4476;4314;4340;4384;4175;4210;4268;4306;4162;4137;4287
12;5520;5317;5331;5269;4886;4818;4622;4535;4504;4334;4359;4396;4170;4210;4263;4296;4152;4119
13;5448;5532;5339;5341;5307;4894;4880;4652;4565;4538;4352;4370;4395;4165;4199;4256;4284;4152
14;5442;5452;5539;5371;5372;5321;4946;4934;4693;4580;4552;4360;4376;4406;4145;4189;4233;4281
15;5650;5450;5469;5548;5411;5370;5374;4965;4951;4709;4603;4566;4361;4379;4397;4153;4209;4226
