"Popolazione per età, vista per singola area - Provincia: Genova"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Genova"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6204;6357;6403;6611;6516;6728;6552;6806;6719;6466;6157;6411;6022;5891;5474;5299;5178;4747
1;6108;6245;6378;6535;6605;6542;6681;6591;6816;6710;6455;6183;6400;6024;5888;5473;5286;5204
2;6028;6114;6267;6556;6532;6603;6524;6721;6629;6815;6739;6485;6196;6349;5971;5880;5472;5295
3;6007;6070;6112;6485;6578;6543;6578;6546;6744;6594;6832;6784;6496;6185;6320;5960;5899;5486
4;5979;6056;6074;6302;6509;6615;6515;6630;6584;6752;6611;6878;6766;6473;6170;6310;5968;5901
5;6088;6020;6092;6229;6368;6574;6624;6546;6661;6592;6779;6644;6892;6779;6476;6151;6268;5971
6;5972;6108;6048;6282;6317;6430;6615;6710;6566;6674;6621;6815;6671;6879;6795;6465;6145;6270
7;6037;5997;6142;6226;6360;6367;6464;6706;6727;6579;6685;6663;6799;6669;6871;6809;6488;6160
8;6246;6083;6048;6332;6320;6444;6424;6551;6757;6786;6599;6723;6672;6780;6664;6900;6808;6507
9;6356;6273;6123;6219;6416;6395;6486;6534;6597;6799;6832;6636;6750;6677;6786;6666;6892;6820
10;6569;6401;6284;6242;6308;6503;6436;6594;6608;6693;6870;6862;6629;6742;6694;6807;6671;6918
11;6309;6610;6455;6373;6342;6395;6558;6534;6665;6671;6746;6885;6883;6636;6723;6704;6835;6696
12;6269;6349;6620;6524;6463;6423;6470;6669;6602;6726;6727;6785;6886;6874;6657;6741;6691;6864
13;6259;6318;6358;6726;6605;6563;6508;6559;6730;6674;6800;6768;6819;6885;6885;6657;6723;6753
14;6164;6316;6340;6453;6791;6684;6607;6618;6623;6806;6733;6805;6787;6851;6905;6878;6682;6764
15;5937;6200;6349;6436;6538;6871;6747;6697;6706;6696;6878;6760;6815;6790;6846;6926;6926;6712
16;6287;5966;6207;6436;6479;6579;6924;6865;6801;6791;6729;6920;6781;6827;6808;6893;6969;6970
17;6339;6316;5979;6312;6549;6556;6650;7034;6950;6893;6873;6758;6943;6794;6824;6873;7014;7004
18;6499;6399;6357;6086;6405;6678;6631;6800;7145;7099;6991;6923;6781;6951;6804;6955;7043;7101
19;6500;6526;6424;6463;6151;6511;6761;6834;6899;7260;7226;7042;6932;6786;6984;6958;7143;7113
20;6900;6500;6546;6521;6479;6182;6552;6879;6963;6980;7336;7284;7090;6908;6796;7151;7087;7198
21;6762;6932;6610;6704;6550;6524;6221;6710;6961;7055;7083;7431;7294;7072;6923;6950;7278;7161
22;7267;6789;7052;6781;6734;6589;6599;6393;6817;7092;7154;7164;7509;7293;7090;7061;7036;7339
23;7841;7321;6987;7296;6838;6762;6668;6814;6554;6964;7264;7308;7245;7519;7307;7261;7148;7119
24;8631;7919;7562;7261;7331;6872;6837;6849;6932;6694;7139;7402;7381;7215;7524;7470;7353;7254
25;9370;8682;8173;7814;7341;7364;6937;7087;6970;7149;6825;7301;7472;7334;7235;7672;7519;7441
26;10482;9400;8957;8449;7883;7362;7430;7120;7242;7219;7296;7004;7430;7470;7367;7420;7730;7600
27;11141;10538;9637;9253;8546;7928;7451;7663;7254;7458;7415;7501;7125;7384;7501;7487;7516;7828
28;11720;11217;10758;9889;9322;8594;8018;7696;7826;7458;7654;7611;7594;7109;7428;7683;7571;7550
29;12371;11797;11541;11072;9923;9389;8669;8240;7815;8021;7647;7838;7687;7568;7155;7542;7743;7643
30;12542;12383;11986;11744;11127;9982;9454;8859;8349;7975;8185;7823;7934;7637;7638;7328;7598;7803
31;12503;12539;12650;12229;11819;11146;10025;9585;8935;8468;8099;8336;7882;7854;7684;7741;7351;7694
32;12922;12548;12730;12878;12272;11860;11143;10161;9658;9091;8527;8266;8448;7827;7903;7743;7705;7425
33;12782;13035;12782;13016;12947;12311;11851;11209;10252;9803;9194;8643;8324;8381;7889;7957;7757;7799
34;12705;12833;13175;12985;13065;12977;12282;11928;11265;10359;9917;9286;8671;8228;8398;7925;7986;7810
35;13692;12749;13043;13381;13033;13039;12940;12415;11958;11411;10432;9969;9350;8624;8255;8413;7933;8019
36;13968;13725;12949;13244;13384;13039;12980;13042;12495;12104;11510;10546;9981;9290;8628;8299;8416;7956
37;14011;14009;13899;13118;13265;13390;13062;13130;13100;12538;12166;11604;10602;9930;9289;8683;8292;8454
38;13573;14054;14160;14052;13116;13258;13335;13161;13153;13196;12592;12208;11610;10563;9936;9294;8685;8336
39;12978;13623;14249;14335;14098;13139;13271;13440;13218;13191;13220;12651;12257;11522;10607;9951;9238;8721
40;12573;13011;13742;14429;14362;14119;13190;13394;13523;13314;13209;13245;12683;12205;11500;10631;9901;9277
41;12392;12587;13104;13847;14485;14346;14138;13294;13483;13531;13322;13301;13241;12623;12205;11519;10578;9956
42;12332;12389;12671;13185;13859;14551;14386;14174;13345;13529;13554;13365;13286;13188;12589;12210;11491;10644
43;11863;12376;12520;12826;13234;13888;14585;14481;14207;13427;13586;13596;13400;13289;13187;12590;12183;11478
44;11826;11892;12482;12601;12833;13252;13864;14664;14505;14265;13476;13615;13598;13380;13286;13197;12527;12225
45;11604;11828;11952;12534;12608;12830;13268;13935;14723;14543;14280;13524;13617;13542;13391;13315;13179;12528
46;11393;11617;11892;12056;12558;12607;12836;13351;13966;14804;14548;14283;13533;13546;13523;13385;13282;13182
47;11589;11384;11701;11943;12078;12566;12610;12875;13391;14019;14838;14553;14292;13449;13536;13490;13318;13309
48;11244;11614;11411;11725;11963;12100;12573;12667;12911;13404;14031;14812;14546;14232;13406;13555;13500;13332
49;11102;11216;11639;11446;11731;11977;12080;12598;12659;12934;13434;14011;14769;14482;14196;13424;13538;13486
50;11146;11089;11246;11682;11446;11743;11984;12132;12628;12683;12913;13427;14000;14724;14445;14171;13356;13555
51;12152;11108;11095;11270;11669;11419;11738;12046;12152;12637;12693;12939;13407;13929;14678;14395;14128;13386
52;12187;12104;11089;11085;11230;11665;11430;11762;12055;12171;12629;12720;12919;13348;13899;14634;14349;14134
53;13254;12162;12096;11095;11022;11211;11636;11439;11763;12087;12166;12633;12701;12873;13289;13856;14606;14350
54;13605;13192;12134;12095;11091;10986;11206;11623;11430;11803;12070;12153;12604;12607;12805;13238;13812;14598
55;14036;13564;13165;12120;12060;11043;10967;11238;11632;11421;11754;12044;12146;12527;12592;12757;13186;13815
56;10173;14007;13509;13147;12095;12018;10994;10966;11235;11592;11391;11711;12028;12073;12473;12547;12692;13149
57;11640;10127;13965;13495;13099;12008;11959;10958;10942;11196;11552;11340;11665;11968;11990;12432;12495;12644
58;11566;11571;10080;13954;13459;13025;11931;11923;10944;10883;11167;11514;11266;11614;11887;11942;12386;12457
