"Popolazione per età, vista per singola area - Provincia: Gorizia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Gorizia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1122;1115;1116;1117;1117;1138;1159;1162;1067;1093;1070;1034;970;945;990;955;945;895
1;1073;1139;1113;1125;1117;1118;1153;1164;1163;1082;1116;1075;1048;979;960;1009;950;966
2;985;1081;1163;1118;1146;1113;1157;1176;1170;1156;1092;1117;1090;1057;985;963;1019;963
3;1033;1010;1101;1199;1138;1132;1125;1159;1167;1160;1168;1098;1133;1095;1051;991;962;1030
4;1013;1054;1029;1115;1208;1139;1156;1122;1165;1168;1185;1156;1104;1140;1118;1046;997;987
5;1042;1030;1077;1047;1133;1211;1151;1165;1134;1163;1177;1199;1161;1108;1132;1131;1047;1008
6;986;1057;1048;1081;1069;1145;1233;1154;1175;1140;1176;1181;1208;1168;1108;1151;1138;1063
7;960;1002;1069;1050;1097;1084;1176;1240;1154;1171;1149;1179;1182;1208;1165;1099;1170;1147
8;978;964;1018;1077;1066;1103;1109;1186;1253;1158;1189;1146;1188;1179;1208;1172;1107;1178
9;1021;1000;976;1020;1091;1073;1117;1134;1210;1247;1160;1182;1151;1200;1191;1202;1189;1122
10;1022;1031;1001;986;1037;1108;1097;1134;1136;1212;1248;1165;1174;1146;1200;1202;1194;1184
11;972;1036;1046;1013;1002;1041;1114;1103;1143;1141;1215;1250;1177;1188;1142;1188;1211;1199
12;1022;989;1046;1064;1029;1019;1051;1128;1110;1144;1147;1212;1255;1185;1186;1133;1191;1209
13;924;1035;1006;1054;1074;1044;1056;1058;1124;1114;1146;1152;1213;1262;1175;1183;1143;1189
14;853;941;1038;1005;1068;1091;1048;1076;1068;1120;1127;1148;1149;1213;1250;1175;1183;1153
15;874;859;957;1056;1023;1089;1116;1060;1098;1064;1130;1130;1150;1145;1220;1240;1183;1186
16;891;879;853;961;1077;1031;1102;1128;1068;1109;1073;1128;1128;1160;1144;1219;1239;1194
17;988;896;893;879;973;1096;1051;1131;1138;1075;1112;1074;1128;1126;1168;1138;1221;1246
18;938;1010;905;918;911;999;1117;1087;1138;1136;1089;1105;1073;1134;1125;1182;1145;1234
19;1008;959;1019;929;943;938;1031;1152;1101;1157;1142;1096;1101;1092;1146;1146;1195;1162
20;1119;1027;976;1029;956;954;965;1059;1178;1122;1159;1141;1111;1130;1117;1165;1160;1222
21;1145;1141;1034;1007;1049;976;991;1006;1084;1197;1128;1175;1157;1140;1153;1133;1197;1191
22;1241;1185;1185;1077;1016;1076;1016;1034;1031;1085;1211;1154;1183;1168;1147;1155;1149;1219
23;1480;1296;1213;1234;1099;1028;1113;1042;1066;1063;1103;1217;1192;1198;1203;1164;1170;1188
24;1488;1534;1356;1252;1277;1159;1054;1136;1075;1080;1070;1135;1217;1210;1209;1210;1187;1197
25;1669;1539;1588;1417;1283;1322;1189;1101;1162;1102;1097;1098;1149;1232;1224;1214;1227;1205
26;1871;1701;1588;1637;1424;1331;1346;1241;1143;1145;1112;1126;1116;1177;1239;1254;1241;1254
27;2041;1912;1762;1629;1693;1482;1339;1397;1272;1162;1166;1126;1123;1136;1199;1240;1283;1271
