"Popolazione per età, vista per singola area - Provincia: Grosseto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Grosseto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1444;1520;1566;1651;1660;1688;1728;1834;1784;1707;1741;1617;1485;1453;1458;1416;1331;1342
1;1428;1465;1540;1593;1668;1680;1717;1752;1843;1765;1701;1748;1616;1501;1451;1450;1430;1325
2;1447;1443;1490;1574;1623;1669;1704;1751;1764;1864;1782;1748;1760;1610;1508;1436;1456;1446
3;1534;1471;1467;1531;1611;1636;1694;1748;1791;1803;1865;1802;1756;1761;1610;1528;1431;1459
4;1434;1556;1490;1494;1571;1638;1670;1718;1774;1819;1838;1882;1809;1763;1771;1620;1535;1444
5;1475;1452;1577;1536;1546;1601;1645;1711;1748;1799;1834;1855;1878;1808;1761;1777;1613;1547
6;1344;1500;1468;1599;1578;1565;1643;1692;1746;1769;1807;1840;1833;1872;1813;1760;1766;1622
7;1532;1364;1533;1484;1629;1603;1601;1672;1723;1783;1795;1826;1856;1820;1868;1819;1765;1777
8;1522;1556;1387;1550;1530;1649;1632;1642;1731;1743;1808;1806;1832;1856;1847;1875;1827;1760
9;1559;1536;1580;1400;1580;1558;1685;1685;1678;1757;1767;1814;1806;1839;1845;1850;1887;1829
10;1674;1583;1562;1599;1439;1628;1595;1710;1707;1702;1777;1791;1807;1813;1827;1839;1849;1891
11;1659;1697;1602;1577;1636;1456;1667;1638;1743;1732;1727;1785;1797;1806;1814;1838;1848;1846
12;1598;1664;1710;1623;1609;1666;1482;1708;1675;1784;1759;1737;1777;1798;1812;1816;1826;1856
13;1641;1615;1676;1744;1660;1630;1725;1520;1739;1692;1801;1758;1743;1783;1798;1811;1815;1826
14;1491;1662;1625;1694;1768;1689;1683;1773;1559;1761;1700;1806;1766;1745;1765;1801;1816;1813
15;1522;1498;1681;1645;1734;1800;1718;1734;1821;1581;1775;1719;1804;1764;1750;1766;1791;1827
16;1592;1533;1508;1701;1673;1753;1849;1745;1751;1832;1598;1780;1728;1814;1762;1765;1764;1788
17;1640;1588;1539;1525;1732;1713;1770;1882;1791;1777;1848;1602;1778;1733;1817;1779;1793;1772
18;1772;1649;1608;1576;1567;1775;1754;1807;1905;1820;1808;1866;1609;1785;1735;1850;1814;1801
19;1790;1779;1666;1606;1600;1606;1841;1822;1847;1936;1845;1835;1859;1656;1802;1780;1914;1853
20;1852;1792;1815;1687;1617;1618;1692;1902;1868;1885;1966;1862;1842;1883;1684;1836;1842;1914
21;1857;1846;1831;1843;1706;1646;1720;1745;1961;1943;1928;2000;1869;1832;1912;1724;1876;1847
