"Popolazione per età, vista per singola area - Provincia: Imperia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Imperia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1482;1526;1526;1636;1678;1592;1681;1686;1659;1589;1533;1526;1469;1444;1420;1362;1341;1219
1;1484;1504;1540;1551;1635;1689;1597;1700;1702;1671;1587;1533;1510;1468;1433;1410;1365;1326
2;1538;1501;1538;1580;1572;1637;1689;1604;1694;1720;1680;1575;1533;1529;1468;1446;1391;1387
3;1496;1549;1542;1554;1585;1586;1657;1705;1608;1709;1703;1684;1573;1532;1523;1469;1468;1391
4;1486;1519;1567;1557;1586;1583;1626;1680;1718;1617;1720;1712;1673;1581;1514;1526;1470;1472
5;1537;1504;1533;1574;1605;1607;1599;1636;1686;1731;1632;1715;1711;1650;1575;1526;1536;1466
6;1521;1567;1523;1566;1598;1631;1650;1617;1653;1693;1740;1629;1709;1718;1640;1589;1543;1548
7;1499;1541;1601;1537;1591;1617;1675;1681;1644;1673;1712;1743;1620;1707;1706;1664;1583;1546
8;1563;1520;1570;1621;1576;1625;1653;1716;1721;1653;1681;1712;1743;1620;1697;1706;1665;1591
9;1660;1600;1550;1576;1654;1606;1665;1721;1752;1747;1668;1685;1703;1737;1614;1702;1714;1676
10;1632;1671;1622;1581;1596;1685;1648;1688;1750;1780;1758;1675;1672;1714;1733;1634;1710;1715
11;1648;1644;1697;1645;1618;1619;1714;1691;1729;1774;1802;1763;1664;1669;1716;1749;1638;1730
12;1571;1677;1671;1711;1670;1631;1672;1749;1728;1759;1792;1799;1744;1667;1644;1717;1753;1648
13;1559;1591;1687;1685;1733;1691;1658;1700;1787;1752;1793;1787;1789;1745;1657;1645;1732;1755
14;1564;1579;1621;1698;1705;1761;1728;1701;1754;1824;1766;1791;1785;1783;1751;1654;1654;1742
15;1560;1580;1596;1628;1727;1722;1796;1757;1740;1769;1860;1791;1784;1786;1775;1758;1659;1657
16;1579;1582;1592;1618;1662;1732;1732;1832;1794;1751;1788;1870;1802;1770;1788;1786;1763;1656
17;1447;1595;1597;1595;1635;1690;1749;1766;1874;1810;1768;1796;1866;1798;1778;1798;1781;1785
18;1609;1465;1610;1625;1628;1663;1711;1788;1798;1921;1831;1788;1802;1873;1784;1816;1836;1806
19;1543;1617;1496;1624;1647;1648;1724;1761;1852;1845;1968;1850;1793;1812;1886;1839;1884;1870
20;1675;1542;1636;1535;1651;1670;1706;1775;1832;1891;1895;1997;1856;1791;1826;1931;1871;1917
21;1668;1685;1606;1669;1568;1682;1701;1774;1819;1868;1921;1919;1996;1875;1796;1874;1962;1886
22;1685;1686;1752;1652;1699;1606;1749;1773;1825;1893;1917;1964;1943;2016;1874;1825;1907;1980
23;1886;1716;1742;1790;1698;1729;1694;1815;1829;1881;1946;1953;1994;1985;2016;1923;1865;1929
24;2036;1926;1797;1798;1838;1763;1798;1798;1879;1882;1938;2020;2000;2015;1989;2031;1935;1890
25;2121;2063;2009;1845;1852;1881;1828;1849;1865;1931;1941;1979;2056;2017;2010;2011;2053;1969
26;2300;2143;2144;2060;1875;1887;1958;1901;1924;1912;1958;1964;2010;2040;1988;2065;2009;2059
27;2578;2341;2236;2197;2102;1913;1986;2003;1924;1967;1931;2015;1979;2005;2010;2021;2049;2019
28;2520;2599;2452;2352;2257;2142;2008;2054;2040;1964;2009;1983;2040;1989;1996;1999;2009;2077
29;2794;2567;2723;2523;2393;2275;2246;2060;2093;2069;1995;2019;1992;2041;1972;1997;1998;2030
30;2788;2876;2681;2791;2574;2423;2359;2308;2095;2126;2112;1996;2045;1995;2020;1982;2026;2029
31;2813;2830;2946;2744;2812;2626;2502;2425;2342;2094;2169;2154;2024;2071;1980;2047;1980;2058
32;2917;2843;2942;2987;2758;2841;2689;2527;2449;2375;2077;2186;2136;2034;2074;1992;2056;2014
33;3029;2952;2967;2972;2964;2810;2897;2725;2578;2461;2364;2108;2178;2154;2023;2077;2000;2087
34;3095;3088;3050;2992;2981;2990;2853;2920;2744;2622;2458;2380;2124;2174;2149;2023;2072;1998
35;3170;3133;3180;3079;3028;3003;3065;2893;2946;2801;2615;2474;2391;2142;2170;2180;2043;2067
36;3332;3217;3223;3250;3113;3098;3101;3132;2945;3001;2792;2640;2475;2398;2144;2184;2183;2053
37;3376;3348;3289;3275;3264;3141;3170;3134;3178;2998;3037;2810;2650;2489;2403;2183;2177;2205
38;3084;3418;3419;3363;3312;3325;3232;3214;3158;3222;3009;3041;2803;2669;2486;2412;2187;2187
39;3139;3149;3488;3476;3391;3347;3378;3290;3259;3176;3219;2997;3035;2811;2653;2507;2428;2193
40;3025;3156;3218;3531;3512;3436;3410;3424;3326;3304;3176;3231;2985;3030;2806;2658;2493;2443
41;3053;3049;3215;3242;3559;3557;3480;3431;3466;3346;3323;3198;3272;2971;3013;2827;2666;2510
42;2980;3063;3113;3266;3266;3581;3605;3504;3485;3495;3358;3309;3188;3258;2970;3005;2831;2672
43;2750;2991;3109;3146;3284;3311;3628;3658;3537;3534;3509;3377;3303;3185;3245;2972;3005;2833
44;2848;2780;3026;3163;3174;3319;3353;3666;3692;3577;3551;3530;3365;3312;3192;3261;2972;3019
45;2709;2880;2837;3072;3154;3196;3355;3381;3702;3707;3605;3527;3521;3344;3311;3183;3287;2995
46;2609;2725;2917;2880;3102;3159;3229;3394;3411;3742;3720;3603;3523;3521;3330;3306;3155;3296
47;2651;2645;2752;2967;2905;3121;3213;3257;3431;3448;3777;3734;3597;3494;3520;3328;3295;3168
48;2643;2658;2678;2772;2991;2937;3165;3255;3283;3459;3456;3775;3724;3562;3495;3506;3329;3304
49;2503;2653;2696;2721;2792;3004;2958;3190;3268;3312;3459;3448;3778;3740;3550;3481;3493;3337
50;2538;2498;2694;2726;2739;2801;3059;2986;3192;3288;3309;3470;3441;3762;3715;3555;3457;3487
51;2624;2540;2544;2720;2737;2772;2845;3094;3006;3216;3307;3316;3465;3449;3737;3711;3553;3454
52;2784;2640;2559;2562;2738;2754;2803;2872;3116;3029;3234;3304;3307;3472;3423;3728;3692;3553
53;2926;2817;2652;2572;2570;2760;2777;2811;2904;3122;3034;3244;3300;3300;3448;3415;3704;3674
54;3023;2938;2845;2695;2604;2597;2778;2810;2841;2913;3119;3045;3233;3289;3310;3428;3415;3684
55;3009;3047;2983;2867;2701;2623;2623;2796;2842;2842;2913;3102;3054;3231;3261;3299;3403;3416
56;2296;3046;3054;3008;2882;2710;2651;2646;2830;2857;2852;2922;3071;3051;3226;3262;3293;3410
57;2668;2314;3068;3102;3024;2883;2738;2666;2659;2854;2854;2847;2916;3060;3022;3234;3263;3293
58;2631;2682;2335;3093;3142;3043;2922;2772;2691;2680;2865;2837;2838;2881;3050;3023;3246;3240
59;2750;2654;2705;2357;3125;3163;3079;2924;2776;2697;2702;2855;2827;2820;2881;3043;3000;3229
60;2865;2768;2666;2720;2363;3137;3195;3106;2943;2804;2701;2674;2836;2811;2802;2866;3042;2983
61;3213;2882;2793;2692;2730;2379;3175;3233;3116;2955;2804;2674;2668;2833;2786;2799;2862;3042
62;3157;3216;2882;2818;2702;2741;2385;3172;3243;3140;2951;2792;2661;2661;2810;2774;2800;2856
63;3120;3153;3233;2914;2832;2688;2740;2398;3160;3247;3135;2941;2769;2642;2648;2811;2755;2797
64;2991;3137;3158;3243;2910;2850;2674;2742;2417;3154;3232;3110;2920;2746;2637;2641;2799;2744
65;2967;2985;3135;3160;3241;2906;2831;2668;2735;2425;3150;3207;3087;2912;2731;2618;2620;2782
66;2926;2934;2977;3133;3145;3237;2892;2813;2636;2729;2411;3131;3185;3062;2871;2735;2605;2605
67;2838;2911;2932;3000;3133;3134;3213;2885;2795;2617;2706;2384;3086;3151;3037;2845;2698;2589
68;2921;2821;2889;2936;2999;3112;3119;3190;2890;2759;2589;2682;2351;3059;3110;3004;2823;2684
69;2870;2881;2782;2869;2905;2970;3093;3082;3161;2868;2743;2559;2643;2319;3019;3058;2974;2796
70;2737;2825;2864;2761;2825;2862;2959;3061;3040;3124;2833;2693;2503;2597;2277;2965;3007;2934
71;3059;2706;2784;2822;2726;2812;2828;2922;3012;2984;3078;2784;2633;2474;2543;2263;2918;2961
72;2599;3010;2642;2749;2790;2666;2767;2801;2887;2981;2925;3012;2740;2597;2444;2511;2223;2876
73;2573;2548;2942;2603;2689;2729;2618;2721;2753;2838;2935;2861;2961;2687;2531;2400;2469;2189
74;2489;2521;2496;2895;2562;2637;2659;2577;2686;2714;2781;2866;2763;2902;2628;2473;2342;2407
75;2321;2422;2465;2435;2831;2499;2554;2590;2525;2621;2655;2733;2784;2721;2847;2576;2413;2293
76;2214;2256;2370;2401;2364;2749;2423;2488;2528;2444;2556;2574;2643;2713;2651;2762;2514;2344
77;2134;2135;2154;2300;2336;2292;2683;2363;2414;2460;2372;2481;2479;2550;2634;2571;2676;2433
78;2170;2073;2069;2083;2219;2248;2235;2589;2269;2322;2368;2285;2397;2401;2446;2542;2489;2595
79;1926;2084;1974;1973;1981;2121;2151;2132;2517;2174;2246;2273;2188;2308;2303;2378;2436;2383
80;1897;1837;1951;1911;1893;1885;2046;2071;2044;2414;2085;2156;2172;2088;2214;2191;2281;2340
81;1814;1797;1729;1836;1812;1774;1802;1929;1970;1926;2305;1999;2057;2046;1982;2119;2103;2157
82;974;1691;1653;1632;1745;1710;1669;1695;1834;1868;1841;2168;1883;1949;1959;1887;2002;2017
83;808;897;1562;1538;1560;1626;1594;1520;1572;1688;1754;1732;2031;1772;1826;1849;1760;1884
84;806;748;820;1461;1433;1455;1501;1470;1416;1449;1545;1618;1602;1863;1665;1706;1736;1649
85;896;731;681;762;1341;1317;1332;1381;1340;1324;1340;1432;1483;1481;1704;1547;1550;1595
86;986;802;655;619;670;1225;1209;1212;1288;1227;1208;1244;1331;1340;1367;1577;1398;1422
87;926;873;722;583;563;589;1097;1072;1082;1156;1113;1100;1134;1201;1196;1228;1432;1264
88;804;803;760;651;527;489;517;967;947;950;1030;994;964;996;1084;1074;1090;1240
89;711;670;667;675;558;448;433;447;832;852;826;894;890;846;848;963;946;949
90;523;595;550;566;587;463;374;378;391;729;752;692;770;762;739;762;799;804
91;447;440;489;466;479;498;378;305;311;319;613;635;583;664;630;624;639;662
92;383;366;348;430;375;399;410;317;265;261;267;505;534;487;535;532;517;518
93;268;298;295;279;330;298;324;333;237;217;210;208;413;441;391;434;421;403
94;175;199;237;234;224;267;236;256;278;188;170;173;155;342;348;313;346;339
95;146;140;142;182;173;172;222;171;194;202;146;131;131;128;249;259;241;268
96;95;120;100;112;119;141;133;154;140;147;165;113;103;98;107;192;199;181
97;75;68;85;66;83;96;99;90;112;98;99;122;80;71;64;82;138;134
98;44;51;51;67;48;58;71;71;71;79;78;65;87;63;47;45;55;99
99;26;22;26;38;47;35;42;49;49;42;64;52;46;61;45;36;30;43
100 e oltre;23;42;34;46;53;57;61;56;63;94;93;99;100;90;81;103;85;71
Totale;204921;205688;207725;209635;210735;211665;213959;215563;216988;217934;218083;217545;216226;214981;213022;212400;211081;209982
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;744;823;813;863;842;798;910;865;826;835;818;802;750;741;728;715;689;638
1;782;749;825;819;863;849;789;923;873;834;834;818;790;749;738;721;713;676
2;757;790;771;839;831;865;852;793;925;881;838;828;813;803;745;745;706;727
3;797;767;813;773;847;834;868;856;792;939;873;846;825;804;796;744;762;705
4;745;812;776;822;788;851;856;878;865;802;941;873;834;833;789;795;756;764
5;819;762;821;779;844;797;856;866;878;869;811;931;865;823;836;803;792;760
6;772;828;777;839;793;867;821;866;856;879;879;812;921;874;815;845;817;801
7;797;784;841;787;853;810;886;841;889;872;884;887;817;916;867;829;835;816
8;830;802;802;852;813;876;835;907;859;894;880;887;885;818;916;862;832;842
9;831;848;810;809;866;830;897;862;932;871;904;879;885;882;810;925;866;836
10;812;832;857;826;820;886;857;909;873;947;871;911;865;894;880;824;921;868
11;813;826;848;873;843;831;894;875;933;885;959;879;908;862;890;892;821;923
12;816;820;844;851;879;844;863;908;899;954;892;951;875;908;853;894;890;823
13;784;829;830;852;864;894;862;877;930;905;969;886;946;880;907;853;898;896
14;818;793;839;841;857;883;916;890;906;953;920;969;882;943;879;907;857;908
15;833;829;805;848;849;875;904;931;908;922;967;935;957;884;936;879;910;860
16;808;844;839;813;871;857;883;926;954;905;931;971;942;957;878;940;880;907
17;735;813;852;844;823;884;871;899;950;966;913;933;973;942;958;897;937;891
18;822;748;828;864;860;838;903;887;917;978;980;922;929;972;941;986;929;965
19;777;816;772;832;867;861;865;922;915;932;995;982;921;928;977;990;1033;953
20;830;770;826;798;837;882;898;878;964;948;949;1006;981;919;942;1023;1009;1058
21;844;835;806;848;817;842;898;924;904;985;964;962;1001;988;925;980;1036;1014
22;871;857;877;830;866;825;868;921;955;932;1006;993;978;1016;988;953;996;1051
23;920;880;886;901;850;887;873;892;946;972;957;1031;999;1005;1020;1021;973;999
24;1016;941;922;907;925;875;910;938;921;974;988;1001;1043;1011;1012;1035;1024;991
25;1041;1018;978;953;934;945;907;935;971;941;1006;1006;1017;1053;1012;1025;1060;1047
26;1166;1061;1049;1010;966;956;991;945;963;992;966;1017;1028;1006;1041;1038;1011;1059
27;1241;1176;1100;1087;1028;972;1002;1022;944;992;1004;1007;1025;1020;987;1061;1036;1021
28;1286;1256;1239;1150;1107;1047;1007;1025;1048;976;1009;1040;1016;1044;1018;998;1047;1049
29;1398;1299;1310;1280;1175;1123;1081;1020;1044;1066;1000;1020;1045;1011;1030;1019;999;1059
30;1437;1438;1357;1360;1307;1193;1157;1114;1042;1067;1093;1018;1042;1046;1005;1029;1044;1012
31;1419;1457;1480;1392;1376;1334;1238;1190;1135;1048;1098;1123;1042;1051;1032;1026;1030;1073
32;1505;1443;1514;1519;1401;1398;1380;1258;1207;1155;1042;1113;1107;1039;1059;1037;1030;1064
33;1558;1530;1494;1524;1504;1415;1436;1387;1273;1204;1148;1054;1114;1118;1029;1056;1040;1045
34;1518;1580;1570;1504;1515;1509;1422;1427;1393;1282;1190;1157;1064;1109;1114;1024;1061;1036
35;1600;1527;1620;1583;1514;1510;1542;1433;1442;1418;1267;1204;1171;1070;1112;1124;1042;1059
36;1637;1629;1569;1664;1601;1552;1555;1579;1454;1466;1420;1290;1210;1176;1077;1123;1119;1052
37;1661;1650;1668;1593;1673;1621;1575;1578;1597;1490;1490;1423;1299;1229;1176;1085;1110;1123
38;1559;1689;1687;1708;1613;1696;1658;1596;1585;1625;1495;1484;1419;1304;1221;1182;1089;1108
39;1579;1591;1709;1703;1712;1634;1719;1679;1601;1588;1628;1504;1480;1429;1303;1233;1181;1102
40;1556;1592;1629;1730;1723;1739;1669;1744;1678;1625;1595;1641;1501;1485;1420;1300;1210;1191
41;1564;1564;1620;1635;1751;1750;1759;1674;1762;1692;1627;1612;1662;1491;1472;1421;1292;1234
42;1470;1570;1587;1645;1646;1765;1773;1762;1699;1769;1686;1632;1618;1648;1490;1470;1414;1298
43;1329;1471;1588;1598;1647;1680;1783;1802;1775;1721;1779;1699;1627;1612;1645;1486;1468;1420
44;1450;1343;1492;1613;1616;1636;1696;1797;1815;1788;1727;1808;1693;1633;1611;1650;1484;1473
45;1372;1467;1364;1511;1602;1614;1639;1691;1811;1813;1802;1714;1801;1678;1630;1612;1664;1494
46;1294;1382;1482;1387;1524;1604;1625;1660;1695;1826;1816;1802;1716;1799;1677;1632;1597;1679
47;1368;1311;1384;1507;1399;1533;1637;1642;1679;1712;1841;1818;1791;1686;1794;1681;1622;1594
48;1283;1375;1330;1394;1509;1411;1546;1652;1651;1694;1703;1831;1817;1777;1689;1788;1679;1621
49;1225;1293;1389;1350;1403;1505;1416;1566;1651;1668;1685;1696;1832;1816;1761;1686;1779;1682
50;1194;1226;1313;1388;1354;1403;1521;1414;1561;1658;1657;1699;1694;1828;1802;1762;1676;1767
51;1244;1188;1244;1325;1389;1368;1420;1539;1428;1571;1661;1670;1698;1689;1808;1797;1757;1665
52;1353;1251;1199;1263;1330;1393;1379;1424;1539;1442;1578;1665;1654;1703;1681;1802;1788;1754
53;1413;1354;1249;1202;1270;1346;1399;1378;1441;1537;1436;1589;1665;1640;1698;1680;1796;1781
54;1462;1417;1364;1271;1211;1282;1352;1412;1385;1442;1533;1440;1577;1659;1646;1689;1673;1780
55;1417;1469;1441;1374;1273;1220;1298;1351;1414;1381;1438;1527;1447;1581;1652;1636;1676;1669
56;1097;1430;1465;1455;1379;1273;1230;1301;1368;1415;1383;1440;1513;1442;1576;1646;1619;1668
57;1315;1106;1437;1488;1469;1379;1279;1234;1301;1381;1405;1373;1435;1509;1429;1575;1643;1613
