"Popolazione per età, vista per singola area - Provincia: Isernia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Isernia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;658;668;655;653;689;637;676;660;647;664;618;645;632;627;632;589;590;560
1;690;658;664;648;648;685;645;664;662;642;657;625;635;630;631;627;585;582
2;698;703;654;664;649;639;691;642;667;667;640;665;615;629;618;622;613;574
3;749;693;701;655;671;646;644;675;643;669;661;633;665;610;634;605;615;604
4;748;753;696;701;656;675;641;653;686;656;678;659;638;654;606;640;610;605
5;777;747;757;696;702;659;677;639;656;683;658;674;658;638;651;605;637;616
6;762;778;752;753;696;700;664;675;646;652;684;660;670;661;630;652;611;631
7;817;761;784;748;753;683;715;666;685;644;656;683;663;660;652;627;647;610
8;870;822;764;782;752;757;689;709;672;682;644;656;681;663;665;652;626;644
9;903;878;830;763;787;759;759;682;705;673;680;643;651;683;655;659;643;625
10;942;907;877;831;767;797;756;761;689;714;678;682;644;653;678;646;661;646
11;921;946;903;878;835;774;798;748;754;690;714;683;682;642;652;679;641;657
12;954;927;943;910;882;829;781;793;762;759;694;714;682;679;637;649;685;646
13;1008;949;932;941;907;874;832;780;794;766;761;697;709;678;679;634;652;686
14;998;1021;946;934;941;906;878;842;784;793;766;763;687;711;676;678;627;647
15;1050;1011;1024;946;929;940;909;876;842;782;794;764;766;690;714;677;686;630
16;1050;1046;1011;1019;941;942;934;927;880;843;782;804;776;771;687;721;681;690
17;1065;1051;1039;1008;1018;949;939;929;929;881;846;790;809;785;787;709;739;692
18;1068;1069;1052;1042;1010;1014;955;941;941;931;884;857;798;815;802;817;743;752
19;1055;1065;1060;1054;1040;1013;1019;961;944;944;939;892;857;807;829;819;880;740
20;1155;1058;1064;1052;1042;1049;1008;1040;967;945;945;949;892;868;815;844;827;878
21;1110;1160;1075;1065;1071;1034;1055;1018;1051;977;953;957;945;896;884;824;873;828
22;1139;1118;1163;1067;1062;1068;1039;1071;1019;1050;996;966;969;959;908;891;851;871
23;1125;1150;1117;1174;1067;1056;1071;1041;1067;1035;1054;995;970;980;984;939;916;841
24;1135;1127;1154;1129;1185;1064;1054;1074;1046;1079;1052;1072;1008;977;989;992;945;904
25;1235;1171;1130;1150;1131;1175;1065;1067;1066;1057;1089;1042;1084;1010;979;998;994;928
26;1260;1260;1189;1130;1159;1119;1180;1061;1075;1060;1080;1091;1053;1072;1009;973;999;983
27;1322;1287;1287;1193;1142;1148;1127;1185;1047;1065;1083;1078;1092;1065;1084;1009;980;984
28;1251;1346;1320;1294;1212;1133;1169;1130;1174;1050;1067;1101;1079;1108;1066;1088;1007;967
29;1253;1271;1370;1303;1291;1213;1133;1152;1113;1169;1045;1081;1082;1066;1104;1072;1083;978
30;1384;1264;1289;1378;1290;1291;1217;1131;1140;1111;1164;1060;1074;1088;1068;1069;1045;1032
31;1201;1394;1261;1288;1379;1276;1304;1218;1122;1133;1099;1153;1059;1040;1085;1060;1065;1032
32;1218;1196;1365;1218;1265;1337;1261;1269;1177;1089;1131;1078;1149;1059;1021;1081;1046;1044
33;1326;1212;1174;1330;1197;1226;1316;1233;1257;1139;1097;1110;1090;1152;1043;1005;1064;1029
34;1326;1320;1219;1161;1290;1162;1213;1284;1207;1228;1132;1095;1107;1080;1134;1038;984;1021
35;1328;1314;1315;1218;1157;1275;1184;1200;1256;1183;1227;1121;1093;1106;1084;1124;1019;978
36;1314;1354;1325;1332;1226;1145;1294;1194;1203;1253;1184;1225;1122;1087;1083;1075;1104;1023
37;1392;1304;1347;1327;1321;1220;1164;1297;1197;1208;1255;1191;1207;1120;1080;1077;1063;1083
38;1297;1400;1308;1344;1320;1314;1221;1174;1289;1208;1205;1258;1188;1196;1112;1064;1059;1040
