"Popolazione per età, vista per singola area - Provincia: L'Aquila"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: L'Aquila"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2356;2273;2418;2453;2399;2315;2467;2488;2447;2584;2545;2598;2415;2322;2329;2231;2109;2021
1;2355;2379;2280;2421;2463;2391;2322;2449;2453;2471;2560;2498;2561;2365;2297;2311;2208;2104
2;2448;2379;2407;2276;2436;2477;2425;2348;2430;2465;2488;2581;2490;2536;2355;2291;2308;2189
3;2341;2448;2386;2434;2275;2440;2487;2450;2348;2448;2481;2501;2566;2495;2528;2327;2266;2302
4;2331;2363;2444;2418;2456;2284;2453;2495;2443;2368;2462;2484;2515;2564;2482;2528;2311;2262
5;2453;2361;2380;2461;2450;2470;2322;2466;2508;2451;2375;2451;2489;2515;2554;2454;2514;2304
6;2519;2473;2385;2411;2489;2462;2509;2359;2460;2493;2446;2378;2451;2473;2499;2537;2435;2519
7;2645;2550;2500;2419;2430;2505;2511;2531;2340;2448;2490;2452;2391;2453;2467;2481;2517;2439
8;2687;2655;2563;2517;2445;2465;2553;2537;2546;2353;2440;2501;2459;2386;2433;2473;2468;2518
9;2783;2701;2667;2584;2526;2461;2503;2588;2550;2551;2360;2442;2515;2445;2375;2410;2469;2460
10;2909;2798;2723;2703;2609;2547;2484;2535;2592;2563;2542;2362;2429;2523;2455;2371;2421;2482
11;2937;2922;2834;2746;2720;2623;2577;2508;2529;2595;2574;2555;2357;2436;2518;2449;2361;2420
12;2891;2958;2944;2840;2771;2734;2656;2611;2516;2527;2607;2590;2553;2363;2434;2512;2470;2373
13;2928;2906;2959;2956;2867;2796;2756;2675;2608;2520;2548;2599;2595;2541;2363;2443;2494;2468
14;2893;2947;2949;2985;2986;2871;2820;2788;2710;2642;2530;2556;2585;2598;2537;2352;2425;2510
15;3073;2901;2968;2966;3017;2987;2914;2859;2814;2724;2663;2528;2546;2580;2590;2537;2349;2436
16;3274;3083;2923;3002;2991;3020;3016;2955;2877;2837;2739;2670;2519;2541;2573;2584;2530;2372
17;3200;3273;3116;2959;3043;3022;3059;3054;2973;2897;2863;2757;2662;2528;2544;2580;2610;2523
18;3287;3231;3309;3145;3002;3073;3071;3119;3078;3006;2922;2890;2757;2666;2544;2611;2637;2631
19;3521;3286;3270;3315;3173;3031;3133;3122;3150;3132;3026;2913;2897;2755;2659;2595;2698;2683
20;3571;3523;3331;3306;3331;3171;3131;3199;3162;3204;3185;3061;2935;2892;2769;2695;2684;2741
21;3416;3569;3620;3365;3335;3349;3252;3182;3237;3219;3255;3248;3113;2956;2915;2834;2744;2692
22;3715;3437;3632;3661;3376;3382;3439;3319;3223;3338;3315;3320;3298;3141;3000;2983;2889;2766
23;3797;3733;3556;3653;3694;3442;3459;3503;3367;3318;3426;3373;3382;3298;3161;3015;3055;2878
24;3877;3801;3829;3637;3702;3728;3546;3541;3517;3424;3365;3492;3440;3407;3290;3219;3044;3036
25;3962;3893;3938;3900;3671;3749;3855;3571;3555;3585;3519;3434;3512;3450;3413;3326;3264;3023
26;4212;3986;4030;3994;3929;3691;3834;3922;3571;3616;3656;3582;3501;3517;3433;3395;3352;3244
27;4450;4233;4135;4071;4032;3937;3776;3883;3933;3626;3676;3668;3628;3535;3532;3426;3398;3327
28;4106;4484;4411;4204;4109;4035;4059;3862;3885;3989;3690;3722;3673;3620;3486;3545;3418;3325
29;4316;4125;4633;4487;4219;4101;4119;4076;3878;3929;4007;3730;3715;3681;3603;3459;3488;3415
30;4314;4367;4330;4705;4529;4206;4173;4172;4130;3885;3934;4011;3681;3717;3644;3571;3425;3428
31;4229;4330;4499;4364;4713;4511;4278;4195;4182;4135;3875;3948;3986;3683;3664;3605;3539;3382
32;4363;4217;4404;4520;4322;4655;4498;4238;4166;4175;4059;3870;3941;3972;3659;3640;3593;3511
33;4359;4346;4300;4425;4500;4276;4688;4487;4233;4112;4137;4093;3846;3913;3919;3627;3608;3556
34;4346;4347;4448;4297;4427;4427;4266;4652;4426;4230;4123;4141;4116;3827;3914;3879;3599;3557
35;4578;4352;4453;4486;4283;4384;4451;4226;4628;4400;4250;4165;4126;4080;3811;3861;3834;3580
36;4508;4602;4478;4536;4528;4287;4456;4461;4232;4622;4429;4272;4154;4133;4039;3807;3828;3794
37;4740;4562;4675;4530;4574;4533;4337;4482;4477;4249;4607;4434;4290;4146;4116;4008;3773;3806
38;4619;4727;4641;4729;4550;4578;4588;4383;4494;4462;4266;4597;4427;4286;4130;4092;3992;3739
39;4471;4650;4834;4664;4728;4544;4668;4609;4398;4492;4456;4277;4605;4412;4286;4109;4085;3952
40;4479;4458;4724;4879;4690;4734;4597;4678;4595;4403;4488;4492;4287;4592;4381;4245;4075;4060
41;4459;4507;4533;4775;4874;4656;4755;4629;4672;4573;4408;4523;4503;4283;4585;4374;4202;4057
42;4352;4494;4563;4588;4791;4878;4725;4757;4630;4696;4594;4446;4536;4506;4283;4565;4347;4192
43;4160;4354;4559;4616;4611;4781;4936;4759;4736;4653;4707;4621;4479;4540;4496;4266;4523;4356
44;4210;4185;4432;4569;4633;4606;4807;4977;4755;4747;4636;4714;4605;4497;4528;4477;4236;4527
45;4194;4228;4253;4462;4587;4634;4639;4845;5014;4767;4732;4642;4715;4577;4476;4509;4467;4223
46;4211;4197;4285;4260;4483;4581;4667;4685;4828;4991;4776;4754;4639;4698;4548;4467;4484;4478
47;4276;4214;4262;4290;4281;4508;4625;4669;4685;4809;5002;4780;4773;4655;4675;4525;4463;4464
48;4009;4277;4264;4267;4302;4300;4572;4643;4664;4682;4797;5018;4793;4778;4653;4646;4479;4446
49;3918;4027;4317;4293;4292;4294;4327;4606;4628;4659;4677;4802;5039;4765;4743;4647;4632;4484
50;3867;3930;4047;4344;4310;4284;4314;4341;4587;4625;4647;4696;4823;5005;4756;4730;4633;4617
51;3971;3879;3986;4050;4360;4331;4307;4350;4361;4587;4625;4638;4697;4816;4978;4720;4732;4629
52;4055;3985;3913;4007;4032;4349;4360;4320;4370;4372;4568;4620;4640;4679;4792;4951;4718;4723
53;4204;4074;4009;3940;4020;4047;4360;4355;4304;4382;4360;4553;4632;4614;4665;4772;4900;4702
54;4031;4219;4103;4008;3940;4001;4060;4378;4346;4309;4365;4362;4545;4617;4586;4642;4746;4873
