"Popolazione per età, vista per singola area - Provincia: La Spezia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: La Spezia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1503;1530;1512;1627;1541;1699;1676;1685;1697;1607;1593;1602;1569;1475;1412;1510;1436;1343
1;1470;1518;1541;1533;1646;1579;1732;1694;1698;1681;1630;1596;1639;1594;1500;1428;1528;1481
2;1473;1484;1529;1586;1551;1657;1600;1756;1702;1705;1689;1651;1623;1646;1593;1507;1443;1518
3;1472;1488;1518;1541;1611;1566;1680;1617;1782;1718;1729;1692;1660;1629;1641;1602;1518;1457
4;1493;1479;1506;1535;1570;1615;1608;1691;1619;1778;1717;1748;1713;1659;1640;1654;1613;1526
5;1542;1514;1524;1514;1564;1599;1634;1630;1704;1622;1800;1713;1789;1727;1653;1635;1656;1617
6;1475;1566;1538;1553;1536;1597;1653;1639;1641;1714;1653;1825;1730;1788;1738;1664;1642;1680
7;1451;1490;1609;1553;1592;1562;1640;1678;1666;1654;1707;1663;1828;1713;1787;1742;1678;1654
8;1445;1469;1517;1618;1597;1592;1586;1674;1687;1676;1669;1731;1687;1825;1706;1794;1735;1694
9;1623;1459;1475;1529;1627;1612;1627;1625;1688;1694;1676;1674;1764;1691;1828;1720;1803;1754
10;1537;1623;1498;1499;1547;1651;1643;1641;1643;1708;1710;1688;1695;1767;1692;1836;1722;1808
11;1606;1549;1658;1536;1525;1566;1686;1672;1657;1659;1720;1722;1683;1709;1768;1699;1826;1739
12;1504;1622;1566;1669;1553;1546;1589;1717;1698;1679;1678;1741;1731;1677;1697;1783;1702;1832
13;1613;1511;1634;1587;1699;1572;1582;1621;1730;1706;1704;1687;1760;1737;1689;1701;1800;1707
14;1462;1602;1538;1648;1601;1710;1592;1600;1646;1733;1733;1731;1706;1763;1743;1709;1704;1809
15;1526;1488;1622;1558;1672;1617;1745;1630;1619;1674;1743;1736;1749;1715;1772;1756;1715;1715
16;1570;1545;1505;1640;1607;1697;1636;1786;1655;1641;1685;1752;1746;1760;1720;1787;1751;1732
17;1534;1571;1558;1516;1667;1620;1727;1658;1835;1685;1657;1707;1765;1763;1771;1731;1802;1778
18;1592;1558;1590;1596;1542;1683;1649;1772;1701;1856;1703;1675;1716;1784;1763;1787;1774;1823
19;1742;1583;1586;1615;1627;1570;1703;1701;1802;1714;1883;1719;1707;1746;1797;1804;1862;1798
20;1719;1747;1603;1611;1636;1643;1604;1748;1728;1819;1735;1904;1747;1720;1769;1820;1857;1873
21;1693;1718;1788;1626;1615;1647;1694;1663;1794;1750;1829;1750;1923;1765;1730;1800;1859;1869
22;1897;1697;1739;1797;1671;1624;1689;1768;1711;1841;1794;1867;1777;1947;1806;1753;1821;1880
23;2127;1900;1747;1791;1827;1715;1697;1809;1835;1747;1869;1845;1896;1780;1980;1831;1770;1846
24;2182;2145;1958;1761;1797;1857;1779;1780;1869;1873;1756;1918;1893;1919;1810;2022;1825;1805
25;2332;2207;2213;1993;1799;1823;1942;1864;1845;1902;1938;1810;1978;1899;1975;1848;2050;1871
26;2520;2338;2270;2222;2038;1861;1907;2027;1924;1911;1970;1998;1884;1972;1925;2036;1854;2065
27;2791;2530;2421;2298;2281;2081;1940;1989;2120;1966;1955;2048;2062;1910;2033;1950;2061;1923
28;2888;2802;2605;2474;2387;2350;2129;2067;2078;2155;2031;2004;2117;2111;1950;2119;1973;2089
29;2938;2904;2879;2665;2541;2465;2419;2199;2100;2136;2204;2075;2095;2159;2151;2006;2170;2007
30;3181;2926;2993;2921;2700;2579;2541;2497;2261;2143;2172;2258;2127;2140;2205;2205;2068;2214
31;3032;3193;3008;3053;2926;2749;2643;2592;2567;2305;2147;2203;2280;2157;2196;2216;2233;2106
32;3278;3025;3253;3027;3078;2951;2814;2708;2638;2588;2334;2186;2224;2292;2186;2226;2234;2244
33;3232;3316;3066;3270;3058;3101;3005;2886;2737;2666;2594;2369;2204;2268;2313;2218;2235;2274
34;3370;3259;3389;3086;3299;3085;3157;3056;2907;2748;2684;2608;2398;2222;2295;2311;2239;2261
35;3630;3369;3335;3412;3126;3316;3148;3205;3095;2935;2772;2701;2625;2401;2263;2288;2324;2256
36;3602;3645;3428;3355;3442;3176;3379;3208;3245;3149;2968;2813;2741;2627;2416;2296;2298;2339
37;3713;3618;3692;3460;3378;3462;3242;3427;3229;3263;3164;3011;2833;2761;2652;2424;2291;2333
38;3399;3733;3681;3709;3501;3414;3510;3314;3434;3282;3286;3184;3027;2811;2799;2669;2446;2314
39;3333;3401;3766;3711;3740;3522;3485;3539;3346;3439;3302;3294;3200;3016;2825;2792;2675;2465
40;3281;3343;3454;3802;3742;3758;3588;3554;3586;3357;3450;3306;3319;3193;3016;2862;2786;2715
41;3059;3286;3370;3472;3822;3753;3810;3634;3581;3614;3362;3469;3331;3334;3209;3011;2875;2821
42;2935;3063;3326;3382;3462;3821;3790;3857;3674;3604;3608;3370;3455;3340;3342;3230;3005;2907
43;2900;2933;3112;3335;3396;3493;3850;3827;3871;3679;3624;3636;3390;3481;3376;3334;3232;3027
44;2756;2894;2977;3122;3353;3402;3541;3881;3857;3898;3690;3637;3659;3393;3489;3396;3362;3266
45;2818;2776;2937;2999;3130;3381;3450;3575;3943;3872;3910;3708;3662;3650;3395;3502;3406;3389
46;2735;2829;2802;2946;3009;3136;3431;3468;3593;3945;3883;3933;3722;3660;3647;3403;3482;3412
47;2700;2730;2855;2829;2984;3006;3177;3455;3504;3602;3954;3896;3944;3718;3688;3653;3430;3496
48;2572;2690;2746;2855;2842;2988;3046;3211;3473;3500;3623;3970;3902;3934;3720;3685;3642;3446
49;2579;2577;2718;2747;2868;2869;3026;3082;3217;3507;3516;3641;3959;3905;3921;3728;3693;3644
50;2620;2580;2597;2729;2753;2888;2917;3049;3085;3236;3510;3526;3625;3947;3911;3938;3714;3688
51;2836;2619;2601;2615;2747;2753;2909;2946;3079;3091;3257;3511;3541;3633;3944;3900;3918;3718
52;2943;2834;2627;2581;2634;2745;2777;2942;2953;3094;3085;3268;3495;3532;3622;3946;3907;3908
53;3074;2962;2844;2648;2582;2640;2798;2795;2969;2974;3084;3092;3279;3491;3533;3609;3942;3884
54;3250;3083;2970;2828;2656;2577;2644;2824;2816;2978;2974;3090;3102;3277;3493;3520;3616;3929
55;3300;3251;3105;2975;2840;2660;2586;2660;2837;2811;2969;2972;3093;3103;3273;3488;3510;3607
56;2312;3312;3257;3105;2983;2833;2655;2595;2682;2823;2808;2963;2996;3089;3105;3253;3487;3504
57;2793;2306;3317;3255;3117;3002;2822;2668;2596;2678;2842;2800;2951;2989;3071;3096;3248;3499
58;2687;2802;2304;3320;3264;3131;3010;2828;2664;2609;2670;2838;2800;2946;2986;3063;3092;3244
59;2867;2676;2818;2294;3308;3272;3140;3028;2813;2649;2617;2685;2834;2771;2945;2972;3057;3086
60;3049;2864;2683;2793;2304;3317;3273;3144;3028;2819;2643;2597;2675;2816;2762;2956;2948;3046
61;3326;3038;2873;2683;2782;2293;3313;3279;3151;3036;2806;2629;2600;2660;2813;2760;2936;2942
62;3134;3330;3012;2876;2698;2796;2283;3304;3279;3137;3026;2786;2608;2576;2646;2800;2744;2917
63;3134;3122;3315;2977;2867;2688;2798;2278;3308;3265;3137;3012;2791;2582;2560;2629;2796;2750
64;2837;3115;3111;3296;2983;2855;2701;2768;2270;3295;3260;3108;2997;2781;2562;2549;2622;2782
65;2753;2829;3102;3098;3290;2981;2854;2695;2766;2263;3270;3239;3084;2982;2755;2548;2519;2611
66;2739;2745;2812;3078;3099;3253;2978;2843;2672;2743;2244;3227;3209;3066;2968;2728;2544;2500
67;2757;2703;2726;2798;3060;3071;3220;2949;2829;2637;2720;2226;3195;3178;3039;2931;2693;2544
68;2706;2731;2673;2688;2789;3047;3046;3188;2912;2796;2628;2686;2214;3155;3155;3011;2915;2689
