"Popolazione per età, vista per singola area - Provincia: Latina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Latina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4635;4863;4910;4943;4876;5073;5077;5385;5391;5357;5184;5389;5221;5071;4820;4754;4665;4407
1;4714;4691;4855;4910;4931;4884;5111;5103;5354;5311;5319;5198;5347;5185;5057;4772;4751;4625
2;4768;4748;4722;4859;4967;4962;4935;5170;5150;5313;5287;5399;5227;5369;5200;5026;4729;4730
3;4487;4819;4806;4753;4897;4984;5009;5023;5219;5170;5280;5331;5433;5234;5375;5166;4993;4713
4;4719;4509;4857;4838;4807;4910;5041;5046;5060;5222;5178;5337;5379;5436;5268;5354;5177;4959
5;4906;4768;4569;4908;4880;4869;4967;5099;5056;5066;5218;5233;5333;5395;5443;5263;5296;5158
6;4956;4944;4830;4622;4957;4945;4941;5006;5157;5023;5069;5271;5252;5362;5412;5448;5263;5270
7;5018;5008;4985;4886;4701;4973;5057;5033;5043;5158;5026;5125;5290;5284;5343;5405;5424;5278
8;5228;5042;5052;5037;4960;4739;5077;5164;5089;5061;5175;5088;5140;5304;5315;5336;5399;5453
9;5359;5256;5087;5107;5085;5020;4831;5167;5253;5133;5070;5225;5101;5153;5311;5302;5322;5393
10;5437;5401;5291;5142;5176;5134;5119;4929;5242;5314;5162;5108;5237;5126;5163;5318;5290;5338
11;5537;5462;5446;5337;5181;5210;5228;5233;4999;5274;5347;5205;5147;5241;5135;5170;5334;5288
12;5461;5562;5484;5493;5385;5250;5293;5316;5307;5052;5314;5402;5228;5176;5248;5152;5161;5324
13;5513;5490;5584;5506;5551;5428;5348;5375;5384;5350;5104;5363;5429;5250;5180;5249;5161;5178
14;5385;5538;5516;5621;5558;5588;5510;5439;5435;5401;5392;5157;5398;5460;5269;5178;5254;5170
15;5567;5427;5565;5546;5658;5584;5684;5623;5496;5477;5443;5426;5170;5432;5455;5264;5200;5275
16;5755;5581;5456;5602;5597;5694;5665;5767;5697;5536;5515;5505;5447;5188;5455;5457;5284;5220
17;5788;5741;5597;5485;5640;5629;5794;5744;5863;5747;5574;5571;5537;5505;5224;5470;5454;5307
18;5911;5793;5737;5622;5542;5686;5728;5879;5835;5934;5811;5659;5628;5583;5568;5272;5612;5523
19;6270;5906;5809;5748;5640;5572;5781;5858;5968;5896;5993;5898;5694;5656;5653;5653;5481;5688
20;6351;6227;5930;5831;5761;5653;5701;5930;5937;6035;5947;6073;5942;5715;5691;5694;5807;5571
21;6311;6345;6239;5975;5868;5785;5821;5910;6083;6059;6125;6019;6118;5963;5766;5725;5811;5878
22;6413;6313;6384;6285;6000;5904;5943;5992;6052;6202;6177;6256;6077;6174;6020;5809;5817;5848
23;6767;6398;6375;6461;6310;6041;6110;6133;6121;6180;6363;6290;6344;6121;6254;6051;5945;5873
24;6932;6777;6490;6457;6510;6302;6187;6305;6280;6243;6302;6501;6377;6390;6188;6275;6084;5976
25;7340;6950;6836;6586;6492;6489;6463;6324;6487;6407;6387;6440;6541;6418;6455;6221;6363;6108
26;7832;7350;7052;6947;6604;6488;6689;6687;6460;6554;6514;6556;6514;6621;6471;6456;6255;6406
27;7765;7816;7457;7202;7029;6615;6707;6898;6801;6535;6710;6677;6625;6608;6659;6534;6510;6235
28;8059;7790;7915;7604;7241;7053;6855;6889;7023;6919;6692;6917;6741;6694;6638;6731;6571;6501
29;8049;8086;7917;8076;7721;7322;7288;7040;7020;7070;7064;6827;6958;6804;6722;6640;6770;6545
30;7983;8093;8239;8098;8147;7724;7555;7481;7199;7084;7210;7229;6898;7009;6853;6773;6687;6737
31;7907;8021;8273;8391;8168;8206;7900;7715;7577;7267;7166;7395;7225;6989;7036;6905;6730;6639
32;8035;7954;8195;8400;8446;8229;8418;8092;7773;7684;7362;7327;7404;7237;7012;7065;6863;6720
33;7890;8125;8079;8327;8459;8470;8422;8594;8207;7916;7780;7545;7385;7438;7297;7023;7051;6844
