"Popolazione per età, vista per singola area - Provincia: Lecce"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Lecce"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7326;7355;7377;7504;7058;6968;7071;7022;6732;6805;6536;6506;6213;5913;5669;5606;5411;5237
1;7427;7359;7361;7392;7470;7065;6953;7056;7029;6722;6775;6525;6459;6186;5902;5677;5570;5362
2;7284;7515;7463;7369;7447;7552;7134;6974;7075;7053;6728;6780;6523;6441;6212;5901;5697;5585
3;7407;7368;7554;7531;7394;7512;7580;7163;6981;7091;7083;6751;6769;6515;6450;6232;5891;5688
4;7329;7443;7435;7646;7611;7453;7563;7580;7190;6998;7122;7065;6768;6777;6514;6466;6266;5883
5;7441;7393;7488;7515;7728;7687;7505;7604;7595;7231;7033;7158;7051;6770;6805;6542;6502;6241
6;7761;7501;7437;7577;7582;7789;7766;7547;7612;7629;7258;7047;7149;7049;6792;6832;6557;6522
7;7948;7810;7589;7538;7669;7608;7869;7843;7577;7639;7649;7239;7051;7155;7054;6775;6854;6555
8;8465;8000;7862;7672;7620;7738;7679;7944;7892;7610;7655;7645;7232;7045;7165;7078;6783;6837
9;8996;8527;8049;7927;7754;7653;7791;7731;8025;7960;7631;7642;7620;7231;7066;7163;7072;6778
10;8936;9063;8570;8114;7989;7812;7717;7847;7757;8086;8015;7634;7640;7627;7228;7042;7166;7069
11;8996;8980;9109;8654;8181;8055;7864;7774;7892;7813;8136;8019;7615;7656;7623;7245;7051;7164
12;8916;9025;9025;9163;8724;8236;8109;7898;7825;7959;7844;8143;7997;7597;7652;7617;7230;7035
13;9145;8929;9045;9084;9222;8765;8296;8174;7931;7884;7981;7844;8128;7981;7597;7632;7619;7223
14;8839;9194;8965;9113;9147;9280;8836;8355;8208;7975;7940;7986;7835;8112;7977;7583;7633;7603
15;9154;8893;9245;9011;9140;9186;9313;8904;8397;8269;8002;7932;7972;7815;8100;7961;7565;7629
16;9416;9157;8953;9323;9048;9156;9249;9364;8942;8446;8309;7998;7927;7976;7792;8088;7975;7565
17;9824;9452;9184;9021;9374;9087;9189;9289;9401;9004;8480;8313;8000;7943;8002;7791;8073;7981
18;10069;9826;9485;9203;9091;9422;9135;9237;9357;9461;9054;8491;8308;8017;7977;8091;7847;8135
19;10324;10086;9848;9493;9224;9137;9485;9185;9268;9430;9496;9083;8477;8300;8036;8034;8207;7936
20;10835;10273;10075;9873;9470;9231;9187;9535;9218;9283;9449;9509;9060;8470;8295;8040;8071;8217
21;11201;10743;10270;10076;9872;9445;9221;9203;9581;9241;9319;9453;9485;9029;8494;8280;8043;8054
22;11625;11100;10689;10228;10015;9819;9484;9251;9243;9609;9253;9300;9392;9438;9011;8438;8265;8048
23;11881;11520;11052;10655;10196;9983;9856;9493;9245;9289;9620;9227;9277;9339;9396;8921;8361;8227
24;11927;11818;11484;11039;10576;10131;9954;9836;9519;9245;9275;9553;9168;9180;9252;9316;8822;8259
25;12368;11835;11746;11428;10949;10456;10125;9849;9787;9457;9211;9192;9451;9021;9110;9142;9239;8691
26;12225;12218;11720;11672;11327;10795;10371;9983;9797;9779;9448;9109;9047;9293;8917;8979;9035;9107
27;12395;12079;12163;11661;11565;11205;10681;10242;9891;9743;9671;9318;8963;8911;9166;8762;8807;8861
28;11815;12308;12033;12144;11587;11501;11110;10561;10157;9813;9658;9510;9152;8831;8815;8998;8627;8624
29;11205;11713;12237;12016;12081;11474;11489;11014;10465;10012;9688;9486;9331;8954;8719;8669;8872;8461
30;11565;11128;11740;12202;11929;11954;11534;11430;10978;10377;9965;9591;9279;9199;8835;8594;8548;8721
31;11472;11499;11086;11708;12103;11852;11991;11462;11345;10896;10265;9845;9418;9133;9156;8759;8448;8402
32;11511;11415;11377;11057;11611;12058;11876;11948;11430;11302;10786;10204;9734;9339;9087;9067;8672;8361
33;11566;11512;11361;11379;11029;11631;12081;11799;11961;11357;11185;10656;10096;9643;9310;9043;9010;8580
34;11733;11610;11527;11408;11363;11101;11670;12112;11830;11993;11337;11113;10563;10012;9607;9244;9011;8944
35;12028;11734;11650;11584;11458;11422;11146;11689;12140;11898;11950;11263;11044;10526;10007;9562;9228;8961
36;11899;12088;11803;11777;11690;11567;11505;11226;11748;12226;11963;11896;11218;11006;10566;9931;9552;9190
37;12071;11944;12149;11926;11839;11796;11672;11591;11292;11816;12281;11936;11903;11205;10968;10583;9920;9486
38;11271;12100;12023;12232;12009;11933;11913;11749;11663;11362;11873;12269;11961;11884;11220;10920;10605;9898
39;11129;11297;12148;12155;12320;12102;12031;11950;11811;11757;11418;11867;12248;11930;11890;11234;10895;10580
40;10901;11172;11358;12276;12254;12374;12204;12135;12051;11890;11815;11407;11864;12237;11935;11880;11200;10874
41;10793;10925;11237;11457;12355;12291;12498;12309;12223;12161;11928;11819;11420;11875;12223;11936;11847;11177
42;10621;10804;10979;11302;11549;12449;12356;12595;12361;12310;12231;11898;11841;11409;11888;12217;11939;11840
43;9745;10636;10844;11036;11366;11614;12573;12425;12674;12444;12359;12219;11921;11827;11414;11848;12192;11892
44;10192;9773;10683;10913;11105;11415;11699;12662;12472;12766;12481;12365;12216;11934;11837;11403;11801;12179
45;10035;10240;9791;10718;10988;11126;11478;11779;12740;12537;12821;12489;12369;12221;11917;11833;11405;11768
46;10245;10077;10287;9894;10754;11019;11217;11518;11859;12808;12570;12820;12487;12335;12199;11913;11823;11360
