"Popolazione per età, vista per singola area - Provincia: Livorno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Livorno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2469;2515;2510;2695;2620;2768;2837;2787;2817;2795;2670;2646;2424;2433;2362;2212;2177;2088
1;2355;2506;2524;2526;2721;2650;2805;2871;2799;2857;2810;2683;2638;2421;2451;2358;2229;2191
2;2388;2403;2552;2535;2556;2747;2686;2807;2914;2832;2873;2824;2686;2648;2448;2442;2349;2234
3;2337;2404;2446;2581;2589;2566;2757;2714;2814;2931;2815;2898;2812;2669;2650;2438;2463;2354
4;2433;2356;2422;2469;2596;2597;2593;2780;2719;2846;2929;2808;2886;2803;2681;2665;2456;2443
5;2316;2464;2396;2426;2508;2622;2635;2634;2815;2742;2865;2942;2811;2878;2824;2657;2672;2464
6;2426;2342;2494;2427;2451;2552;2651;2654;2662;2854;2754;2878;2949;2824;2867;2826;2670;2666
7;2360;2451;2389;2509;2469;2483;2599;2684;2666;2682;2873;2748;2886;2931;2852;2877;2831;2698
8;2327;2391;2470;2394;2549;2493;2531;2618;2712;2690;2700;2899;2729;2904;2934;2850;2876;2825
9;2535;2366;2423;2512;2426;2569;2533;2559;2632;2760;2718;2717;2907;2734;2914;2933;2848;2892
10;2439;2571;2386;2459;2542;2465;2624;2568;2571;2671;2774;2743;2710;2900;2746;2911;2955;2849
11;2585;2456;2591;2418;2512;2569;2498;2660;2604;2583;2694;2785;2716;2717;2911;2743;2921;2949
12;2509;2606;2480;2622;2453;2548;2605;2525;2688;2632;2602;2709;2796;2721;2722;2916;2745;2920
13;2561;2534;2640;2496;2643;2474;2581;2650;2556;2710;2660;2633;2719;2809;2729;2726;2912;2750
14;2359;2567;2530;2668;2525;2673;2511;2601;2673;2596;2738;2669;2649;2721;2806;2739;2739;2921
