"Popolazione per età, vista per singola area - Provincia: Lodi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Lodi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1782;1787;1990;2044;2050;2153;2132;2275;2392;2217;2151;2143;2037;2022;1962;1948;1869;1781
1;1753;1833;1818;2015;2090;2103;2190;2190;2272;2410;2229;2145;2148;2039;2050;1946;1953;1876
2;1830;1776;1885;1832;2045;2154;2147;2254;2216;2269;2378;2245;2158;2118;2046;2036;1950;1958
3;1683;1852;1808;1944;1881;2087;2171;2181;2238;2226;2286;2394;2236;2151;2115;2037;2037;1957
4;1723;1738;1907;1868;1995;1913;2122;2191;2184;2248;2240;2280;2429;2224;2160;2092;2038;2051
5;1735;1746;1772;1923;1925;2009;1943;2145;2211;2191;2254;2247;2280;2397;2209;2144;2088;2032
6;1719;1761;1799;1804;1962;1970;2047;1981;2130;2224;2208;2247;2251;2269;2381;2205;2140;2101
7;1695;1733;1809;1829;1846;1981;2032;2087;1992;2135;2222;2231;2258;2255;2250;2368;2197;2145
8;1655;1725;1761;1850;1866;1904;2019;2061;2096;1997;2157;2223;2240;2228;2216;2237;2369;2192
9;1794;1690;1767;1788;1886;1896;1955;2046;2081;2104;1996;2172;2228;2264;2230;2211;2234;2374
10;1816;1821;1722;1792;1825;1923;1929;1980;2060;2094;2112;2008;2148;2231;2258;2216;2223;2223
11;1777;1845;1848;1748;1825;1840;1971;1975;1995;2079;2115;2122;2032;2148;2216;2236;2223;2212
12;1779;1809;1876;1879;1793;1849;1894;1996;2005;2016;2099;2116;2121;2022;2117;2219;2237;2213
13;1733;1802;1816;1911;1916;1810;1901;1923;2005;2022;2009;2117;2120;2127;2024;2116;2210;2213
14;1711;1782;1830;1853;1936;1952;1854;1940;1957;2041;2029;2003;2107;2115;2115;2016;2121;2220
15;1794;1739;1791;1848;1884;1949;1981;1907;1967;1973;2051;2046;2021;2106;2105;2108;2017;2135
16;1770;1798;1770;1832;1869;1910;1991;2019;1947;1983;1984;2038;2047;2016;2099;2094;2112;2029
17;1897;1768;1820;1778;1856;1911;1938;2052;2047;1941;1996;1981;2048;2044;2014;2091;2086;2114
18;1881;1911;1817;1866;1815;1881;1947;1997;2083;2065;1962;2002;1968;2060;2032;2023;2109;2122
19;1861;1908;1954;1847;1882;1845;1950;2009;2041;2086;2091;2005;2021;1988;2078;2052;2089;2140
20;1969;1884;1950;1996;1866;1898;1926;2018;2070;2089;2124;2113;2025;2036;1995;2094;2102;2128
21;1961;2001;1940;1984;2015;1885;1995;1992;2064;2131;2122;2147;2155;2033;2060;2020;2159;2152
22;2162;1994;2072;1981;1990;2072;1998;2070;2041;2155;2190;2181;2182;2175;2030;2075;2071;2197
23;2165;2215;2099;2162;2040;2033;2165;2088;2143;2102;2200;2224;2203;2189;2194;2060;2131;2128
24;2505;2229;2303;2202;2230;2124;2174;2262;2180;2256;2167;2290;2245;2222;2180;2218;2110;2174
25;2651;2560;2387;2422;2274;2300;2272;2287;2335;2240;2340;2258;2325;2266;2248;2216;2268;2142
26;2941;2715;2725;2480;2521;2407;2457;2426;2381;2394;2311;2382;2301;2336;2297;2279;2246;2326
27;3028;2998;2881;2866;2546;2635;2541;2573;2503;2406;2482;2381;2426;2350;2347;2330;2281;2301
28;2995;3148;3199;3064;2980;2711;2778;2699;2638;2602;2510;2563;2429;2451;2400;2372;2359;2337
29;3164;3081;3347;3347;3182;3099;2918;2916;2772;2723;2677;2578;2609;2466;2469;2395;2413;2418
30;3195;3299;3296;3527;3483;3279;3263;3064;2980;2854;2781;2760;2616;2600;2525;2487;2431;2450
31;3242;3273;3453;3383;3657;3616;3406;3390;3111;3062;2888;2849;2814;2634;2640;2514;2522;2477
32;3432;3349;3405;3538;3471;3790;3769;3553;3409;3155;3084;2940;2835;2803;2658;2634;2534;2571
33;3451;3480;3450;3485;3608;3565;3935;3811;3536;3421;3158;3150;3007;2839;2775;2678;2649;2528
34;3543;3476;3603;3524;3572;3684;3710;3989;3773;3545;3389;3173;3167;3036;2834;2775;2691;2655
35;3634;3587;3578;3667;3590;3636;3833;3742;3969;3793;3517;3406;3180;3165;3037;2818;2787;2730
36;3636;3739;3687;3670;3758;3696;3756;3887;3751;3966;3784;3526;3427;3170;3169;3012;2824;2805
37;3458;3713;3789;3765;3735;3841;3790;3815;3883;3753;3948;3812;3514;3417;3188;3150;3010;2823
38;3374;3501;3780;3860;3840;3808;3940;3827;3830;3844;3765;3950;3823;3489;3412;3185;3124;3032
39;3229;3428;3594;3835;3871;3890;3882;4007;3842;3830;3866;3794;3942;3821;3469;3384;3187;3115
40;3102;3252;3514;3653;3868;3904;3959;3945;3971;3838;3839;3863;3783;3913;3792;3451;3366;3196
41;3020;3117;3322;3539;3667;3897;3951;3987;3942;3994;3828;3865;3857;3743;3868;3764;3446;3367
42;3043;3069;3193;3357;3572;3720;3983;3991;4002;3952;3981;3844;3844;3836;3718;3869;3761;3412
43;2863;3075;3092;3232;3404;3562;3758;4042;3995;4032;3958;3984;3841;3823;3809;3701;3853;3743
44;2857;2899;3112;3141;3250;3395;3600;3785;4041;3977;4017;3959;3952;3835;3779;3808;3717;3843
45;2877;2861;2951;3146;3131;3267;3436;3645;3769;4008;3976;4024;3963;3973;3809;3779;3813;3703
46;2742;2902;2886;2983;3151;3153;3290;3446;3628;3758;4006;3997;4017;3963;3938;3808;3784;3827
47;2760;2760;2927;2940;2987;3177;3176;3310;3436;3630;3770;4022;3967;3996;3950;3923;3794;3776
48;2544;2758;2789;2935;2915;2993;3196;3209;3315;3412;3642;3781;4013;3953;3976;3941;3899;3780
49;2664;2560;2796;2812;2957;2944;3023;3229;3210;3320;3413;3635;3769;4040;3943;3980;3936;3895
50;2558;2685;2588;2824;2822;2959;2973;3041;3246;3206;3320;3415;3620;3758;3989;3925;3959;3924
51;2846;2559;2710;2574;2844;2823;2988;2989;3026;3224;3204;3299;3409;3596;3730;3972;3904;3984
52;2903;2843;2573;2716;2574;2845;2844;2983;2986;3033;3219;3217;3273;3399;3591;3719;3959;3890
53;2944;2919;2866;2585;2709;2570;2863;2847;2983;3000;3032;3233;3204;3277;3384;3571;3725;3936
54;2814;2958;2936;2847;2587;2721;2589;2882;2851;2962;3011;3050;3217;3198;3250;3376;3563;3691
55;2894;2828;2985;2941;2831;2582;2743;2601;2869;2864;2961;2997;3026;3199;3201;3228;3365;3528
56;2160;2882;2821;2993;2932;2822;2594;2751;2598;2857;2860;2961;2983;3010;3174;3194;3199;3377
57;2317;2158;2872;2827;2991;2920;2824;2604;2752;2596;2861;2847;2958;2964;2988;3162;3171;3194
58;2320;2336;2167;2877;2816;2982;2902;2833;2593;2743;2596;2856;2824;2947;2955;2968;3151;3163
59;2384;2305;2329;2158;2874;2807;2973;2903;2843;2578;2740;2586;2829;2815;2925;2937;2947;3129
60;2489;2384;2315;2331;2156;2854;2794;2945;2884;2841;2577;2711;2580;2810;2788;2902;2905;2923
61;2637;2493;2379;2297;2319;2156;2836;2794;2916;2880;2851;2570;2697;2555;2786;2751;2867;2888
62;2717;2633;2491;2375;2291;2311;2142;2835;2783;2908;2869;2826;2544;2681;2544;2772;2734;2856
63;2464;2691;2614;2470;2369;2280;2307;2134;2826;2761;2892;2853;2805;2541;2655;2512;2761;2728
64;2404;2462;2666;2612;2473;2363;2274;2279;2129;2824;2742;2859;2823;2777;2520;2618;2488;2746
65;2328;2389;2430;2640;2583;2452;2350;2269;2279;2122;2800;2712;2830;2801;2743;2487;2608;2464
66;2271;2312;2381;2410;2597;2572;2421;2340;2242;2250;2096;2754;2690;2808;2767;2715;2467;2585
67;2178;2245;2282;2369;2396;2579;2545;2389;2308;2223;2229;2074;2727;2668;2772;2751;2694;2448
68;1995;2157;2204;2249;2350;2370;2550;2529;2360;2275;2204;2211;2056;2694;2654;2752;2709;2662
69;2090;1968;2123;2178;2219;2327;2360;2533;2499;2338;2255;2174;2175;2035;2656;2606;2715;2683
70;2097;2062;1953;2104;2144;2179;2287;2362;2510;2460;2314;2212;2136;2148;2017;2619;2591;2690
71;2050;2060;2021;1940;2062;2112;2142;2257;2322;2478;2423;2272;2159;2101;2103;2003;2580;2538
72;1888;2005;2013;1969;1910;2011;2095;2113;2207;2297;2428;2374;2213;2131;2067;2083;1961;2551
73;1810;1833;1958;1969;1933;1865;1987;2067;2049;2161;2254;2377;2331;2169;2089;2044;2039;1933
74;1752;1760;1780;1924;1922;1890;1823;1951;2023;1988;2118;2203;2322;2275;2128;2031;2007;1988
75;1595;1714;1694;1742;1862;1866;1838;1779;1885;1972;1934;2055;2178;2278;2205;2099;1982;1950
76;1583;1551;1672;1658;1678;1809;1819;1783;1724;1831;1929;1894;2011;2117;2204;2143;2021;1931
77;1493;1534;1497;1609;1610;1634;1746;1764;1718;1678;1779;1888;1821;1955;2042;2149;2080;1947
78;1452;1442;1470;1442;1533;1556;1572;1693;1683;1627;1629;1716;1825;1766;1874;1973;2081;2010
79;1369;1406;1380;1412;1378;1472;1493;1510;1629;1608;1566;1574;1646;1742;1685;1816;1902;1994
80;1204;1294;1323;1314;1339;1314;1407;1414;1440;1541;1529;1506;1505;1595;1652;1615;1747;1842
81;1101;1134;1220;1253;1237;1268;1261;1333;1329;1343;1468;1456;1438;1434;1520;1557;1549;1659
82;647;1030;1067;1146;1180;1155;1188;1181;1260;1229;1276;1382;1369;1365;1358;1431;1470;1470
83;457;614;939;1002;1080;1089;1078;1082;1090;1160;1163;1213;1306;1296;1265;1267;1348;1398
84;450;415;564;874;918;977;998;998;979;1010;1062;1080;1145;1224;1205;1183;1181;1241
85;491;403;379;538;785;842;902;937;923;908;924;988;1006;1071;1127;1117;1095;1075
86;644;455;363;341;487;705;770;839;847;833;825;853;914;929;975;1033;1022;1000
