"Popolazione per età, vista per singola area - Provincia: Lucca"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Lucca"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2923;3004;2999;3102;3189;3238;3317;3484;3166;3229;3105;3188;2934;2819;2663;2633;2527;2346
1;2859;2955;3053;3050;3154;3233;3280;3337;3497;3203;3221;3153;3206;2932;2802;2672;2658;2515
2;2831;2890;2984;3079;3087;3179;3256;3338;3389;3493;3237;3217;3141;3205;2936;2799;2688;2669
3;2888;2872;2934;3033;3120;3122;3239;3315;3367;3391;3492;3244;3214;3132;3187;2945;2805;2674
4;2813;2923;2916;2979;3071;3152;3184;3283;3371;3394;3406;3509;3223;3232;3135;3183;2931;2797
5;2933;2861;2965;2951;3011;3123;3192;3219;3306;3410;3389;3429;3518;3228;3231;3128;3186;2945
6;2879;2974;2905;2996;3014;3063;3191;3254;3283;3323;3431;3396;3410;3515;3219;3248;3126;3189
7;2865;2915;3024;2952;3018;3049;3123;3248;3286;3307;3326;3420;3417;3408;3506;3216;3262;3139
8;2949;2893;2947;3055;2981;3058;3092;3168;3298;3318;3322;3327;3427;3405;3406;3508;3207;3252
9;2999;2981;2944;2980;3080;3002;3123;3140;3213;3336;3324;3326;3311;3427;3389;3397;3511;3218
10;3117;3033;3021;2962;3005;3113;3049;3169;3174;3242;3345;3324;3326;3312;3414;3380;3405;3521
11;3090;3143;3064;3062;3000;3029;3164;3109;3207;3208;3266;3354;3328;3306;3293;3420;3396;3418
12;2863;3108;3164;3102;3098;3022;3094;3218;3170;3235;3220;3259;3363;3311;3308;3287;3417;3385
13;3140;2870;3137;3211;3145;3122;3081;3130;3244;3201;3241;3217;3260;3361;3293;3287;3287;3414
14;2858;3156;2898;3174;3237;3189;3181;3125;3155;3277;3233;3250;3217;3249;3362;3280;3274;3292
15;2894;2889;3169;2929;3204;3265;3244;3218;3168;3184;3311;3245;3256;3201;3257;3358;3286;3274
16;3136;2899;2930;3211;2957;3250;3296;3272;3258;3205;3206;3324;3230;3253;3217;3256;3364;3284
17;3144;3159;2920;2952;3247;2985;3306;3343;3310;3296;3229;3214;3304;3229;3271;3217;3274;3375
18;3247;3181;3191;2972;2999;3272;3049;3362;3397;3370;3311;3244;3206;3304;3233;3304;3284;3271
19;3377;3269;3210;3218;3012;3036;3342;3109;3441;3434;3403;3346;3249;3228;3315;3283;3423;3323
20;3548;3398;3318;3264;3248;3052;3160;3431;3177;3500;3481;3454;3368;3263;3236;3365;3346;3462
21;3696;3562;3456;3352;3304;3289;3163;3253;3510;3254;3533;3499;3454;3384;3270;3311;3441;3367
22;3791;3717;3605;3507;3402;3339;3429;3283;3328;3578;3318;3584;3517;3456;3402;3311;3357;3446
23;4060;3811;3807;3686;3581;3439;3497;3540;3358;3410;3653;3372;3597;3532;3462;3419;3365;3376
24;4356;4103;3875;3864;3743;3628;3564;3620;3621;3410;3488;3741;3403;3620;3521;3527;3476;3393
25;4644;4400;4235;3975;3922;3777;3769;3698;3696;3667;3467;3520;3766;3403;3596;3573;3558;3487
26;5145;4667;4542;4329;4058;3964;3917;3936;3779;3776;3731;3530;3545;3768;3408;3642;3598;3575
27;5234;5197;4805;4657;4424;4109;4172;4017;4038;3810;3820;3774;3523;3573;3738;3422;3705;3603
28;5435;5261;5297;4940;4790;4471;4276;4317;4092;4091;3884;3878;3791;3551;3548;3778;3474;3743
29;5566;5475;5400;5389;5029;4849;4654;4391;4377;4166;4118;3947;3892;3803;3547;3588;3822;3487
30;5667;5625;5620;5520;5487;5109;5033;4781;4463;4463;4205;4160;3997;3918;3779;3565;3587;3824
31;5674;5733;5771;5734;5628;5525;5228;5149;4842;4529;4461;4236;4171;4008;3923;3824;3623;3615
32;5824;5738;5843;5847;5807;5679;5663;5322;5211;4875;4555;4514;4278;4191;3997;3924;3827;3653
33;5876;5913;5824;5951;5898;5841;5830;5741;5391;5272;4894;4584;4554;4288;4194;4011;3920;3876
34;5829;5981;6022;5900;5985;5939;5955;5911;5778;5450;5282;4907;4602;4548;4304;4197;4010;3938
35;5964;5910;6063;6085;5937;6063;6044;5995;5965;5829;5468;5297;4931;4609;4514;4307;4202;4007
36;6343;6026;5983;6177;6155;5998;6203;6143;6089;6006;5874;5485;5306;4934;4621;4535;4319;4230
37;6309;6389;6110;6058;6221;6181;6084;6300;6210;6136;6026;5878;5481;5286;4926;4651;4523;4343
38;5982;6353;6454;6232;6121;6276;6292;6153;6337;6217;6147;6062;5896;5489;5266;4936;4665;4555
39;5619;6021;6440;6511;6267;6165;6420;6373;6209;6373;6209;6154;6077;5891;5486;5238;4970;4686
40;5670;5644;6110;6495;6565;6292;6298;6485;6430;6251;6402;6251;6124;6052;5882;5517;5255;4998
41;5620;5693;5721;6178;6566;6618;6388;6399;6548;6452;6267;6413;6270;6148;6049;5887;5525;5267
42;5331;5657;5780;5776;6220;6597;6700;6474;6429;6599;6453;6285;6434;6247;6133;6027;5910;5536
43;5085;5346;5727;5805;5818;6255;6694;6742;6521;6463;6597;6467;6304;6398;6223;6117;6043;5907
44;4984;5103;5377;5765;5833;5841;6334;6776;6790;6558;6488;6610;6480;6315;6379;6229;6123;6063
