"Popolazione per età, vista per singola area - Provincia: Macerata"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Macerata"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2420;2566;2673;2709;2765;2792;2899;2920;3004;2916;2858;2758;2616;2630;2504;2458;2309;2156
1;2558;2469;2621;2683;2727;2773;2813;2908;2892;3006;2888;2866;2739;2602;2621;2499;2425;2312
2;2561;2622;2522;2648;2693;2744;2818;2825;2920;2858;2996;2907;2848;2720;2591;2614;2477;2414
3;2474;2622;2678;2539;2688;2731;2769;2834;2820;2930;2817;3007;2926;2834;2702;2559;2589;2477
4;2550;2544;2646;2699;2587;2696;2759;2811;2857;2837;2901;2845;2979;2907;2814;2698;2540;2567
5;2454;2608;2608;2665;2745;2634;2740;2789;2805;2841;2823;2918;2865;2969;2923;2809;2671;2533
6;2514;2510;2653;2632;2692;2767;2685;2763;2817;2819;2846;2837;2929;2877;2961;2897;2769;2652
7;2494;2572;2560;2678;2681;2703;2801;2707;2781;2821;2804;2840;2824;2927;2865;2943;2870;2767
8;2679;2556;2600;2603;2705;2693;2746;2826;2732;2791;2816;2824;2852;2840;2920;2865;2925;2846
9;2688;2722;2610;2622;2657;2716;2734;2804;2876;2745;2793;2834;2809;2844;2836;2918;2849;2906
10;2689;2755;2772;2638;2654;2674;2771;2758;2812;2883;2757;2793;2828;2812;2841;2832;2881;2810
11;2824;2739;2802;2790;2675;2660;2718;2832;2796;2826;2898;2778;2802;2826;2791;2837;2801;2864
12;2689;2859;2763;2829;2819;2682;2685;2747;2859;2832;2831;2900;2778;2815;2824;2775;2802;2783
13;2791;2724;2899;2799;2864;2865;2724;2729;2792;2871;2833;2842;2890;2783;2813;2822;2760;2774
14;2582;2854;2760;2924;2821;2894;2923;2779;2764;2793;2883;2840;2832;2875;2783;2827;2824;2752
15;2812;2607;2902;2775;2951;2838;2935;2965;2821;2791;2821;2890;2836;2836;2868;2772;2798;2795
16;2939;2847;2634;2928;2812;2978;2889;2989;2985;2823;2808;2831;2875;2843;2843;2876;2759;2786
17;2869;2967;2868;2667;2955;2834;3022;2906;3015;3005;2863;2828;2833;2880;2842;2855;2858;2745
18;2841;2926;2996;2926;2744;3008;2895;3086;2986;3075;3042;2894;2844;2851;2884;2863;2882;2878
19;3091;2876;2989;3041;2968;2793;3094;2987;3164;3039;3120;3084;2892;2866;2858;2924;2890;2903
20;3125;3151;2966;3023;3073;2993;2915;3178;3041;3215;3081;3189;3095;2915;2869;2874;2929;2895
21;3206;3174;3245;3028;3053;3109;3080;3016;3252;3089;3251;3153;3216;3139;2914;2870;2875;2962
22;3409;3240;3283;3294;3048;3096;3223;3210;3077;3316;3124;3291;3182;3221;3132;2938;2893;2882
23;3473;3482;3354;3360;3368;3112;3238;3365;3300;3160;3360;3184;3332;3245;3206;3146;2961;2899
24;3763;3560;3630;3468;3416;3406;3249;3357;3416;3366;3214;3430;3241;3356;3235;3212;3164;3004
25;3842;3848;3752;3746;3542;3455;3516;3362;3398;3461;3409;3261;3461;3289;3365;3242;3209;3155
26;4034;3941;4018;3898;3783;3585;3592;3638;3429;3426;3506;3453;3301;3493;3295;3359;3256;3201
27;4216;4166;4118;4146;3940;3835;3720;3703;3697;3469;3469;3526;3461;3323;3467;3314;3342;3236
