"Popolazione per età, vista per singola area - Provincia: Mantova"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Mantova"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3166;3272;3216;3628;3597;3762;3987;4011;4072;4098;3892;3684;3600;3466;3219;3140;3007;2949
1;3168;3229;3351;3285;3660;3640;3825;4045;4019;4037;4073;3918;3704;3546;3456;3228;3151;3033
2;3247;3253;3313;3397;3372;3674;3756;3936;4061;4034;4009;4106;3899;3694;3509;3448;3258;3190
3;3133;3324;3303;3368;3422;3427;3720;3811;3954;4039;3996;4026;4130;3902;3659;3475;3452;3302
4;2970;3201;3385;3391;3404;3452;3481;3749;3848;3941;4019;3979;4027;4117;3856;3651;3466;3469
5;3005;3038;3257;3385;3437;3499;3548;3525;3787;3840;3958;4006;3977;3982;4087;3831;3626;3497
6;2843;3076;3093;3312;3458;3506;3555;3596;3560;3795;3839;3945;4016;3974;3942;4041;3816;3650
7;3034;2880;3118;3119;3368;3522;3587;3596;3621;3542;3789;3813;3926;4003;3925;3932;4018;3817
8;3022;3089;2928;3148;3150;3410;3600;3618;3617;3610;3550;3805;3814;3898;3992;3890;3918;3990
9;3015;3076;3126;2971;3203;3230;3484;3648;3656;3627;3619;3568;3777;3804;3869;3948;3889;3934
10;2934;3061;3099;3170;3020;3252;3304;3563;3683;3680;3649;3627;3555;3768;3780;3829;3915;3893
11;3016;2980;3116;3149;3232;3077;3320;3381;3603;3701;3708;3650;3628;3555;3759;3773;3830;3899
12;2910;3064;3023;3163;3198;3293;3138;3394;3446;3608;3726;3707;3630;3620;3534;3734;3755;3871
13;3031;2939;3103;3072;3211;3252;3354;3185;3442;3466;3648;3741;3715;3613;3594;3518;3737;3757
14;2903;3078;2964;3154;3115;3261;3299;3408;3248;3467;3483;3692;3741;3703;3598;3583;3525;3743
15;3035;2923;3086;2997;3179;3162;3294;3363;3455;3269;3499;3490;3675;3740;3696;3585;3573;3549
16;3068;3069;2939;3139;3048;3217;3241;3379;3418;3456;3310;3509;3486;3683;3728;3699;3580;3582
17;3145;3092;3092;2984;3183;3100;3295;3297;3449;3460;3493;3319;3524;3487;3647;3737;3702;3600
18;3170;3185;3142;3178;3042;3269;3191;3390;3371;3503;3491;3522;3331;3514;3503;3674;3754;3716
19;3183;3197;3236;3185;3246;3125;3362;3311;3482;3420;3546;3509;3532;3343;3498;3543;3715;3825
20;3551;3196;3250;3309;3220;3281;3255;3504;3370;3544;3465;3600;3537;3534;3345;3547;3589;3801
21;3797;3626;3334;3353;3347;3301;3479;3429;3615;3442;3610;3524;3618;3547;3517;3384;3578;3648
22;3961;3872;3769;3448;3446;3420;3504;3677;3530;3712;3559;3708;3598;3660;3563;3581;3446;3672
23;4472;4032;4038;3945;3512;3577;3636;3761;3756;3625;3838;3661;3771;3637;3690;3620;3636;3554
24;4866;4573;4211;4183;4045;3648;3824;3890;3887;3894;3747;3974;3702;3833;3625;3757;3673;3762
25;5054;4978;4797;4405;4288;4174;3894;4046;3973;4024;4002;3895;4057;3776;3825;3691;3805;3780
26;5564;5150;5184;5014;4514;4409;4380;4169;4113;4109;4166;4135;3987;4145;3805;3896;3741;3906
27;5807;5671;5453;5389;5181;4691;4664;4606;4270;4248;4221;4289;4206;4033;4137;3854;3965;3807
28;5973;5957;5939;5727;5561;5339;4907;4918;4703;4428;4403;4351;4346;4233;4068;4179;3881;4063
29;6087;6114;6123;6201;5874;5665;5569;5104;5012;4784;4536;4471;4380;4368;4229;4137;4203;3925
30;6059;6239;6380;6398;6319;6026;5871;5775;5141;5080;4909;4657;4497;4392;4327;4237;4199;4289
31;6060;6137;6442;6553;6510;6386;6207;6075;5842;5182;5143;5019;4688;4524;4437;4350;4245;4239
32;6169;6103;6266;6533;6580;6553;6491;6269;6089;5848;5151;5223;5049;4719;4529;4485;4373;4291
33;6197;6226;6204;6369;6573;6594;6675;6547;6243;6078;5764;5246;5310;5064;4703;4541;4531;4406
34;6167;6274;6364;6312;6396;6580;6671;6750;6505;6240;6044;5827;5301;5320;5006;4724;4567;4533
35;6219;6213;6386;6436;6337;6445;6703;6746;6712;6529;6210;6109;5883;5337;5319;5037;4704;4594
36;6393;6278;6366;6546;6491;6420;6583;6823;6791;6764;6546;6236;6151;5864;5320;5329;5061;4765
37;6367;6458;6395;6456;6577;6565;6581;6692;6840;6849;6807;6587;6269;6164;5841;5319;5329;5050
38;6027;6421;6539;6493;6503;6649;6675;6704;6726;6869;6906;6822;6582;6224;6136;5836;5339;5397
39;5861;6094;6519;6641;6548;6540;6760;6778;6707;6767;6886;6913;6825;6576;6203;6118;5863;5418
40;6015;5915;6183;6626;6647;6579;6675;6867;6788;6754;6799;6909;6903;6822;6553;6203;6123;5889
41;5671;6032;6011;6258;6662;6724;6642;6791;6903;6831;6748;6840;6925;6922;6792;6546;6177;6137
42;5442;5694;6097;6029;6259;6691;6767;6695;6784;6923;6859;6755;6814;6894;6897;6761;6512;6211
43;5131;5455;5749;6140;6009;6277;6748;6799;6732;6749;6900;6893;6759;6804;6824;6883;6744;6512
44;5209;5145;5512;5787;6138;6044;6347;6813;6801;6726;6744;6927;6885;6725;6758;6806;6856;6743
45;5129;5240;5238;5576;5792;6164;6109;6360;6794;6848;6732;6757;6902;6853;6656;6776;6786;6855
46;5043;5166;5297;5265;5583;5807;6220;6169;6354;6809;6840;6728;6737;6874;6814;6633;6768;6784
47;5114;5048;5196;5340;5256;5614;5825;6231;6197;6334;6790;6858;6705;6700;6856;6786;6620;6742
48;4762;5129;5097;5279;5362;5271;5665;5858;6223;6200;6307;6792;6829;6686;6664;6813;6755;6606
49;4929;4783;5171;5159;5266;5399;5301;5680;5846;6226;6169;6304;6802;6810;6645;6660;6772;6731
50;4856;4925;4831;5194;5170;5264;5424;5336;5680;5839;6223;6175;6300;6768;6760;6603;6664;6780
51;5129;4856;4946;4866;5199;5199;5286;5461;5333;5707;5837;6202;6137;6287;6718;6745;6576;6672
52;5252;5115;4883;4974;4873;5193;5216;5319;5446;5322;5680;5823;6195;6101;6276;6699;6716;6561
53;5468;5248;5124;4895;4962;4862;5192;5226;5321;5429;5312;5665;5806;6185;6094;6253;6674;6697
54;5721;5454;5255;5141;4901;4976;4853;5201;5222;5335;5448;5317;5636;5784;6151;6067;6239;6662
55;5775;5709;5471;5265;5129;4879;4977;4851;5198;5217;5339;5431;5313;5638;5761;6136;6041;6211
56;3721;5762;5708;5465;5251;5087;4875;4988;4842;5205;5207;5345;5418;5291;5618;5751;6101;6008
57;4339;3744;5767;5715;5455;5251;5062;4857;4952;4835;5187;5193;5325;5377;5249;5593;5746;6091
58;4380;4327;3735;5756;5704;5479;5244;5059;4828;4948;4811;5179;5179;5299;5344;5218;5570;5727
59;4447;4353;4319;3721;5732;5692;5478;5273;5058;4809;4915;4812;5161;5146;5252;5313;5194;5573
60;4562;4440;4339;4297;3714;5704;5675;5479;5240;5020;4787;4898;4803;5124;5112;5237;5298;5190
61;5046;4532;4422;4322;4286;3690;5687;5644;5449;5212;5012;4775;4878;4777;5088;5094;5191;5276
62;4932;5037;4530;4389;4299;4266;3676;5681;5613;5418;5187;4967;4746;4859;4748;5059;5053;5191
63;5058;4901;5007;4505;4374;4269;4249;3664;5667;5611;5394;5138;4943;4719;4837;4739;5048;5029
64;4537;5036;4882;4966;4487;4337;4247;4237;3653;5639;5569;5349;5093;4919;4685;4808;4701;5021
