"Popolazione per età, vista per singola area - Provincia: Massa-Carrara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Massa-Carrara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1417;1507;1422;1494;1511;1569;1573;1696;1474;1521;1524;1522;1351;1326;1181;1171;1215;1067
1;1379;1428;1510;1435;1475;1526;1577;1591;1694;1475;1540;1528;1543;1358;1320;1190;1189;1218
2;1420;1396;1445;1500;1462;1483;1537;1605;1596;1680;1487;1540;1519;1527;1380;1330;1188;1195
3;1471;1439;1431;1464;1509;1462;1497;1563;1607;1616;1675;1472;1544;1534;1510;1387;1319;1180
4;1352;1482;1440;1457;1486;1525;1488;1523;1567;1626;1609;1669;1476;1551;1525;1490;1386;1319
5;1406;1366;1487;1461;1476;1493;1547;1520;1530;1586;1620;1611;1666;1469;1544;1513;1498;1400
6;1529;1428;1380;1498;1474;1490;1516;1574;1539;1536;1599;1619;1612;1673;1468;1523;1502;1503
7;1437;1546;1432;1404;1517;1491;1505;1544;1586;1562;1541;1600;1618;1610;1673;1453;1530;1517
8;1514;1456;1556;1453;1422;1532;1510;1524;1562;1597;1564;1543;1605;1621;1613;1664;1453;1520
9;1531;1535;1471;1577;1463;1432;1555;1520;1542;1583;1618;1560;1555;1596;1613;1605;1655;1451
10;1621;1539;1546;1498;1591;1468;1461;1581;1531;1561;1584;1618;1546;1554;1590;1622;1602;1666
11;1609;1628;1553;1551;1522;1603;1500;1482;1599;1545;1569;1580;1631;1540;1543;1579;1621;1589
12;1572;1617;1642;1577;1576;1525;1630;1524;1494;1600;1554;1561;1574;1631;1541;1544;1591;1614
13;1581;1585;1631;1649;1578;1594;1528;1640;1557;1511;1602;1556;1556;1567;1623;1533;1535;1588
14;1511;1596;1599;1640;1658;1603;1627;1555;1644;1586;1509;1605;1558;1562;1568;1626;1536;1531
15;1613;1510;1611;1615;1649;1669;1614;1639;1568;1649;1600;1513;1601;1565;1556;1560;1622;1539
16;1714;1620;1543;1625;1626;1661;1696;1616;1642;1573;1655;1602;1504;1609;1564;1549;1563;1624
17;1777;1725;1627;1563;1641;1647;1688;1724;1630;1643;1583;1654;1583;1503;1609;1559;1544;1559
18;1818;1788;1737;1653;1576;1663;1666;1706;1750;1646;1662;1586;1656;1588;1508;1617;1571;1549
19;1845;1831;1806;1750;1652;1587;1716;1697;1727;1780;1658;1678;1591;1658;1573;1529;1656;1583
20;1916;1850;1849;1832;1741;1652;1655;1765;1722;1747;1810;1676;1696;1594;1655;1598;1576;1666
21;1973;1912;1881;1856;1841;1757;1700;1708;1793;1735;1761;1819;1682;1695;1584;1666;1641;1583
22;2089;1984;1960;1885;1869;1868;1832;1760;1741;1821;1759;1776;1817;1691;1686;1593;1703;1651
23;2153;2099;2028;1972;1896;1877;1931;1888;1795;1785;1859;1785;1786;1808;1689;1688;1653;1719
24;2414;2169;2153;2052;1995;1915;1962;1999;1913;1816;1822;1870;1799;1778;1816;1711;1709;1650
25;2517;2435;2244;2189;2080;2008;1981;2051;2042;1934;1870;1834;1867;1804;1781;1812;1753;1736
26;2672;2564;2498;2295;2177;2091;2088;2054;2072;2049;1958;1854;1826;1863;1794;1797;1811;1756
27;2677;2687;2587;2508;2301;2188;2149;2119;2084;2115;2069;1947;1861;1822;1832;1778;1806;1810
28;2857;2686;2772;2611;2535;2300;2232;2230;2147;2124;2136;2086;1949;1839;1821;1851;1796;1835
29;2933;2871;2754;2819;2657;2574;2375;2279;2240;2160;2119;2146;2100;1921;1831;1832;1870;1804
30;2862;2938;2936;2796;2848;2696;2648;2414;2296;2277;2181;2117;2141;2100;1922;1864;1848;1887
31;2918;2871;2986;2967;2812;2858;2758;2693;2412;2317;2293;2163;2118;2133;2069;1926;1874;1831
32;3078;2925;2896;3022;2974;2823;2928;2787;2698;2412;2305;2297;2189;2102;2124;2053;1937;1873
33;2856;3066;2966;2933;3019;2955;2873;2924;2791;2724;2408;2300;2294;2171;2089;2102;2053;1933
34;2850;2883;3122;2977;2935;2992;3004;2897;2927;2797;2745;2413;2318;2271;2170;2073;2104;2064
35;3082;2870;2894;3140;2971;2934;3022;3036;2909;2963;2810;2711;2426;2325;2253;2159;2089;2093
36;3104;3109;2908;2932;3151;2978;2986;3049;3022;2949;2971;2790;2707;2407;2319;2247;2161;2094
37;3284;3134;3134;2933;2969;3165;3042;3031;3084;3038;2953;2959;2808;2709;2393;2305;2244;2139
38;3167;3290;3166;3158;2963;2959;3224;3096;3064;3075;3047;2976;2953;2790;2705;2402;2301;2255
39;3063;3203;3321;3212;3163;2976;3014;3276;3103;3064;3074;3039;2966;2964;2777;2687;2381;2300
40;2946;3069;3253;3335;3219;3180;3021;3042;3273;3130;3074;3081;3041;2964;2959;2744;2688;2394
41;2716;2950;3116;3285;3345;3215;3221;3056;3053;3300;3136;3082;3090;3037;2945;2920;2756;2682
42;2813;2715;2984;3142;3306;3380;3272;3241;3062;3088;3298;3124;3070;3084;3028;2948;2917;2745
43;2856;2837;2745;3004;3142;3319;3440;3308;3250;3085;3094;3302;3121;3060;3058;3012;2934;2907
44;2744;2844;2861;2770;3014;3134;3361;3461;3293;3252;3077;3101;3284;3114;3036;3035;2988;2919
45;2849;2757;2868;2876;2796;3013;3164;3382;3474;3293;3252;3077;3105;3268;3089;3015;3046;2969
46;2709;2850;2784;2895;2902;2815;3059;3177;3393;3482;3292;3249;3069;3088;3236;3081;3020;3050
47;2660;2735;2868;2814;2899;2913;2866;3090;3181;3397;3484;3303;3228;3073;3071;3237;3078;3017
48;2570;2667;2766;2887;2812;2894;2957;2886;3116;3194;3395;3475;3305;3233;3086;3054;3232;3073
49;2464;2579;2680;2791;2896;2827;2915;2970;2897;3120;3201;3383;3457;3283;3223;3090;3041;3237
50;2399;2473;2600;2690;2798;2893;2880;2944;2977;2908;3114;3188;3387;3452;3274;3201;3073;3050
51;2665;2409;2478;2612;2687;2802;2918;2917;2954;2994;2907;3109;3192;3373;3430;3270;3188;3039
52;2707;2664;2423;2508;2616;2694;2809;2938;2930;2951;2993;2894;3119;3187;3344;3414;3269;3172
53;2904;2714;2689;2432;2508;2609;2717;2825;2920;2941;2965;2977;2886;3107;3183;3324;3406;3279
54;2943;2893;2708;2714;2430;2502;2614;2751;2836;2911;2950;2975;2952;2865;3097;3159;3321;3408
55;3002;2943;2898;2718;2701;2426;2514;2620;2763;2834;2902;2934;2966;2963;2853;3068;3152;3302
56;1953;2999;2965;2902;2729;2705;2426;2512;2625;2754;2817;2887;2916;2955;2927;2838;3068;3144
57;2472;1949;3019;2976;2892;2731;2705;2429;2512;2632;2737;2821;2876;2896;2943;2922;2817;3052
58;2268;2474;1943;3034;2996;2905;2727;2708;2412;2515;2632;2730;2813;2866;2876;2935;2899;2812
59;2431;2268;2488;1935;3031;2999;2917;2721;2700;2407;2512;2612;2714;2804;2839;2867;2918;2888
60;2667;2432;2266;2492;1933;3024;3011;2927;2710;2691;2407;2522;2589;2694;2780;2832;2861;2922
61;2909;2664;2436;2273;2472;1919;3030;3017;2923;2697;2694;2404;2498;2563;2681;2757;2811;2842
62;2691;2899;2672;2425;2259;2470;1920;3022;3003;2935;2692;2676;2402;2490;2549;2672;2753;2807
63;2650;2672;2885;2669;2403;2252;2460;1919;3011;2990;2903;2666;2654;2396;2479;2531;2660;2746
64;2549;2651;2660;2888;2661;2382;2230;2457;1918;2990;2983;2870;2647;2629;2389;2468;2525;2638
65;2387;2526;2625;2646;2882;2644;2369;2217;2444;1913;2976;2967;2826;2624;2587;2373;2435;2495
66;2406;2389;2509;2627;2614;2869;2621;2352;2192;2433;1899;2936;2938;2800;2591;2565;2347;2412
67;2394;2392;2352;2496;2609;2588;2854;2625;2338;2180;2415;1868;2904;2911;2750;2568;2537;2331
68;2312;2390;2371;2300;2467;2584;2561;2825;2598;2315;2157;2381;1843;2861;2863;2711;2547;2498
69;2376;2286;2362;2345;2277;2461;2552;2542;2799;2591;2292;2123;2334;1819;2822;2826;2683;2529
70;2356;2319;2255;2335;2323;2268;2438;2537;2503;2791;2559;2238;2075;2311;1787;2799;2785;2641
71;2504;2326;2277;2218;2296;2300;2247;2401;2496;2474;2755;2515;2191;2049;2265;1763;2737;2732
72;2394;2444;2286;2250;2179;2259;2274;2199;2354;2463;2442;2707;2466;2152;2025;2224;1740;2689
73;2384;2354;2375;2255;2196;2138;2220;2239;2153;2327;2424;2404;2652;2400;2101;2003;2197;1699
74;2204;2320;2310;2328;2223;2133;2100;2168;2200;2123;2291;2382;2355;2600;2345;2062;1973;2173
75;2118;2150;2230;2246;2277;2159;2101;2056;2125;2152;2081;2244;2343;2308;2525;2300;2029;1952
76;2110;2061;2084;2163;2177;2208;2107;2062;2005;2078;2084;2026;2200;2304;2248;2481;2237;1978
77;2040;2051;1976;2023;2102;2122;2161;2037;1995;1966;2003;2029;1981;2165;2238;2183;2417;2171
78;1906;1970;1975;1901;1945;2027;2073;2084;1969;1915;1906;1941;1965;1903;2087;2166;2115;2350
79;1832;1807;1892;1879;1830;1876;1948;1998;1995;1883;1859;1832;1861;1893;1835;2006;2094;2045
80;1819;1752;1724;1812;1773;1755;1804;1874;1908;1919;1799;1785;1773;1788;1788;1773;1945;2016
81;1675;1713;1672;1620;1729;1684;1661;1706;1774;1829;1819;1701;1711;1706;1688;1707;1696;1852
82;876;1599;1624;1587;1539;1624;1594;1563;1621;1680;1735;1713;1591;1617;1597;1599;1618;1620
83;716;817;1495;1520;1477;1443;1520;1473;1452;1545;1584;1613;1607;1504;1508;1504;1482;1539
84;666;662;758;1391;1420;1365;1344;1423;1361;1383;1442;1484;1485;1515;1389;1418;1405;1386
85;709;617;595;697;1276;1297;1280;1244;1310;1247;1264;1328;1346;1394;1401;1272;1311;1298
86;904;652;559;537;629;1157;1168;1197;1136;1199;1143;1153;1179;1240;1262;1289;1163;1228
87;841;833;568;512;489;579;1035;1038;1063;1017;1095;1010;1037;1058;1137;1146;1165;1045
88;739;724;713;508;447;422;499;898;912;907;900;966;875;931;939;1016;1019;1058
89;650;633;607;628;432;384;365;428;794;799;775;802;809;778;809;829;880;884
90;521;563;515;519;529;369;336;312;368;685;696;655;679;698;673;692;713;758
91;386;428;480;422;436;453;321;285;277;331;593;594;558;564;573;573;595;587
92;298;320;352;411;332;355;364;269;239;217;289;488;479;463;451;479;483;493
93;241;248;238;262;318;279;284;293;218;204;181;238;398;385;370;361;382;396
94;142;192;175;178;215;251;221;243;222;182;157;145;188;299;293;294;278;293
95;106;98;136;128;145;161;201;183;201;175;141;119;97;154;228;226;232;213
96;103;75;67;106;104;107;128;146;135;159;139;109;85;74;103;173;173;176
97;56;76;50;54;72;88;82;87;102;99;119;102;83;70;58;79;125;109
98;24;38;53;42;38;55;70;48;59;74;66;85;67;58;50;39;55;90
99;29;17;25;39;26;32;36;44;33;37;55;44;62;45;43;41;31;39
100 e oltre;28;39;35;41;49;43;54;54;58;62;78;83;67;83;73;65;76;75
Totale;197371;197556;198299;199046;199080;199131;200982;202350;202289;202623;202427;201427;200083;198797;196689;195187;194207;192835
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;701;783;713;740;798;842;806;890;747;743;742;783;694;665;623;585;630;541
1;732;712;784;723;735;807;852;814;899;749;758;737;784;702;663;638;596;627
2;713;739;727;777;743;737;811;864;813;895;747;756;729;779;715;681;638;604
3;758;720;760;735;776;744;742;834;867;820;890;750;760;740;779;720;672;630
4;705;765;725;778;742;784;759;755;832;880;819;885;745;765;736;769;721;673
5;721;717;772;739;785;753;798;778;762;850;875;825;878;742;759;738;768;720
6;782;729;721;773;747;797;768;816;787;766;857;872;827;882;745;761;733;771
7;712;795;732;729;785;762;802;781;825;798;769;859;874;824;877;735;768;741
8;785;726;805;739;744;792;774;815;794;827;805;770;858;871;821;866;739;755
9;803;800;736;819;748;747;804;778;822;808;841;794;780;852;861;816;860;738
10;850;811;805;754;826;752;760;817;782;837;813;841;785;781;848;863;815;870
11;821;858;817;815;772;840;767;768;827;787;841;816;848;781;774;838;863;815
12;824;825;868;835;827;768;855;784;775;823;790;834;810;858;782;778;846;864
13;837;828;837;866;833;838;770;860;802;791;821;788;828;809;855;780;777;843
14;763;838;840;841;871;844;851;789;870;818;792;820;790;834;814;864;783;769
15;872;761;846;847;848;872;844;861;801;867;827;793;819;796;827;814;863;787
16;870;874;782;857;858;852;892;848;862;802;870;826;785;822;796;827;817;863
17;942;879;875;794;869;870;861;904;855;862;804;867;814;784;824;795;823;811
18;944;951;883;890;805;880;877;874;926;863;874;802;862;820;785;826;806;832
19;938;950;965;883;889;814;919;891;883;945;865;873;804;856;809;811;865;818
20;977;942;970;972;874;889;851;939;902;891;956;876;885;803;856;824;841;875
21;1049;977;964;970;975;883;916;872;952;900;899;955;868;880;800;868;858;849
22;1046;1057;1006;960;971;985;912;933;883;963;912;908;943;875;874;800;900;860
23;1100;1045;1081;1015;957;974;1018;939;939;899;977;926;910;930;870;884;844;911
24;1199;1108;1076;1091;1008;960;1011;1056;953;953;917;984;928;903;933;884;898;844
25;1303;1211;1154;1110;1098;1003;998;1054;1079;963;972;919;986;930;890;941;900;907
26;1336;1328;1237;1185;1104;1108;1034;1040;1067;1073;967;964;900;980;919;895;936;906
27;1321;1347;1338;1252;1181;1104;1137;1056;1056;1087;1081;958;982;895;965;905;901;937
28;1442;1315;1391;1342;1263;1174;1119;1170;1066;1073;1090;1090;958;973;896;979;929;920
29;1491;1458;1351;1413;1383;1283;1212;1155;1168;1076;1062;1091;1094;944;965;906;992;941
30;1468;1489;1501;1375;1430;1391;1320;1223;1160;1192;1082;1068;1084;1083;950;987;919;993
31;1488;1481;1524;1522;1393;1441;1418;1342;1225;1164;1200;1081;1067;1092;1064;955;996;907
32;1556;1492;1498;1549;1530;1398;1486;1431;1347;1227;1166;1202;1106;1056;1080;1059;974;987
33;1456;1538;1510;1519;1542;1516;1435;1491;1427;1356;1235;1169;1210;1109;1038;1063;1063;961
34;1441;1462;1565;1507;1523;1520;1521;1424;1484;1420;1375;1238;1179;1200;1109;1029;1062;1076
35;1553;1450;1467;1562;1503;1530;1543;1529;1426;1495;1425;1354;1243;1174;1187;1090;1046;1060
36;1592;1566;1460;1474;1567;1516;1540;1554;1519;1441;1496;1406;1362;1234;1163;1185;1088;1046
37;1666;1602;1577;1488;1489;1573;1543;1564;1572;1530;1441;1495;1414;1363;1214;1162;1184;1080
38;1582;1662;1612;1581;1497;1467;1585;1563;1576;1570;1532;1447;1491;1410;1355;1216;1159;1184
39;1574;1599;1667;1640;1588;1504;1496;1611;1550;1569;1566;1519;1446;1495;1402;1349;1206;1151
40;1463;1579;1618;1679;1643;1602;1502;1507;1598;1564;1575;1560;1513;1445;1489;1389;1338;1220
41;1361;1463;1606;1644;1677;1636;1616;1519;1510;1610;1570;1577;1571;1510;1432;1470;1401;1339
42;1428;1357;1475;1614;1654;1702;1665;1630;1522;1524;1611;1559;1564;1562;1508;1434;1452;1401
43;1387;1446;1373;1486;1622;1665;1742;1685;1630;1527;1521;1619;1557;1562;1553;1505;1421;1456
44;1341;1384;1452;1384;1490;1608;1674;1750;1667;1625;1512;1530;1615;1545;1545;1538;1496;1414
45;1455;1353;1387;1458;1400;1484;1609;1685;1739;1672;1618;1512;1534;1599;1532;1526;1539;1484
46;1300;1452;1364;1395;1471;1399;1487;1620;1685;1732;1669;1617;1510;1519;1583;1524;1530;1531
47;1349;1311;1449;1377;1396;1476;1401;1503;1620;1679;1727;1673;1604;1510;1508;1582;1521;1518
48;1252;1351;1324;1456;1374;1396;1496;1403;1512;1617;1677;1723;1679;1602;1517;1504;1583;1519
49;1268;1260;1357;1326;1465;1389;1403;1501;1406;1515;1619;1668;1713;1665;1593;1517;1498;1588
50;1207;1267;1265;1362;1333;1463;1410;1408;1499;1417;1515;1609;1672;1717;1665;1579;1505;1496
51;1332;1207;1262;1276;1356;1335;1468;1421;1411;1508;1414;1510;1614;1665;1714;1664;1581;1485
52;1369;1334;1215;1265;1276;1356;1330;1472;1423;1397;1510;1404;1515;1610;1650;1700;1662;1576
53;1474;1369;1337;1222;1264;1272;1365;1336;1457;1416;1397;1493;1394;1515;1608;1632;1696;1665
54;1468;1466;1361;1354;1219;1257;1274;1372;1336;1440;1416;1391;1481;1387;1494;1584;1622;1697
55;1507;1462;1462;1369;1351;1214;1265;1273;1384;1332;1438;1408;1386;1485;1380;1476;1582;1610
56;927;1505;1467;1457;1375;1352;1208;1259;1273;1378;1323;1427;1404;1378;1463;1379;1474;1578
57;1171;925;1514;1463;1446;1375;1346;1207;1254;1269;1368;1327;1420;1386;1374;1454;1371;1467
58;1126;1171;916;1522;1477;1458;1360;1345;1197;1258;1265;1361;1328;1417;1367;1373;1440;1364
59;1233;1127;1175;912;1517;1478;1455;1345;1338;1189;1254;1250;1351;1323;1398;1366;1363;1436
60;1297;1229;1130;1168;905;1503;1479;1457;1334;1334;1189;1250;1240;1337;1312;1393;1364;1359
61;1368;1300;1229;1129;1156;896;1504;1480;1444;1320;1336;1185;1241;1218;1329;1302;1386;1350
62;1320;1363;1302;1220;1117;1156;901;1495;1465;1452;1313;1327;1183;1231;1213;1321;1298;1384
63;1311;1306;1354;1289;1208;1113;1148;892;1482;1445;1433;1291;1313;1179;1225;1199;1311;1293
64;1181;1311;1294;1352;1284;1199;1096;1142;893;1470;1434;1415;1283;1299;1175;1217;1190;1295
65;1107;1167;1291;1284;1332;1267;1188;1083;1132;887;1457;1420;1376;1273;1276;1169;1197;1175
66;1058;1099;1159;1291;1265;1316;1260;1170;1068;1117;874;1437;1402;1363;1261;1265;1160;1178
67;1095;1047;1076;1151;1271;1251;1306;1257;1160;1061;1110;853;1420;1382;1334;1246;1256;1145
68;1084;1087;1030;1046;1136;1246;1236;1290;1240;1145;1043;1080;842;1396;1349;1310;1237;1226
69;1116;1062;1070;1012;1022;1129;1219;1218;1278;1236;1134;1022;1047;835;1363;1322;1296;1226
70;1050;1072;1041;1051;987;1008;1111;1212;1193;1271;1210;1100;984;1030;806;1348;1300;1259
71;1112;1032;1042;1017;1021;968;993;1090;1182;1176;1240;1179;1076;963;1005;791;1321;1268
72;1042;1077;1009;1023;990;995;949;968;1062;1158;1154;1208;1137;1051;954;982;774;1285
73;1002;1018;1036;991;985;959;974;933;944;1045;1136;1130;1177;1093;1014;947;963;755
74;897;957;991;1005;966;945;939;940;904;928;1018;1105;1098;1139;1058;989;928;950
75;862;870;901;945;973;923;925;905;920;876;910;991;1075;1067;1097;1030;961;918
76;843;825;835;853;892;932;891;896;873;892;844;879;962;1055;1026;1070;994;933
77;782;804;786;805;825;854;901;851;852;843;852;818;845;935;1026;986;1036;957
78;730;735;756;733;762;783;816;860;806;806;808;819;787;809;898;981;940;998
79;663;676;689;709;691;725;733;772;811;759;766;761;766;743;766;857;940;902
80;633;623;628;646;653;651;683;700;726;773;711;725;728;729;693;733;824;901
81;530;574;575;574;605;613;599;635;643;681;715;665;684;696;673;651;685;767
82;293;488;525;536;531;556;573;541;587;590;638;653;605;635;633;619;603;644
83;247;269;438;478;476;487;499;520;488;555;529;579;595;557;570;572;559;574
84;207;221;240;388;432;416;444;443;460;459;499;481;521;552;508;522;526;513
85;214;189;191;207;350;390;377;399;399;406;406;441;415;484;499;452;481;487
86;265;196;158;168;175;312;340;347;352;364;366;354;374;370;431;458;403;440
87;247;236;159;132;145;153;266;286;309;305;325;310;307;317;329;381;402;344
88;208;197;191;139;118;119;119;224;248;254;256;273;255;276;277;277;324;354
89;180;176;169;156;109;89;93;89;202;211;207;222;216;217;230;239;225;277
90;140;148;131;135;119;91;73;77;70;167;182;168;178;181;174;188;204;189
91;98;105;118;99;105;95;75;65;63;66;138;153;129;141;143;141;157;165
92;66;77;72;95;80;84;74;54;52;42;51;112;119;98;115;119;112;124
93;53;58;50;47;68;65;58;55;41;42;38;43;83;93;78;80;88;86
94;24;44;40;30;32;51;48;47;37;33;30;31;32;61;73;55;58;67
95;27;18;33;28;22;21;36;38;37;29;29;20;15;22;42;51;38;40
96;18;18;12;17;21;16;15;25;24;29;24;22;14;11;15;26;42;27
97;8;14;12;10;12;19;12;10;15;19;23;19;13;11;9;12;17;26
98;3;4;12;9;7;10;16;7;6;11;11;16;13;9;7;7;8;9
99;6;3;2;9;6;5;3;10;5;3;6;9;10;8;7;6;7;8
100 e oltre;5;4;4;5;9;9;8;7;11;8;7;7;6;11;10;10;9;12
