"Popolazione per età, vista per singola area - Provincia: Matera"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Matera"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1914;1939;1940;1940;1749;1756;1735;1767;1623;1653;1620;1576;1515;1505;1438;1486;1389;1361
1;2053;1901;1932;1923;1914;1759;1774;1724;1756;1635;1640;1602;1579;1530;1487;1443;1487;1373
2;1938;2043;1909;1922;1926;1910;1765;1775;1712;1756;1637;1645;1590;1591;1536;1484;1442;1485
3;1935;1915;2013;1905;1905;1913;1914;1757;1771;1694;1759;1645;1658;1602;1609;1522;1485;1438
4;2026;1931;1917;2018;1910;1915;1906;1911;1752;1783;1701;1771;1660;1671;1604;1610;1511;1487
5;2048;2026;1935;1929;2014;1909;1923;1910;1913;1755;1790;1700;1772;1658;1669;1619;1613;1514
6;2016;2033;2017;1945;1927;2022;1915;1927;1922;1927;1770;1796;1699;1771;1672;1667;1604;1600
7;2042;2006;2036;2021;1944;1926;2033;1918;1925;1934;1934;1771;1802;1699;1780;1660;1672;1615
8;2169;2043;2009;2045;2012;1938;1939;2029;1932;1942;1940;1938;1780;1801;1700;1773;1669;1668
9;2304;2158;2046;2005;2043;2012;1938;1950;2026;1934;1944;1942;1944;1778;1797;1703;1765;1667
10;2369;2293;2155;2044;1997;2035;2024;1941;1963;2039;1940;1945;1948;1941;1780;1799;1713;1772
11;2533;2354;2294;2158;2046;1991;2033;2036;1942;1970;2052;1945;1950;1946;1947;1780;1801;1711
12;2396;2524;2347;2286;2145;2045;1993;2042;2044;1955;1984;2051;1936;1944;1942;1944;1776;1814
13;2450;2383;2515;2337;2287;2148;2052;2005;2050;2054;1960;1979;2061;1925;1944;1948;1931;1790
14;2458;2431;2390;2512;2330;2289;2154;2059;2012;2061;2059;1959;1990;2053;1922;1944;1956;1934
15;2413;2452;2431;2389;2500;2311;2293;2160;2069;2017;2070;2058;1970;1994;2048;1922;1966;1959
16;2560;2405;2459;2425;2397;2494;2316;2324;2175;2082;2032;2072;2070;1976;1995;2054;1940;1984
17;2656;2552;2403;2459;2428;2386;2504;2335;2333;2197;2096;2031;2090;2085;1988;2000;2101;1958
18;2736;2655;2549;2401;2471;2431;2398;2517;2351;2356;2211;2108;2049;2112;2100;2023;2041;2124
19;2753;2717;2648;2536;2388;2459;2446;2413;2530;2373;2373;2225;2118;2074;2117;2118;2060;2071
20;2882;2741;2686;2614;2519;2342;2462;2429;2416;2520;2385;2368;2241;2121;2081;2150;2117;2062
21;2876;2849;2725;2668;2579;2497;2341;2452;2426;2413;2537;2409;2369;2257;2123;2083;2137;2156
22;2932;2825;2828;2708;2642;2545;2492;2332;2453;2435;2435;2571;2420;2378;2262;2125;2091;2147
23;3008;2874;2803;2810;2687;2611;2563;2480;2339;2463;2442;2459;2604;2429;2363;2257;2140;2099
24;3004;2973;2858;2777;2768;2648;2614;2558;2467;2367;2467;2456;2462;2608;2433;2363;2273;2145
25;3173;2961;2959;2838;2745;2729;2640;2595;2535;2483;2382;2480;2478;2466;2613;2405;2343;2249
26;3179;3122;2977;2947;2799;2706;2717;2615;2572;2524;2475;2388;2457;2467;2430;2584;2392;2338
27;3189;3122;3114;2965;2943;2754;2683;2681;2578;2567;2525;2450;2394;2441;2447;2408;2549;2365
28;3215;3133;3118;3095;2954;2877;2749;2662;2653;2525;2553;2523;2422;2363;2424;2402;2369;2508
29;3151;3163;3124;3096;3067;2908;2878;2676;2627;2628;2510;2527;2496;2390;2354;2389;2392;2321
30;3112;3094;3155;3116;3055;3023;2913;2842;2648;2554;2631;2506;2489;2479;2387;2312;2339;2365
31;3081;3057;3078;3119;3052;3035;2994;2870;2804;2594;2544;2598;2484;2499;2444;2358;2250;2308
32;3071;3031;3002;3036;3057;3014;2989;2947;2833;2781;2565;2532;2585;2470;2490;2416;2318;2234
33;3041;3000;3013;2972;2989;2997;3046;2970;2924;2816;2767;2549;2505;2555;2439;2461;2397;2302
34;3062;2995;2940;2975;2928;2956;2969;3018;2918;2930;2813;2768;2538;2484;2530;2430;2416;2357
35;3115;3014;2957;2912;2944;2901;2933;2934;3020;2892;2894;2814;2763;2521;2444;2492;2392;2392
36;3086;3078;2984;2959;2896;2926;2905;2916;2906;3011;2874;2904;2779;2758;2526;2425;2477;2360
37;3238;3068;3078;2973;2953;2865;2943;2926;2913;2906;3007;2887;2895;2762;2754;2515;2424;2464
38;2996;3206;3075;3069;2951;2934;2893;2946;2896;2929;2921;3009;2889;2894;2750;2699;2511;2414
39;2954;2980;3207;3060;3048;2936;2958;2889;2960;2895;2937;2929;3005;2885;2872;2705;2703;2507
40;3004;2947;2982;3193;3047;3031;2965;2970;2905;2970;2886;2947;2930;2991;2896;2867;2708;2686
41;2918;2976;2944;2967;3186;3031;3022;2983;2990;2902;2970;2886;2944;2908;2982;2899;2857;2700
42;2902;2905;2977;2941;2957;3154;3043;3030;2991;2984;2904;2977;2900;2933;2890;2984;2892;2869
43;2749;2884;2903;2968;2915;2935;3163;3038;3018;2998;3000;2894;2964;2905;2921;2900;2970;2891
44;2716;2743;2883;2895;2955;2893;2955;3159;3034;3024;3010;3017;2901;2975;2903;2925;2888;2985
