"Popolazione per età, vista per singola area - Provincia: Messina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Messina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5632;5592;5713;5554;5401;5595;5619;5650;5437;5522;5245;5289;5048;5065;4760;4562;4660;4462
1;5839;5625;5596;5712;5542;5443;5601;5618;5663;5386;5495;5233;5249;5038;5025;4731;4542;4657
2;5970;5817;5678;5600;5696;5566;5474;5604;5632;5664;5395;5478;5244;5216;5015;4984;4674;4530
3;5815;5959;5826;5687;5617;5685;5590;5516;5611;5639;5660;5398;5480;5210;5172;4967;4942;4659
4;5926;5810;5954;5832;5721;5625;5708;5631;5540;5649;5645;5658;5375;5469;5187;5138;4922;4929
5;6177;5909;5809;5953;5872;5773;5645;5750;5663;5574;5666;5653;5646;5340;5435;5155;5119;4888
6;6406;6176;5944;5819;5939;5900;5834;5691;5761;5696;5606;5672;5642;5627;5330;5407;5138;5090
7;6571;6386;6204;5967;5845;5956;5921;5880;5712;5774;5720;5609;5666;5625;5603;5329;5383;5119
8;6973;6578;6403;6214;5964;5846;5974;5933;5920;5721;5789;5715;5586;5647;5608;5586;5309;5376
9;7367;6979;6604;6395;6220;5981;5884;5990;5953;5957;5740;5803;5716;5570;5632;5598;5559;5299
10;7565;7369;7000;6610;6404;6229;6024;5917;5997;5981;6002;5755;5794;5716;5553;5615;5568;5520
11;7819;7539;7373;7008;6623;6409;6261;6044;5952;6002;6001;5991;5756;5778;5697;5555;5585;5554
12;7739;7800;7543;7397;7014;6621;6427;6292;6078;5964;6020;6011;5994;5737;5752;5682;5524;5575
13;7699;7744;7813;7525;7407;7036;6648;6471;6323;6095;5977;6020;6022;5969;5720;5741;5661;5525
14;7608;7705;7740;7806;7514;7416;7078;6682;6500;6371;6119;5958;6027;6013;5950;5712;5727;5664
15;7865;7609;7735;7753;7807;7524;7440;7114;6728;6510;6376;6125;5974;6025;6009;5942;5713;5708
16;7931;7848;7646;7745;7765;7787;7537;7472;7141;6763;6515;6387;6113;5972;6026;6018;5931;5702
17;8067;7919;7868;7679;7764;7776;7821;7565;7519;7176;6782;6518;6386;6112;5972;6050;6044;5943
18;8097;8042;7912;7852;7708;7791;7797;7876;7596;7530;7199;6799;6531;6375;6105;6044;6157;6088
19;8453;8079;8054;7908;7860;7740;7839;7834;7896;7616;7543;7216;6804;6547;6374;6100;6078;6199
20;8505;8375;8093;8038;7890;7848;7820;7905;7872;7961;7655;7550;7218;6799;6537;6359;6082;6047
21;8654;8417;8363;8083;8016;7845;7857;7861;7973;7900;7958;7656;7512;7233;6761;6514;6322;6061
22;8673;8552;8383;8313;8064;7974;7896;7909;7941;8040;7918;7959;7635;7484;7231;6726;6467;6304
23;8763;8587;8551;8301;8268;8045;8011;7913;7938;7995;8059;7906;7927;7592;7482;7149;6662;6413
24;8985;8668;8612;8483;8221;8194;8060;8044;7943;7943;8025;8036;7874;7870;7528;7418;7064;6605
25;9248;8886;8664;8522;8392;8143;8186;8054;8044;7988;7939;7973;8000;7822;7797;7447;7306;6942
26;9575;9133;8894;8625;8414;8283;8112;8128;8020;8040;7953;7875;7918;7927;7735;7665;7318;7180
27;9895;9460;9192;8843;8567;8321;8293;8109;8160;8008;8007;7863;7785;7788;7817;7619;7525;7157
28;9845;9812;9525;9193;8802;8500;8344;8345;8077;8138;7926;7907;7758;7702;7673;7691;7482;7353
29;9979;9749;9834;9448;9172;8730;8517;8367;8279;8031;8039;7791;7791;7619;7626;7524;7576;7343
30;9956;9894;9756;9792;9409;9130;8742;8595;8345;8190;7992;7926;7668;7680;7549;7472;7370;7399
31;9578;9885;9896;9674;9719;9309;9125;8758;8529;8353;8123;7871;7859;7534;7582;7414;7331;7277
32;9771;9450;9866;9785;9563;9554;9284;9121;8707;8508;8290;8018;7793;7770;7435;7480;7291;7220
33;9748;9658;9404;9743;9745;9416;9515;9272;9067;8689;8403;8224;7971;7697;7706;7331;7383;7217
34;9853;9648;9663;9343;9656;9661;9380;9536;9221;9064;8624;8342;8150;7893;7600;7623;7227;7258
35;9967;9821;9633;9589;9322;9587;9641;9387;9497;9208;9011;8551;8286;8053;7820;7528;7517;7162
36;10018;9961;9871;9632;9591;9291;9680;9724;9410;9578;9223;8970;8533;8241;7966;7743;7439;7478
37;10157;9992;10002;9853;9637;9591;9340;9696;9723;9473;9578;9208;8940;8475;8161;7920;7661;7369
38;9633;10137;10024;9994;9821;9621;9641;9372;9695;9731;9463;9551;9195;8892;8407;8132;7850;7643
39;9854;9589;10155;10000;9975;9821;9655;9708;9384;9719;9708;9435;9507;9117;8811;8339;8062;7802
40;9510;9804;9652;10140;9984;9960;9888;9704;9746;9422;9742;9676;9403;9476;9041;8753;8280;7977
41;9714;9466;9852;9652;10151;9964;10002;9944;9739;9814;9423;9710;9676;9343;9380;8976;8665;8220
42;9168;9689;9521;9887;9647;10177;9992;10061;9980;9785;9787;9383;9705;9647;9311;9368;8913;8645
43;8904;9161;9689;9518;9895;9663;10203;10014;10093;10029;9783;9757;9418;9669;9596;9269;9313;8871
44;9047;8910;9183;9701;9505;9875;9700;10227;10053;10124;10034;9747;9735;9367;9623;9523;9218;9260
45;8895;9043;8949;9204;9711;9497;9896;9732;10248;10099;10116;10028;9744;9708;9330;9588;9457;9215
46;9065;8873;9065;8957;9192;9708;9503;9931;9743;10289;10071;10091;9994;9712;9669;9296;9545;9419
47;8744;9030;8884;9096;8942;9190;9745;9543;9927;9747;10269;10035;10065;9946;9660;9649;9236;9492
48;8312;8717;9034;8870;9106;8888;9217;9783;9569;9944;9766;10229;10013;10025;9893;9659;9607;9196
49;8191;8288;8736;9023;8848;9091;8923;9237;9794;9609;9923;9738;10206;9998;9979;9877;9598;9550
50;8307;8164;8311;8733;9008;8837;9128;8950;9245;9833;9584;9900;9706;10200;9936;9932;9828;9554
51;8616;8279;8143;8321;8722;9005;8833;9177;8983;9255;9819;9586;9850;9684;10146;9885;9895;9785
52;8385;8608;8261;8139;8301;8693;9027;8847;9208;8999;9243;9768;9544;9819;9634;10072;9831;9831
53;8971;8351;8573;8264;8104;8313;8690;9015;8841;9204;8977;9189;9716;9509;9770;9575;10010;9761
54;8605;8961;8375;8546;8249;8081;8312;8697;8997;8834;9188;8926;9151;9681;9479;9717;9508;9944
55;8159;8611;8948;8363;8533;8220;8058;8307;8680;8973;8803;9149;8915;9106;9632;9417;9665;9450
56;6710;8122;8595;8925;8340;8509;8187;8028;8296;8672;8943;8734;9095;8843;9056;9595;9344;9607
57;6558;6674;8119;8573;8911;8331;8502;8148;8001;8312;8631;8853;8678;9052;8818;9008;9549;9308
58;6519;6541;6644;8120;8566;8899;8330;8446;8118;7954;8264;8582;8810;8642;8988;8772;8929;9482
59;6876;6500;6535;6598;8097;8562;8884;8334;8400;8093;7909;8222;8509;8748;8596;8935;8720;8886
60;7013;6841;6511;6531;6571;8079;8544;8867;8295;8388;8032;7862;8160;8468;8679;8551;8865;8687
61;7509;7010;6820;6497;6488;6535;8063;8512;8834;8275;8341;7974;7816;8101;8404;8633;8497;8780
62;7147;7457;6942;6783;6437;6449;6497;8031;8460;8784;8198;8237;7904;7767;8020;8346;8561;8437
63;6735;7109;7420;6904;6743;6405;6406;6467;7978;8421;8714;8113;8132;7821;7677;7942;8275;8488
64;6661;6676;7065;7378;6836;6686;6358;6351;6401;7942;8400;8620;8052;8078;7739;7599;7879;8209
65;6886;6634;6636;7024;7336;6776;6624;6307;6295;6352;7867;8299;8542;7966;8000;7651;7526;7810
66;7003;6836;6587;6605;6952;7277;6733;6564;6239;6242;6289;7763;8208;8453;7871;7873;7552;7459
67;7055;6929;6750;6534;6552;6903;7218;6677;6512;6166;6168;6195;7679;8106;8324;7785;7788;7461
68;7352;6957;6849;6670;6444;6478;6827;7134;6603;6428;6085;6081;6121;7573;8012;8237;7703;7705
69;6882;7241;6866;6739;6608;6390;6390;6747;7038;6523;6333;5994;5970;6043;7467;7895;8133;7592
70;6943;6762;7142;6783;6623;6537;6307;6321;6658;6929;6432;6232;5890;5881;5940;7346;7751;8019
71;7368;6823;6652;7030;6664;6515;6425;6233;6237;6546;6825;6303;6131;5810;5782;5823;7187;7602
72;6508;7234;6680;6528;6892;6570;6373;6318;6146;6135;6449;6700;6181;6023;5680;5660;5699;7068
73;6351;6350;7101;6538;6360;6754;6460;6230;6178;6035;6025;6307;6569;6074;5876;5562;5527;5599
74;6014;6175;6183;6948;6350;6222;6590;6317;6088;6043;5921;5873;6163;6414;5914;5751;5406;5387
75;6027;5819;5986;6009;6769;6160;6048;6416;6151;5925;5879;5767;5723;6030;6243;5755;5576;5268
76;5840;5836;5639;5825;5804;6575;5994;5825;6230;5963;5763;5694;5595;5564;5832;6059;5567;5423
77;5979;5624;5590;5505;5617;5597;6326;5804;5621;6045;5742;5575;5528;5401;5359;5656;5861;5376
78;5157;5767;5407;5396;5292;5385;5370;6082;5565;5402;5857;5538;5388;5329;5185;5192;5465;5682
79;5225;4916;5467;5189;5163;5058;5097;5140;5815;5351;5150;5610;5295;5169;5112;4963;4960;5232
80;4543;4976;4610;5191;4943;4895;4768;4861;4880;5512;5082;4895;5326;5053;4904;4916;4710;4761
81;4399;4300;4661;4350;4920;4700;4642;4501;4609;4625;5208;4812;4633;5042;4770;4660;4668;4471
82;2692;4108;3999;4381;4029;4607;4387;4374;4230;4327;4363;4906;4533;4386;4739;4502;4368;4399
83;1912;2480;3766;3703;4031;3722;4276;4023;4037;3920;4046;4073;4594;4190;4092;4444;4185;4117
84;1974;1748;2265;3475;3380;3737;3427;3930;3685;3693;3603;3724;3792;4273;3902;3807;4113;3897
85;2384;1770;1574;2093;3138;3078;3421;3139;3568;3353;3384;3277;3399;3467;3882;3609;3494;3758
86;2495;2125;1580;1413;1887;2836;2773;3104;2843;3263;3036;3044;2981;3081;3111;3515;3236;3203
87;2133;2179;1886;1399;1248;1676;2483;2492;2756;2531;2901;2710;2749;2639;2732;2811;3159;2921
88;1875;1843;1850;1645;1230;1120;1476;2179;2162;2396;2211;2539;2382;2409;2296;2434;2479;2839
89;1561;1560;1489;1579;1393;1077;944;1290;1900;1883;2035;1907;2200;2065;2082;1991;2074;2134
90;1218;1308;1284;1255;1298;1187;915;794;1075;1672;1585;1743;1642;1888;1726;1770;1656;1740
91;1063;988;1072;1068;1003;1097;991;789;663;912;1393;1283;1454;1367;1567;1455;1456;1383
92;699;872;762;867;859;832;903;805;649;539;766;1097;1044;1204;1113;1300;1176;1195
