"Popolazione per età, vista per singola area - Provincia: Milano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Milano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;26479;28046;28261;29985;29610;29847;29978;30088;29811;29080;28432;29028;28214;27907;27221;26827;26112;25136
1;26450;26453;27789;28377;29777;29342;29561;29668;30059;29812;28998;28723;29242;28337;28123;27304;26941;26252
2;25765;26429;26435;28004;28435;29558;29016;29433;29571;30078;29792;29333;29093;29331;28301;28255;27496;27031
3;24782;25770;26361;26780;27984;28398;29357;28985;29654;29630;30076;30183;29783;29316;29426;28384;28412;27651
4;24430;24748;25745;26763;26920;27855;28325;29162;29078;29803;29581;30344;30532;29953;29394;29450;28499;28454
5;24434;24475;24827;25958;26975;27040;27734;28274;29190;29067;29906;29860;30670;30731;30069;29501;29498;28538
6;23452;24454;24504;25185;26088;27084;27138;27603;28296;29171;29207;30155;30205;30876;30845;30197;29655;29475
7;23431;23496;24480;24791;25394;26156;27157;27268;27635;28383;29260;29457;30427;30345;30999;30938;30303;29815
8;23873;23523;23507;24778;25064;25588;26307;27298;27508;27750;28542;29483;29740;30618;30518;31095;31062;30469
9;24248;23914;23592;23884;25097;25349;25712;26427;27613;27772;27890;28799;29812;29887;30754;30625;31235;31179
10;24020;24304;24008;23922;24187;25335;25518;25915;26723;27800;28026;28125;29083;29999;29966;30837;30752;31361
11;24234;23987;24375;24216;24175;24366;25458;25611;26244;26872;28069;28305;28393;29206;30145;30108;30997;30910
12;23755;24195;23972;24658;24534;24434;24519;25619;25911;26487;27174;28323;28619;28585;29353;30221;30280;31108
13;23624;23722;24109;24186;24976;24742;24620;24689;25933;26216;26819;27426;28651;28784;28678;29425;30401;30379
14;22314;23619;23624;24241;24434;25181;24900;24802;24972;26216;26522;27074;27724;28930;28915;28726;29583;30588
15;22764;22279;23590;23826;24480;24614;25289;25087;25118;25219;26516;26804;27393;28022;29090;29032;28885;29696
16;23448;22684;22203;23801;24055;24622;24688;25452;25445;25435;25488;26719;27163;27608;28223;29152;29197;29066
17;23747;23375;22546;22490;24119;24258;24689;24802;25847;25703;25807;25835;27052;27350;27766;28358;29396;29386
18;24908;23710;23241;22816;22964;24531;24386;24848;25330;26271;26099;26187;26218;27291;27593;28012;28948;29777
19;26614;24947;23732;23421;23246;23319;24856;24755;25542;26015;26905;26623;26791;26727;27787;28135;29080;29524
20;27076;26565;25053;24200;23781;23537;23736;25316;25559;26289;26760;27580;27353;27331;27208;28364;29047;29806
21;28197;26981;26625;25504;24520;24086;24072;24318;26056;26344;27010;27525;28394;27961;27762;27715;29189;29716
22;29795;28210;27164;27538;25883;24841;24601;24588;24992;26948;27250;27764;28447;28983;28427;28195;28519;29797
23;32105;29942;28580;28297;27991;26226;25432;25222;25358;25992;28003;28238;28884;29150;29516;28870;28991;29285
24;34998;32224;30382;30064;28822;28231;26781;26071;26158;26512;27290;29188;29607;29777;29865;30193;29731;29963
25;37957;35222;32845;32160;30619;29113;28850;27564;27174;27693;28022;28690;30669;30664;30714;30725;31300;30877
26;42552;38279;35891;35049;32877;30985;29760;29646;28995;28761;29286;29397;30422;31885;31742;31877;31856;32564
27;45357;42775;38959;38350;35737;33093;31581;30633;31058;30719;30588;30824;31212;31783;33058;32992;33287;33270
28;47148;45643;43539;41108;39035;36157;33734;32142;31899;32875;32656;32174;32703;32577;32938;34323;34426;34755
29;48266;47512;46406;45655;41770;39242;36708;34248;33207;33722;34737;34168;34120;34087;33782;34039;35774;35955
30;49657;48646;48198;48738;46194;42049;39623;37102;35291;34832;35416;36272;35985;35528;35211;35028;35409;37209
31;49813;49964;49236;50268;49314;46339;42372;39924;37973;36590;36276;36917;38041;37222;36546;36359;36279;36658
32;51811;50005;50478;51114;50817;49553;46490;42663;40768;38960;37988;37610;38618;39268;38066;37482;37481;37388
33;50822;52002;50385;52333;51729;50826;49669;46761;43375;41708;40182;39135;38970;39682;40056;38931;38517;38453
34;51293;51001;52433;52072;52780;51686;50992;49763;47356;44337;42794;41263;40359;40087;40450;40830;39790;39448
35;52974;51414;51339;53837;52269;52622;51606;51032;50094;48017;45053;43808;42395;41337;40735;41146;41567;40507
