"Popolazione per età, vista per singola area - Provincia: Modena"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Modena"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6016;6163;6059;6489;6717;6644;6815;7136;7013;7014;6836;6697;6263;6011;5935;5851;5570;5448
1;5979;6031;6177;6219;6504;6699;6725;6909;7144;7059;7019;6842;6728;6309;6013;5970;5885;5650
2;5643;5972;6085;6255;6319;6541;6736;6769;6924;7165;7033;7078;6843;6760;6325;6053;5970;5971
3;5475;5718;6126;6151;6327;6387;6556;6786;6794;6937;7157;7039;7083;6880;6745;6321;6071;6016
4;5442;5538;5767;6191;6302;6345;6412;6632;6777;6802;6926;7188;7094;7059;6842;6712;6305;6081
5;5367;5540;5637;5819;6350;6350;6383;6446;6642;6742;6801;6950;7187;7109;7050;6838;6710;6388
6;5216;5449;5594;5723;5880;6358;6382;6465;6436;6607;6743;6820;6960;7173;7113;7032;6838;6746
7;5272;5309;5504;5688;5814;5910;6411;6439;6445;6407;6612;6764;6809;6926;7128;7045;6978;6896
8;5365;5381;5378;5605;5803;5867;5965;6484;6477;6446;6401;6655;6779;6821;6881;7093;7020;7062
9;5422;5432;5428;5470;5664;5872;5949;6047;6542;6499;6474;6443;6675;6784;6820;6893;7087;7045
10;5484;5468;5501;5489;5532;5737;5951;6032;6063;6584;6504;6481;6429;6672;6773;6828;6889;7155
11;5479;5519;5532;5553;5544;5596;5822;6041;6056;6089;6620;6529;6451;6442;6643;6752;6820;6927
12;5237;5538;5586;5575;5626;5597;5687;5923;6104;6105;6111;6644;6520;6475;6448;6652;6744;6851
13;4988;5301;5599;5625;5683;5704;5709;5793;5970;6154;6127;6154;6658;6521;6476;6438;6648;6778
14;4926;5044;5371;5630;5680;5726;5781;5790;5879;6009;6195;6158;6170;6661;6525;6490;6433;6693
15;4838;4972;5108;5410;5697;5727;5823;5919;5873;5931;6065;6224;6179;6195;6642;6565;6481;6492
16;5127;4872;5019;5165;5455;5758;5797;5907;5993;5940;5980;6084;6250;6212;6200;6646;6588;6515
17;5151;5196;4906;5085;5227;5493;5855;5937;6000;6058;6013;6039;6096;6276;6222;6220;6659;6634
18;5171;5245;5276;5041;5197;5344;5605;6037;6102;6116;6152;6080;6068;6101;6281;6243;6361;6730
19;5454;5261;5365;5317;5112;5304;5521;5795;6200;6211;6190;6211;6130;6114;6157;6344;6439;6490
20;5772;5566;5402;5466;5368;5253;5515;5744;5938;6372;6294;6266;6309;6195;6161;6210;6499;6620
21;6003;5863;5746;5553;5579;5461;5452;5818;5869;6088;6481;6378;6367;6296;6238;6205;6417;6644
22;6433;6164;6086;6003;5662;5720;5711;5766;6019;6053;6200;6592;6483;6446;6322;6286;6374;6569
23;6953;6622;6456;6462;6153;5826;6000;6081;5931;6223;6218;6344;6692;6580;6537;6428;6464;6545
24;7591;7167;6895;6732;6563;6314;6118;6417;6260;6186;6365;6412;6502;6766;6626;6616;6551;6656
25;8247;7899;7511;7212;6879;6716;6644;6592;6624;6562;6356;6551;6588;6646;6865;6703;6827;6823
26;9162;8522;8311;7861;7407;7073;7048;7025;6861;6916;6746;6506;6669;6757;6725;6963;6859;7081
27;9856;9434;8938;8640;8027;7586;7389;7449;7253;7145;7093;6924;6608;6787;6880;6866;7184;7160
28;10210;10157;9870;9174;8832;8262;7956;7746;7655;7458;7345;7315;7085;6746;6880;7042;7090;7443
29;10392;10468;10522;10044;9432;8976;8560;8327;8004;7857;7600;7546;7463;7173;6872;7032;7226;7370
30;10748;10584;10813;10808;10199;9583;9190;8975;8476;8228;7951;7783;7737;7552;7239;6973;7243;7461
