"Popolazione per età, vista per singola area - Provincia: Monza e della Brianza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Monza e della Brianza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7208;7481;7685;7918;7883;8294;8305;8495;8430;8401;8112;8143;7691;7562;7398;7045;6906;6547
1;7413;7323;7600;7838;7971;7987;8414;8411;8531;8524;8413;8189;8202;7735;7605;7449;7105;6966
2;7230;7522;7416;7688;7985;8061;8047;8486;8417;8569;8611;8530;8270;8211;7789;7612;7501;7172
3;7203;7288;7623;7495;7847;8011;8104;8172;8519;8516;8608;8693;8555;8277;8212;7815;7687;7553
4;7061;7271;7336;7708;7573;7904;8085;8165;8186;8567;8558;8632;8728;8542;8287;8229;7820;7721
5;7068;7112;7367;7417;7809;7639;7959;8167;8229;8204;8609;8629;8661;8741;8527;8276;8244;7866
6;7003;7111;7167;7483;7488;7882;7725;8061;8188;8235;8250;8655;8661;8664;8743;8528;8312;8312
7;6827;7063;7159;7248;7543;7568;7922;7826;8051;8243;8268;8304;8683;8661;8707;8715;8535;8340
8;6823;6849;7136;7248;7336;7620;7608;8030;7871;8083;8286;8310;8323;8693;8663;8693;8767;8543
9;6970;6855;6909;7226;7325;7406;7696;7704;8087;7943;8131;8321;8339;8328;8736;8658;8720;8782
10;7164;6982;6934;7013;7244;7367;7493;7799;7726;8166;7989;8167;8315;8363;8346;8747;8669;8755
11;7068;7192;7013;6974;7098;7299;7404;7611;7853;7793;8233;8047;8192;8328;8350;8369;8763;8687
12;6961;7066;7235;7098;7031;7203;7357;7477;7647;7938;7850;8280;8064;8196;8320;8373;8398;8780
13;6826;6986;7079;7291;7177;7065;7263;7442;7546;7706;8011;7892;8292;8044;8203;8296;8412;8406
14;6630;6878;7016;7090;7354;7226;7118;7346;7482;7614;7749;8069;7919;8326;8052;8213;8297;8448
15;6695;6642;6924;7060;7125;7396;7290;7181;7381;7568;7677;7780;8102;7940;8325;8047;8222;8315
16;6947;6719;6669;7015;7114;7166;7437;7375;7235;7443;7607;7736;7806;8111;7968;8325;8098;8247
17;7088;6966;6738;6737;7064;7163;7201;7480;7410;7300;7509;7624;7768;7834;8124;7986;8321;8107
18;7277;7134;6997;6819;6803;7174;7251;7283;7530;7502;7394;7560;7662;7791;7837;8130;8032;8344
19;7630;7285;7174;7077;6867;6850;7291;7385;7357;7628;7583;7466;7568;7685;7802;7982;8282;8085
20;7738;7650;7381;7207;7116;6934;6987;7430;7520;7470;7752;7669;7500;7636;7772;7903;8148;8422
21;8090;7780;7765;7438;7276;7191;7085;7148;7514;7644;7595;7870;7733;7558;7695;7893;8048;8248
22;8165;8132;7974;7872;7553;7362;7360;7287;7293;7649;7804;7781;7899;7831;7607;7784;8015;8153
23;9009;8221;8350;8110;7946;7623;7536;7604;7431;7538;7867;7959;7851;7995;7968;7718;7913;8109
24;9456;9099;8512;8536;8236;8105;7859;7833;7766;7675;7725;8111;8088;7923;8083;8067;7867;8048
25;10280;9499;9429;8792;8712;8369;8367;8190;8067;7998;7902;8028;8285;8169;8031;8199;8180;8025
26;11378;10410;9837;9737;8955;8895;8634;8739;8381;8356;8253;8224;8212;8381;8248;8196;8402;8252
27;11852;11525;10779;10137;9966;9247;9167;8964;8945;8709;8609;8633;8363;8352;8496;8390;8394;8576
28;12203;12023;11941;11144;10370;10158;9600;9537;9206;9243;9037;8968;8846;8435;8442;8610;8557;8573
29;12465;12391;12516;12364;11393;10687;10410;10004;9836;9511;9545;9420;9102;8947;8589;8610;8783;8699
30;12898;12676;12784;12877;12630;11628;11022;10725;10261;10043;9742;9970;9545;9270;9050;8739;8769;8967
31;12918;13088;13055;13147;13093;12798;11959;11340;10967;10525;10297;10100;10100;9631;9362;9189;8899;8978
32;13605;13144;13515;13398;13362;13307;13158;12316;11678;11281;10714;10605;10182;10214;9711;9454;9343;9038
