"Popolazione per età, vista per singola area - Provincia: Napoli"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Napoli"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;37578;37659;37686;37366;35813;35666;35163;34100;33381;32228;31122;30636;29469;28467;28330;27694;27767;26185
1;37406;37410;37399;37478;36914;35543;35370;34691;33889;33166;31881;30967;30679;29365;28477;28197;27579;27505
2;37905;37299;37289;37153;37245;36648;35314;34958;34576;33679;33021;31897;31127;30647;29242;28398;28111;27413
3;37125;37732;37263;37164;36816;37022;36355;35010;34866;34412;33488;33019;32004;31149;30633;29155;28471;28017
4;36771;37045;37628;37242;37046;36572;36833;36007;34992;34762;34315;33476;33122;32028;31167;30600;29092;28441
5;37643;36764;36992;37625;37085;36939;36372;36462;35935;34914;34654;34357;33582;33101;32006;31148;30552;28978
6;38081;37546;36772;36956;37423;36957;36844;36048;36442;35846;34871;34641;34390;33530;33074;31929;31164;30525
7;38753;37977;37505;36776;36821;37315;36991;36663;36003;36380;35793;34857;34659;34414;33472;32991;31930;31146
8;39778;38691;37928;37432;36715;36735;37216;36844;36688;35954;36297;35797;34858;34639;34363;33427;32934;31909
9;42079;39753;38653;37924;37372;36636;36790;37055;36995;36741;35902;36288;35780;34786;34632;34326;33357;32905
10;42390;42042;39717;38599;37873;37326;36695;36762;37056;37187;36723;35890;36348;35763;34762;34563;34301;33341
11;42101;42265;41968;39717;38632;37821;37307;36696;36915;37146;37271;36693;35871;36315;35708;34703;34445;34235
12;42157;41991;42150;41967;39726;38686;37867;37226;36839;37152;37157;37267;36677;35839;36325;35661;34650;34436
13;41980;42105;41935;42034;41901;39716;38707;37814;37340;37057;37263;37139;37255;36641;35819;36318;35664;34660
14;40416;41995;42026;41792;41934;41811;39764;38635;37923;37497;37163;37272;37170;37190;36646;35769;36270;35613
15;41348;40484;41969;42015;41702;41918;41820;39764;38804;38084;37581;37160;37232;37183;37244;36640;35747;36243
16;42675;41292;40548;42021;41981;41662;41895;41798;39893;38941;38166;37590;37200;37224;37183;37220;36637;35770
17;43415;42573;41265;40634;42048;41989;41668;41841;41949;40048;39040;38209;37630;37220;37295;37237;37245;36656
18;44475;43282;42475;41094;40655;42094;41989;41626;41955;42058;40191;39108;38306;37681;37337;37435;37488;37396
19;46627;44198;43098;42204;40882;40610;42145;41838;41687;41969;42099;40147;39185;38360;37841;37483;37820;37520
20;45818;46193;43979;42813;41935;40598;40549;41962;41756;41618;41852;42003;40104;39168;38299;37763;37646;37710
21;46374;45209;45783;43555;42416;41554;40413;40265;41931;41631;41439;41689;41923;39999;39123;38156;37826;37478
22;46327;45560;44676;45294;43001;41906;41311;40035;40297;41789;41457;41227;41555;41784;39807;38941;38119;37603
23;46444;45563;45080;44065;44604;42430;41563;40881;39864;40250;41650;41198;41067;41413;41556;39473;38792;37783
24;47066;45659;45145;44432;43356;43842;41918;41056;40674;39545;40029;41404;41017;40903;41219;41202;39181;38325
25;48588;46347;45312;44625;43603;42521;43168;41325;40775;40379;39237;39751;41261;40711;40618;40741;40847;38573
26;50020;47720;46043;44806;43861;42739;41906;42383;40987;40439;39934;38892;39465;40885;40423;40033;40315;40184
27;51653;49193;47434;45576;44056;43030;42057;41001;41882;40502;39984;39494;38610;39131;40534;39877;39550;39604
28;50046;50944;48917;46949;44923;43338;42488;41236;40559;41318;40082;39402;39206;38333;38807;40022;39324;38723
29;50296;49345;50713;48537;46292;44233;42836;41765;40821;40024;40711;39659;39037;38959;38020;38363;39531;38543
30;49986;49537;49210;50353;47850;45588;43808;42145;41405;40353;39544;40249;39405;38848;38728;37565;38002;38718
31;48481;49355;49338;48879;49775;47216;45225;43141;41904;40919;39980;39162;39968;39221;38706;38445;37235;37425
32;49000;47972;49144;49089;48428;49294;46836;44656;42962;41661;40709;39752;38977;39912;39019;38419;38174;36769
33;48026;48704;47988;48941;48597;48101;48853;46320;44535;42788;41562;40552;39757;38973;39896;38775;38299;37753
34;48800;47801;48624;47824;48514;48308;47838;48437;46205;44298;42648;41464;40490;39666;38886;39767;38708;37999
35;49429;48658;47781;48419;47440;48191;48049;47451;48329;46064;44119;42542;41480;40519;39593;38766;39768;38440
36;48992;49271;48686;47687;48033;47136;48003;47707;47347;48215;45954;44067;42604;41463;40494;39497;38806;39654
37;49965;48791;49352;48604;47318;47737;46902;47641;47702;47248;48073;45812;44048;42500;41470;40400;39605;38644
38;47653;49786;48839;49243;48284;47036;47635;46460;47591;47617;47144;47872;45795;43940;42560;41427;40380;39585
39;46642;47453;49831;48820;48929;48077;46998;47355;46512;47398;47490;47048;47892;45860;43945;42575;41432;40295
40;45330;46420;47481;49774;48548;48693;48013;46828;47402;46455;47224;47396;46975;47806;45902;43852;42545;41369
41;42994;45166;46417;47358;49555;48361;48593;47881;46890;47453;46427;47118;47415;46851;47772;45842;43797;42481
42;42484;42850;45170;46420;47167;49379;48275;48420;48022;46941;47414;46365;47057;47399;46864;47751;45793;43699
43;40899;42293;42845;45148;46207;46909;49358;48146;48441;48099;46936;47328;46309;46982;47396;46709;47698;45705
44;40210;40742;42334;42864;44897;45983;46816;49179;48144;48493;48152;46882;47261;46154;46961;47258;46626;47592
45;38957;40141;40815;42368;42675;44598;45868;46638;49235;48202;48554;48053;46783;47187;46129;46902;47162;46513
46;40210;38849;40250;40838;42183;42531;44530;45736;46662;49305;48181;48426;47959;46683;47128;46052;46813;47021
47;39737;40049;38852;40317;40658;41965;42407;44386;45732;46675;49353;48054;48291;47859;46606;47027;46012;46655
48;36682;39604;39971;38858;40188;40472;41931;42316;44356;45783;46658;49197;47898;48146;47747;46505;46885;45809
49;36693;36516;39642;39896;38695;40024;40391;41823;42305;44371;45695;46452;49002;47745;48082;47598;46423;46718
50;36683;36492;36461;39584;39703;38517;40020;40239;41808;42306;44268;45566;46313;48827;47589;47950;47459;46236
51;37539;36449;36393;36404;39361;39497;38400;39919;40217;41797;42193;44115;45373;46089;48695;47449;47826;47264
52;37583;37322;36290;36245;36226;39176;39437;38230;39891;40216;41789;42004;43831;45191;45882;48475;47310;47624
53;38577;37373;37141;36149;35993;35991;39038;39253;38162;39866;40186;41641;41791;43627;44955;45647;48286;47115
54;37466;38340;37208;36981;35887;35743;35870;38845;39136;38111;39836;39951;41406;41513;43406;44747;45432;48027
55;39132;37257;38224;37026;36697;35593;35526;35707;38719;39032;37990;39617;39690;41176;41295;43203;44519;45162
56;34662;38854;37083;38007;36760;36441;35359;35270;35581;38561;38906;37718;39380;39413;40937;41005;42994;44258
57;27821;34370;38611;36943;37774;36512;36223;35091;35109;35473;38354;38650;37444;39129;39148;40659;40760;42745
58;30519;27570;34103;38388;36676;37486;36254;35910;34894;34836;35285;38048;38296;37179;38838;38874;40417;40511
