"Popolazione per età, vista per singola area - Provincia: Novara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Novara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2852;3046;3060;3118;3159;3320;3400;3363;3366;3374;3330;3281;3147;2990;2836;2782;2700;2583
1;2943;2899;3082;3114;3102;3194;3373;3480;3392;3398;3342;3347;3291;3145;3011;2872;2823;2715
2;2930;3008;2942;3136;3147;3140;3257;3407;3512;3398;3390;3370;3336;3294;3137;3014;2876;2850
3;2855;2966;3056;2986;3205;3166;3201;3328;3428;3516;3388;3402;3352;3331;3254;3160;3013;2882
4;2859;2870;3001;3096;3029;3201;3211;3234;3318;3441;3518;3422;3405;3322;3314;3255;3147;3015
5;2812;2916;2885;3025;3123;3040;3238;3257;3234;3336;3448;3533;3408;3406;3311;3288;3252;3134
6;2783;2833;2946;2920;3066;3159;3070;3244;3263;3237;3346;3447;3528;3403;3404;3292;3278;3244
7;2761;2808;2841;2979;2942;3093;3214;3133;3265;3266;3245;3361;3438;3543;3393;3395;3283;3271
8;2771;2789;2860;2857;3001;2994;3100;3272;3147;3287;3276;3256;3359;3430;3541;3388;3371;3270
9;2944;2799;2807;2898;2872;3038;3051;3165;3297;3183;3310;3311;3261;3338;3413;3552;3379;3360
10;2876;2970;2828;2852;2941;2908;3100;3099;3179;3323;3210;3314;3302;3261;3328;3409;3527;3387
11;2865;2892;2985;2868;2885;2967;2937;3136;3161;3212;3331;3242;3303;3287;3272;3300;3393;3540
12;2860;2881;2928;3009;2899;2947;3010;2975;3187;3218;3232;3347;3233;3289;3275;3290;3305;3386
13;2908;2872;2883;2954;3032;2939;2977;3060;3017;3224;3217;3268;3353;3216;3293;3242;3296;3300
14;2833;2928;2882;2895;2950;3082;2958;3025;3089;3043;3250;3219;3261;3338;3219;3282;3251;3294
15;2847;2845;2952;2905;2915;2982;3119;3025;3062;3126;3057;3273;3219;3269;3346;3216;3291;3254
16;2843;2859;2881;2979;2942;2953;3015;3186;3080;3099;3150;3089;3285;3227;3261;3334;3208;3281
17;2951;2836;2885;2904;2994;2973;2990;3082;3241;3096;3131;3195;3099;3303;3234;3274;3364;3210
18;3154;2948;2876;2922;2973;3050;3057;3089;3148;3295;3143;3159;3216;3110;3306;3274;3339;3388
19;3328;3172;2997;2935;3006;3028;3121;3143;3134;3179;3319;3162;3194;3217;3132;3339;3398;3376
20;3504;3356;3254;3030;2970;3038;3106;3218;3232;3157;3233;3352;3178;3212;3234;3197;3392;3443
21;3394;3537;3466;3301;3080;2979;3165;3208;3300;3313;3203;3252;3385;3210;3221;3297;3272;3430
22;3607;3463;3679;3566;3322;3166;3121;3270;3268;3356;3387;3269;3291;3406;3236;3292;3347;3297
23;3900;3675;3613;3745;3585;3420;3309;3235;3366;3382;3426;3438;3306;3328;3446;3298;3352;3390
24;4128;3971;3840;3690;3813;3666;3543;3433;3308;3469;3451;3506;3479;3340;3362;3490;3391;3403
25;4398;4248;4199;3945;3764;3891;3800;3703;3519;3413;3534;3535;3552;3501;3422;3440;3577;3438
26;4918;4446;4489;4332;4046;3833;4020;3959;3849;3629;3470;3602;3573;3521;3555;3496;3497;3634
27;5071;5026;4690;4662;4440;4132;4006;4228;4055;3980;3695;3568;3636;3609;3576;3608;3532;3525
28;5157;5155;5316;4849;4763;4545;4330;4171;4275;4156;4054;3800;3633;3671;3621;3645;3634;3568
29;5212;5242;5426;5418;4980;4870;4720;4489;4242;4356;4190;4104;3839;3670;3690;3644;3697;3678
30;5455;5337;5526;5590;5483;5121;5065;4888;4545;4337;4437;4275;4141;3856;3693;3709;3668;3714
31;5301;5519;5540;5641;5672;5512;5279;5231;4911;4604;4353;4446;4300;4190;3852;3708;3713;3722
32;5731;5368;5713;5619;5645;5691;5594;5363;5205;5005;4588;4402;4474;4306;4219;3888;3707;3761
33;5597;5794;5510;5764;5603;5669;5788;5675;5332;5212;4935;4658;4422;4428;4276;4243;3910;3773
34;5595;5644;5917;5554;5770;5589;5758;5883;5691;5357;5205;4949;4727;4439;4448;4277;4281;3903
35;5979;5671;5755;5978;5591;5805;5718;5858;5897;5725;5347;5246;4967;4711;4449;4457;4334;4289
36;5983;6071;5764;5804;6053;5634;5908;5881;5898;5969;5719;5438;5280;4962;4688;4461;4464;4370
37;6013;6025;6210;5843;5849;6069;5777;6027;5927;5941;5952;5752;5460;5278;4925;4659;4443;4504
38;5647;6067;6127;6236;5885;5893;6152;5869;6038;5959;5920;5958;5733;5447;5247;4924;4641;4453
39;5507;5718;6165;6168;6244;5932;5997;6231;5907;6069;5974;5943;5945;5726;5435;5233;4929;4631
40;5526;5541;5817;6186;6193;6276;6019;6063;6243;5934;6047;5998;5946;5908;5720;5428;5218;4927
41;5402;5527;5613;5890;6201;6226;6337;6062;6104;6263;5946;6057;5974;5909;5885;5726;5429;5202
42;5142;5399;5623;5658;5907;6249;6259;6385;6092;6133;6245;5960;6069;5980;5885;5849;5718;5437
