"Popolazione per età, vista per singola area - Provincia: Nuoro"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Nuoro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1949;1783;1888;1813;1876;1833;1778;1817;1794;1772;1744;1632;1575;1496;1391;1355;1351;1256
1;1930;1947;1789;1862;1815;1863;1841;1734;1791;1772;1759;1724;1626;1576;1485;1391;1359;1359
2;1946;1928;1938;1789;1871;1805;1849;1841;1728;1786;1778;1766;1712;1621;1558;1494;1397;1357
3;1931;1950;1919;1933;1795;1875;1808;1836;1825;1723;1778;1770;1764;1708;1610;1565;1493;1400
4;1965;1921;1937;1909;1940;1799;1874;1802;1847;1823;1718;1782;1769;1770;1703;1612;1566;1491
5;1965;1965;1915;1928;1919;1951;1793;1875;1809;1855;1815;1729;1779;1766;1769;1708;1613;1555
6;2129;1987;1974;1917;1921;1935;1960;1788;1878;1813;1859;1813;1721;1782;1761;1766;1709;1611
7;2121;2127;1992;1969;1929;1939;1937;1977;1795;1877;1822;1862;1808;1719;1776;1752;1759;1701
8;2172;2123;2132;1989;1978;1943;1934;1948;1976;1790;1882;1832;1865;1826;1721;1777;1753;1761
9;2198;2180;2128;2133;1995;1983;1947;1925;1952;1977;1792;1883;1831;1869;1829;1722;1780;1745
10;2433;2200;2177;2140;2129;1989;1988;1943;1927;1948;1990;1800;1889;1838;1861;1831;1718;1785
11;2497;2425;2211;2190;2150;2138;1990;1995;1952;1930;1949;1987;1800;1889;1830;1864;1832;1713
12;2302;2491;2420;2206;2202;2156;2150;1992;1997;1955;1932;1954;1990;1793;1891;1832;1866;1829
13;2582;2302;2492;2416;2205;2211;2161;2164;2001;1998;1961;1930;1951;1991;1784;1893;1832;1873
14;2435;2585;2293;2496;2406;2217;2222;2168;2165;2009;2008;1962;1925;1954;1984;1780;1886;1816
15;2603;2434;2579;2289;2502;2405;2219;2234;2184;2169;2006;2000;1962;1934;1955;2001;1781;1884
16;2605;2601;2438;2580;2288;2496;2404;2222;2240;2194;2171;2016;2006;1953;1931;1968;1994;1775
17;2595;2605;2603;2438;2588;2298;2495;2405;2224;2245;2206;2168;2013;2013;1953;1941;1991;1991
18;2769;2582;2602;2586;2444;2576;2297;2498;2421;2226;2249;2202;2171;2003;2020;1981;1993;1991
19;2852;2758;2566;2595;2555;2436;2562;2305;2497;2412;2221;2242;2195;2153;2006;2033;2003;1990
20;3044;2827;2731;2551;2564;2521;2433;2569;2299;2482;2402;2202;2225;2188;2146;2028;2028;1993
21;3019;2999;2820;2710;2526;2547;2509;2429;2574;2307;2487;2391;2213;2229;2177;2154;2020;2026
22;2973;2998;2965;2780;2693;2519;2555;2503;2422;2578;2300;2480;2394;2203;2216;2178;2149;2002
23;3274;2954;2976;2928;2760;2668;2529;2547;2482;2424;2573;2299;2478;2379;2190;2206;2158;2127
24;3296;3247;2935;2960;2886;2719;2655;2520;2527;2475;2422;2554;2301;2478;2377;2187;2184;2144
25;3402;3288;3249;2888;2907;2870;2703;2645;2471;2513;2472;2393;2550;2289;2441;2373;2209;2129
26;3390;3387;3272;3243;2852;2878;2860;2687;2621;2451;2518;2453;2370;2533;2268;2433;2353;2196
27;3483;3359;3355;3240;3214;2808;2874;2822;2668;2602;2429;2488;2429;2349;2485;2253;2409;2288
28;3482;3496;3329;3330;3210;3188;2800;2835;2775;2638;2578;2393;2420;2403;2311;2460;2225;2360
29;3446;3467;3462;3316;3309;3163;3171;2783;2794;2705;2596;2541;2386;2373;2349;2277;2431;2181
30;3461;3440;3477;3470;3280;3266;3153;3151;2764;2736;2683;2551;2507;2345;2319;2336;2221;2383
31;3337;3413;3418;3433;3428;3222;3242;3119;3091;2685;2691;2643;2517;2482;2310;2304;2293;2191
32;3483;3291;3344;3353;3360;3362;3176;3194;3052;3045;2604;2659;2597;2473;2437;2285;2262;2241
33;3406;3421;3257;3277;3270;3292;3326;3134;3144;3037;2962;2583;2614;2562;2435;2379;2265;2226
34;3510;3335;3391;3178;3224;3187;3234;3270;3089;3097;2988;2918;2565;2561;2510;2413;2336;2250
35;3580;3461;3314;3359;3138;3180;3178;3198;3204;3070;3050;2956;2898;2537;2520;2483;2378;2303
36;3434;3577;3463;3318;3357;3133;3173;3158;3184;3185;3041;3029;2916;2888;2498;2514;2460;2346
37;3597;3419;3577;3448;3283;3342;3119;3183;3163;3176;3168;3007;2987;2893;2867;2476;2477;2408
38;3408;3584;3404;3549;3429;3282;3342;3140;3188;3144;3184;3153;2983;2987;2852;2858;2458;2438
39;3370;3389;3578;3386;3540;3416;3269;3362;3153;3173;3138;3170;3137;2953;2979;2838;2846;2433
40;3458;3359;3391;3563;3384;3545;3421;3278;3344;3146;3176;3134;3158;3133;2918;2955;2816;2830
41;3217;3451;3360;3381;3560;3359;3530;3430;3292;3356;3131;3171;3134;3140;3120;2923;2944;2779
42;3166;3212;3432;3348;3378;3549;3340;3536;3448;3296;3371;3122;3165;3129;3133;3094;2916;2912
43;3132;3157;3192;3408;3330;3362;3557;3350;3539;3451;3304;3381;3134;3165;3095;3102;3082;2900
44;3059;3124;3154;3183;3397;3317;3381;3564;3365;3546;3447;3310;3387;3130;3143;3094;3080;3067
45;3062;3059;3118;3163;3174;3379;3321;3385;3594;3380;3561;3464;3313;3394;3131;3140;3084;3075
46;3039;3070;3054;3110;3158;3168;3387;3319;3385;3606;3376;3561;3481;3317;3372;3131;3150;3072
47;3103;3048;3078;3050;3110;3132;3171;3378;3326;3396;3614;3373;3561;3493;3328;3367;3133;3134
48;2810;3093;3047;3084;3038;3111;3139;3181;3368;3325;3392;3598;3385;3553;3494;3321;3356;3129
49;2978;2800;3095;3043;3091;3044;3117;3134;3170;3377;3325;3379;3605;3398;3545;3495;3298;3335
50;2771;2965;2799;3087;3034;3085;3058;3116;3142;3156;3379;3302;3379;3606;3383;3539;3494;3279
51;2889;2752;2965;2800;3103;3007;3092;3070;3120;3140;3144;3377;3319;3374;3610;3387;3521;3476
52;2700;2871;2738;2954;2798;3105;3020;3090;3066;3116;3127;3137;3366;3312;3369;3601;3360;3521
53;2865;2691;2861;2738;2949;2787;3098;3018;3088;3075;3106;3118;3136;3354;3305;3363;3594;3350
54;2602;2874;2686;2858;2743;2947;2783;3093;3009;3085;3068;3104;3112;3127;3339;3292;3372;3583
55;2499;2598;2856;2668;2839;2738;2945;2783;3082;2998;3072;3067;3119;3101;3105;3323;3291;3365
56;2528;2485;2597;2856;2651;2833;2739;2934;2787;3072;2993;3058;3047;3102;3088;3103;3312;3284
57;2562;2530;2480;2601;2840;2658;2840;2727;2925;2782;3059;2993;3058;3034;3097;3075;3091;3289
58;2469;2554;2520;2478;2609;2840;2673;2822;2703;2920;2781;3048;2989;3048;3027;3097;3052;3070
59;2510;2453;2545;2511;2462;2611;2842;2675;2798;2696;2894;2777;3032;2973;3037;3007;3067;3035
60;2341;2509;2447;2544;2492;2468;2615;2850;2662;2796;2699;2880;2786;3014;2945;3018;2991;3036
61;2653;2311;2496;2445;2538;2504;2468;2611;2837;2659;2775;2691;2861;2765;2983;2929;3004;2971
62;2538;2634;2296;2480;2422;2523;2494;2456;2588;2844;2640;2753;2695;2843;2732;2974;2912;2987
63;2469;2514;2629;2285;2464;2408;2526;2490;2431;2579;2829;2626;2727;2680;2817;2713;2954;2898
64;2104;2472;2503;2599;2261;2443;2405;2511;2468;2408;2568;2803;2602;2707;2654;2793;2704;2922
65;2335;2100;2453;2501;2571;2251;2445;2382;2474;2451;2394;2537;2772;2592;2687;2628;2775;2681
66;2233;2315;2085;2428;2477;2545;2250;2437;2362;2455;2424;2363;2510;2752;2562;2648;2599;2759
67;2211;2223;2298;2074;2409;2447;2528;2238;2414;2334;2429;2399;2353;2478;2722;2517;2625;2572
68;2251;2181;2178;2273;2053;2400;2432;2507;2223;2386;2314;2408;2371;2331;2450;2687;2488;2594
69;2183;2232;2159;2159;2250;2032;2372;2404;2483;2181;2340;2288;2389;2337;2298;2425;2652;2465
70;2059;2138;2204;2134;2113;2228;2014;2337;2351;2446;2145;2310;2251;2359;2308;2257;2381;2606
71;2083;2026;2106;2172;2100;2080;2203;2007;2292;2312;2411;2105;2277;2227;2326;2267;2234;2340
72;1959;2048;1987;2056;2124;2060;2049;2166;1974;2262;2276;2360;2072;2241;2186;2293;2233;2202
73;1962;1917;1994;1946;2011;2079;2030;2020;2130;1971;2216;2233;2326;2034;2200;2130;2255;2183
74;1833;1921;1876;1948;1902;1968;2032;1986;1973;2079;1921;2172;2191;2293;1994;2173;2088;2211
75;1821;1774;1855;1829;1909;1855;1912;1984;1951;1910;2039;1856;2121;2151;2224;1964;2124;2037
76;1598;1775;1731;1798;1777;1854;1800;1857;1930;1895;1870;1979;1825;2059;2104;2168;1904;2075
77;1542;1551;1712;1687;1744;1718;1796;1752;1801;1874;1846;1817;1926;1774;1997;2038;2102;1849
78;1528;1495;1491;1659;1630;1695;1654;1739;1686;1751;1826;1785;1756;1852;1731;1942;1984;2040
79;1452;1461;1431;1446;1580;1563;1628;1578;1685;1630;1683;1763;1730;1691;1787;1671;1868;1930
80;1175;1393;1394;1384;1397;1535;1515;1565;1507;1603;1564;1623;1694;1669;1621;1724;1610;1798
81;1096;1106;1319;1314;1319;1335;1452;1444;1488;1429;1526;1491;1560;1600;1602;1541;1651;1541
82;890;1024;1021;1247;1234;1249;1267;1365;1369;1399;1335;1457;1430;1489;1497;1512;1480;1571
83;607;828;940;950;1173;1147;1137;1155;1280;1260;1324;1252;1385;1368;1416;1418;1433;1395
84;557;560;758;868;892;1082;1040;1066;1064;1209;1147;1250;1180;1312;1286;1336;1315;1325
85;681;504;511;719;784;809;991;988;986;997;1130;1053;1174;1121;1218;1198;1215;1219
86;657;614;441;458;654;712;731;907;908;925;919;1051;978;1080;1029;1134;1115;1133
87;583;572;544;398;418;596;647;660;822;818;859;832;951;896;995;945;1027;1012
88;513;520;503;483;357;375;539;583;592;717;737;777;740;861;796;915;850;944
89;472;429;429;437;416;315;345;484;521;536;617;656;704;653;760;712;810;761
90;382;397;363;363;366;357;261;293;415;470;456;532;584;609;573;664;624;702
91;301;305;322;313;299;319;309;222;247;363;400;382;472;494;518;500;575;507
92;227;246;242;278;262;251;266;271;188;191;309;338;324;392;428;438;422;495
93;180;177;202;204;218;215;220;220;232;155;163;264;272;269;326;341;366;344
94;149;129;124;160;156;183;182;173;181;187;132;124;216;212;208;267;271;298
95;111;111;101;98;114;125;146;151;140;144;152;102;96;167;165;164;215;207
96;73;79;85;78;75;86;94;110;114;107;101;119;77;83;132;128;126;171
97;56;60;57;67;60;62;56;67;84;85;83;73;94;59;62;100;94;97
98;32;38;43;43;53;43;39;42;54;64;64;62;58;70;38;43;80;79
99;30;20;20;33;27;36;33;32;29;42;43;52;52;36;41;29;31;57
100 e oltre;46;44;39;44;47;45;58;60;54;54;67;74;90;103;82;78;62;61
Totale;220766;220145;219667;219181;218534;217986;217945;217771;217209;216694;216019;215083;214391;213365;211644;210532;209100;207108
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1007;912;987;967;964;970;930;928;967;916;889;851;837;773;718;687;701;665
1;1002;1007;916;976;961;962;972;905;916;957;910;879;845;838;766;717;683;694
2;1001;997;1010;914;979;956;960;973;912;924;963;916;874;843;826;767;714;686
3;975;1007;988;1008;915;982;958;946;958;909;919;959;924;859;831;822;764;716
4;1047;970;1001;984;1013;914;978;951;951;962;909;925;953;927;858;837;825;767
5;1016;1042;958;992;992;1020;908;977;953;952;954;913;922;956;929;861;846;816
6;1101;1028;1047;961;993;1001;1023;897;975;955;948;952;910;918;957;925;861;846
7;1107;1102;1032;1042;966;1011;999;1033;902;975;960;955;956;904;912;953;924;854
8;1139;1112;1100;1031;1048;968;1005;1008;1035;906;975;963;955;966;904;915;953;921
9;1141;1143;1117;1100;1041;1050;967;998;1009;1033;907;983;961;957;965;908;918;953
10;1243;1149;1138;1123;1096;1034;1049;965;995;1013;1041;910;984;967;957;971;905;919
11;1243;1238;1156;1136;1127;1105;1031;1047;973;1001;1014;1040;907;979;961;961;973;904
12;1184;1236;1244;1154;1143;1131;1114;1038;1051;979;1005;1019;1039;905;986;966;963;972
13;1346;1181;1241;1242;1155;1144;1131;1120;1043;1054;980;1006;1019;1037;905;987;968;967
14;1224;1352;1178;1245;1235;1161;1150;1131;1124;1043;1058;981;1005;1017;1032;903;982;961
15;1311;1222;1353;1176;1247;1236;1160;1153;1144;1126;1042;1055;981;1010;1020;1039;908;982
16;1320;1318;1222;1355;1183;1241;1236;1162;1157;1157;1126;1046;1053;975;1008;1035;1036;906
17;1322;1321;1323;1223;1358;1185;1238;1231;1167;1161;1164;1123;1046;1058;976;1019;1060;1036
18;1397;1311;1318;1313;1227;1353;1187;1233;1236;1162;1160;1156;1132;1048;1064;1007;1076;1060
