"Popolazione per età, vista per singola area - Provincia: Oristano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Oristano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1242;1206;1236;1174;1170;1146;1158;1147;1131;1175;1103;956;1036;961;924;901;926;803
1;1283;1251;1215;1253;1178;1187;1164;1162;1154;1127;1169;1102;973;1042;963;931;901;924
2;1341;1284;1251;1216;1248;1190;1191;1152;1161;1162;1123;1170;1103;978;1041;963;920;902
3;1263;1342;1298;1266;1218;1252;1192;1197;1165;1174;1170;1126;1157;1096;972;1033;959;927
4;1320;1274;1358;1314;1269;1225;1271;1191;1201;1158;1167;1168;1122;1160;1106;970;1026;959
5;1329;1319;1277;1352;1321;1284;1225;1271;1191;1206;1167;1172;1163;1124;1156;1108;966;1026
6;1396;1343;1338;1290;1357;1324;1293;1235;1273;1201;1218;1168;1172;1161;1120;1155;1104;969
7;1372;1398;1348;1340;1288;1363;1338;1306;1233;1276;1207;1220;1163;1176;1155;1129;1153;1102
8;1471;1387;1403;1355;1350;1315;1367;1335;1316;1228;1268;1208;1208;1169;1175;1149;1121;1155
9;1554;1476;1405;1423;1372;1356;1319;1367;1334;1316;1224;1269;1207;1208;1165;1177;1144;1124
10;1726;1563;1478;1423;1439;1370;1354;1323;1365;1339;1319;1231;1266;1202;1211;1176;1184;1146
11;1735;1730;1571;1499;1436;1439;1377;1358;1333;1375;1343;1319;1234;1264;1201;1216;1175;1187
12;1729;1743;1721;1579;1506;1445;1439;1367;1374;1327;1383;1349;1311;1236;1255;1213;1222;1166
13;1713;1733;1749;1735;1589;1508;1446;1440;1374;1381;1331;1393;1347;1303;1239;1252;1212;1219
14;1833;1724;1739;1752;1732;1594;1510;1450;1447;1372;1383;1336;1377;1348;1301;1238;1254;1210
15;1855;1831;1723;1746;1752;1731;1606;1510;1443;1446;1371;1383;1339;1367;1345;1309;1241;1257
16;1916;1851;1843;1730;1748;1754;1726;1607;1506;1454;1449;1375;1388;1326;1365;1344;1306;1244
17;2074;1921;1849;1853;1742;1748;1761;1718;1610;1518;1459;1452;1374;1396;1324;1364;1347;1311
18;2139;2072;1918;1855;1859;1750;1744;1760;1721;1622;1521;1464;1452;1374;1394;1328;1421;1353
19;2244;2123;2063;1916;1858;1852;1748;1740;1768;1720;1627;1517;1454;1446;1382;1400;1391;1412
20;2201;2225;2110;2061;1912;1833;1852;1730;1730;1747;1712;1619;1511;1443;1453;1379;1423;1353
21;2213;2182;2208;2098;2043;1902;1805;1844;1724;1713;1744;1714;1617;1512;1439;1457;1398;1405
22;2281;2193;2156;2193;2092;2054;1889;1801;1851;1720;1705;1748;1730;1611;1514;1439;1465;1379
23;2412;2236;2174;2128;2190;2074;2049;1891;1809;1864;1709;1706;1751;1724;1604;1508;1442;1447
24;2388;2397;2235;2150;2121;2172;2069;2032;1863;1783;1864;1712;1710;1733;1715;1591;1519;1408
25;2392;2377;2397;2232;2122;2114;2157;2060;2017;1852;1774;1848;1704;1706;1704;1704;1591;1483
26;2468;2382;2395;2382;2214;2115;2094;2140;2052;1995;1843;1774;1845;1682;1676;1662;1678;1553
27;2566;2465;2389;2401;2350;2189;2097;2065;2121;2023;1985;1823;1747;1830;1681;1656;1659;1625
28;2436;2545;2484;2408;2378;2345;2207;2066;2041;2084;2005;1971;1798;1728;1823;1651;1657;1613
29;2481;2437;2548;2474;2409;2374;2323;2190;2023;2020;2053;1946;1928;1765;1695;1778;1638;1626
30;2521;2474;2446;2559;2476;2411;2356;2289;2153;1995;1989;2031;1924;1897;1730;1670;1766;1593
31;2402;2509;2473;2422;2574;2456;2394;2316;2276;2123;1969;1955;2020;1890;1886;1710;1648;1732
32;2496;2386;2476;2435;2369;2513;2425;2335;2300;2228;2060;1964;1923;1981;1887;1853;1684;1615
33;2365;2483;2373;2490;2432;2348;2477;2376;2303;2276;2193;2036;1951;1933;1922;1866;1841;1659
34;2488;2322;2471;2357;2443;2417;2331;2428;2330;2256;2222;2176;2022;1927;1913;1904;1854;1819
35;2530;2492;2314;2461;2354;2431;2412;2332;2412;2317;2208;2222;2153;2020;1902;1908;1908;1830
36;2559;2537;2494;2322;2474;2346;2458;2418;2342;2418;2315;2197;2220;2148;1986;1900;1894;1893
37;2579;2561;2534;2499;2345;2460;2354;2473;2408;2331;2409;2300;2196;2204;2117;1965;1896;1880
38;2481;2581;2558;2544;2520;2351;2473;2361;2500;2409;2325;2381;2294;2188;2196;2108;1967;1891
39;2525;2489;2591;2561;2553;2533;2356;2464;2373;2484;2398;2313;2374;2279;2185;2183;2096;1963
40;2484;2523;2495;2608;2577;2583;2530;2365;2478;2377;2486;2413;2312;2380;2293;2189;2163;2111
41;2397;2486;2542;2523;2621;2591;2593;2541;2380;2491;2389;2477;2407;2313;2374;2289;2188;2162
42;2363;2397;2495;2555;2534;2642;2591;2597;2541;2397;2489;2383;2497;2405;2301;2380;2299;2176
43;2275;2373;2411;2487;2555;2552;2647;2589;2602;2550;2398;2500;2387;2506;2407;2294;2381;2295
