"Popolazione per età, vista per singola area - Provincia: Padova"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Padova"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7690;7864;8228;8580;8473;8833;8782;9105;9024;8773;8600;8565;8212;7842;7414;7202;6900;6648
1;7966;7790;7947;8343;8606;8514;8888;8860;9106;9006;8755;8608;8512;8221;7789;7374;7225;6917
2;8057;8053;7877;8055;8420;8686;8548;8965;8857;9095;8986;8801;8587;8480;8188;7793;7398;7239
3;7814;8101;8173;8017;8131;8479;8738;8623;8974;8872;9082;9006;8837;8566;8441;8148;7807;7416
4;7574;7878;8182;8272;8107;8202;8544;8775;8673;8935;8855;9129;8996;8789;8546;8422;8150;7797
5;7674;7639;7960;8273;8374;8197;8258;8633;8821;8661;8949;8893;9128;8993;8763;8501;8428;8185
6;7473;7759;7782;8054;8350;8467;8299;8319;8672;8803;8668;8969;8883;9082;8993;8741;8472;8422
7;7321;7550;7865;7867;8150;8424;8564;8408;8350;8658;8793;8704;8984;8906;9062;8951;8727;8461
8;7534;7382;7649;7955;7983;8209;8497;8659;8443;8379;8699;8811;8717;8975;8868;9021;8941;8734
9;7691;7604;7467;7742;8029;8103;8281;8592;8735;8477;8418;8716;8846;8702;8969;8867;9017;8946
10;7766;7745;7691;7604;7844;8114;8182;8392;8636;8781;8523;8419;8711;8851;8685;8949;8867;9013
11;7726;7837;7852;7790;7709;7919;8228;8284;8462;8663;8806;8548;8402;8741;8857;8667;8938;8896
12;7456;7788;7893;7941;7897;7794;8027;8333;8355;8548;8686;8811;8560;8409;8761;8841;8686;8969
13;7570;7502;7872;8011;8060;7966;7870;8146;8397;8419;8587;8723;8830;8577;8404;8758;8817;8670
14;6950;7638;7592;7964;8078;8136;8032;7992;8199;8442;8460;8606;8738;8845;8554;8374;8767;8855
15;7181;7011;7728;7676;8022;8136;8233;8156;8066;8239;8480;8505;8637;8746;8826;8559;8370;8787
