"Popolazione per età, vista per singola area - Provincia: Palermo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Palermo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12954;13220;13331;13427;13294;12915;12735;12861;12656;12267;11920;12255;11741;11712;11468;10747;10795;10457
1;12681;12935;13068;13223;13319;13256;12803;12653;12774;12550;12146;11948;12210;11589;11637;11378;10648;10704
2;13241;12652;12907;13031;13099;13279;13174;12734;12600;12693;12503;12187;12013;12153;11509;11570;11245;10556
3;12733;13200;12620;12910;12980;13064;13252;13072;12710;12597;12595;12566;12199;11999;12092;11420;11513;11111
4;13263;12739;13154;12625;12894;13000;13000;13246;13039;12686;12514;12641;12621;12208;11954;12011;11271;11431
5;13486;13249;12778;13131;12626;12904;12987;12937;13249;13026;12642;12543;12663;12608;12187;11904;11917;11150
6;13791;13508;13255;12799;13089;12690;12948;12957;12938;13219;12976;12695;12563;12617;12586;12212;11856;11848
7;14285;13791;13495;13284;12812;13087;12748;13008;12940;12896;13223;13011;12696;12565;12589;12555;12176;11822
8;15017;14248;13763;13513;13265;12869;13102;12817;13059;12965;12848;13247;13016;12683;12544;12570;12503;12150
9;16032;14998;14246;13740;13550;13322;12935;13157;12883;13116;12954;12874;13278;13000;12668;12507;12562;12480
10;15967;16024;14977;14259;13745;13607;13388;12998;13171;12985;13147;12990;12906;13268;12970;12648;12492;12496
11;16154;15912;16000;15005;14258;13786;13669;13451;13060;13229;13071;13186;13014;12887;13232;12935;12620;12477
12;16115;16091;15837;16024;15015;14291;13822;13750;13532;13172;13270;13117;13198;12999;12897;13212;12909;12611
13;16125;16093;16033;15809;16032;15042;14350;13876;13804;13634;13232;13288;13184;13220;12987;12882;13180;12901
14;15475;16090;16069;16016;15792;16056;15085;14386;13919;13886;13688;13257;13339;13184;13226;12958;12859;13171
15;15942;15481;16050;16101;15978;15804;16069;15149;14419;13984;13965;13735;13295;13379;13224;13214;12968;12877
